FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.91,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,24.91,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,24.91,14.66,14.37,88.85,2,88.85,14.66,-0.10200699387835893,-0.5100349693917946,20.696097026364328,-1.63415204193131
3,24.91,14.84,14.2,87.5,3,87.5,14.84,-0.10436193873653361,-0.521809693682668,20.189965078376687,-1.6718782585592684
4,24.91,14.74,14.29,88.21,4,88.21,14.74,-0.10312363117968643,-0.5156181558984321,20.462276339506314,-1.6520405714985764
5,24.91,14.76,14.28,88.08,5,88.08,14.76,-0.10335040503010716,-0.5167520251505358,20.409672838955508,-1.6556734885823166
6,24.91,14.76,14.28,88.13,6,88.13,14.76,-0.10326318629582593,-0.5163159314791296,20.418725010318383,-1.6542762444591312
7,24.91,14.74,14.3,88.28,7,88.28,14.74,-0.10300151544832513,-0.5150075772416256,20.4749683952136,-1.6500842774821685
8,24.91,14.76,14.28,88.13,8,88.13,14.76,-0.10326318629582593,-0.5163159314791296,20.418725010318383,-1.6542762444591312
9,24.91,14.84,14.19,87.44,9,87.44,14.84,-0.10446655641082864,-0.5223327820541431,20.179168471740144,-1.6735542337014748
10,24.91,14.61,14.42,89.25,10,89.25,14.61,-0.10130895955713447,-0.5065447977856723,20.843611596252767,-1.6229695321052942
11,24.91,14.51,14.52,90.03,11,90.03,14.51,-0.09994764012483265,-0.4997382006241632,21.138165390960125,-1.601161194799819
12,24.91,14.65,14.38,88.93,12,88.93,14.65,-0.10186739375093752,-0.5093369687546876,20.725514850711967,-1.631915647890019
13,24.91,14.72,14.32,88.44,13,88.44,14.72,-0.10272237724661755,-0.5136118862330877,20.53318989855998,-1.645612483490813
14,24.91,14.78,14.25,87.9,14,87.9,14.78,-0.10366437087065564,-0.5183218543532782,20.348181842918073,-1.6607032213479032
15,24.91,14.76,14.27,88.06,15,88.06,14.76,-0.10338529181312497,-0.5169264590656248,20.406052044171233,-1.656232374846262
16,24.91,14.63,14.4,89.09,16,89.09,14.63,-0.10158818284652041,-0.507940914232602,20.78447800845418,-1.627442689201257
17,24.91,14.82,14.22,87.63,17,87.63,14.82,-0.10413525085223674,-0.5206762542611837,20.241951969483384,-1.6682467186528325
18,24.91,14.6,14.44,89.36,18,89.36,14.6,-0.10111698749294223,-0.5055849374647111,20.87873883959537,-1.6198941396369346
19,24.91,14.82,14.22,87.62,19,87.62,14.82,-0.104152689152473,-0.520763445762365,20.24014978079273,-1.6685260802226174
20,24.91,14.48,14.56,90.33,20,90.33,14.48,-0.09942404453120035,-0.4971202226560017,21.239561846046144,-1.5927731933898295
21,24.91,14.8,14.24,87.8,21,87.8,14.8,-0.10383878090875201,-0.51919390454376,20.30130792486591,-1.6634972701582071
22,24.91,14.97,14.07,86.46,22,86.46,14.97,-0.10617453541455422,-0.5308726770727711,19.820914068851685,-1.7009160573411586
23,24.91,14.85,14.18,87.36,23,87.36,14.85,-0.10460603900408523,-0.5230301950204261,20.15054199828774,-1.6757887448454454
24,24.91,14.95,14.09,86.61,24,86.61,14.95,-0.10591321469563403,-0.5295660734781701,19.875457672432525,-1.696729699424057
25,24.91,14.97,14.07,86.47,25,86.47,14.97,-0.10615711533009109,-0.5307855766504554,19.8226954756341,-1.7006369875880591
26,24.91,14.82,14.22,87.63,26,87.63,14.82,-0.10413525085223674,-0.5206762542611837,20.241951969483384,-1.6682467186528325
27,24.91,14.82,14.22,87.62,27,87.62,14.82,-0.104152689152473,-0.520763445762365,20.24014978079273,-1.6685260802226174
28,24.91,14.78,14.25,87.91,28,87.91,14.78,-0.10364692924415252,-0.5182346462207625,20.34998948929023,-1.6604238064913233
29,24.91,14.92,14.11,86.81,29,86.81,14.92,-0.10556472433566273,-0.5278236216783136,19.95309702697669,-1.691146883857317
30,24.91,14.81,14.23,87.73,30,87.73,14.81,-0.10396086100934193,-0.5198043050467096,20.27431389319086,-1.6654529933696578
31,24.91,15.12,13.91,85.24,31,85.24,15.12,-0.10829821397423843,-0.5414910698711921,19.400074940877225,-1.7349373878672996
32,24.91,14.84,14.19,87.42,32,87.42,14.84,-0.10450142788611966,-0.5225071394305982,20.175569714607658,-1.6741128747356369
33,24.91,14.87,14.16,87.2,33,87.2,14.87,-0.10488497697956133,-0.5244248848978066,20.093412779700813,-1.6802573312125724
34,24.91,14.86,14.18,87.32,34,87.32,14.86,-0.10467577695031763,-0.5233788847515881,20.129143398459902,-1.6769059467440883
35,24.91,14.81,14.23,87.73,35,87.73,14.81,-0.10396086100934193,-0.5198043050467096,20.27431389319086,-1.6654529933696578
36,24.91,14.81,14.22,87.68,36,87.68,14.81,-0.10404805747217526,-0.5202402873608762,20.265296058961628,-1.6668498807042476
37,24.91,14.83,14.21,87.58,37,87.58,14.83,-0.1042224410831248,-0.521112205415624,20.218641160158132,-1.6696435061516592
38,24.91,14.75,14.28,88.14,38,88.14,14.75,-0.10324574224863717,-0.5162287112431858,20.43504982036851,-1.6539967908231674
39,24.91,14.94,14.1,86.69,39,86.69,14.94,-0.1057738269599535,-0.5288691347997675,19.903681147748802,-1.6944967078984552
40,24.91,15.01,14.03,86.15,40,86.15,15.01,-0.1067144621099399,-0.5335723105496994,19.7105205016196,-1.7095656830012371
41,24.91,14.8,14.24,87.78,41,87.78,14.8,-0.10387366153014065,-0.5193683076507032,20.297698025627405,-1.6640560577128531
42,24.91,15.03,14.0,85.93,42,85.93,15.03,-0.10709751757831598,-0.5354875878915799,19.644037670768004,-1.715702231604622
43,24.91,14.98,14.06,86.36,43,86.36,14.98,-0.10634872582684063,-0.5317436291342031,19.78925108468061,-1.703706587745987
44,24.91,14.92,14.11,86.81,44,86.81,14.92,-0.10556472433566273,-0.5278236216783136,19.95309702697669,-1.691146883857317
45,24.91,14.99,14.05,86.29,45,86.29,14.99,-0.10647064764011496,-0.5323532382005748,19.76296992123149,-1.7056597751946416
46,24.91,14.98,14.05,86.32,46,86.32,14.98,-0.10641839660645805,-0.5320919830322902,19.782131417861986,-1.704822713635458
47,24.91,14.88,14.16,87.14,47,87.14,14.88,-0.10498956901607082,-0.5249478450803541,20.068497643098098,-1.6819328956374544
48,24.91,14.92,14.11,86.81,48,86.81,14.92,-0.10556472433566273,-0.5278236216783136,19.95309702697669,-1.691146883857317
49,24.91,14.77,14.26,87.98,49,87.98,14.77,-0.10352483477781318,-0.5176241738890659,20.377096071849213,-1.6584678531405672
50,24.91,14.88,14.15,87.11,50,87.11,14.88,-0.10504186298961611,-0.5252093149480805,20.063116077201617,-1.6827706450936502
51,24.91,15.16,13.88,84.97,51,84.97,15.16,-0.10876773371008826,-0.5438386685504413,19.29909095881529,-1.742459094035614
52,24.91,14.77,14.26,87.98,52,87.98,14.77,-0.10352483477781318,-0.5176241738890659,20.377096071849213,-1.6584678531405672
53,24.91,14.76,14.28,88.09,53,88.09,14.76,-0.1033329614852438,-0.516664807426219,20.411483252263846,-1.6553940429936056
54,24.91,14.97,14.07,86.47,54,86.47,14.97,-0.10615711533009109,-0.5307855766504554,19.8226954756341,-1.7006369875880591
55,24.91,15.06,13.98,85.72,55,85.72,15.06,-0.10746306389887923,-0.5373153194943961,19.565902577011375,-1.7215582836600452
56,24.91,14.92,14.12,86.84,56,86.84,14.92,-0.10551244482975797,-0.5275622241487898,19.958461989945857,-1.6903093661727226
57,24.91,14.86,14.18,87.29,57,87.29,14.86,-0.10472807891631145,-0.5236403945815572,20.123753417857017,-1.6777438242393092
58,24.91,14.86,14.17,87.28,58,87.28,14.86,-0.10474551261763312,-0.5237275630881656,20.121956787268193,-1.6780231121344826
