FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.44,15.13,13.9,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,22.44,15.13,13.9,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,22.44,14.75,14.29,88.21,2,88.21,14.75,-0.10312363117968643,-0.5156181558984321,20.44773237070386,-1.6520405714985764
3,22.44,14.92,14.11,86.8,3,86.8,14.92,-0.1055821504993164,-0.5279107524965819,19.951308740705063,-1.6914260509990486
4,22.44,14.9,14.13,86.96,4,86.96,14.9,-0.10530331183679219,-0.5265165591839609,20.008027390347603,-1.6869590556254108
5,22.44,15.31,13.73,83.76,5,83.76,15.31,-0.11086933776341851,-0.5543466888170925,18.891263549474743,-1.7761267909699645
6,22.44,15.2,13.83,84.61,6,84.61,15.2,-0.10939345535441454,-0.5469672767720727,19.182942455842618,-1.7524831547777209
7,22.44,15.05,13.99,85.8,7,85.8,15.05,-0.1073238197127632,-0.536619098563816,19.593680372235035,-1.7193275917984663
8,22.44,15.19,13.85,84.71,8,84.71,15.19,-0.10921967992962921,-0.546098399648146,19.213666423708766,-1.7496992724726599
9,22.44,15.19,13.85,84.71,9,84.71,15.19,-0.10921967992962921,-0.546098399648146,19.213666423708766,-1.7496992724726599
10,22.44,15.05,13.98,85.77,10,85.77,15.05,-0.10737603797035991,-0.5368801898517995,19.588370178481867,-1.7201641282851656
11,22.44,14.99,14.05,86.31,11,86.31,14.99,-0.10643581381389998,-0.5321790690694999,19.766527107008912,-1.7051017372986776
12,22.44,15.05,13.98,85.78,12,85.78,15.05,-0.10735863210847432,-0.5367931605423716,19.590140220289225,-1.7198852863777585
13,22.44,15.08,13.94,85.5,13,85.5,15.08,-0.1078459095727845,-0.5392295478639225,19.499872408021634,-1.7276914713560076
14,22.44,15.07,13.95,85.59,14,85.59,15.07,-0.10768930454908619,-0.5384465227454309,19.529328784312508,-1.7251826588763608
15,22.44,15.03,14.01,85.99,15,85.99,15.03,-0.10699305804525555,-0.5349652902262777,19.654675206256137,-1.714028789884994
16,22.44,14.95,14.06,86.49,16,86.49,14.95,-0.10612227459902619,-0.530611372995131,19.854048892569654,-1.7000788390763995
17,22.44,15.06,13.96,85.67,17,85.67,15.06,-0.10755008414395076,-0.5377504207197538,19.55705944451028,-1.722952347986091
18,22.44,15.01,14.03,86.14,18,86.14,15.01,-0.10673187591244714,-0.5336593795622356,19.70874470858782,-1.709844652117403
19,22.44,15.09,13.95,85.49,19,85.49,15.09,-0.10786330894303997,-0.5393165447151999,19.484573722030333,-1.7279702092675002
20,22.44,15.04,13.99,85.85,20,85.85,15.04,-0.10723678482857912,-0.5361839241428956,19.6161838408197,-1.7179332929538376
21,22.44,15.06,13.98,85.74,21,85.74,15.06,-0.10742825420577401,-0.53714127102887,19.569439992105973,-1.7210006323764997
22,22.44,15.17,13.87,84.86,22,84.86,15.17,-0.10895896429900154,-0.5447948214950077,19.266484162731512,-1.7455226080700046
23,22.44,15.15,13.88,85.0,23,85.0,15.15,-0.10871557427476582,-0.5435778713738291,19.317698081979326,-1.7416234998817484
24,22.44,15.16,13.86,84.85,24,84.85,15.16,-0.10897634727115056,-0.5448817363557528,19.2780377538918,-1.745801083283832
25,22.44,15.19,13.85,84.71,25,84.71,15.19,-0.10921967992962921,-0.546098399648146,19.213666423708766,-1.7496992724726599
26,22.44,15.17,13.86,84.84,26,84.84,15.17,-0.1089937299698644,-0.5449686498493219,19.262978045605273,-1.7460795541172276
27,22.44,15.17,13.82,84.69,27,84.69,15.17,-0.10925443727830625,-0.5462721863915312,19.23668571940021,-1.750256085198466
28,22.44,15.13,13.88,85.05,28,85.05,15.13,-0.10862863657979234,-0.5431431828989617,19.35323174574444,-1.7402307580082732
29,22.44,15.17,13.85,84.81,29,84.81,15.17,-0.10904587642009984,-0.5452293821004992,19.2577190772694,-1.7469149402499995
30,22.44,15.15,13.89,85.01,30,85.01,15.15,-0.1086981872646357,-0.5434909363231785,19.31945398558187,-1.741344959979464
31,22.44,15.06,13.98,85.75,31,85.75,15.06,-0.10741084901953996,-0.5370542450976997,19.57120873417223,-1.72072180129303
32,22.44,15.03,13.99,85.88,32,85.88,15.03,-0.10718456124848584,-0.5359228062424292,19.63517366282807,-1.7170966712007432
33,22.44,14.89,14.13,87.0,33,87.0,14.89,-0.10523359562429441,-0.526167978121472,20.029278440672122,-1.6858422019011963
34,22.44,14.98,14.05,86.33,34,86.33,14.98,-0.10640097920350058,-0.5320048960175029,19.78391130473255,-1.7045436868400794
35,22.44,14.98,14.03,86.26,35,86.26,14.98,-0.10652289689980715,-0.5326144844990357,19.771452518111197,-1.7064968083349106
36,22.44,15.05,13.99,85.82,36,85.82,15.05,-0.10728900642466682,-0.536445032123334,19.59722061492954,-1.7187698829231624
37,22.44,15.01,14.03,86.15,37,86.15,15.01,-0.1067144621099399,-0.5335723105496994,19.7105205016196,-1.7095656830012371
38,22.44,15.18,13.84,84.71,38,84.71,15.18,-0.10921967992962921,-0.546098399648146,19.22691958095068,-1.7496992724726599
39,22.44,15.17,13.86,84.84,39,84.84,15.17,-0.1089937299698644,-0.5449686498493219,19.262978045605273,-1.7460795541172276
40,22.44,15.13,13.91,85.2,40,85.2,15.13,-0.10836778433323156,-0.5418389216661578,19.37961152320364,-1.7360519050183696
41,22.44,15.17,13.85,84.78,41,84.78,15.17,-0.10909802039035699,-0.5454901019517849,19.252460359039286,-1.7477502866535188
42,22.44,15.3,13.71,83.74,42,83.74,15.3,-0.11090403687534696,-0.5545201843767348,18.900719489282874,-1.7766826707430583
43,22.44,15.19,13.84,84.68,43,84.68,15.19,-0.10927181553005,-0.5463590776502499,19.208415798094368,-1.7505344847914008
44,22.44,15.19,13.8,84.52,44,84.52,15.19,-0.10954982878675563,-0.5477491439337782,19.180416820140348,-1.7549882571638251
45,22.44,15.15,13.89,85.06,45,85.06,15.15,-0.10861124825014908,-0.5430562412507454,19.3282339039,-1.7399521969673881
46,22.44,15.18,13.85,84.75,46,84.75,15.18,-0.10915016186634026,-0.5457508093317013,19.233925640127993,-1.7485855930987708
47,22.44,15.07,13.89,85.34,47,85.34,15.07,-0.10812427045647055,-0.5406213522823528,19.485157594585605,-1.7321508127126581
48,22.44,14.98,14.01,86.15,48,86.15,14.98,-0.1067144621099399,-0.5335723105496994,19.751876442205717,-1.7095656830012371
49,22.44,15.24,13.8,84.33,49,84.33,15.24,-0.10987987262748251,-0.5493993631374126,19.081412948977317,-1.7602755594922699
50,22.44,15.26,13.71,83.86,50,83.86,15.26,-0.11069582242240411,-0.5534791121120205,18.973452608522162,-1.7733470752069138
51,22.44,15.2,13.82,84.54,51,84.54,15.2,-0.10951508115787117,-0.5475754057893558,19.170701843678994,-1.7544316001490963
52,22.44,14.93,14.1,86.72,52,86.72,14.93,-0.10572155364244383,-0.5286077682122191,19.923010724346973,-1.6936592893519502
53,22.44,15.06,13.95,85.63,53,85.63,15.06,-0.10761969620339217,-0.5380984810169608,19.549985358878725,-1.7240675331783424
54,22.44,15.11,13.91,85.26,54,85.26,15.11,-0.10826342727595427,-0.5413171363797713,19.417044167673524,-1.7343801049607874
55,22.44,15.12,13.91,85.22,55,85.22,15.12,-0.10833299966141036,-0.5416649983070517,19.396554655792798,-1.7354946545757939
56,22.44,15.03,14.01,85.98,56,85.98,15.03,-0.10701046850307777,-0.5350523425153888,19.652902229127843,-1.7143077054193059
57,22.44,15.3,13.74,83.84,57,83.84,15.3,-0.11073052811402867,-0.5536526405701433,18.918062220309064,-1.7739030603867392
58,22.44,15.24,13.77,84.21,58,84.21,15.24,-0.11008826562043164,-0.5504413281021582,19.060497579262965,-1.763614015239315
59,22.44,15.07,13.97,85.67,59,85.67,15.07,-0.10755008414395076,-0.5377504207197538,19.543466745069193,-1.722952347986091
60,22.44,14.96,14.06,86.45,60,86.45,14.96,-0.10619195531093018,-0.5309597765546509,19.833013252194878,-1.7011951240811014
61,22.44,15.07,13.92,85.48,61,85.48,15.07,-0.10788070807376536,-0.5394035403688268,19.509891579558136,-1.728248943341721
62,22.44,14.79,14.24,87.84,62,87.84,14.79,-0.10376901826699346,-0.5188450913349673,20.3229218513175,-1.662379672637235
63,22.44,14.85,14.14,87.22,63,87.22,14.85,-0.1048501117712881,-0.5242505588564405,20.125371319925456,-1.6796987905760352
64,22.44,15.11,13.9,85.22,64,85.22,15.11,-0.10833299966141036,-0.5416649983070517,19.40999861521549,-1.7354946545757939
65,22.44,14.94,14.1,86.7,65,86.7,14.94,-0.10575640269595675,-0.5287820134797837,19.90546673096551,-1.6942175711892271
66,22.44,14.83,14.2,87.51,66,87.51,14.83,-0.1043445019893332,-0.521722509946666,20.20603549852886,-1.6715989218691178
67,22.44,14.93,14.11,86.78,67,86.78,14.93,-0.10561700231596678,-0.5280850115798339,19.933732331595234,-1.6919843771017877
68,22.44,14.81,14.18,87.52,68,87.52,14.81,-0.10432706510979171,-0.5216353255489585,20.23644116573593,-1.6713195830588632
69,22.44,14.86,14.15,87.17,69,87.17,14.86,-0.10493727367460687,-0.5246863683730343,20.102194846051702,-1.681095124267202
70,22.44,15.01,14.03,86.16,70,86.16,15.01,-0.10669704810289851,-0.5334852405144925,19.712296315508997,-1.7092867106084342
71,22.44,14.9,14.12,86.92,71,86.92,14.9,-0.10537302546452021,-0.526865127322601,20.000863261433953,-1.6880758679416137
72,22.44,14.8,14.23,87.76,72,87.76,14.8,-0.10390854167953534,-0.5195427083976767,20.29408817523696,-1.664614837706156
73,22.44,15.07,13.97,85.68,73,85.68,15.07,-0.10753268055279326,-0.5376634027639663,19.545234095829095,-1.722673542455748
74,22.44,15.07,13.97,85.64,74,85.64,15.07,-0.10760229353537032,-0.5380114676768516,19.538164833138236,-1.7237887424366325
75,22.44,14.98,14.06,86.37,75,86.37,14.98,-0.10633130764712669,-0.5316565382356334,19.791031050928027,-1.7034275485069694
76,22.44,15.1,13.94,85.45,76,85.45,15.1,-0.10793290402346095,-0.5396645201173047,19.464006726134002,-1.7290851224558443
77,22.44,15.04,14.0,85.88,77,85.88,15.04,-0.10718456124848584,-0.5359228062424292,19.621498274629204,-1.7170966712007432
78,22.44,15.13,13.88,85.06,78,85.06,15.13,-0.10861124825014908,-0.5430562412507454,19.354990213507033,-1.7399521969673881
79,22.44,15.16,13.87,84.92,79,84.92,15.16,-0.10885466075362223,-0.5442733037681111,19.29031831310811,-1.743851665273028
80,22.44,15.09,13.95,85.49,80,85.49,15.09,-0.10786330894303997,-0.5393165447151999,19.484573722030333,-1.7279702092675002
81,22.44,15.19,13.84,84.68,81,84.68,15.19,-0.10927181553005,-0.5463590776502499,19.208415798094368,-1.7505344847914008
82,22.44,14.96,14.08,86.54,82,86.54,14.96,-0.10603516951698554,-0.5301758475849276,19.849057657028784,-1.6986834156621082
83,22.44,14.99,14.0,86.09,83,86.09,14.99,-0.10681894183840429,-0.5340947091920214,19.727402563202354,-1.7112394482512367
84,22.44,14.97,14.07,86.44,84,86.44,14.97,-0.10620937501868842,-0.5310468750934421,19.81735131304345,-1.7014741877993884
85,22.44,14.84,14.2,87.46,85,87.46,14.84,-0.10443168439130122,-0.5221584219565061,20.182767285038146,-1.6729955839486457
86,22.44,14.88,14.16,87.18,86,87.18,14.88,-0.10491984159261494,-0.5245992079630747,20.075673283017583,-1.6808158623136913
87,22.44,15.04,13.97,85.8,87,85.8,15.04,-0.1073238197127632,-0.536619098563816,19.607326900520167,-1.7193275917984663
88,22.44,15.03,13.99,85.88,88,85.88,15.03,-0.10718456124848584,-0.5359228062424292,19.63517366282807,-1.7170966712007432
89,22.44,15.04,13.99,85.85,89,85.85,15.04,-0.10723678482857912,-0.5361839241428956,19.6161838408197,-1.7179332929538376
90,22.44,15.0,14.01,86.12,90,86.12,15.0,-0.10676670290173707,-0.5338335145086853,19.71895556230528,-1.7104025804858278
91,22.44,15.08,13.95,85.55,91,85.55,15.08,-0.10775890914710662,-0.5387945457355331,19.508701245317738,-1.726297724536648
92,22.44,15.04,13.98,85.82,92,85.82,15.04,-0.10728900642466682,-0.536445032123334,19.610869608908768,-1.7187698829231624
