FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,23.74,15.13,13.91,85.2,0,85.2,15.13,-0.10836778433323156,-0.5418389216661578,19.37961152320364,-1.7360519050183696
1,23.74,15.13,13.91,85.2,1,85.2,15.13,-0.10836778433323156,-0.5418389216661578,19.37961152320364,-1.7360519050183696
2,23.74,14.77,14.27,88.04,2,88.04,14.77,-0.10342017818365529,-0.5171008909182764,20.387950357027172,-1.6567912545021577
3,23.74,14.95,14.09,86.61,3,86.61,14.95,-0.10591321469563403,-0.5295660734781701,19.875457672432525,-1.696729699424057
4,23.74,14.6,14.43,89.34,4,89.34,14.6,-0.10115189183157523,-0.5057594591578761,20.875074582092925,-1.6204533071418352
5,23.74,14.58,14.46,89.54,5,89.54,14.58,-0.10080284283103964,-0.5040142141551982,20.941806723841147,-1.614861542153255
6,23.74,14.56,14.48,89.67,6,89.67,14.56,-0.10057595546879966,-0.5028797773439982,20.9958695015446,-1.6112268066101705
7,23.74,14.48,14.56,90.32,7,90.32,14.48,-0.0994414975429172,-0.49720748771458595,21.237713696695973,-1.5930527906375336
8,23.74,14.54,14.49,89.81,8,89.81,14.54,-0.10033161195010593,-0.5016580597505296,21.051928594026297,-1.6073124234406968
9,23.74,14.56,14.47,89.65,9,89.65,14.56,-0.10061086143906783,-0.5030543071953392,20.992194512411274,-1.6117860002538666
10,23.74,14.33,14.71,91.51,10,91.51,14.33,-0.09736485789745852,-0.4868242894872926,21.693400295437183,-1.5597850235172854
11,23.74,14.47,14.57,90.38,11,90.38,14.47,-0.0993367797464183,-0.49668389873209146,21.264210940521146,-1.5913752115376212
12,23.74,14.43,14.6,90.67,12,90.67,14.43,-0.0988306560514754,-0.4941532802573769,21.379857834796315,-1.5832671099446358
13,23.74,14.32,14.72,91.56,13,91.56,14.32,-0.09727762275338246,-0.48638811376691227,21.71864920865452,-1.558387516509187
14,23.74,14.41,14.63,90.88,14,90.88,14.41,-0.09846417064250473,-0.4923208532125236,21.450005636217178,-1.5773960136929257
15,23.74,14.23,14.81,92.31,15,92.31,14.23,-0.09596938157589456,-0.47984690787947276,22.0039810973245,-1.5374294928458307
16,23.74,14.14,14.9,92.99,16,92.99,14.14,-0.0947838338287185,-0.47391916914359244,22.27980332593846,-1.5184370179360702
17,23.74,14.1,14.93,93.28,17,93.28,14.1,-0.0942784463575562,-0.47139223178778095,22.401233241113417,-1.5103407106480502
18,23.74,14.13,14.91,93.07,18,93.07,14.13,-0.09464440269823148,-0.47322201349115733,22.311514769857425,-1.5162033312256682
19,23.74,14.24,14.8,92.23,19,92.23,14.24,-0.09610889833589714,-0.4805444916794857,21.97272046893324,-1.5396645513410723
20,23.74,14.19,14.85,92.6,20,92.6,14.19,-0.09546370118707465,-0.4773185059353732,22.12381934594361,-1.5293284930169357
21,23.74,14.34,14.69,91.39,21,91.39,14.34,-0.09757423030439222,-0.4878711515219611,21.655122283625758,-1.5631391694763632
22,23.74,14.23,14.81,92.29,22,92.29,14.23,-0.09600426003984192,-0.4800213001992096,22.00021957825776,-1.5379882458382674
23,23.74,14.21,14.83,92.47,23,92.47,14.21,-0.09569037190155974,-0.47845185950779867,22.066638227114268,-1.532959757862987
24,23.74,14.3,14.73,91.71,24,91.71,14.3,-0.09701593002613193,-0.4850796501306596,21.778616388009343,-1.5541951990186336
25,23.74,14.16,14.87,92.79,25,92.79,14.16,-0.09513245555043837,-0.4756622777521918,22.20895902365544,-1.5240219379180227
26,23.74,14.12,14.91,93.11,26,93.11,14.12,-0.09457469103137861,-0.47287345515689305,22.335692810610855,-1.5150865503226854
27,23.74,14.29,14.75,91.83,27,91.83,14.29,-0.09680659048402934,-0.4840329524201467,21.81709388087217,-1.55084157955415
28,23.74,14.13,14.9,93.03,28,93.03,14.13,-0.09471411697533738,-0.4735705848766869,22.303940439555475,-1.5173201539449048
29,23.74,14.11,14.93,93.23,29,93.23,14.11,-0.09436557203209815,-0.4718278601604907,22.37507570241751,-1.5117364639542124
30,23.74,14.12,14.92,93.14,30,93.14,14.12,-0.09452240901465664,-0.47261204507328314,22.341377383124748,-1.5142489924147993
31,23.74,14.13,14.9,93.04,31,93.04,14.13,-0.09469668816320781,-0.473483440816039,22.305834048516516,-1.5170409443745891
32,23.74,14.09,14.95,93.4,32,93.4,14.09,-0.09406936264240384,-0.47034681321201915,22.440719767173203,-1.5069911895313095
33,23.74,14.04,15.0,93.79,33,93.79,14.04,-0.09339002498175542,-0.4669501249087771,22.59899612433356,-1.4961082002077217
34,23.74,14.22,14.82,92.37,34,92.37,14.22,-0.09586474914776329,-0.4793237457388164,22.03152291111148,-1.5357532813471677
35,23.74,14.36,14.68,91.28,35,91.28,14.36,-0.09776616438064262,-0.4888308219032131,21.60296228675029,-1.5662139533778947
36,23.74,14.08,14.95,93.42,36,93.42,14.08,-0.09403451786098294,-0.4701725893049147,22.46126378950289,-1.5064329761329467
37,23.74,14.08,14.96,93.47,37,93.47,14.08,-0.09394740909680006,-0.4697370454840003,22.470763308113337,-1.505037493730737
38,23.74,14.07,14.96,93.52,38,93.52,14.07,-0.09386030494192847,-0.4693015247096423,22.497048371193316,-1.503642085169694
39,23.74,14.07,14.97,93.54,39,93.54,14.07,-0.09382546458544581,-0.46912732292722903,22.500850672272875,-1.5030839426588418
40,23.74,13.96,15.07,94.36,40,94.36,13.96,-0.09239770646462969,-0.46198853232314846,22.844301711978456,-1.4802112575633677
41,23.74,14.04,15.0,93.8,41,93.8,14.04,-0.09337260995999999,-0.46686304979999993,22.60090097916509,-1.4958292115591998
42,23.74,14.05,14.98,93.68,42,93.68,14.05,-0.09358160339354193,-0.4679080169677097,22.561157182529275,-1.4991772863645418
43,23.74,13.94,15.1,94.57,43,94.57,13.94,-0.09203229988410906,-0.4601614994205453,22.919019883552533,-1.474357444143427
44,23.74,13.89,15.14,94.94,44,94.94,13.89,-0.09138875174985094,-0.45694375874925464,23.07693947708978,-1.4640478030326118
45,23.74,14.0,15.04,94.1,45,94.1,14.0,-0.09285025556673142,-0.46425127783365705,22.726065542541775,-1.4874610941790374
46,23.74,14.22,14.82,92.37,46,92.37,14.22,-0.09586474914776329,-0.4793237457388164,22.03152291111148,-1.5357532813471677
47,23.74,14.07,14.97,93.56,47,93.56,14.07,-0.09379062498131158,-0.4689531249065579,22.504652891244923,-1.5025258122006113
48,23.74,13.99,15.04,94.16,48,94.16,13.99,-0.09274580775157293,-0.46372903875786464,22.75460404144844,-1.4857878401801983
49,23.74,14.3,14.74,91.71,49,91.71,14.3,-0.09701593002613193,-0.4850796501306596,21.778616388009343,-1.5541951990186336
50,23.74,13.92,15.11,94.7,50,94.7,13.92,-0.09180614913699592,-0.4590307456849796,22.97859366890795,-1.4707345091746746
51,23.74,13.92,15.12,94.72,51,94.72,13.92,-0.09177136042920346,-0.45885680214601726,22.98243333841459,-1.4701771940758395
52,23.74,13.9,15.13,94.87,52,94.87,13.9,-0.09151047737247212,-0.45755238686236055,23.04603213910274,-1.4659978475070032
53,23.74,13.77,15.26,95.86,53,95.86,13.77,-0.08979019217757626,-0.4489509608878813,23.466894187137257,-1.4384388786847717
54,23.74,14.05,14.99,93.7,54,93.7,14.05,-0.09354676917470423,-0.46773384587352107,22.564964499606862,-1.4986192421787616
55,23.74,13.97,15.07,94.33,55,94.33,13.97,-0.09244991585604928,-0.46224957928024635,22.82137543521437,-1.4810476520139095
56,23.74,14.21,14.83,92.44,56,92.44,14.21,-0.09574268372116206,-0.47871341860581024,22.060988243758562,-1.533797793213016
57,23.74,13.8,15.24,95.69,57,95.69,13.8,-0.0900853921727567,-0.4504269608637835,23.38037036666907,-1.4431679826075623
58,23.74,14.18,14.85,92.65,58,92.65,14.18,-0.09537652629756699,-0.47688263148783494,22.14964158692547,-1.527931951287023
59,23.74,13.93,15.11,94.66,59,94.66,13.93,-0.09187572954352945,-0.4593786477176472,22.953581298382932,-1.4718491872873416
60,23.74,14.18,14.85,92.65,60,92.65,14.18,-0.09537652629756699,-0.47688263148783494,22.14964158692547,-1.527931951287023
61,23.74,14.0,15.03,94.06,61,94.06,14.0,-0.09291989180644747,-0.4645994590322373,22.718425862597915,-1.4885766667392883
62,23.74,13.68,15.36,96.63,62,96.63,13.68,-0.08845427365224545,-0.4422713682612272,23.77947688507368,-1.417037463908972
63,23.74,13.8,15.24,95.68,63,95.68,13.8,-0.09010275962189351,-0.4505137981094675,23.378435973453914,-1.443446209142734
64,23.74,14.12,14.92,93.15,64,93.15,14.12,-0.09450498200875543,-0.4725249100437771,22.34327220442195,-1.513969811780262
65,23.74,13.99,15.04,94.15,65,94.15,13.99,-0.09276321517142089,-0.4638160758571044,22.752692866857828,-1.4860667070461626
66,23.74,13.74,15.3,96.15,66,96.15,13.74,-0.08928682456861263,-0.4464341228430631,23.57710708538597,-1.4303749295891743
67,23.74,14.08,14.95,93.44,67,93.44,14.08,-0.09399967380643794,-0.46999836903218967,22.465063656803483,-1.5058747743791356
68,23.74,14.04,15.0,93.76,68,93.76,14.04,-0.09344227125300786,-0.46721135626503923,22.593281427928215,-1.496945185473186
69,23.74,13.88,15.15,95.02,69,95.02,13.88,-0.0912496525019783,-0.4562482625098915,23.10981692686671,-1.4618194330816925
70,23.74,13.95,15.08,94.45,70,94.45,13.95,-0.0922410908528934,-0.461205454264467,22.878759862348502,-1.4777022754633524
71,23.74,13.79,15.24,95.71,71,95.71,13.79,-0.09005065818106078,-0.45025329090530386,23.402071166911455,-1.4426115440605938
72,23.74,13.67,15.37,96.71,72,96.71,13.67,-0.08831559236998579,-0.4415779618499289,23.81337795829976,-1.4148157897671723
73,23.74,13.91,15.12,94.78,73,94.78,13.91,-0.09166700033858965,-0.4583350016929483,23.011327926024308,-1.4685053454242063
74,23.74,13.8,15.24,95.66,74,95.66,13.8,-0.09013749542409963,-0.4506874771204981,23.374567086343255,-1.4440026766940761
75,23.74,13.91,15.13,94.82,75,94.82,13.91,-0.0915974320145364,-0.457987160072682,23.019012064018074,-1.4673908608728732
76,23.74,13.7,15.33,96.43,76,96.43,13.7,-0.08880107474316687,-0.4440053737158343,23.70403723586176,-1.4225932173855331
77,23.74,13.74,15.3,96.15,77,96.15,13.74,-0.08928682456861263,-0.4464341228430631,23.57710708538597,-1.4303749295891743
78,23.74,13.79,15.24,95.7,78,95.7,13.79,-0.0900680250256361,-0.4503401251281805,23.40013536597407,-1.4428897609106903
79,23.74,13.89,15.14,94.94,79,94.94,13.89,-0.09138875174985094,-0.45694375874925464,23.07693947708978,-1.4640478030326118
80,23.74,13.82,15.22,95.51,80,95.51,13.82,-0.09039805195302388,-0.45199025976511936,23.31002205537943,-1.4481767922874424
81,23.74,13.67,15.37,96.71,81,96.71,13.67,-0.08831559236998579,-0.4415779618499289,23.81337795829976,-1.4148157897671723
82,23.74,13.81,15.22,95.57,82,95.57,13.81,-0.09029382134415653,-0.45146910672078266,23.33937104166339,-1.4465070179333877
83,23.74,13.84,15.2,95.35,83,95.35,13.84,-0.09067605141144999,-0.45338025705724994,23.243736003805584,-1.452630343611429
84,23.74,13.69,15.34,96.49,84,96.49,13.69,-0.08869701989577639,-0.4434850994788819,23.733939074487136,-1.4209262587303377
85,23.74,13.82,15.21,95.46,85,95.46,13.82,-0.09048491884212886,-0.4524245942106443,23.3003615101422,-1.4495683998509044
86,23.74,13.76,15.27,95.95,86,95.95,13.76,-0.0896339460501545,-0.44816973025077245,23.502286125738188,-1.435935815723475
87,23.74,13.56,15.47,97.53,87,97.53,13.56,-0.08689547063804277,-0.43447735319021386,24.17780325109509,-1.3920654396214451
88,23.74,13.68,15.35,96.56,88,96.56,13.68,-0.08857563824786595,-0.4428781912393297,23.765834507862618,-1.4189817247308125
89,23.74,13.79,15.24,95.71,89,95.71,13.79,-0.09005065818106078,-0.45025329090530386,23.402071166911455,-1.4426115440605938
90,23.74,13.75,15.29,96.06,90,96.06,13.75,-0.0894430133343392,-0.44721506667169597,23.54161032126169,-1.4328770736161138
91,23.74,13.81,15.22,95.56,91,95.56,13.81,-0.09031119237622008,-0.45155596188110037,23.337437722553258,-1.4467853018670456
92,23.74,13.72,15.31,96.29,92,96.29,13.72,-0.08904391694925129,-0.4452195847462564,23.640478650951803,-1.4264835495270056
93,23.74,13.77,15.26,95.89,93,95.89,13.77,-0.08973810731698673,-0.44869053658493363,23.472708710849865,-1.4376044792181273
94,23.74,13.85,15.19,95.27,94,95.27,13.85,-0.09081507854243788,-0.4540753927121894,23.210665318767322,-1.4548575582498549
95,23.74,13.75,15.29,96.06,95,96.06,13.75,-0.0894430133343392,-0.44721506667169597,23.54161032126169,-1.4328770736161138
96,23.74,13.94,15.1,94.57,96,94.57,13.94,-0.09203229988410906,-0.4601614994205453,22.919019883552533,-1.474357444143427
97,23.74,14.01,15.02,93.97,97,93.97,14.01,-0.0930765859109372,-0.46538292955468596,22.68420828674536,-1.491086906293214
98,23.74,13.94,15.09,94.53,98,94.53,13.94,-0.09210189303556937,-0.46050946517784686,22.911350390543813,-1.4754723264298213
99,23.74,13.69,15.35,96.53,99,96.53,13.69,-0.08862765687664145,-0.44313828438320724,23.741730056277166,-1.419815063163796
100,23.74,13.85,15.19,95.3,100,95.3,13.85,-0.09076294125534384,-0.4538147062767192,23.216450349126756,-1.4540223189106083
101,23.74,13.75,15.28,96.03,101,96.03,13.75,-0.08949508206379551,-0.44747541031897753,23.535788706134138,-1.4337112146620041
102,23.74,13.89,15.15,94.96,102,94.96,13.89,-0.09135397535340772,-0.4567698767670386,23.080786502610618,-1.4634906851615916
103,23.74,13.8,15.23,95.65,103,95.65,13.8,-0.09015486377611082,-0.4507743188805541,23.3726325925656,-1.4442809176932951
104,23.74,13.77,15.27,95.91,104,95.91,13.77,-0.0897033856386879,-0.44851692819343947,23.47658488560631,-1.4370482379317802
105,23.74,13.65,15.39,96.86,105,96.86,13.65,-0.0880556265757272,-0.440278132878636,23.879376613674555,-1.4106511377431497
106,23.74,13.65,15.39,96.85,106,96.85,13.65,-0.08807295510146085,-0.44036477550730424,23.87742424105212,-1.4109287407254028
107,23.74,13.61,15.42,97.11,107,97.11,13.61,-0.08762253305470569,-0.4381126652735284,24.002171258982834,-1.403712979536385
108,23.74,13.73,15.31,96.22,108,96.22,13.73,-0.08916536267290577,-0.44582681336452884,23.60876953412161,-1.4284291100199504
109,23.74,13.7,15.33,96.41,109,96.41,13.7,-0.08883576242704239,-0.4441788121352119,23.70014404299058,-1.423148914081219
110,23.74,13.71,15.33,96.39,110,96.39,13.71,-0.08887045147124635,-0.44435225735623174,23.678070345280158,-1.4237046325693665
111,23.74,13.86,15.17,95.16,111,95.16,13.86,-0.09100627003013562,-0.4550313501506781,23.17186109702673,-1.4579204458827726
112,23.74,13.97,15.06,94.3,112,94.3,13.97,-0.09250212731736723,-0.46251063658683617,22.81563447218045,-1.481884079624223
113,23.74,13.75,15.28,96.01,113,96.01,13.75,-0.08952979615097138,-0.4476489807548569,23.531907450394804,-1.4342673343385615
114,23.74,13.69,15.34,96.51,114,96.51,13.69,-0.08866233769547903,-0.4433116884773951,23.737834642966202,-1.420370649881574
115,23.74,13.94,15.09,94.53,115,94.53,13.94,-0.09210189303556937,-0.46050946517784686,22.911350390543813,-1.4754723264298213
116,23.74,13.93,15.1,94.62,116,94.62,13.93,-0.09194531390973369,-0.4597265695486684,22.945906987245348,-1.4729639288339338
117,23.74,13.56,15.48,97.56,117,97.56,13.56,-0.08684356409077176,-0.43421782045385876,24.183692315448248,-1.3912338967341635
118,23.74,13.7,15.34,96.46,118,96.46,13.7,-0.08874904577721518,-0.44374522888607587,23.70987673786094,-1.4217597133509872
119,23.74,13.61,15.42,97.11,119,97.11,13.61,-0.08762253305470569,-0.4381126652735284,24.002171258982834,-1.403712979536385
120,23.74,13.57,15.46,97.47,120,97.47,13.57,-0.0869992944963965,-0.4349964724819825,24.147282815222205,-1.3937286978322718
121,23.74,13.54,15.49,97.71,121,97.71,13.54,-0.0865840857426643,-0.4329204287133214,24.250774063349535,-1.387077053597482
122,23.74,13.46,15.57,98.3,122,98.3,13.46,-0.08556437989990268,-0.4278218994995134,24.519114983895616,-1.370741365996441
123,23.74,13.8,15.23,95.63,123,95.63,13.8,-0.09018960137930415,-0.4509480068965207,23.368763504860283,-1.4448374140964524
124,23.74,13.55,15.48,97.6,124,97.6,13.55,-0.08677436097428777,-0.43387180487143884,24.21033371281891,-1.39012526280809
125,23.74,13.52,15.52,97.88,125,97.88,13.52,-0.0862901215357546,-0.43145060767877297,24.321989200606758,-1.3823677470027886
126,23.74,13.62,15.42,97.11,126,97.11,13.62,-0.08762253305470569,-0.4381126652735284,23.983628787509392,-1.403712979536385
127,23.74,13.72,15.31,96.25,127,96.25,13.72,-0.08911331251480355,-0.4455665625740177,23.63270194045271,-1.4275952664871527
128,23.74,13.69,15.35,96.55,128,96.55,13.69,-0.0885929774434894,-0.442964887217447,23.745625313945386,-1.4192594986447002
129,23.74,13.68,15.36,96.64,129,96.64,13.68,-0.08843693725545784,-0.4421846862772892,23.781425638441565,-1.4167597348324346
130,23.74,13.59,15.45,97.33,130,97.33,13.59,-0.0872416054124459,-0.43620802706222944,24.082459940396745,-1.3976105187073833
131,23.74,13.36,15.67,99.09,131,99.09,13.36,-0.08420142713736012,-0.42100713568680054,24.869472278343167,-1.348906862740509
132,23.74,13.56,15.47,97.54,132,97.54,13.56,-0.08687816805572954,-0.43439084027864766,24.179766317915664,-1.3917882522527871
133,23.74,13.54,15.49,97.69,133,97.69,13.54,-0.08661867758182258,-0.4330933879091129,24.246843340194317,-1.3876312148607977
134,23.74,13.57,15.46,97.45,134,97.45,13.57,-0.08703390562299683,-0.4351695281149841,24.143359050460035,-1.394283168080409
135,23.74,13.6,15.43,97.19,135,97.19,13.6,-0.08748399250247049,-0.43741996251235243,24.03641184482157,-1.4014935598895772
136,23.74,13.59,15.45,97.34,136,97.34,13.59,-0.08722429494655562,-0.43612147473277807,24.084419339470802,-1.397333205043821
137,23.74,13.36,15.67,99.09,137,99.09,13.36,-0.08420142713736012,-0.42100713568680054,24.869472278343167,-1.348906862740509
138,23.74,13.51,15.52,97.94,138,97.94,13.51,-0.08618639814571996,-0.4309319907285998,24.352752844685302,-1.3807060982944337
139,23.74,13.38,15.66,98.98,139,98.98,13.38,-0.08439103127538392,-0.42195515637691955,24.808508860735596,-1.3519443210316502
140,23.74,13.42,15.61,98.65,140,98.65,13.42,-0.08496018608871729,-0.4248009304435864,24.66536793230621,-1.3610621811412509
141,23.74,13.53,15.5,97.77,141,97.77,13.53,-0.0864803200501787,-0.43240160025089347,24.281439402368964,-1.3854147272038626
142,23.74,13.48,15.55,98.18,142,98.18,13.48,-0.08577165720586699,-0.4288582860293349,24.45715567798648,-1.3740619484379892
143,23.74,13.54,15.49,97.68,143,97.68,13.54,-0.08663597411309276,-0.4331798705654638,24.244877909109324,-1.387908305291746
144,23.74,13.51,15.52,97.95,144,97.95,13.51,-0.08616911238372811,-0.43084556191864054,24.354721643142792,-1.3804291803873243
145,23.74,13.33,15.7,99.32,145,99.32,13.33,-0.08380517111192338,-0.4190258555596169,24.97419865805119,-1.3425588412130125
146,23.74,13.48,15.55,98.18,146,98.18,13.48,-0.08577165720586699,-0.4288582860293349,24.45715567798648,-1.3740619484379892
147,23.74,13.59,15.45,97.34,147,97.34,13.59,-0.08722429494655562,-0.43612147473277807,24.084419339470802,-1.397333205043821
148,23.74,13.58,15.46,97.42,148,97.42,13.58,-0.087085825273853,-0.435429126369265,24.118768557002323,-1.395114920887125
149,23.74,13.62,15.41,97.04,149,97.04,13.62,-0.0877437758416993,-0.4387188792084965,23.969936930090416,-1.4056552889840228
150,23.74,13.38,15.65,98.97,150,98.97,13.38,-0.08440827087856455,-0.4220413543928227,24.806525228742956,-1.352220499474604
151,23.74,13.4,15.63,98.81,151,98.81,13.4,-0.08468416876567664,-0.42342084382838313,24.73584267110605,-1.3566403836261396
152,23.74,13.41,15.62,98.68,152,98.68,13.41,-0.08490842384203226,-0.4245421192101613,24.690677319135652,-1.3602329499493568
