FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,23.1,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,23.1,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,23.1,15.06,13.97,85.69,2,85.69,15.06,-0.10751527673217726,-0.5375763836608862,19.56059662777241,-1.7223947332494796
3,23.1,15.35,13.69,83.45,3,83.45,15.35,-0.11140702255651064,-0.5570351127825531,18.78618252274019,-1.7847405013553004
4,23.1,15.4,13.63,83.03,4,83.03,15.4,-0.11213496307735837,-0.5606748153867919,18.650090830005198,-1.7964021084992812
5,23.1,15.46,13.58,82.59,5,82.59,15.46,-0.11289686738838217,-0.5644843369419108,18.499031784174964,-1.8086078155618823
6,23.1,15.48,13.56,82.44,6,82.44,15.48,-0.11315643590922826,-0.5657821795461413,18.448397778844374,-1.8127661032658366
7,23.1,15.43,13.61,82.81,7,82.81,15.43,-0.11251600749752953,-0.5625800374876476,18.57439866077276,-1.8025064401104232
8,23.1,15.39,13.64,83.1,8,83.1,15.39,-0.11201368388346472,-0.5600684194173235,18.674820326130362,-1.7944592158131047
9,23.1,15.4,13.64,83.03,9,83.03,15.4,-0.11213496307735837,-0.5606748153867919,18.650090830005198,-1.7964021084992812
10,23.1,15.41,13.62,82.95,10,82.95,15.41,-0.11227354568070147,-0.5613677284035073,18.623678274740392,-1.7986222018048375
11,23.1,15.63,13.41,81.28,11,81.28,15.63,-0.1151605860484089,-0.5758029302420444,18.06734877536458,-1.8448725884955104
12,23.1,15.68,13.36,80.87,12,80.87,15.68,-0.1158675054211118,-0.579337527105559,17.938238243212975,-1.8561974368462109
13,23.1,15.66,13.38,81.0,13,81.0,15.66,-0.1156434465040231,-0.5782172325201155,17.984052022280853,-1.85260801299445
14,23.1,15.71,13.33,80.6,14,80.6,15.71,-0.11633259622416224,-0.5816629811208112,17.857203668266518,-1.863648191511079
15,23.1,15.65,13.39,81.1,15,81.1,15.65,-0.11547103862994684,-0.5773551931497342,18.012898658219036,-1.8498460388517484
16,23.1,15.64,13.4,81.21,16,81.21,15.64,-0.11528133555646275,-0.5764066777823137,18.043473249254653,-1.8468069956145332
17,23.1,15.52,13.52,82.14,17,82.14,15.52,-0.11367530065426908,-0.5683765032713454,18.347565732307284,-1.8210783164813906
18,23.1,15.56,13.48,81.82,18,81.82,15.56,-0.11422834279413302,-0.571141713970665,18.24391898881826,-1.829938051562011
19,23.1,15.62,13.42,81.36,19,81.36,15.62,-0.11502255891207572,-0.5751127945603786,18.09294619467671,-1.8426613937714529
20,23.1,15.59,13.45,81.61,20,81.61,15.59,-0.11459103657442256,-0.5729551828721128,18.17165369858053,-1.8357484059222493
21,23.1,15.58,13.46,81.66,21,81.66,15.58,-0.11450469850882337,-0.5725234925441168,18.192320383990328,-1.8343652701113504
22,23.1,15.56,13.48,81.77,22,81.77,15.56,-0.11431471597531857,-0.5715735798765929,18.23543661134445,-1.8313217499246035
23,23.1,15.61,13.43,81.45,23,81.45,15.61,-0.11486724338969229,-0.5743362169484614,18.120270020873182,-1.8401732391028705
24,23.1,15.37,13.67,83.31,24,83.31,15.37,-0.111649739434453,-0.558248697172265,18.736455324911446,-1.788628825739937
25,23.1,15.66,13.38,81.05,25,81.05,15.66,-0.11555724849074572,-0.5777862424537286,17.992460671312315,-1.8512271208217463
26,23.1,15.6,13.44,81.49,26,81.49,15.6,-0.11479820247091695,-0.5739910123545847,18.139180478087667,-1.8390672035840894
27,23.1,15.62,13.42,81.36,27,81.36,15.62,-0.11502255891207572,-0.5751127945603786,18.09294619467671,-1.8426613937714529
28,23.1,15.39,13.65,83.11,28,83.11,15.39,-0.11199635681628382,-0.5599817840814191,18.676541620919615,-1.7941816361968668
29,23.1,15.52,13.52,82.16,29,82.16,15.52,-0.11364072117799884,-0.5682036058899942,18.350970805365687,-1.8205243532715414
30,23.1,15.36,13.68,83.39,30,83.39,15.36,-0.11151105249959872,-0.5575552624979936,18.763026955666074,-1.7864070610435714
31,23.1,15.54,13.5,82.0,31,82.0,15.54,-0.11391731009600654,-0.5695865504800327,18.29906647420544,-1.8249553077380247
32,23.1,15.66,13.38,81.03,32,81.03,15.66,-0.11559172912143548,-0.5779586456071774,17.989097072653486,-1.8517795005253963
33,23.1,15.4,13.64,83.05,33,83.05,15.4,-0.11210031371944738,-0.5605015685972369,18.653530606148895,-1.795847025785547
34,23.1,15.45,13.59,82.69,34,82.69,15.45,-0.11272377249037213,-0.5636188624518607,18.52868522871352,-1.8058348352957616
35,23.1,15.39,13.65,83.17,35,83.17,15.39,-0.11189238675764408,-0.5594619337882204,18.686870150168474,-1.7925160358574581
36,23.1,15.52,13.52,82.1,36,82.1,15.52,-0.11374445460371468,-0.5687222730185734,18.340756078849868,-1.8221861627515092
37,23.1,15.61,13.43,81.4,37,81.4,15.61,-0.11495353434437094,-0.5747676717218547,18.111824106558693,-1.8415556201968224
38,23.1,15.63,13.41,81.24,38,81.24,15.63,-0.11522958854976457,-0.5761479427488229,18.060604043644688,-1.8459780085672284
39,23.1,15.6,13.44,81.49,39,81.49,15.6,-0.11479820247091695,-0.5739910123545847,18.139180478087667,-1.8390672035840894
40,23.1,15.62,13.42,81.35,40,81.35,15.62,-0.11503981391128273,-0.5751990695564136,18.091258454969612,-1.8429378188587493
41,23.1,15.5,13.54,82.26,41,82.26,15.5,-0.11346779894971526,-0.5673389947485763,18.39279320164745,-1.8177541391744385
42,23.1,15.61,13.43,81.43,42,81.43,15.61,-0.11490176113389027,-0.5745088056694513,18.11689152180672,-1.840726213364922
43,23.1,15.58,13.46,81.62,43,81.62,15.58,-0.11457376984813555,-0.5728688492406777,18.185546261282006,-1.8354717929671316
44,23.1,15.58,13.46,81.67,44,81.67,15.58,-0.11448742956808429,-0.5724371478404214,18.194014023128855,-1.8340886216807102
45,23.1,15.44,13.6,82.75,45,82.75,15.44,-0.11261989691358298,-0.5630994845679149,18.551525787019962,-1.8041707485555993
46,23.1,15.47,13.57,82.51,46,82.51,15.47,-0.1130353150461073,-0.5651765752305364,18.472841698556326,-1.8108257470386389
47,23.1,15.53,13.51,82.08,47,82.08,15.53,-0.11377902906846382,-0.5688951453423191,18.324999853349702,-1.8227400456767904
48,23.1,15.48,13.56,82.4,48,82.4,15.48,-0.11322563902571225,-0.5661281951285613,18.441564861549924,-1.8138747371919102
49,23.1,15.68,13.36,80.88,49,80.88,15.68,-0.1158502730052093,-0.5792513650260465,17.9399170299077,-1.8559213735434528
50,23.1,15.59,13.45,81.55,50,81.55,15.59,-0.11469462757990018,-0.5734731378995008,18.161500899907544,-1.837407933830001
51,23.1,15.56,13.48,81.83,51,81.83,15.56,-0.11421106685553067,-0.5710553342776533,18.245615592213294,-1.8296612910256014
52,23.1,15.56,13.48,81.82,52,81.82,15.56,-0.11422834279413302,-0.571141713970665,18.24391898881826,-1.829938051562011
53,23.1,15.54,13.5,81.95,53,81.95,15.54,-0.11400372197710414,-0.5700186098855207,18.290568871568777,-1.826339626073208
54,23.1,15.65,13.39,81.13,54,81.13,15.65,-0.11541930705396829,-0.5770965352698414,18.017948465190326,-1.849017299004572
55,23.1,15.49,13.55,82.35,55,82.35,15.49,-0.11331213385265526,-0.5665606692632763,18.42057510869261,-1.8152603843195372
56,23.1,15.63,13.41,81.23,56,81.23,15.63,-0.11524683801661767,-0.5762341900830883,18.05891797395229,-1.846254345026215
57,23.1,15.55,13.49,81.88,57,81.88,15.55,-0.11412468067963669,-0.5706234033981834,18.266378369079217,-1.8282773844877798
58,23.1,15.59,13.45,81.59,58,81.59,15.59,-0.11462556869306542,-0.5731278434653271,18.16826925755965,-1.836301610462908
59,23.1,15.59,13.46,81.61,59,81.61,15.59,-0.11459103657442256,-0.5729551828721128,18.17165369858053,-1.8357484059222493
60,23.1,15.41,13.63,82.96,60,82.96,15.41,-0.11225622415830071,-0.5612811207915035,18.62539668177892,-1.7983447110159774
61,23.1,15.39,13.65,83.13,61,83.13,15.39,-0.11196170158616003,-0.5598085079308002,18.67998431935263,-1.7936264594102838
62,23.1,15.59,13.45,81.55,62,81.55,15.59,-0.11469462757990018,-0.5734731378995008,18.161500899907544,-1.837407933830001
63,23.1,15.65,13.39,81.1,63,81.1,15.65,-0.11547103862994684,-0.5773551931497342,18.012898658219036,-1.8498460388517484
64,23.1,15.52,13.52,82.12,64,82.12,15.52,-0.1137098784642454,-0.568549392321227,18.344160823330387,-1.8216322529972113
65,23.1,15.63,13.41,81.29,65,81.29,15.63,-0.11514333426721157,-0.5757166713360579,18.06903507127531,-1.8445962149607293
66,23.1,15.45,13.59,82.69,66,82.69,15.45,-0.11272377249037213,-0.5636188624518607,18.52868522871352,-1.8058348352957616
67,23.1,15.49,13.55,82.38,67,82.38,15.49,-0.11326023816880625,-0.5663011908440312,18.42569567898936,-1.814429015464276
