FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,23.24,15.12,13.92,85.29,0,85.29,15.12,-0.10821124534196475,-0.5410562267098237,19.408876100316547,-1.7335441503782751
1,23.24,15.12,13.92,85.29,1,85.29,15.12,-0.10821124534196475,-0.5410562267098237,19.408876100316547,-1.7335441503782751
2,23.24,14.34,14.7,91.41,2,91.41,14.34,-0.09753933413950183,-0.48769667069750916,21.658855408706952,-1.5625801329148192
3,23.24,14.78,14.26,87.94,3,87.94,14.78,-0.1035946037002175,-0.5179730185010875,20.35541249726765,-1.6595855512774844
4,23.24,14.83,14.21,87.55,4,87.55,14.83,-0.10427475368243222,-0.5213737684121611,20.2132386529484,-1.6704815539925641
5,23.24,15.02,14.02,86.08,5,86.08,15.02,-0.10683635440256688,-0.5341817720128343,19.684352125518767,-1.7115183975291213
6,23.24,15.32,13.7,83.62,6,83.62,15.32,-0.11111220349784937,-0.5555610174892468,18.85411494928479,-1.7800175000355467
7,23.24,15.25,13.79,84.26,7,84.26,15.25,-0.11000144053210348,-0.5500072026605174,19.056121255214507,-1.7622230773242977
8,23.24,15.44,13.6,82.72,8,82.72,15.44,-0.11267183643900547,-0.5633591821950273,18.546383525758657,-1.8050028197528676
9,23.24,15.41,13.63,82.95,9,82.95,15.41,-0.11227354568070147,-0.5613677284035073,18.623678274740392,-1.7986222018048375
10,23.24,15.29,13.75,83.94,10,83.94,15.29,-0.11055698666566083,-0.5527849333283041,18.9483714749336,-1.7711229263838864
11,23.24,15.38,13.65,83.18,11,83.18,15.38,-0.11187505714353839,-0.5593752857176919,18.701307943309846,-1.792238415439485
12,23.24,15.35,13.69,83.44,12,83.44,15.35,-0.11142436175213409,-0.5571218087606704,18.784455325374754,-1.785018275269188
13,23.24,15.42,13.62,82.88,13,82.88,15.42,-0.11239478583950019,-0.5619739291975009,18.59902084723979,-1.800564469148793
14,23.24,15.45,13.59,82.64,14,82.64,15.45,-0.11281032481718696,-0.5640516240859348,18.520121937789252,-1.807221403571335
15,23.24,15.41,13.63,82.98,15,82.98,15.41,-0.11222157999398895,-0.5611078999699447,18.628833606918633,-1.797789711503703
16,23.24,15.49,13.55,82.38,16,82.38,15.49,-0.11326023816880625,-0.5663011908440312,18.42569567898936,-1.814429015464276
17,23.24,15.55,13.49,81.9,17,81.9,15.55,-0.11409012319375827,-0.5704506159687913,18.269774409580165,-1.8277237735640075
18,23.24,15.54,13.49,81.92,18,81.92,15.54,-0.1140555639910411,-0.5702778199552054,18.285470812960103,-1.8271701351364782
19,23.24,15.72,13.32,80.53,19,80.53,15.72,-0.11645311653265505,-0.5822655826632752,17.83361696984251,-1.865578926853134
20,23.24,15.63,13.41,81.25,20,81.25,15.63,-0.11521233861899167,-0.5760616930949584,18.062290158683474,-1.8457016646762465
21,23.24,15.55,13.49,81.9,21,81.9,15.55,-0.11409012319375827,-0.5704506159687913,18.269774409580165,-1.8277237735640075
22,23.24,15.66,13.39,81.06,22,81.06,15.66,-0.11554000746428689,-0.5777000373214344,17.99414254001117,-1.850950919577876
23,23.24,15.49,13.55,82.38,23,82.38,15.49,-0.11326023816880625,-0.5663011908440312,18.42569567898936,-1.814429015464276
24,23.24,15.52,13.52,82.14,24,82.14,15.52,-0.11367530065426908,-0.5683765032713454,18.347565732307284,-1.8210783164813906
25,23.24,15.66,13.38,81.05,25,81.05,15.66,-0.11555724849074572,-0.5777862424537286,17.992460671312315,-1.8512271208217463
