FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.27,15.12,13.92,85.27,0,85.27,15.12,-0.1082460335489697,-0.5412301677448484,19.405355560226933,-1.7341014574544944
1,24.27,15.12,13.92,85.27,1,85.27,15.12,-0.1082460335489697,-0.5412301677448484,19.405355560226933,-1.7341014574544944
2,24.27,13.96,15.08,94.4,2,94.4,13.96,-0.09232809718731814,-0.4616404859365907,22.851961431463135,-1.4790961169408365
3,24.27,13.93,15.11,94.66,3,94.66,13.93,-0.09187572954352945,-0.4593786477176472,22.953581298382932,-1.4718491872873416
4,24.27,13.78,15.25,95.81,4,95.81,13.78,-0.08987700649167743,-0.4493850324583871,23.43930134657136,-1.4398296439966725
5,24.27,13.83,15.2,95.41,5,95.41,13.83,-0.09057179297738202,-0.4528589648869101,23.272993190977594,-1.45096012349766
6,24.27,13.55,15.48,97.59,6,97.59,13.55,-0.08679166115041224,-0.4339583057520612,24.208369394460295,-1.390402411629604
7,24.27,13.65,15.38,96.82,7,96.82,13.65,-0.08812494285646164,-0.44062471428230815,23.87156687781616,-1.4117615845605154
8,24.27,13.43,15.61,98.59,8,98.59,13.43,-0.08506372293764618,-0.42531861468823084,24.634164189348574,-1.3627208414610916
9,24.27,13.47,15.57,98.27,9,98.27,13.47,-0.0856161933254968,-0.428080966627484,24.49403235366066,-1.3715714170744588
10,24.27,13.31,15.72,99.51,10,99.51,13.31,-0.08347802573428967,-0.4173901286714483,25.051578281571857,-1.3373179722633204
11,24.27,13.36,15.67,99.1,11,99.1,13.36,-0.08418419327455168,-0.42092096637275833,24.871458376155015,-1.3486307762583178
12,24.27,13.46,15.57,98.3,12,98.3,13.46,-0.08556437989990268,-0.4278218994995134,24.519114983895616,-1.370741365996441
13,24.27,13.36,15.67,99.1,13,99.1,13.36,-0.08418419327455168,-0.42092096637275833,24.871458376155015,-1.3486307762583178
14,24.27,13.35,15.68,99.17,14,99.17,13.35,-0.08406356975404565,-0.4203178487702282,24.904991788636767,-1.3466983874598113
15,24.27,13.33,15.71,99.37,15,99.37,13.33,-0.08371906280990007,-0.41859531404950034,24.984145638984533,-1.341179386214599
16,24.27,13.48,15.55,98.15,16,98.15,13.48,-0.08582348631982936,-0.4291174315991468,24.451238661160897,-1.3748922508436663
17,24.27,13.31,15.72,99.46,17,99.46,13.31,-0.08356409915489627,-0.4178204957744813,25.041619592429093,-1.3386968684614382
18,24.27,13.32,15.71,99.45,18,99.45,13.32,-0.0835813153431137,-0.41790657671556847,25.019827148159894,-1.3389726717966812
19,24.27,13.33,15.7,99.34,19,99.34,13.33,-0.08377072630747362,-0.4188536315373681,24.97817762181036,-1.3420070354457274
20,24.27,13.4,15.64,98.83,20,98.83,13.4,-0.08464967495400355,-0.4232483747700177,24.739805377860034,-1.356087792763137
21,24.27,13.3,15.73,99.57,21,99.57,13.3,-0.08337475424383622,-0.4168737712191811,25.083377531482405,-1.3356635629862563
22,24.27,13.37,15.66,99.01,22,99.01,13.37,-0.0843393153208008,-0.42169657660400395,24.83400509780102,-1.3511158314392289
23,24.27,13.4,15.63,98.81,23,98.81,13.4,-0.08468416876567664,-0.42342084382838313,24.73584267110605,-1.3566403836261396
24,24.27,13.06,15.96,101.41,24,101.41,13.06,-0.08021715730366406,-0.4010857865183203,25.94209318895412,-1.2850788600046983
25,24.27,13.25,15.78,99.97,25,99.97,13.25,-0.08268674902465019,-0.41343374512325093,25.263085508103284,-1.324641719374896
26,24.27,13.25,15.78,99.93,26,99.93,13.25,-0.08275551212748228,-0.41377756063741133,25.25509166447501,-1.3257433042822662
27,24.27,13.16,15.86,100.63,27,100.63,13.16,-0.08155340108811424,-0.40776700544057115,25.57787984500928,-1.30648548543159
28,24.27,13.09,15.93,101.17,28,101.17,13.09,-0.08062793023000413,-0.4031396511500206,25.83104844470993,-1.2916594422846661
29,24.27,13.42,15.61,98.65,29,98.65,13.42,-0.08496018608871729,-0.4248009304435864,24.66536793230621,-1.3610621811412509
30,24.27,13.15,15.88,100.75,30,100.75,13.15,-0.08134759639912653,-0.40673798199563266,25.622497208531065,-1.303188494314007
31,24.27,13.13,15.9,100.91,31,100.91,13.13,-0.08107331757645153,-0.40536658788225766,25.695827841737756,-1.2987945475747535
32,24.27,13.12,15.91,101.01,32,101.01,13.12,-0.080901968126673,-0.4045098406333649,25.736599921286547,-1.2960495293893013
33,24.27,13.33,15.7,99.32,33,99.32,13.33,-0.08380517111192338,-0.4190258555596169,24.97419865805119,-1.3425588412130125
34,24.27,13.23,15.8,100.13,34,100.13,13.23,-0.0824117813310851,-0.41205890665542544,25.335341573041685,-1.3202367369239831
