FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.57,15.13,13.91,85.18,0,85.18,15.13,-0.10840256798546362,-0.5420128399273181,19.376093880487513,-1.7366091391271272
1,24.57,15.13,13.91,85.18,1,85.18,15.13,-0.10840256798546362,-0.5420128399273181,19.376093880487513,-1.7366091391271272
2,24.57,16.06,12.9,77.56,2,77.56,16.06,-0.12154171206607765,-0.6077085603303882,16.955759886722714,-1.947098227298564
3,24.57,16.44,12.37,73.92,3,73.92,16.44,-0.12769792612217223,-0.6384896306108612,15.97594876659978,-2.045720776477199
4,24.57,16.7,12.01,71.45,4,71.45,16.7,-0.13181321039872992,-0.6590660519936495,15.341162626872018,-2.1116476305876533
5,24.57,16.56,12.05,72.07,5,72.07,16.56,-0.1307854829309998,-0.653927414654999,15.571050954021691,-2.095183436554617
6,24.57,16.84,11.69,69.53,6,69.53,16.84,-0.13497168928647796,-0.6748584464323898,14.922583693071733,-2.1622464623693767
7,24.57,17.09,11.43,67.55,7,67.55,17.09,-0.1381877049765675,-0.6909385248828374,14.40874469608327,-2.213767033724611
8,24.57,16.74,11.67,69.79,8,69.79,16.74,-0.13454619916710522,-0.6727309958355261,15.05426492672166,-2.1554301106570257
9,24.57,16.75,11.61,69.47,9,69.47,16.75,-0.13506977736428155,-0.6753488868214077,14.997282603159917,-2.1638178333757905
10,24.57,16.81,11.52,68.85,10,68.85,16.81,-0.1360810826487642,-0.680405413243821,14.849849963223022,-2.1800189440332023
11,24.57,16.87,11.46,68.36,11,68.36,16.87,-0.13687735693616876,-0.6843867846808438,14.7229179784789,-2.1927752581174236
12,24.57,17.15,11.17,66.15,12,66.15,17.15,-0.1404343595528745,-0.7021717977643724,14.156896793083328,-2.2497584400370494
13,24.57,17.38,10.96,64.47,13,64.47,17.38,-0.14309836303229304,-0.7154918151614652,13.72870707057595,-2.292435775777334
14,24.57,17.15,11.08,65.75,14,65.75,17.15,-0.14107188526134773,-0.7053594263067386,14.100334580613886,-2.2599716018867904
15,24.57,17.35,10.86,64.06,15,64.06,17.35,-0.14374296916729334,-0.7187148458364667,13.696925335689228,-2.302762366060039
16,24.57,17.32,10.86,64.17,16,64.17,17.32,-0.1435702445496605,-0.7178512227483025,13.736802290592363,-2.299995317685561
17,24.57,16.83,11.26,67.59,17,67.59,16.83,-0.1381231734269149,-0.6906158671345745,14.646681064017354,-2.212733238299177
18,24.57,16.95,11.15,66.7,18,66.7,16.95,-0.1395545502562965,-0.6977727512814825,14.410039467644648,-2.23566389510587
19,24.57,17.43,10.69,63.04,19,63.04,17.43,-0.14533683492551952,-0.7266841746275976,13.492421568958969,-2.328296095506823
20,24.57,17.05,10.96,65.47,20,65.47,17.05,-0.14151696403964895,-0.7075848201982446,14.146790491344927,-2.2671017639151763
21,24.57,17.25,10.78,64.03,21,64.03,17.25,-0.14379004792574554,-0.7189502396287277,13.775485358511286,-2.3035165677704437
22,24.57,16.85,11.05,66.52,22,66.52,16.85,-0.13984289302838326,-0.6992144651419163,14.473147118887645,-2.2402831463146997
23,24.57,16.98,10.93,65.57,23,65.57,16.98,-0.14135812060250486,-0.7067906030125243,14.221817918434969,-2.2645570920521276
24,24.57,17.16,10.77,64.24,24,64.24,17.16,-0.14346024522850703,-0.7173012261425351,13.880003384913262,-2.2982331285606827
25,24.57,17.36,10.57,62.68,25,62.68,17.36,-0.1458959712465483,-0.7294798562327415,13.50009750958337,-2.3372534593697036
26,24.57,16.75,11.04,66.79,26,66.79,16.75,-0.13941023229694727,-0.6970511614847363,14.602600365961688,-2.2333519213970954
27,24.57,16.62,11.19,67.93,27,67.93,16.62,-0.13757390823328433,-0.6878695411664216,14.890095330375484,-2.203934009897215
28,24.57,16.79,11.04,66.63,28,66.63,16.79,-0.13966673010182565,-0.6983336505091282,14.543058485324115,-2.2374610162312467
29,24.57,16.99,10.83,65.03,29,65.03,16.99,-0.14221436621831782,-0.7110718310915891,14.136380309667725,-2.278274146817451
30,24.57,16.98,10.84,65.07,30,65.07,16.98,-0.14215106827664092,-0.7107553413832046,14.15073229159268,-2.2772601137917876
31,24.57,16.91,10.91,65.64,31,65.64,16.91,-0.14124685520721392,-0.7062342760360696,14.29320837770397,-2.2627746204195667
32,24.57,17.16,10.65,63.65,32,63.65,17.16,-0.14438533540113724,-0.7219266770056861,13.797977865285993,-2.3130530731262184
33,24.57,17.07,10.69,64.09,33,64.09,17.07,-0.14369587841645803,-0.7184793920822902,13.935257290510592,-2.3020079722316575
34,24.57,16.7,11.0,66.71,34,66.71,16.7,-0.13953851974057016,-0.6976925987028508,14.636498323349517,-2.2354070862439337
35,24.57,17.28,10.5,62.59,35,62.59,17.28,-0.14603547307900264,-0.7301773653950132,13.552918490007015,-2.3394882787256224
36,24.57,17.12,10.62,63.64,36,63.64,17.12,-0.14440097461062307,-0.7220048730531153,13.830179229700189,-2.3133036132621814
37,24.57,17.18,10.54,63.09,37,63.09,17.18,-0.14525903504515456,-0.7262951752257727,13.703868274157278,-2.3270497414233757
38,24.57,17.07,10.64,63.86,38,63.86,17.07,-0.14405660041133136,-0.7202830020566567,13.903097205683787,-2.3077867385895283
39,24.57,17.15,10.57,63.27,39,63.27,17.15,-0.144978670516793,-0.724893352583965,13.753718883781548,-2.322558301679024
40,24.57,17.08,10.61,63.68,40,63.68,17.08,-0.14433840966225772,-0.7216920483112886,13.86950551864544,-2.3123013227893687
41,24.57,17.05,10.66,64.02,41,64.02,17.05,-0.14380573817802467,-0.7190286908901233,13.942485923216196,-2.303767925611955
42,24.57,17.07,10.59,63.63,42,63.63,17.07,-0.14441661246757787,-0.7220830623378893,13.871000415268705,-2.3135541317305974
43,24.57,17.37,10.35,61.56,43,61.56,17.37,-0.14762382036679392,-0.7381191018339696,13.340728360045443,-2.3649336022760385
44,24.57,17.09,10.58,63.51,44,63.51,17.09,-0.14460416108026286,-0.7230208054013143,13.837384665386077,-2.316558660505811
45,24.57,17.33,10.34,61.62,45,61.62,17.33,-0.14753171248226876,-0.7376585624113438,13.38088157974977,-2.3634580339659457
46,24.57,17.24,10.42,62.28,46,62.28,17.24,-0.14651510780774585,-0.7325755390387292,13.543352366035725,-2.3471720270800884
47,24.57,17.59,10.11,59.76,47,59.76,17.59,-0.1503623201635761,-0.7518116008178805,12.930416742053444,-2.408804369020489
48,24.57,16.78,10.78,65.46,48,65.46,16.78,-0.1415328414356108,-0.7076642071780539,14.382725039506786,-2.267356119798485
49,24.57,16.49,11.0,67.42,49,67.42,16.49,-0.1383973038094205,-0.6919865190471025,14.936486702321359,-2.2171248070269165
50,24.57,16.82,10.74,65.11,50,65.11,16.82,-0.14208774979104538,-0.7104387489552269,14.29682182560854,-2.276245751652547
51,24.57,16.81,10.71,65.01,51,65.01,16.81,-0.14224600747554558,-0.7112300373777278,14.291353053948734,-2.27878103975824
52,24.57,16.72,10.74,65.4,52,65.4,16.72,-0.14162807922604012,-0.7081403961302006,14.427877518224703,-2.2688818292011628
53,24.57,16.84,10.63,64.53,53,64.53,16.84,-0.14300384452666012,-0.7150192226333005,14.196280986044497,-2.290921589317095
54,24.57,16.86,10.63,64.46,54,64.46,16.86,-0.14311411152438483,-0.7155705576219241,14.168765123006402,-2.292688066620645
55,24.57,16.73,10.68,65.13,55,65.13,16.73,-0.14205608285392168,-0.7102804142696084,14.379916198722086,-2.275738447319825
56,24.57,16.61,10.76,65.88,56,65.88,16.61,-0.14086490747363492,-0.7043245373681746,14.597561747460688,-2.2566558177276312
57,24.57,16.76,10.63,64.77,57,64.77,16.76,-0.1426252999515321,-0.7131264997576604,14.301346758689832,-2.284857305223544
58,24.57,16.89,10.54,63.94,58,63.94,16.89,-0.143931212117751,-0.719656060588755,14.068870857622686,-2.305778018126371
59,24.57,16.87,10.53,63.94,59,63.94,16.87,-0.143931212117751,-0.719656060588755,14.08626000555809,-2.305778018126371
60,24.57,17.36,10.09,60.33,60,60.33,17.36,-0.14950037861393814,-0.7475018930696906,13.184337750947378,-2.394996065395289
61,24.57,17.19,10.22,61.48,61,61.48,17.19,-0.14774654962259814,-0.7387327481129907,13.475402088296805,-2.3668997249540222
62,24.57,17.03,10.34,62.51,62,62.51,17.03,-0.14615937936075882,-0.7307968968037941,13.749198692431163,-2.341473257359356
63,24.57,17.42,10.02,59.81,63,59.81,17.42,-0.15028690945602077,-0.7514345472801038,13.068396590826522,-2.407596289485453
64,24.57,16.88,10.47,63.64,64,63.64,16.88,-0.14440097461062307,-0.7220048730531153,14.035187025978912,-2.3133036132621814
65,24.57,16.87,10.48,63.72,65,63.72,16.87,-0.14427582310389017,-0.7213791155194508,14.055156541390797,-2.3112986861243203
66,24.57,16.72,10.59,64.72,66,64.72,16.72,-0.14270422530134438,-0.7135211265067218,14.32983928208833,-2.286121689327537
67,24.57,16.78,10.54,64.26,67,64.26,16.78,-0.14342880492898044,-0.7171440246449022,14.210644452859567,-2.2977294549622664
