FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.08,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,21.08,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,21.08,14.5,14.53,90.11,2,90.11,14.5,-0.09980801390022,-0.49904006950109997,21.168224437259052,-1.5989243826815243
3,21.08,14.2,14.83,92.48,3,92.48,14.2,-0.09567293489020828,-0.4783646744510414,22.084842425969214,-1.5326804169411365
4,21.08,14.15,14.88,92.88,4,92.88,14.15,-0.09497556818202306,-0.47487784091011526,22.24246468890339,-1.5215086022760094
5,21.08,14.01,15.02,93.99,5,93.99,14.01,-0.09304176350892085,-0.4652088175446042,22.68802573110689,-1.490529051412912
6,21.08,13.97,15.06,94.31,6,94.31,13.97,-0.09248472326782278,-0.4624236163391139,22.817548151716572,-1.4816052667505208
7,21.08,14.1,14.93,93.28,7,93.28,14.1,-0.0942784463575562,-0.47139223178778095,22.401233241113417,-1.5103407106480502
8,21.08,13.98,15.06,94.24,8,94.24,13.98,-0.09260655639244153,-0.46303278196220765,22.787009368126405,-1.4835570334069133
9,21.08,13.84,15.2,95.34,9,95.34,13.84,-0.09069342881429872,-0.4534671440714936,23.241806383392007,-1.4529087296050653
10,21.08,13.77,15.27,95.9,10,95.9,13.77,-0.08972074632127533,-0.4486037316063766,23.474646815705977,-1.4373263560668308
11,21.08,13.98,15.05,94.21,11,94.21,13.98,-0.092658773977568,-0.46329386988784,22.78127204788735,-1.4843935591206392
12,21.08,13.88,15.16,95.04,12,95.04,13.88,-0.0912148803449257,-0.45607440172462843,23.113666396787455,-1.4612623831257097
13,21.08,13.98,15.06,94.28,13,94.28,13.98,-0.09253693610112079,-0.4626846805056039,22.794658781738246,-1.482441716339955
14,21.08,13.8,15.24,95.69,14,95.69,13.8,-0.0900853921727567,-0.4504269608637835,23.38037036666907,-1.4431679826075623
15,21.08,13.67,15.37,96.69,15,96.69,13.67,-0.088350260565547,-0.44175130282773495,23.809477969381,-1.415371174260063
16,21.08,13.68,15.35,96.6,16,96.6,13.68,-0.08850628495071336,-0.44253142475356677,23.77363038800171,-1.417870684910428
17,21.08,13.73,15.3,96.18,17,96.18,13.73,-0.08923476750182906,-0.44617383750914524,23.600997743720473,-1.4295409753793014
18,21.08,13.8,15.23,95.62,18,95.62,13.8,-0.09020697062942806,-0.4510348531471403,23.366828911050487,-1.4451156694834375
19,21.08,13.88,15.15,95.01,19,95.01,13.88,-0.09126703898059563,-0.45633519490297814,23.107892147614056,-1.4620979644691419
20,21.08,13.81,15.22,95.56,20,95.56,13.81,-0.09031119237622008,-0.45155596188110037,23.337437722553258,-1.4467853018670456
21,21.08,13.54,15.49,97.66,21,97.66,13.54,-0.08667056839638078,-0.4333528419819039,24.240946908223943,-1.38846250571002
22,21.08,13.64,15.39,96.92,22,96.92,13.64,-0.08795166308057448,-0.43975831540287236,23.909518380776678,-1.4089856425508032
23,21.08,13.54,15.47,97.59,23,97.59,13.54,-0.08679166115041224,-0.4339583057520612,24.22718695490019,-1.390402411629604
