FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,23.29,15.12,13.91,85.22,0,85.22,15.12,-0.10833299966141036,-0.5416649983070517,19.396554655792798,-1.7354946545757939
1,23.29,15.12,13.91,85.22,1,85.22,15.12,-0.10833299966141036,-0.5416649983070517,19.396554655792798,-1.7354946545757939
2,23.29,14.44,14.6,90.62,2,90.62,14.44,-0.09891791698179232,-0.4945895849089616,21.35505365412385,-1.584665030048313
3,23.29,14.77,14.27,88.01,3,88.01,14.77,-0.10347250695673796,-0.5173625347836898,20.382523165070257,-1.657629561446942
4,23.29,14.84,14.2,87.47,4,87.47,14.84,-0.1044142481787767,-0.5220712408938835,20.184566712612188,-1.6727162558240027
5,23.29,14.97,14.07,86.47,5,86.47,14.97,-0.10615711533009109,-0.5307855766504554,19.8226954756341,-1.7006369875880591
6,23.29,14.92,14.11,86.82,6,86.82,14.92,-0.10554729800249792,-0.5277364900124896,19.954885330643673,-1.6908677140000166
7,23.29,14.51,14.53,90.06,7,90.06,14.51,-0.09989528026402,-0.4994764013201,21.143697899541362,-1.6003223898296004
8,23.29,14.72,14.32,88.4,8,88.4,14.72,-0.10279216387235689,-0.5139608193617844,20.525926317325133,-1.6467304652351573
9,23.29,14.68,14.36,88.75,9,88.75,14.68,-0.10218148850345612,-0.5109074425172806,20.648316505492414,-1.636947445825367
10,23.29,14.71,14.33,88.5,10,88.5,14.71,-0.10261769483078731,-0.5130884741539365,20.5587291441596,-1.6439354711892127
11,23.29,14.82,14.22,87.63,11,87.63,14.82,-0.10413525085223674,-0.5206762542611837,20.241951969483384,-1.6682467186528325
12,23.29,14.83,14.21,87.54,12,87.54,14.83,-0.10429219095581005,-0.5214609547790502,20.211437844034506,-1.670760899112077
13,23.29,14.64,14.4,89.07,13,89.07,14.64,-0.1016230849315291,-0.5081154246576455,20.765935597619603,-1.6280018206030962
14,23.29,14.73,14.31,88.35,14,88.35,14.73,-0.10287939523682635,-0.5143969761841317,20.5022436136262,-1.648127911693958
15,23.29,14.76,14.27,88.06,15,88.06,14.76,-0.10338529181312497,-0.5169264590656248,20.406052044171233,-1.656232374846262
16,23.29,14.68,14.35,88.69,16,88.69,14.68,-0.10228618212283994,-0.5114309106141997,20.63738857477052,-1.6386246376078957
17,23.29,14.82,14.21,87.59,17,87.59,14.82,-0.10420500329206822,-0.521025016460341,20.234743293379253,-1.669364152738933
18,23.29,14.77,14.27,88.05,18,88.05,14.77,-0.10340273505021676,-0.5170136752510838,20.389759442696953,-1.6565118155044725
19,23.29,14.71,14.33,88.5,19,88.5,14.71,-0.10261769483078731,-0.5130884741539365,20.5587291441596,-1.6439354711892127
20,23.29,14.7,14.33,88.54,20,88.54,14.7,-0.10254790495169004,-0.5127395247584502,20.580667888340074,-1.6428174373260744
21,23.29,14.87,14.16,87.2,21,87.2,14.87,-0.10488497697956133,-0.5244248848978066,20.093412779700813,-1.6802573312125724
22,23.29,14.69,14.34,88.62,22,88.62,14.69,-0.10240832150205709,-0.5120416075102854,20.60991776749965,-1.6405813104629545
23,23.29,14.66,14.38,88.9,23,88.9,14.66,-0.10191974423996897,-0.5095987211998448,20.705217181752666,-1.6327543027243028
24,23.29,14.62,14.41,89.16,24,89.16,14.62,-0.10146602405296608,-0.5073301202648304,20.812194043578053,-1.6254857053285166
25,23.29,14.52,14.52,90.01,25,90.01,14.52,-0.09998254670756866,-0.49991273353784327,21.119206747207485,-1.60172039825525
26,23.29,14.65,14.39,88.98,26,88.98,14.65,-0.10178014180529137,-0.5089007090264568,20.73464177600446,-1.6305178717207676
27,23.29,14.67,14.37,88.83,27,88.83,14.67,-0.10204189330948006,-0.5102094665474003,20.677657694517976,-1.6347111308178706
28,23.29,14.58,14.46,89.5,28,89.5,14.58,-0.10087265354983739,-0.5043632677491869,20.934467449520707,-1.615979909868395
29,23.29,14.49,14.54,90.2,29,90.2,14.49,-0.09965093485847765,-0.4982546742923882,21.200173756651477,-1.5964079764328118
30,23.29,14.76,14.27,88.07,30,88.07,14.76,-0.10336784847291135,-0.5168392423645567,20.407862436239586,-1.6559529325360398
31,23.29,14.48,14.55,90.27,31,90.27,14.48,-0.09952876284606267,-0.49764381423031334,21.22847292404783,-1.5944507807939239
32,23.29,14.58,14.45,89.5,32,89.5,14.58,-0.10087265354983739,-0.5043632677491869,20.934467449520707,-1.615979909868395
33,23.29,14.63,14.4,89.1,33,89.1,14.63,-0.1015707317311821,-0.5078536586559105,20.786306086681453,-1.6271631223335372
34,23.29,14.55,14.49,89.79,34,89.79,14.55,-0.1003665183223057,-0.5018325916115285,21.03307300843617,-1.6078716235233372
35,23.29,14.63,14.41,89.14,35,89.14,14.63,-0.10150092679667239,-0.5075046339833619,20.79361844915569,-1.6260448472826916
36,23.29,14.6,14.44,89.35,36,89.35,14.6,-0.10113443967953724,-0.5056721983976862,20.876906709030255,-1.6201737236661866
37,23.29,14.51,14.52,90.05,37,90.05,14.51,-0.0999127335484765,-0.4995636677423825,21.141853730276438,-1.6006019914465937
38,23.29,14.71,14.33,88.51,38,88.51,14.71,-0.10260024747929362,-0.5130012373964681,20.560546406215252,-1.6436559646182838
39,23.29,14.67,14.37,88.84,39,88.84,14.67,-0.10202444362475352,-0.5101222181237676,20.67948039636982,-1.6344315868685513
