FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,27.34,15.13,13.91,85.17,0,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
1,27.34,15.13,13.91,85.17,1,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
2,27.34,14.58,14.43,89.42,2,89.42,14.58,-0.10101227367744599,-0.5050613683872299,20.919789038600126,-1.6182166243126848
3,27.34,14.43,14.59,90.64,3,90.64,14.43,-0.09888301250705779,-0.49441506253528894,21.3742935000169,-1.5841058603630658
4,27.34,14.46,14.56,90.4,4,90.4,14.46,-0.09930187397020383,-0.4965093698510191,21.283343267591817,-1.5908160210026654
5,27.34,14.51,14.5,89.94,5,89.94,14.51,-0.10010471973598,-0.5005235986798999,21.1215678621829,-1.6036776101703996
6,27.34,14.75,14.26,88.07,6,88.07,14.75,-0.10336784847291135,-0.5168392423645567,20.422367773205018,-1.6559529325360398
7,27.34,14.55,14.46,89.66,7,89.66,14.55,-0.10059340846297189,-0.5029670423148594,21.009168216246902,-1.6115064035768096
8,27.34,14.53,14.48,89.82,8,89.82,14.53,-0.10031415874858796,-0.5015707937429398,21.068969865432937,-1.607032823152379
9,27.34,14.34,14.68,91.35,9,91.35,14.34,-0.097644023516639,-0.488220117583195,21.64765593905884,-1.564257256736557
10,27.34,14.21,14.8,92.32,10,92.32,14.21,-0.09595194252782477,-0.4797597126391238,22.038387065216753,-1.5371501192957528
11,27.34,14.45,14.56,90.44,11,90.44,14.45,-0.09923206267722175,-0.4961603133861087,21.306207630157534,-1.5896976440890924
12,27.34,14.38,14.63,91.0,12,91.0,14.38,-0.09825475935627165,-0.49127379678135824,21.519310802950237,-1.5740412448874717
13,27.34,14.44,14.57,90.51,13,90.51,14.44,-0.09910989383559043,-0.4955494691779522,21.33466558199095,-1.5877404992461588
14,27.34,14.53,14.48,89.82,14,89.82,14.53,-0.10031415874858796,-0.5015707937429398,21.068969865432937,-1.607032823152379
15,27.34,14.56,14.45,89.58,15,89.58,14.56,-0.10073303172094605,-0.5036651586047303,20.979332115094483,-1.6137431681695558
16,27.34,14.69,14.33,88.57,16,88.57,14.69,-0.1024955617255639,-0.5124778086278194,20.600818124001695,-1.6419788988435335
17,27.34,14.75,14.27,88.09,17,88.09,14.75,-0.1033329614852438,-0.516664807426219,20.425991162803886,-1.6553940429936056
18,27.34,14.68,14.34,88.67,18,88.67,14.68,-0.1023210794445087,-0.5116053972225435,20.63374598875792,-1.6391836927010295
19,27.34,14.6,14.41,89.23,19,89.23,14.6,-0.10134386307118731,-0.5067193153559365,20.854921441178334,-1.6235286864004208
20,27.34,14.58,14.43,89.4,20,89.4,14.58,-0.10104717841162457,-0.5052358920581228,20.91611946716997,-1.6187757981542255
21,27.34,14.52,14.5,89.92,21,89.92,14.52,-0.10013962629479144,-0.5006981314739571,21.102621213176743,-1.6042368132425588
22,27.34,14.51,14.5,89.97,22,89.97,14.51,-0.10005235987516736,-0.5002617993758368,21.12710037076413,-1.6028388052001812
23,27.34,14.42,14.6,90.7,23,90.7,14.42,-0.09877829991647528,-0.4938914995823764,21.40098576023794,-1.582428364661934
24,27.34,14.48,14.53,90.18,24,90.18,14.48,-0.09968584125141203,-0.4984292062570601,21.211839442246394,-1.5969671768476206
25,27.34,14.6,14.44,89.37,25,89.37,14.6,-0.10109953527232184,-0.5054976763616091,20.880570973732475,-1.6196145550625958
26,27.34,14.67,14.37,88.81,26,88.81,14.67,-0.10207679249180267,-0.5103839624590133,20.67401231036094,-1.6352702157186787
27,27.34,14.46,14.58,90.48,27,90.48,14.46,-0.09916225175852295,-0.4958112587926147,21.298149721033955,-1.5885792731715376
28,27.34,14.46,14.57,90.44,28,90.44,14.46,-0.09923206267722175,-0.4961603133861087,21.290746514158617,-1.5896976440890924
29,27.34,14.43,14.61,90.69,29,90.69,14.43,-0.09879575192496905,-0.4939787596248452,21.383567372481867,-1.582707945838004
30,27.34,14.48,14.56,90.31,30,90.31,14.48,-0.09945895057164694,-0.4972947528582347,21.235865545544257,-1.5933323881577839
31,27.34,14.51,14.53,90.07,31,90.07,14.51,-0.0998778269827535,-0.4993891349137675,21.14554206846922,-1.6000427882637112
32,27.34,14.31,14.73,91.64,32,91.64,14.31,-0.09713805086277053,-0.4856902543138526,21.749546322886378,-1.5561515748215837
33,27.34,14.55,14.49,89.76,33,89.76,14.55,-0.1004188777955404,-0.502094388977702,21.027556495805257,-1.6087104222845572
34,27.34,14.61,14.42,89.24,34,89.24,14.61,-0.10132641133436329,-0.5066320566718164,20.84178082388673,-1.6232491095764998
35,27.34,14.52,14.51,89.96,35,89.96,14.52,-0.10006981316440877,-0.5003490658220439,21.10999255957653,-1.6031184068938285
36,27.34,14.6,14.43,89.33,36,89.33,14.6,-0.10116934394852461,-0.5058467197426231,20.873242458839208,-1.6207328900553644
37,27.34,14.53,14.51,89.94,37,89.94,14.53,-0.10010471973598,-0.5005235986798999,21.091067898110815,-1.6036776101703996
38,27.34,14.52,14.51,89.95,38,89.95,14.52,-0.10008726645152353,-0.5004363322576176,21.108149722499427,-1.603398008553407
39,27.34,14.6,14.44,89.36,39,89.36,14.6,-0.10111698749294223,-0.5055849374647111,20.87873883959537,-1.6198941396369346
40,27.34,14.52,14.52,90.02,40,90.02,14.52,-0.099965093415669,-0.499825467078345,21.121049584789812,-1.6014407965190174
41,27.34,14.48,14.55,90.27,41,90.27,14.48,-0.09952876284606267,-0.49764381423031334,21.22847292404783,-1.5944507807939239
42,27.34,14.69,14.35,88.66,42,88.66,14.69,-0.1023385279995527,-0.5116926399977635,20.61719762036722,-1.6394632185528342
43,27.34,14.77,14.27,88.05,43,88.05,14.77,-0.10340273505021676,-0.5170136752510838,20.389759442696953,-1.6565118155044725
44,27.34,14.47,14.56,90.35,44,90.35,14.47,-0.09938913856093219,-0.49694569280466094,21.258662495345135,-1.5922139997461338
45,27.34,14.62,14.42,89.23,45,89.23,14.62,-0.10134386307118731,-0.5067193153559365,20.82500010382646,-1.6235286864004208
46,27.34,14.54,14.49,89.8,46,89.8,14.54,-0.10034906514152238,-0.5017453257076119,21.050088426220942,-1.6075920235671886
47,27.34,14.83,14.21,87.54,47,87.54,14.83,-0.10429219095581005,-0.5214609547790502,20.211437844034506,-1.670760899112077
48,27.34,14.57,14.47,89.6,48,89.6,14.57,-0.10069812602979616,-0.5034906301489808,20.96790054874481,-1.6131839789973346
49,27.34,14.7,14.33,88.53,49,88.53,14.7,-0.1025653525392135,-0.5128267626960675,20.578849305436787,-1.6430969476782002
50,27.34,14.58,14.46,89.51,50,89.51,14.58,-0.10085520090868268,-0.5042760045434134,20.93630226404857,-1.6157003185570964
51,27.34,14.59,14.44,89.4,51,89.4,14.59,-0.10104717841162457,-0.5052358920581228,20.901082653176267,-1.6187757981542255
52,27.34,14.7,14.34,88.57,52,88.57,14.7,-0.1024955617255639,-0.5124778086278194,20.586123685366907,-1.6419788988435335
53,27.34,14.41,14.63,90.87,53,90.87,14.41,-0.09848162189978994,-0.4924081094989497,21.44814825151134,-1.577675582834635
54,27.34,14.67,14.36,88.78,54,88.78,14.67,-0.10212914078948741,-0.510645703947437,20.66854428382486,-1.6361088354475883
55,27.34,14.48,14.56,90.33,55,90.33,14.48,-0.09942404453120035,-0.4971202226560017,21.239561846046144,-1.5927731933898295
56,27.34,14.59,14.44,89.41,56,89.41,14.59,-0.10102972606021893,-0.5051486303010946,20.902916118197318,-1.6184962114847072
57,27.34,14.78,14.26,87.92,57,87.92,14.78,-0.1036294875065576,-0.5181474375327879,20.351797147175926,-1.6601443898550525
58,27.34,14.77,14.27,88.04,58,88.04,14.77,-0.10342017818365529,-0.5171008909182764,20.387950357027172,-1.6567912545021577
59,27.34,14.67,14.37,88.83,59,88.83,14.67,-0.10204189330948006,-0.5102094665474003,20.677657694517976,-1.6347111308178706
60,27.34,14.72,14.32,88.41,60,88.41,14.72,-0.10277471734217469,-0.5138735867108735,20.52774219949313,-1.6464509718216385
61,27.34,14.58,14.46,89.53,61,89.53,14.58,-0.10082029554875216,-0.5041014777437608,20.93997190126468,-1.6151411346910096
62,27.34,14.7,14.33,88.53,62,88.53,14.7,-0.1025653525392135,-0.5128267626960675,20.578849305436787,-1.6430969476782002
63,27.34,14.73,14.31,88.35,63,88.35,14.73,-0.10287939523682635,-0.5143969761841317,20.5022436136262,-1.648127911693958
64,27.34,14.81,14.23,87.73,64,87.73,14.81,-0.10396086100934193,-0.5198043050467096,20.27431389319086,-1.6654529933696578
65,27.34,14.57,14.47,89.58,65,89.58,14.57,-0.10073303172094605,-0.5036651586047303,20.96422823475179,-1.6137431681695558
66,27.34,14.87,14.16,87.21,66,87.21,14.87,-0.10486754444956166,-0.5243377222478083,20.095208023427595,-1.6799780620819778
67,27.34,14.71,14.33,88.51,67,88.51,14.71,-0.10260024747929362,-0.5130012373964681,20.560546406215252,-1.6436559646182838
68,27.34,14.7,14.34,88.57,68,88.57,14.7,-0.1024955617255639,-0.5124778086278194,20.586123685366907,-1.6419788988435335
69,27.34,14.82,14.22,87.65,69,87.65,14.82,-0.10410037387439451,-0.5205018693719725,20.24555638586456,-1.6676879894678
70,27.34,14.62,14.41,89.16,70,89.16,14.62,-0.10146602405296608,-0.5073301202648304,20.812194043578053,-1.6254857053285166
71,27.34,14.73,14.31,88.35,71,88.35,14.73,-0.10287939523682635,-0.5143969761841317,20.5022436136262,-1.648127911693958
72,27.34,14.71,14.33,88.5,72,88.5,14.71,-0.10261769483078731,-0.5130884741539365,20.5587291441596,-1.6439354711892127
73,27.34,14.71,14.32,88.47,73,88.47,14.71,-0.10267003640470525,-0.5133501820235262,20.5532774080466,-1.644773983203378
74,27.34,14.81,14.23,87.7,74,87.7,14.81,-0.10401317925325598,-0.5200658962662799,20.268903154779565,-1.6662911316371607
75,27.34,14.85,14.19,87.38,75,87.38,14.85,-0.10457116918699688,-0.5228558459349844,20.154138044501906,-1.67523013037569
76,27.34,14.9,14.14,87.02,76,87.02,14.9,-0.10519873655937517,-0.5259936827968759,20.018774080672195,-1.6852837596811903
77,27.34,15.02,14.02,86.06,77,86.06,15.02,-0.10687117890561988,-0.5343558945280994,19.680803332584308,-1.7120762860680305
78,27.34,15.0,14.03,86.18,78,86.18,15.0,-0.10666221947733485,-0.5333110973866743,19.729617824108626,-1.7087287560269044
