FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.24,15.13,13.91,85.21,0,85.21,15.13,-0.1083503921245047,-0.5417519606225235,19.38137038325483,-1.7357732818345653
1,22.24,15.13,13.91,85.21,1,85.21,15.13,-0.1083503921245047,-0.5417519606225235,19.38137038325483,-1.7357732818345653
2,22.24,15.73,13.32,80.52,2,80.52,15.73,-0.11647033171901576,-0.5823516585950788,17.820092163574756,-1.8658547141386324
3,22.24,16.58,12.49,73.99,3,73.99,16.58,-0.1275805123433625,-0.6379025617168125,15.846004123730747,-2.0438398077406674
4,22.24,17.11,11.91,69.67,4,69.67,17.11,-0.1347426681491439,-0.6737133407457194,14.697588236757438,-2.1585775437492853
5,22.24,17.67,11.35,65.4,5,65.4,17.67,-0.14162807922604012,-0.7081403961302006,13.620674512373546,-2.2688818292011628
6,22.24,18.08,10.96,62.47,6,62.47,18.08,-0.14622129877045068,-0.7311064938522533,12.913785263150361,-2.3424652063026197
7,22.24,17.97,11.04,63.13,7,63.13,17.97,-0.1451967703219765,-0.7259838516098824,13.082586395287914,-2.3260522605580634
8,22.24,18.24,10.76,61.06,8,61.06,18.24,-0.1483893454971596,-0.7419467274857979,12.615629424906622,-2.3771973148644965
9,22.24,18.01,10.78,61.8,9,61.8,18.01,-0.14725507648690542,-0.7362753824345271,12.87882072568829,-2.3590263253202246
10,22.24,18.57,10.38,58.42,10,58.42,18.57,-0.15236885652664958,-0.7618442826332479,12.057720211994257,-2.4409490815569264
11,22.24,18.57,10.38,58.42,11,58.42,18.57,-0.15236885652664958,-0.7618442826332479,12.057720211994257,-2.4409490815569264
12,22.24,18.68,10.27,57.61,12,57.61,18.68,-0.15356794237959706,-0.7678397118979853,11.886640439587211,-2.460158436921145
13,22.24,18.41,10.42,59.03,13,59.03,18.41,-0.15145891925811264,-0.7572945962905632,12.241606386569805,-2.4263718865149646
14,22.24,18.26,10.48,59.71,14,59.71,18.26,-0.15043769251803377,-0.7521884625901688,12.431016172640703,-2.410011834138901
15,22.24,18.66,10.16,57.15,15,57.15,18.66,-0.1542441536663119,-0.7712207683315594,11.844920335527675,-2.4709913417343166
16,22.24,18.64,10.11,56.95,16,56.95,18.64,-0.15453707056764865,-0.7726853528382431,11.834290519697005,-2.4756838704937314
17,22.24,18.62,10.07,56.81,17,56.81,18.62,-0.15474171722300967,-0.7737085861150482,11.830826275023714,-2.478962309912615
18,22.24,18.41,10.2,57.99,18,57.99,18.41,-0.15300672684762537,-0.7650336342381268,12.114048062782702,-2.451167764098958
19,22.24,18.8,9.8,55.08,19,55.08,18.8,-0.1572432125594591,-0.7862160627972955,11.511495112017405,-2.519036265202535
20,22.24,19.15,9.57,53.1,20,53.1,19.15,-0.1600420225325884,-0.800210112662942,11.071770672264961,-2.563873200972066
21,22.24,18.71,9.95,56.0,21,56.0,18.71,-0.1559192903470747,-0.7795964517353734,11.676293522373731,-2.4978270313601363
22,22.24,18.85,9.79,54.89,22,54.89,18.85,-0.15751480373481563,-0.7875740186740781,11.45795233585967,-2.523387155831746
23,22.24,18.99,9.69,54.07,23,54.07,18.99,-0.15867964131488768,-0.7933982065744384,11.277318702393583,-2.5420478538645006
24,22.24,18.95,9.66,54.03,24,54.03,18.95,-0.15873615714318054,-0.7936807857159026,11.297509572482825,-2.542953237433752
25,22.24,18.91,9.68,54.19,25,54.19,18.91,-0.15850992234179337,-0.7925496117089668,11.340451480711366,-2.5393289559155297
26,22.24,19.04,9.55,53.28,26,53.28,19.04,-0.1597904983057519,-0.7989524915287595,11.15817725037238,-2.5598437828581453
27,22.24,19.17,9.49,52.67,27,52.67,19.17,-0.1606404826119698,-0.803202413059849,11.012493017996665,-2.5734605314437564
28,22.24,19.01,9.59,53.53,28,53.53,19.01,-0.15944018067655774,-0.7972009033827887,11.204379256988828,-2.554231694438455
29,22.24,18.93,9.6,53.76,29,53.76,18.93,-0.1591168888222342,-0.795584444111171,11.279418329267466,-2.549052558932192
30,22.24,19.11,9.53,53.02,30,53.02,19.11,-0.16015362101095687,-0.8007681050547844,11.08697325491336,-2.565661008595529
31,22.24,19.14,9.45,52.57,31,52.57,19.14,-0.16077917109691447,-0.8038958554845723,11.019427590855203,-2.57568232097257
32,22.24,19.19,9.45,52.45,32,52.45,19.19,-0.16094535285176811,-0.8047267642588405,10.976518556978068,-2.578344552685325
33,22.24,19.15,9.46,52.56,33,52.56,19.15,-0.16079302976946055,-0.8039651488473027,11.012360125968693,-2.575904336906758
34,22.24,19.02,9.52,53.19,34,53.19,19.02,-0.1599163343379696,-0.799581671689848,11.160330242141145,-2.5618596760942727
35,22.24,19.03,9.47,52.91,35,52.91,19.03,-0.16030687739024163,-0.8015343869512082,11.123146062481506,-2.568116175791671
36,22.24,19.0,9.51,53.19,36,53.19,19.0,-0.1599163343379696,-0.799581671689848,11.17252409179936,-2.5618596760942727
