FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,26.75,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,26.75,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,26.75,15.17,13.87,84.89,2,84.89,15.17,-0.10890681374723864,-0.5445340687361931,19.271743544706336,-1.7446871562307629
3,26.75,15.33,13.71,83.63,3,83.63,15.33,-0.11109485812844798,-0.5554742906422399,18.842972663098422,-1.7797396272177366
4,26.75,15.61,13.43,81.39,4,81.39,15.61,-0.11497079117087737,-0.5748539558543868,18.110135057242267,-1.8418320745574555
5,26.75,15.63,13.41,81.27,5,81.27,15.63,-0.11517783736778836,-0.5758891868389417,18.065662524594785,-1.8451489546319695
6,26.75,15.65,13.37,81.02,6,81.02,15.65,-0.11560896872461611,-0.5780448436230805,17.99943453422056,-1.85205567896835
7,26.75,15.8,13.24,79.94,7,79.94,15.8,-0.11746793705325363,-0.5873396852662681,17.64114990659821,-1.8818363515931231
8,26.75,15.75,13.3,80.36,8,80.36,15.75,-0.11674570611099955,-0.5837285305549977,17.769732558669023,-1.8702662118982127
9,26.75,15.58,13.46,81.67,9,81.67,15.58,-0.11448742956808429,-0.5724371478404214,18.194014023128855,-1.8340886216807102
10,26.75,15.65,13.39,81.1,10,81.1,15.65,-0.11547103862994684,-0.5773551931497342,18.012898658219036,-1.8498460388517484
11,26.75,15.55,13.42,81.6,11,81.6,15.55,-0.11460830285624118,-0.5730415142812059,18.218851749096334,-1.8360250117569836
12,26.75,15.66,13.38,81.02,12,81.02,15.66,-0.11560896872461611,-0.5780448436230805,17.987415342795963,-1.85205567896835
13,26.75,15.67,13.37,80.96,13,80.96,15.67,-0.11571239634031681,-0.578561981701584,17.96532949122866,-1.8537125893718753
14,26.75,15.8,13.25,79.96,14,79.96,15.8,-0.11743356608056449,-0.5871678304028224,17.644471753028128,-1.881285728610643
15,26.75,15.82,13.22,79.76,15,79.76,15.82,-0.11777717952630032,-0.5888858976315016,17.587990347353504,-1.8867904160113311
16,26.75,15.72,13.32,80.56,16,80.56,15.72,-0.11640146796852711,-0.5820073398426355,17.838635201110183,-1.8647515168558044
17,26.75,15.73,13.31,80.49,17,80.49,15.73,-0.11652197426571034,-0.5826098713285517,17.81507785199081,-1.8666820277366796
18,26.75,15.79,13.26,80.04,18,80.04,15.79,-0.11729606098942036,-0.5864803049471018,17.66945116149378,-1.879082897050514
