FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.47,15.13,13.9,85.14,0,85.14,15.13,-0.10847213221420736,-0.5423606610710368,19.36905890610038,-1.737723558071602
1,22.47,15.13,13.9,85.14,1,85.14,15.13,-0.10847213221420736,-0.5423606610710368,19.36905890610038,-1.737723558071602
2,22.47,14.27,14.77,91.98,2,91.98,14.27,-0.09654493586255278,-0.48272467931276386,21.87733387505073,-1.5466498725180955
3,22.47,14.76,14.23,87.94,3,87.94,14.76,-0.1035946037002175,-0.5179730185010875,20.384328189934372,-1.6595855512774844
4,22.47,14.61,14.32,88.85,4,88.85,14.61,-0.10200699387835893,-0.5100349693917946,20.770384558737504,-1.63415204193131
5,22.47,14.46,14.37,89.62,5,89.62,14.46,-0.10066322025358171,-0.5033161012679085,21.13897719488175,-1.612624788462379
6,22.47,14.73,14.01,87.14,6,87.14,14.73,-0.10498956901607082,-0.5249478450803541,20.28276733441564,-1.6819328956374544
7,22.47,14.65,14.18,88.13,7,88.13,14.65,-0.10326318629582593,-0.5163159314791296,20.579509003086695,-1.6542762444591312
8,22.47,14.87,14.01,86.57,8,86.57,14.87,-0.10598290425741444,-0.5299145212870722,19.980345596792585,-1.6978461262037792
9,22.47,14.74,14.13,87.59,9,87.59,14.74,-0.10420500329206822,-0.521025016460341,20.34988430829414,-1.669364152738933
10,22.47,14.84,14.08,86.97,10,86.97,14.84,-0.10528588302466264,-0.5264294151233132,20.094613474546545,-1.6866798460550956
11,22.47,14.79,14.02,86.92,11,86.92,14.79,-0.10537302546452021,-0.526865127322601,20.156800718780744,-1.6880758679416137
12,22.47,14.62,14.17,88.22,12,88.22,14.62,-0.10310618635640877,-0.5155309317820438,20.64025684260587,-1.6517611054296684
13,22.47,14.51,14.23,88.9,13,88.9,14.51,-0.10191974423996897,-0.5095987211998448,20.92978662962006,-1.6327543027243028
14,22.47,14.83,14.0,86.67,14,86.67,14.83,-0.10580867495977378,-0.5290433747988689,20.054825175703705,-1.695054972855576
15,22.47,14.38,14.35,89.9,15,89.9,14.38,-0.10017453283658984,-0.5008726641829492,21.314536692480964,-1.604796016042169
16,22.47,14.91,13.87,85.85,16,85.85,14.91,-0.10723678482857912,-0.5361839241428956,19.79541160013155,-1.7179332929538376
17,22.47,14.44,14.2,89.03,17,89.03,14.44,-0.10169288850398978,-0.5084644425199488,21.060349795601425,-1.6291200738339162
18,22.47,14.6,14.19,88.36,18,88.36,14.6,-0.10286194913722949,-0.5143097456861474,20.695552764540864,-1.6478484251784162
19,22.47,14.52,14.19,88.69,19,88.69,14.52,-0.10228618212283994,-0.5114309106141997,20.875973210311212,-1.6386246376078957
20,22.47,14.75,13.99,86.99,20,86.99,14.75,-0.10525102491788281,-0.526255124589414,20.22677960696484,-1.6861214191844827
21,22.47,14.44,14.32,89.5,21,89.5,14.44,-0.10087265354983739,-0.5043632677491869,21.14745930427568,-1.615979909868395
22,22.47,14.46,14.21,89.0,22,89.0,14.46,-0.10174524064372836,-0.5087262032186418,21.024232668654307,-1.6299587551125283
23,22.47,14.67,14.05,87.52,23,87.52,14.67,-0.10432706510979171,-0.5216353255489585,20.43896072448743,-1.6713195830588632
24,22.47,14.69,14.02,87.32,24,87.32,14.69,-0.10467577695031763,-0.5233788847515881,20.373409475827813,-1.6769059467440883
25,22.47,14.43,14.31,89.51,25,89.51,14.43,-0.10085520090868268,-0.5042760045434134,21.164693434606523,-1.6157003185570964
26,22.47,14.68,13.97,87.16,26,87.16,14.68,-0.10495470560620082,-0.5247735280310041,20.358847820065986,-1.681374383811337
27,22.47,14.35,14.31,89.83,27,89.83,14.35,-0.1002967055375002,-0.5014835276875009,21.348249932247107,-1.606753222710753
28,22.47,14.6,14.09,87.98,28,87.98,14.6,-0.10352483477781318,-0.5176241738890659,20.625963029370425,-1.6584678531405672
29,22.47,14.96,13.8,85.41,29,85.41,14.96,-0.1080024952374809,-0.5400124761874044,19.647734759681743,-1.730199973704444
30,22.47,14.87,13.84,85.87,30,85.87,14.87,-0.10720196932807823,-0.5360098466403911,19.854803353602026,-1.717375548635813
31,22.47,14.63,14.13,87.98,31,87.98,14.63,-0.10352483477781318,-0.5176241738890659,20.581605518027622,-1.6584678531405672
32,22.47,14.52,14.08,88.23,32,88.23,14.52,-0.10308874143851121,-0.515443707192556,20.791233524670986,-1.6514816378449495
33,22.47,14.77,13.95,86.72,33,86.72,14.77,-0.10572155364244383,-0.5286077682122191,20.149267016218687,-1.6936592893519502
34,22.47,14.58,14.07,87.96,34,87.96,14.58,-0.10355971945588585,-0.5177985972794292,20.651973383548874,-1.6590267056832912
35,22.47,14.63,14.03,87.6,35,87.6,14.63,-0.10418756537291998,-0.5209378268645999,20.512181681901613,-1.669084797274178
36,22.47,14.68,13.96,87.14,36,87.14,14.68,-0.10498956901607082,-0.5249478450803541,20.355208773770418,-1.6819328956374544
37,22.47,14.79,13.87,86.31,37,86.31,14.79,-0.10643581381389998,-0.5321790690694999,20.04673163397983,-1.7051017372986776
38,22.47,14.72,13.94,86.89,38,86.89,14.72,-0.10542530896862141,-0.5271265448431071,20.25186143587809,-1.688913449677315
39,22.47,14.75,13.96,86.86,39,86.86,14.75,-0.10547759098534336,-0.5273879549267168,20.20324827946487,-1.6897510075852005
40,22.47,14.85,13.77,85.64,40,85.64,14.85,-0.10760229353537032,-0.5380114676768516,19.841544972676065,-1.7237887424366325
41,22.47,14.9,13.7,85.2,41,85.2,14.9,-0.10836778433323156,-0.5418389216661578,19.693106524337146,-1.7360519050183696
42,22.47,14.93,13.78,85.43,42,85.43,14.93,-0.10796770011589096,-0.5398385005794548,19.69267122391376,-1.7296425558565731
43,22.47,14.95,13.74,85.15,43,85.15,14.95,-0.10845474154281087,-0.5422737077140544,19.615192610103843,-1.7374449595158301
44,22.47,14.89,13.78,85.58,44,85.58,14.89,-0.10770670605126093,-0.5385335302563046,19.77495009531391,-1.7254614309412
45,22.47,15.0,13.66,84.64,45,84.64,15.0,-0.10934132570737508,-0.5467066285368753,19.456221999009216,-1.7516480378321486
