FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,25.62,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,25.62,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,25.62,14.98,14.01,86.18,2,86.18,14.98,-0.10666221947733485,-0.5333110973866743,19.75721512421729,-1.7087287560269044
3,25.62,15.18,13.81,84.61,3,84.61,15.18,-0.10939345535441454,-0.5469672767720727,19.209406421751343,-1.7524831547777209
4,25.62,15.08,13.91,85.38,4,85.38,15.08,-0.10805468609026632,-0.5402734304513316,19.478685685201242,-1.7310360711660664
5,25.62,15.1,13.89,85.21,5,85.21,15.1,-0.1083503921245047,-0.5417519606225235,19.421698640173307,-1.7357732818345653
6,25.62,14.99,14.0,86.09,6,86.09,14.99,-0.10681894183840429,-0.5340947091920214,19.727402563202354,-1.7112394482512367
7,25.62,14.96,14.03,86.34,7,86.34,14.96,-0.10638356160555813,-0.5319178080277907,19.81340555125214,-1.7042646569210413
8,25.62,14.96,14.03,86.29,8,86.29,14.96,-0.10647064764011496,-0.5323532382005748,19.804493751537024,-1.7056597751946416
9,25.62,14.92,14.07,86.61,9,86.61,14.92,-0.10591321469563403,-0.5295660734781701,19.917334679112003,-1.696729699424057
10,25.62,14.99,14.0,86.09,10,86.09,14.99,-0.10681894183840429,-0.5340947091920214,19.727402563202354,-1.7112394482512367
11,25.62,14.88,14.11,86.98,11,86.98,14.88,-0.10526845405151584,-0.5263422702575792,20.03979762101064,-1.6864006339052837
12,25.62,14.83,14.16,87.36,12,87.36,14.83,-0.10460603900408523,-0.5230301950204261,20.179025645711075,-1.6757887448454454
13,25.62,14.71,14.28,88.27,13,88.27,14.71,-0.10301896083135081,-0.515094804156754,20.516934521215695,-1.65036375251824
14,25.62,14.86,14.13,87.14,14,87.14,14.86,-0.10498956901607082,-0.5249478450803541,20.096805548139933,-1.6819328956374544
15,25.62,14.78,14.21,87.75,15,87.75,14.78,-0.10392598157590688,-0.5196299078795343,20.321068566402175,-1.6648942248460281
16,25.62,14.7,14.29,88.37,16,88.37,14.7,-0.10284450295045265,-0.5142225147522632,20.549753124394993,-1.6475689372662514
17,25.62,14.69,14.3,88.44,17,88.44,14.69,-0.10272237724661755,-0.5136118862330877,20.577159995922393,-1.645612483490813
18,25.62,14.83,14.16,87.34,18,87.34,14.83,-0.10464090825994173,-0.5232045412997086,20.17542457429316,-1.6763473503242663
19,25.62,14.84,14.15,87.3,19,87.3,14.84,-0.10471064507096427,-0.5235532253548213,20.153978375843977,-1.6774645340368475
20,25.62,14.85,14.14,87.18,20,87.18,14.85,-0.10491984159261494,-0.5245992079630747,20.118180239474363,-1.6808158623136913
21,25.62,14.98,14.01,86.18,21,86.18,14.98,-0.10666221947733485,-0.5333110973866743,19.75721512421729,-1.7087287560269044
22,25.62,14.92,14.07,86.64,22,86.64,14.92,-0.10586094563110965,-0.5293047281555482,19.922698570578717,-1.6958923490103766
