FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.62,15.13,13.9,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,22.62,15.13,13.9,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,22.62,14.67,14.37,88.79,2,88.79,14.67,-0.10211169142107444,-0.5105584571053722,20.67036695263626,-1.6358292965656125
3,22.62,14.27,14.77,91.99,3,91.99,14.27,-0.09652749304326207,-0.4826374652163103,21.8792094851908,-1.5463704385530583
4,22.62,14.49,14.55,90.24,4,90.24,14.49,-0.09958112220445964,-0.49790561102229813,21.207561065369635,-1.5952895777154434
5,22.62,14.42,14.61,90.76,5,90.76,14.42,-0.09867358866563673,-0.4933679433281836,21.41212235230133,-1.5807508904235004
6,22.62,14.35,14.69,91.34,6,91.34,14.35,-0.09766147200044732,-0.48830736000223657,21.629955971850816,-1.564536781447166
7,22.62,14.38,14.65,91.06,7,91.06,14.38,-0.09815005652654984,-0.4907502826327492,21.53047901057458,-1.5723639055553285
8,22.62,14.25,14.79,92.15,8,92.15,14.25,-0.09624842268180153,-0.48124211340900763,21.94150503756352,-1.5418997313624605
9,22.62,14.41,14.63,90.86,9,90.86,14.41,-0.09849907320332765,-0.49249536601663824,21.446290861882726,-1.577955152717309
10,22.62,14.4,14.64,90.96,10,90.96,14.4,-0.09832456231310188,-0.4916228115655094,21.480508639641272,-1.5751594882558921
11,22.62,14.34,14.7,91.41,11,91.41,14.34,-0.09753933413950183,-0.48769667069750916,21.658855408706952,-1.5625801329148192
12,22.62,14.45,14.59,90.56,12,90.56,14.45,-0.0990226311800751,-0.49511315590037547,21.328433245572047,-1.5863425515048029
13,22.62,14.33,14.71,91.51,13,91.51,14.33,-0.09736485789745852,-0.4868242894872926,21.693400295437183,-1.5597850235172854
14,22.62,14.39,14.65,91.04,14,91.04,14.39,-0.09818495725005051,-0.49092478625025254,21.511055739102535,-1.5729230151458091
15,22.62,14.28,14.76,91.89,15,91.89,14.28,-0.096701925908535,-0.483509629542675,21.844380573462004,-1.5491648530547308
16,22.62,14.19,14.84,92.57,16,92.57,14.19,-0.09551600778323079,-0.4775800389161539,22.118161564460934,-1.530166444687357
17,22.62,14.33,14.71,91.52,17,91.52,14.33,-0.09734741070597541,-0.48673705352987706,21.695268129934927,-1.559505519509726
18,22.62,14.38,14.66,91.13,18,91.13,14.38,-0.09802790579730837,-0.49013952898654184,21.543508311781224,-1.57040705087288
19,22.62,14.32,14.72,91.6,19,91.6,14.32,-0.09720783612764311,-0.48603918063821555,21.726125794438854,-1.5572695347648426
20,22.62,14.31,14.73,91.68,20,91.68,14.31,-0.09706826699277715,-0.48534133496388576,21.757028098150123,-1.5550336372242899
21,22.62,14.33,14.71,91.51,21,91.51,14.33,-0.09736485789745852,-0.4868242894872926,21.693400295437183,-1.5597850235172854
22,22.62,14.21,14.82,92.4,22,92.4,14.21,-0.09581243462708004,-0.47906217313540017,22.05345473679058,-1.5349152027258222
23,22.62,14.31,14.72,91.61,23,91.61,14.31,-0.09719038968251509,-0.48595194841257544,21.743934893097,-1.5569900427138916
