FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.41,15.13,13.9,85.15,0,85.15,15.13,-0.10845474154281087,-0.5422737077140544,19.37081761068259,-1.7374449595158301
1,21.41,15.13,13.9,85.15,1,85.15,15.13,-0.10845474154281087,-0.5422737077140544,19.37081761068259,-1.7374449595158301
2,21.41,14.75,14.28,88.14,2,88.14,14.75,-0.10324574224863717,-0.5162287112431858,20.43504982036851,-1.6539967908231674
3,21.41,14.51,14.53,90.09,3,90.09,14.51,-0.0998429204319169,-0.4992146021595845,21.149230405089053,-1.5994835853193088
4,21.41,14.35,14.68,91.3,4,91.3,14.35,-0.09773126664272189,-0.4886563332136094,21.622494935861305,-1.5656548916164046
5,21.41,14.29,14.75,91.82,5,91.82,14.29,-0.09682403492351366,-0.4841201746175683,21.815220852731965,-1.5511210394746888
6,21.41,14.19,14.85,92.62,6,92.62,14.19,-0.09542883081300316,-0.47714415406501576,22.127591125627514,-1.5287698696243106
7,21.41,14.43,14.6,90.67,7,90.67,14.43,-0.0988306560514754,-0.4941532802573769,21.379857834796315,-1.5832671099446358
8,21.41,14.48,14.55,90.29,8,90.29,14.48,-0.0994938566780188,-0.49746928339009394,21.232169238061356,-1.593891583981861
9,21.41,14.35,14.69,91.32,9,91.32,14.35,-0.0976963691812394,-0.488481845906197,21.626225468858937,-1.5650958342834551
10,21.41,14.27,14.77,91.99,10,91.99,14.27,-0.09652749304326207,-0.4826374652163103,21.8792094851908,-1.5463704385530583
11,21.41,14.24,14.79,92.16,11,92.16,14.24,-0.09623098173300657,-0.4811549086650328,21.959563914592767,-1.541620327362765
12,21.41,14.36,14.67,91.22,12,91.22,14.36,-0.0978708592105126,-0.489354296052563,21.591778606955206,-1.5678911645524118
13,21.41,14.19,14.85,92.6,13,92.6,14.19,-0.09546370118707465,-0.4773185059353732,22.12381934594361,-1.5293284930169357
14,21.41,14.17,14.87,92.78,14,92.78,14.17,-0.09514988822871193,-0.4757494411435596,22.190609550333185,-1.524301209423965
15,21.41,14.21,14.83,92.44,15,92.44,14.21,-0.09574268372116206,-0.47871341860581024,22.060988243758562,-1.533797793213016
16,21.41,14.4,14.63,90.9,16,90.9,14.4,-0.09842926826881793,-0.49214634134408963,21.469356378304067,-1.5768368776664632
17,21.41,14.38,14.66,91.09,17,91.09,14.38,-0.0980977058652715,-0.4904885293263575,21.536063034005284,-1.5715252479616495
18,21.41,14.21,14.83,92.44,18,92.44,14.21,-0.09574268372116206,-0.47871341860581024,22.060988243758562,-1.533797793213016
19,21.41,14.19,14.84,92.58,19,92.58,14.19,-0.09549857211388035,-0.4774928605694017,22.120047506472805,-1.5298871252643633
20,21.41,14.18,14.86,92.7,20,92.7,14.18,-0.09528935492903573,-0.4764467746451786,22.15907752569961,-1.5265354659631523
21,21.41,14.18,14.86,92.66,21,92.66,14.18,-0.0953590917400583,-0.4767954587002915,22.151528805400734,-1.5276526496757339
22,21.41,14.48,14.56,90.33,22,90.33,14.48,-0.09942404453120035,-0.4971202226560017,21.239561846046144,-1.5927731933898295
23,21.41,14.35,14.69,91.32,23,91.32,14.35,-0.0976963691812394,-0.488481845906197,21.626225468858937,-1.5650958342834551
24,21.41,14.35,14.69,91.32,24,91.32,14.35,-0.0976963691812394,-0.488481845906197,21.626225468858937,-1.5650958342834551
25,21.41,14.42,14.62,90.77,25,90.77,14.42,-0.0986561369288127,-0.49328068464406344,21.41397843626796,-1.5804713135995794
26,21.41,14.46,14.57,90.43,26,90.43,14.46,-0.0992495154667073,-0.49624757733353647,21.288895706097044,-1.5899772377766508
27,21.41,14.45,14.59,90.54,27,90.54,14.45,-0.09905753615668561,-0.495287680783428,21.32472900529889,-1.5869017292301035
28,21.41,14.18,14.85,92.63,28,92.63,14.18,-0.09541139583457053,-0.47705697917285267,22.145867104296688,-1.5284905612698199
29,21.41,14.57,14.46,89.57,29,89.57,14.57,-0.1007504845332927,-0.5037524226664635,20.962392081251117,-1.614022762223349
30,21.41,14.49,14.54,90.19,30,90.19,14.49,-0.0996683880498941,-0.4983419402494705,21.198326926518405,-1.5966875765593034
31,21.41,14.6,14.43,89.32,31,89.32,14.6,-0.10118679602985375,-0.5059339801492687,20.8714103393249,-1.621012472398257
32,21.41,14.45,14.59,90.56,32,90.56,14.45,-0.0990226311800751,-0.49511315590037547,21.328433245572047,-1.5863425515048029
33,21.41,14.42,14.62,90.78,33,90.78,14.42,-0.09863868523292507,-0.4931934261646253,21.415834515880785,-1.5801917374314596
34,21.41,14.46,14.58,90.47,34,90.47,14.46,-0.09917970445124785,-0.4958985222562392,21.29629892323352,-1.5888588653089906
35,21.41,14.36,14.68,91.27,35,91.27,14.36,-0.09778361335193858,-0.48891806675969285,21.60109835795868,-1.566493485898056
36,21.41,14.47,14.57,90.39,36,90.39,14.47,-0.09931932684794383,-0.4965966342397191,21.266060418039824,-1.5910956161040601
37,21.41,14.44,14.59,90.6,37,90.6,14.44,-0.09895282158837543,-0.49476410794187714,21.35134676122136,-1.5852242018457743
38,21.41,14.49,14.55,90.24,38,90.24,14.49,-0.09958112220445964,-0.49790561102229813,21.207561065369635,-1.5952895777154434
39,21.41,14.37,14.67,91.19,39,91.19,14.37,-0.09792320750819733,-0.4896160375409866,21.570419871734856,-1.5687297842813213
40,21.41,14.48,14.56,90.31,40,90.31,14.48,-0.09945895057164694,-0.4972947528582347,21.235865545544257,-1.5933323881577839
41,21.41,14.65,14.39,88.96,41,88.96,14.65,-0.10181504274994949,-0.5090752137497474,20.730990988481352,-1.6310769848541906
42,21.41,14.47,14.56,90.36,42,90.36,14.47,-0.09937168560344412,-0.4968584280172205,21.260511979117464,-1.5919344033671747
43,21.41,14.43,14.61,90.69,43,90.69,14.43,-0.09879575192496905,-0.4939787596248452,21.383567372481867,-1.582707945838004
44,21.41,14.57,14.47,89.61,44,89.61,14.57,-0.10068067315205619,-0.5034033657602809,20.969736709125296,-1.61290438389594
45,21.41,14.45,14.59,90.54,45,90.54,14.45,-0.09905753615668561,-0.495287680783428,21.32472900529889,-1.5869017292301035
46,21.41,14.44,14.6,90.62,46,90.62,14.44,-0.09891791698179232,-0.4945895849089616,21.35505365412385,-1.584665030048313
47,21.41,14.45,14.59,90.56,47,90.56,14.45,-0.0990226311800751,-0.49511315590037547,21.328433245572047,-1.5863425515048029
48,21.41,14.4,14.63,90.9,48,90.9,14.4,-0.09842926826881793,-0.49214634134408963,21.469356378304067,-1.5768368776664632
49,21.41,14.41,14.63,90.88,49,90.88,14.41,-0.09846417064250473,-0.4923208532125236,21.450005636217178,-1.5773960136929257
50,21.41,14.13,14.91,93.05,50,93.05,14.13,-0.09467925951262639,-0.4733962975631319,22.307727639925634,-1.5167617373922746
51,21.41,14.38,14.65,91.08,51,91.08,14.38,-0.0981151560284592,-0.49057578014229597,21.534201698967095,-1.5718047995759163
52,21.41,14.22,14.81,92.31,52,92.31,14.22,-0.09596938157589456,-0.47984690787947276,22.020230340484915,-1.5374294928458307
53,21.41,14.46,14.57,90.43,53,90.43,14.46,-0.0992495154667073,-0.49624757733353647,21.288895706097044,-1.5899772377766508
54,21.41,14.21,14.82,92.4,54,92.4,14.21,-0.09581243462708004,-0.47906217313540017,22.05345473679058,-1.5349152027258222
55,21.41,14.34,14.69,91.39,55,91.39,14.34,-0.09757423030439222,-0.4878711515219611,21.655122283625758,-1.5631391694763632
56,21.41,14.37,14.67,91.19,56,91.19,14.37,-0.09792320750819733,-0.4896160375409866,21.570419871734856,-1.5687297842813213
57,21.41,14.13,14.9,93.03,57,93.03,14.13,-0.09471411697533738,-0.4735705848766869,22.303940439555475,-1.5173201539449048
58,21.41,14.25,14.78,92.1,58,92.1,14.25,-0.09633562912934439,-0.4816781456467219,21.93211399022413,-1.543296778652097
59,21.41,14.32,14.72,91.59,59,91.59,14.32,-0.09722528265782532,-0.4861264132891266,21.72425666151884,-1.5575490281783615
60,21.41,14.27,14.76,91.93,60,91.93,14.27,-0.09663215152708866,-0.4831607576354433,21.867955655735937,-1.5480470674639604
61,21.41,14.28,14.75,91.87,61,91.87,14.28,-0.09673681370417408,-0.4836840685208704,21.840631879389445,-1.5497237555408687
62,21.41,14.22,14.82,92.39,62,92.39,14.22,-0.09582987267378884,-0.4791493633689442,22.035286993170892,-1.5351945602340973
63,21.41,14.21,14.83,92.45,63,92.45,14.21,-0.09572524631756779,-0.4786262315878389,22.06287158562706,-1.533518446007436
64,21.41,14.23,14.81,92.28,64,92.28,14.23,-0.09602169945465704,-0.48010849727328514,21.998338799005584,-1.5382676252636056
65,21.41,14.07,14.96,93.5,65,93.5,14.07,-0.09389514604651433,-0.4694757302325716,22.49324598846954,-1.5042002396651595
66,21.41,13.96,15.08,94.43,66,94.43,13.96,-0.09227589268132408,-0.4613794634066204,22.857705951262723,-1.4782598007548118
67,21.41,14.02,15.02,93.93,67,93.93,14.02,-0.09314623324151777,-0.46573116620758886,22.659577389132874,-1.4922026565291147
68,21.41,14.03,15.0,93.83,68,93.83,14.03,-0.09332036610814669,-0.4666018305407334,22.623546139799583,-1.4949922650525098
69,21.41,14.17,14.87,92.78,69,92.78,14.17,-0.09514988822871193,-0.4757494411435596,22.190609550333185,-1.524301209423965
70,21.41,14.1,14.93,93.29,70,93.29,14.1,-0.09426102174339009,-0.4713051087169504,22.403130625413507,-1.5100615683291092
71,21.41,14.17,14.87,92.74,71,92.74,14.17,-0.09521962041392439,-0.4760981020696219,22.183055736074742,-1.5254183190310686
72,21.41,14.13,14.91,93.09,72,93.09,14.13,-0.09460954653639982,-0.47304773268199907,22.3153018288894,-1.515644935513125
73,21.41,14.26,14.78,92.07,73,92.07,14.26,-0.09638795434159787,-0.48193977170798935,21.910334732989206,-1.5441350285523978
74,21.41,14.29,14.75,91.83,74,91.83,14.29,-0.09680659048402934,-0.4840329524201467,21.81709388087217,-1.55084157955415
75,21.41,14.22,14.82,92.39,75,92.39,14.22,-0.09582987267378884,-0.4791493633689442,22.035286993170892,-1.5351945602340973
76,21.41,14.15,14.88,92.88,76,92.88,14.15,-0.09497556818202306,-0.47487784091011526,22.24246468890339,-1.5215086022760094
77,21.41,14.04,15.0,93.79,77,93.79,14.04,-0.09339002498175542,-0.4669501249087771,22.59899612433356,-1.4961082002077217
78,21.41,14.25,14.79,92.11,78,92.11,14.25,-0.0963181876144644,-0.48159093807232195,21.933992223961702,-1.5430173655837196
79,21.41,14.11,14.93,93.21,79,93.21,14.11,-0.09440042350707202,-0.4720021175353601,22.371283514511102,-1.5122947845832937
80,21.41,14.09,14.95,93.41,80,93.41,14.09,-0.09405194016109926,-0.4702597008054963,22.442618333727566,-1.5067120813808101
81,21.41,14.2,14.83,92.5,81,92.5,14.2,-0.09563806126346641,-0.47819030631733206,22.08861176778892,-1.5321217414407318
82,21.41,14.09,14.94,93.36,82,93.36,14.09,-0.09413905436889035,-0.4706952718444517,22.433125304667566,-1.5081076509896234
83,21.41,14.26,14.78,92.06,83,92.06,14.26,-0.09640539629978251,-0.48202698149891254,21.9084578344934,-1.5444144487225158
84,21.41,14.08,14.96,93.49,84,93.49,14.08,-0.09391256687801931,-0.46956283439009655,22.47456297521735,-1.5044793213858694
85,21.41,14.03,15.01,93.88,85,93.88,14.03,-0.09323329709826295,-0.4661664854913147,22.63307687935703,-1.4935974195141724
86,21.41,14.19,14.85,92.61,86,92.61,14.19,-0.09544626593068156,-0.47723132965340775,22.12570524328765,-1.5290491802095185
87,21.41,14.28,14.76,91.91,87,91.91,14.28,-0.09666703851475622,-0.4833351925737811,21.84812922435467,-1.5486059570063946
88,21.41,14.24,14.79,92.16,88,92.16,14.24,-0.09623098173300657,-0.4811549086650328,21.959563914592767,-1.541620327362765
89,21.41,14.19,14.84,92.56,89,92.56,14.19,-0.0955334435891714,-0.477667217945857,22.11627560767468,-1.5304457662985258
90,21.41,14.22,14.82,92.36,90,92.36,14.22,-0.09588218757396652,-0.4794109378698326,22.029640849660424,-1.5360326449349435
91,21.41,14.12,14.92,93.15,91,93.15,14.12,-0.09450498200875543,-0.4725249100437771,22.34327220442195,-1.513969811780262
92,21.41,14.44,14.6,90.62,92,90.62,14.44,-0.09891791698179232,-0.4945895849089616,21.35505365412385,-1.584665030048313
93,21.41,14.48,14.55,90.27,93,90.27,14.48,-0.09952876284606267,-0.49764381423031334,21.22847292404783,-1.5944507807939239
94,21.41,14.37,14.67,91.17,94,91.17,14.37,-0.09795810669051996,-0.48979053345259976,21.56669460468862,-1.5692888691821298
95,21.41,14.26,14.78,92.04,95,92.04,14.26,-0.09644028054411413,-0.48220140272057066,21.904704002210334,-1.5449732943167083
96,21.41,14.38,14.65,91.06,96,91.06,14.38,-0.09815005652654984,-0.4907502826327492,21.53047901057458,-1.5723639055553285
97,21.41,14.43,14.61,90.72,97,90.72,14.43,-0.09874339601166474,-0.49371698005832365,21.389131649629096,-1.581869204106869
98,21.41,14.51,14.53,90.08,98,90.08,14.51,-0.09986037370520859,-0.4993018685260429,21.14738623700384,-1.5997631867574416
99,21.41,14.53,14.51,89.91,99,89.91,14.53,-0.10015707956808312,-0.5007853978404155,21.085543381611163,-1.6045164146806916
100,21.41,14.54,14.5,89.84,100,89.84,14.54,-0.10027925231737425,-0.5013962615868712,21.05744910360842,-1.6064736221243354
101,21.41,14.6,14.44,89.37,101,89.37,14.6,-0.10109953527232184,-0.5054976763616091,20.880570973732475,-1.6196145550625958
102,21.41,14.59,14.44,89.4,102,89.4,14.59,-0.10104717841162457,-0.5052358920581228,20.901082653176267,-1.6187757981542255
103,21.41,14.61,14.42,89.25,103,89.25,14.61,-0.10130895955713447,-0.5065447977856723,20.843611596252767,-1.6229695321052942
104,21.41,14.5,14.54,90.17,104,90.17,14.5,-0.09970329446249981,-0.49851647231249907,21.1792974307579,-1.597246777289247
105,21.41,14.48,14.56,90.32,105,90.32,14.48,-0.0994414975429172,-0.49720748771458595,21.237713696695973,-1.5930527906375336
106,21.41,14.46,14.58,90.46,106,90.46,14.46,-0.09919715716896037,-0.4959857858448018,21.29444812278323,-1.5891384578467451
107,21.41,14.56,14.47,89.64,107,89.64,14.56,-0.10062831439655591,-0.5031415719827795,20.99035702075526,-1.6120655966328257
108,21.41,14.54,14.5,89.82,108,89.82,14.54,-0.10031415874858796,-0.5015707937429398,21.053768762896702,-1.607032823152379
109,21.41,14.52,14.51,89.97,109,89.97,14.52,-0.10005235987516736,-0.5002617993758368,21.111835396878174,-1.6028388052001812
110,21.41,14.6,14.44,89.37,110,89.37,14.6,-0.10109953527232184,-0.5054976763616091,20.880570973732475,-1.6196145550625958
111,21.41,14.48,14.55,90.27,111,90.27,14.48,-0.09952876284606267,-0.49764381423031334,21.22847292404783,-1.5944507807939239
112,21.41,14.64,14.4,89.04,112,89.04,14.64,-0.10167543768689813,-0.5083771884344906,20.760455353378607,-1.628840511744108
113,21.41,14.58,14.46,89.53,113,89.53,14.58,-0.10082029554875216,-0.5041014777437608,20.93997190126468,-1.6151411346910096
114,21.41,14.77,14.27,88.05,114,88.05,14.77,-0.10340273505021676,-0.5170136752510838,20.389759442696953,-1.6565118155044725
115,21.41,14.5,14.54,90.14,115,90.14,14.5,-0.09975565414786551,-0.4987782707393275,21.173760937550156,-1.5980855794488054
116,21.41,14.44,14.59,90.58,116,90.58,14.44,-0.09898772632255404,-0.49493863161277013,21.34763985476814,-1.5857833756873156
117,21.41,14.56,14.48,89.69,117,89.69,14.56,-0.10054104942835307,-0.5027052471417653,20.999544498066484,-1.610667611842216
118,21.41,14.56,14.47,89.65,118,89.65,14.56,-0.10061086143906783,-0.5030543071953392,20.992194512411274,-1.6117860002538666
119,21.41,14.61,14.43,89.28,119,89.28,14.61,-0.10125660398833525,-0.5062830199416762,20.849103938225102,-1.6221307958931306
120,21.41,14.62,14.41,89.17,120,89.17,14.62,-0.10144857261386064,-0.5072428630693032,20.814023467157917,-1.6252061332740475
121,21.41,14.6,14.44,89.35,121,89.35,14.6,-0.10113443967953724,-0.5056721983976862,20.876906709030255,-1.6201737236661866
122,21.41,14.63,14.4,89.09,122,89.09,14.63,-0.10158818284652041,-0.507940914232602,20.78447800845418,-1.627442689201257
123,21.41,14.8,14.24,87.8,123,87.8,14.8,-0.10383878090875201,-0.51919390454376,20.30130792486591,-1.6634972701582071
124,21.41,14.53,14.51,89.91,124,89.91,14.53,-0.10015707956808312,-0.5007853978404155,21.085543381611163,-1.6045164146806916
125,21.41,14.6,14.44,89.36,125,89.36,14.6,-0.10111698749294223,-0.5055849374647111,20.87873883959537,-1.6198941396369346
126,21.41,14.76,14.28,88.13,126,88.13,14.76,-0.10326318629582593,-0.5163159314791296,20.418725010318383,-1.6542762444591312
127,21.41,14.77,14.27,88.0,127,88.0,14.77,-0.10348994967025012,-0.5174497483512506,20.380714122952444,-1.6579089937174067
128,21.41,14.7,14.34,88.56,128,88.56,14.7,-0.10251300954433376,-0.5125650477216688,20.584305078360533,-1.642258412900227
129,21.41,14.59,14.45,89.46,129,89.46,14.59,-0.10094246384331443,-0.5047123192165721,20.912083491615093,-1.617098270769897
130,21.41,14.55,14.49,89.79,130,89.79,14.55,-0.1003665183223057,-0.5018325916115285,21.03307300843617,-1.6078716235233372
131,21.41,14.48,14.56,90.3,131,90.3,14.48,-0.09947640361685806,-0.4973820180842903,21.23401739264728,-1.593611985942066
132,21.41,14.6,14.44,89.36,132,89.36,14.6,-0.10111698749294223,-0.5055849374647111,20.87873883959537,-1.6198941396369346
133,21.41,14.44,14.59,90.58,133,90.58,14.44,-0.09898772632255404,-0.49493863161277013,21.34763985476814,-1.5857833756873156
134,21.41,14.45,14.59,90.56,134,90.56,14.45,-0.0990226311800751,-0.49511315590037547,21.328433245572047,-1.5863425515048029
135,21.41,14.37,14.67,91.19,135,91.19,14.37,-0.09792320750819733,-0.4896160375409866,21.570419871734856,-1.5687297842813213
136,21.41,14.36,14.68,91.26,136,91.26,14.36,-0.09780106239074948,-0.48900531195374736,21.599234421955003,-1.5667730194998066
137,21.41,14.39,14.64,90.97,137,90.97,14.39,-0.09830711149601024,-0.4915355574800512,21.498035565988562,-1.574879926166084
138,21.41,14.45,14.59,90.55,138,90.55,14.45,-0.09904008365375999,-0.4952004182687999,21.326581126987033,-1.586622140133235
139,21.41,14.28,14.76,91.88,139,91.88,14.28,-0.0967193697563877,-0.4835968487819385,21.842506231794662,-1.5494443034973309
140,21.41,14.48,14.56,90.33,140,90.33,14.48,-0.09942404453120035,-0.4971202226560017,21.239561846046144,-1.5927731933898295
141,21.41,14.51,14.52,90.04,141,90.04,14.51,-0.09993018683559124,-0.49965093417795614,21.140009560730636,-1.6008815931061715
142,21.41,14.59,14.45,89.45,142,89.45,14.59,-0.10095991634624,-0.5047995817312,20.910250010676044,-1.6173778598667647
143,21.41,14.7,14.34,88.58,143,88.58,14.7,-0.10247811383077488,-0.5123905691538744,20.587942300296852,-1.6416993835690135
144,21.41,14.46,14.58,90.45,144,90.45,14.46,-0.09921460991112886,-0.4960730495556443,21.29259731973947,-1.5894180507762843
145,21.41,14.64,14.4,89.05,145,89.05,14.64,-0.10165798681876977,-0.5082899340938488,20.76228209619065,-1.6285609488366917
146,21.41,14.59,14.44,89.4,146,89.4,14.59,-0.10104717841162457,-0.5052358920581228,20.901082653176267,-1.6187757981542255
147,21.41,14.54,14.49,89.81,147,89.81,14.54,-0.10033161195010593,-0.5016580597505296,21.051928594026297,-1.6073124234406968
148,21.41,14.56,14.48,89.71,148,89.71,14.56,-0.10050614332198123,-0.5025307166099061,21.00321950152915,-1.6101084160181391
149,21.41,14.68,14.35,88.69,149,88.69,14.68,-0.10228618212283994,-0.5114309106141997,20.63738857477052,-1.6386246376078957
150,21.41,14.57,14.47,89.6,150,89.6,14.57,-0.10069812602979616,-0.5034906301489808,20.96790054874481,-1.6131839789973346
151,21.41,14.51,14.53,90.06,151,90.06,14.51,-0.09989528026402,-0.4994764013201,21.143697899541362,-1.6003223898296004
152,21.41,14.66,14.38,88.89,152,88.89,14.66,-0.1019371942867307,-0.5096859714336535,20.703393138227245,-1.6330338524734258
153,21.41,14.65,14.39,88.98,153,88.98,14.65,-0.10178014180529137,-0.5089007090264568,20.73464177600446,-1.6305178717207676
154,21.41,14.62,14.41,89.16,154,89.16,14.62,-0.10146602405296608,-0.5073301202648304,20.812194043578053,-1.6254857053285166
155,21.41,14.65,14.39,88.95,155,88.95,14.65,-0.10183249313961029,-0.5091624656980515,20.729165603367246,-1.6313565400965568
156,21.41,14.49,14.55,90.22,156,90.22,14.49,-0.09961602850807576,-0.49808014254037875,21.2038674134859,-1.5958487766993736
157,21.41,14.47,14.57,90.41,157,90.41,14.47,-0.09928442111373002,-0.4964221055686501,21.26975936642916,-1.590536426241955
158,21.41,14.48,14.56,90.33,158,90.33,14.48,-0.09942404453120035,-0.4971202226560017,21.239561846046144,-1.5927731933898295
159,21.41,14.31,14.73,91.66,159,91.66,14.31,-0.0971031587512882,-0.48551579375644094,21.753287229439902,-1.5555926031956369
160,21.41,14.31,14.72,91.63,160,91.63,14.31,-0.09715549704954735,-0.48577748524773673,21.747675855560818,-1.5564310627337485
