FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.98,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,24.98,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,24.98,16.4,12.44,74.36,2,74.36,16.4,-0.12695921693474208,-0.6347960846737104,16.085286627805374,-2.033886655294568
3,24.98,16.6,12.05,71.96,3,71.96,16.6,-0.13096808817187244,-0.6548404408593622,15.515147570464595,-2.0981087725133967
4,24.98,15.72,12.72,77.94,4,77.94,15.72,-0.12089358904024117,-0.6044679452012058,17.402175779616602,-1.9367152964246634
5,24.98,16.33,12.13,73.22,5,73.22,16.33,-0.12886976117979246,-0.6443488058989623,15.978873455612655,-2.064493574100275
6,24.98,16.21,12.24,74.12,6,74.12,16.21,-0.12736234909606187,-0.6368117454803093,16.244234122102736,-2.040344832518911
7,24.98,15.81,12.58,77.0,7,77.0,15.81,-0.12249510543438649,-0.6124755271719324,17.143947557798523,-1.9623715890588715
8,24.98,15.6,12.7,78.28,8,78.28,15.6,-0.12031290962381823,-0.6015645481190911,17.59905468198372,-1.927412812173568
9,24.98,16.08,12.27,74.7,9,74.7,16.08,-0.12638730499653728,-0.6319365249826864,16.47393734636065,-2.0247246260445273
10,24.98,15.63,12.67,78.06,10,78.06,15.63,-0.12068872632324457,-0.6034436316162228,17.526994116748565,-1.9334333956983778
11,24.98,15.56,12.76,78.74,11,78.74,15.56,-0.11952614983678451,-0.5976307491839226,17.72364176268889,-1.9148089203852878
12,24.98,16.02,12.29,74.98,12,74.98,16.02,-0.12591562010474916,-0.6295781005237457,16.583330188935424,-2.0171682340780817
13,24.98,15.75,12.51,76.91,13,76.91,15.75,-0.12264813131109782,-0.6132406565554891,17.19738844040883,-1.9648230636037871
14,24.98,15.73,12.49,76.9,14,76.9,15.73,-0.12266513074368549,-0.6133256537184274,17.21859873426486,-1.9650953945138414
15,24.98,15.78,12.42,76.44,15,76.44,15.78,-0.12344634990685624,-0.6172317495342812,17.085962960347313,-1.977610525507837
16,24.98,16.12,12.12,73.88,16,73.88,16.12,-0.12776500115930842,-0.638825005796542,16.3008525189015,-2.0467953185721206
17,24.98,16.6,11.69,70.29,17,70.29,16.6,-0.13372595708961685,-0.6686297854480843,15.262007540419205,-2.1422898325756616
18,24.98,16.72,11.55,69.24,18,69.24,16.72,-0.13544542444843297,-0.6772271222421649,14.991125001950678,-2.169835699663896
19,24.98,16.62,11.62,69.89,19,69.89,16.62,-0.13438235922174036,-0.6719117961087018,15.182674364424456,-2.1528053947322805
20,24.98,16.74,11.46,68.76,20,68.76,16.74,-0.13622753667045456,-0.6811376833522728,14.901283852371982,-2.182365137460682
21,24.98,16.61,11.56,69.67,21,69.67,16.61,-0.1347426681491439,-0.6737133407457194,15.1591585967363,-2.1585775437492853
22,24.98,16.82,11.36,68.05,22,68.05,16.82,-0.13737973303273243,-0.6868986651636622,14.723069166498892,-2.2008233231843737
23,24.98,16.16,11.94,72.89,23,72.89,16.16,-0.12942071381037246,-0.6471035690518623,16.102417824887734,-2.0733198352421667
24,24.98,16.16,11.92,72.81,24,72.81,16.16,-0.12955413180140812,-0.6477706590070406,16.089823375203938,-2.075457191458558
25,24.98,15.8,12.21,75.42,25,75.42,15.8,-0.1251731548668497,-0.6258657743342485,16.89646483418824,-2.0052739409669322
26,24.98,15.8,12.21,75.38,26,75.38,15.8,-0.12524071371038437,-0.6262035685519218,16.8899354844013,-2.0063562336403575
27,24.98,15.72,12.29,76.03,27,76.03,15.72,-0.12414138168065054,-0.6207069084032527,17.086616676392502,-1.9887449345240216
28,24.98,15.74,12.27,75.91,28,75.91,15.74,-0.12434457334765166,-0.6217228667382583,17.044202092845964,-1.9920000650293794
29,24.98,15.82,12.19,75.24,29,75.24,15.82,-0.12547707256833823,-0.6273853628416911,16.844803274806996,-2.0101427025447784
30,24.98,16.3,11.76,71.63,30,71.63,16.3,-0.13151521633834257,-0.6575760816917128,15.762088557212236,-2.106873765740248
31,24.98,16.04,11.98,73.51,31,73.51,16.04,-0.12838479947659057,-0.6419239973829528,16.326820738902228,-2.056724487614981
32,24.98,16.02,11.95,73.45,32,73.45,16.02,-0.12848519645180295,-0.6424259822590147,16.338551576204566,-2.0583328471578834
33,24.98,16.16,11.82,72.39,33,72.39,16.16,-0.13025362492997658,-0.6512681246498829,16.02379231789651,-2.086663071378225
