FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,23.89,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,23.89,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,23.89,14.62,14.41,89.16,2,89.16,14.62,-0.10146602405296608,-0.5073301202648304,20.812194043578053,-1.6254857053285166
3,23.89,14.55,14.49,89.78,3,89.78,14.55,-0.10038397149192427,-0.5019198574596213,21.03123416964154,-1.6081512233006268
4,23.89,14.52,14.52,90.02,4,90.02,14.52,-0.099965093415669,-0.499825467078345,21.121049584789812,-1.6014407965190174
5,23.89,14.39,14.65,91.05,5,91.05,14.39,-0.09816750686038973,-0.49083753430194865,21.512915740713648,-1.5726434599034436
6,23.89,14.39,14.65,91.02,6,91.02,14.39,-0.09821985819470866,-0.49109929097354327,21.507335718257412,-1.5734821282792326
7,23.89,14.42,14.61,90.74,7,90.74,14.42,-0.0987084922599676,-0.493542461299838,21.40841017153283,-1.581310046004681
8,23.89,14.37,14.67,91.2,8,91.2,14.37,-0.09790575801166432,-0.48952879005832156,21.572282495157005,-1.5684502433468623
9,23.89,14.23,14.8,92.24,9,92.24,14.23,-0.09609145832046466,-0.48045729160232326,21.99081555187504,-1.5393851622938437
10,23.89,13.9,15.14,94.9,10,94.9,13.9,-0.09145830768626324,-0.4572915384313162,23.051798876202543,-1.4651620891339372
11,23.89,13.83,15.21,95.43,11,95.43,13.83,-0.09053704245797696,-0.4526852122898848,23.276854889518567,-1.4504034201767908
12,23.89,14.02,15.02,93.96,12,93.96,14.02,-0.09309399742855945,-0.4654699871427972,22.665299506089028,-1.4913658388055224
13,23.89,13.86,15.18,95.2,13,95.2,13.86,-0.09093674198022199,-0.4546837099011099,23.17956991353131,-1.4568066065231562
14,23.89,13.89,15.14,94.94,14,94.94,13.89,-0.09138875174985094,-0.45694375874925464,23.07693947708978,-1.4640478030326118
15,23.89,13.99,15.04,94.13,15,94.13,13.99,-0.09279803067192181,-0.463990153359609,22.748870445126286,-1.4866244513641873
16,23.89,13.97,15.07,94.33,16,94.33,13.97,-0.09244991585604928,-0.46224957928024635,22.82137543521437,-1.4810476520139095
17,23.89,13.83,15.2,95.4,17,95.4,13.83,-0.09058916866814858,-0.45294584334074284,23.27106229380454,-1.45123848206374
18,23.89,13.75,15.28,96.04,18,96.04,13.75,-0.08947772549994036,-0.44738862749970176,23.537729280366626,-1.4334331625090446
19,23.89,13.9,15.14,94.91,19,94.91,13.9,-0.09144091831054368,-0.45720459155271836,23.053721064457665,-1.4648835113349097
20,23.89,13.79,15.25,95.77,20,95.77,13.79,-0.08994646349668393,-0.44973231748341963,23.413685261044236,-1.4409423452168766
21,23.89,13.78,15.26,95.82,21,95.82,13.78,-0.08985964301001353,-0.4492982150500676,23.441238249679152,-1.4395514810204169
22,23.89,13.75,15.29,96.06,22,96.06,13.75,-0.0894430133343392,-0.44721506667169597,23.54161032126169,-1.4328770736161138
23,23.89,13.63,15.4,96.98,23,96.98,13.63,-0.08784771279790043,-0.4392385639895021,23.939705122598742,-1.4073203590223649
24,23.89,13.72,15.32,96.31,24,96.31,13.72,-0.08900922116680951,-0.4450461058340475,23.64436678203687,-1.4259277230922882
25,23.89,13.73,15.31,96.22,25,96.22,13.73,-0.08916536267290577,-0.44582681336452884,23.60876953412161,-1.4284291100199504
26,23.89,13.68,15.36,96.61,26,96.61,13.68,-0.0884889475004013,-0.44244473750200647,23.77557925979439,-1.4175929389564288
27,23.89,13.7,15.34,96.48,27,96.48,13.7,-0.08871436151265183,-0.44357180756325915,23.713769546963587,-1.4212040714326823
28,23.89,13.68,15.35,96.56,28,96.56,13.68,-0.08857563824786595,-0.4428781912393297,23.765834507862618,-1.4189817247308125
29,23.89,13.57,15.46,97.46,29,97.46,13.57,-0.0870165998619482,-0.4350829993097409,24.1453209552593,-1.39400592978841
30,23.89,13.58,15.45,97.36,30,97.36,13.58,-0.08718967518281306,-0.4359483759140653,24.107004512066872,-1.3967785964286652
31,23.89,13.63,15.4,96.96,31,96.96,13.63,-0.08788236141703495,-0.43941180708517474,23.935795300386005,-1.4078754299009
