FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,31.47,15.05,13.99,85.81,0,85.81,15.05,-0.107306413179998,-0.53653206589999,19.595450482265665,-1.719048739143568
1,31.47,15.05,13.99,85.81,1,85.81,15.05,-0.107306413179998,-0.53653206589999,19.595450482265665,-1.719048739143568
2,31.47,13.48,15.55,98.16,2,98.16,13.48,-0.08580620951596557,-0.4290310475798278,24.45321104948358,-1.3746154764457683
3,31.47,13.27,15.76,99.83,3,99.83,13.27,-0.0829274565820382,-0.414637282910191,25.19503504878922,-1.328497854444252
4,31.47,13.73,15.31,96.23,4,96.23,13.73,-0.0891480122894584,-0.44574006144729195,23.610712389476546,-1.4281511568771235
5,31.47,14.14,14.89,92.95,5,92.95,14.14,-0.09485355322439559,-0.47426776612197796,22.272234066397804,-1.5195539226548174
6,31.47,13.86,15.18,95.23,6,95.23,13.86,-0.09088459883980111,-0.45442299419900556,23.1853512047077,-1.4559712734136139
7,31.47,13.88,15.15,95.02,7,95.02,13.88,-0.0912496525019783,-0.4562482625098915,23.10981692686671,-1.4618194330816925
8,31.47,13.9,15.14,94.87,8,94.87,13.9,-0.09151047737247212,-0.45755238686236055,23.04603213910274,-1.4659978475070032
9,31.47,14.02,15.02,93.93,9,93.93,14.02,-0.09314623324151777,-0.46573116620758886,22.659577389132874,-1.4922026565291147
10,31.47,14.24,14.79,92.16,10,92.16,14.24,-0.09623098173300657,-0.4811549086650328,21.959563914592767,-1.541620327362765
11,31.47,13.97,15.07,94.33,11,94.33,13.97,-0.09244991585604928,-0.46224957928024635,22.82137543521437,-1.4810476520139095
12,31.47,14.05,14.98,93.68,12,93.68,14.05,-0.09358160339354193,-0.4679080169677097,22.561157182529275,-1.4991772863645418
13,31.47,14.11,14.93,93.22,13,93.22,14.11,-0.09438299768403324,-0.4719149884201662,22.3731796177732,-1.5120156228982125
14,31.47,14.33,14.7,91.45,14,91.45,14.33,-0.09746954271344704,-0.4873477135672352,21.68219310997799,-1.5614620742694216
15,31.47,14.17,14.86,92.73,15,92.73,14.17,-0.09523705382560181,-0.476185269128009,22.181167242930567,-1.525697602286141
16,31.47,14.41,14.63,90.86,16,90.86,14.41,-0.09849907320332765,-0.49249536601663824,21.446290861882726,-1.577955152717309
