FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,30.72,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,30.72,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,30.72,14.68,14.36,88.74,2,88.74,14.68,-0.10219893760925053,-0.5109946880462526,20.646495166041138,-1.6372269805001933
3,30.72,14.92,14.11,86.79,3,86.79,14.92,-0.105599576492928,-0.52799788246464,19.94952047188329,-1.6917052154167065
4,30.72,14.89,14.14,87.05,4,87.05,14.89,-0.10514644677560442,-0.525732233878022,20.038240605177805,-1.6844460773451828
5,30.72,15.05,13.99,85.84,5,85.84,15.05,-0.1072541922484271,-0.5362709612421355,19.600760947941367,-1.7182121598198021
6,30.72,14.84,14.2,87.46,6,87.46,14.84,-0.10443168439130122,-0.5221584219565061,20.182767285038146,-1.6729955839486457
7,30.72,14.8,14.24,87.77,7,87.77,14.8,-0.10389110166410287,-0.5194555083205143,20.295893094298687,-1.664335448658928
8,30.72,14.64,14.39,89.03,8,89.03,14.64,-0.10169288850398978,-0.5084644425199488,20.75862861590905,-1.6291200738339162
9,30.72,14.72,14.31,88.37,9,88.37,14.72,-0.10284450295045265,-0.5142225147522632,20.520478724158426,-1.6475689372662514
10,30.72,14.8,14.24,87.78,10,87.78,14.8,-0.10387366153014065,-0.5193683076507032,20.297698025627405,-1.6640560577128531
11,30.72,14.71,14.33,88.52,11,88.52,14.71,-0.10258280004859187,-0.5129140002429593,20.562363676520974,-1.6433764567784417
12,30.72,14.74,14.29,88.24,12,88.24,14.74,-0.1030712964265253,-0.5153564821326264,20.46771573371985,-1.6512021687529352
13,30.72,14.66,14.37,88.85,13,88.85,14.66,-0.10200699387835893,-0.5100349693917946,20.696097026364328,-1.63415204193131
14,30.72,14.8,14.24,87.81,14,87.81,14.8,-0.10382134042238811,-0.5191067021119405,20.303112892665734,-1.6632178735666574
15,30.72,14.66,14.37,88.86,15,88.86,14.66,-0.10198954407082778,-0.5099477203541388,20.697921044883113,-1.633872496014661
16,30.72,14.76,14.27,88.06,16,88.06,14.76,-0.10338529181312497,-0.5169264590656248,20.406052044171233,-1.656232374846262
17,30.72,14.82,14.22,87.66,17,87.66,14.82,-0.10408293519785101,-0.5204146759892551,20.24735861344528,-1.6674086218695732
18,30.72,14.86,14.18,87.33,18,87.33,14.86,-0.10465834267608028,-0.5232917133804014,20.130940088090572,-1.676626649670806
19,30.72,14.62,14.42,89.19,19,89.19,14.62,-0.1014136696038033,-0.5070683480190165,20.817682328139032,-1.6246469870529288
20,30.72,14.72,14.3,88.34,20,88.34,14.72,-0.10289684124871182,-0.5144842062435591,20.515031212159226,-1.6484073968043633
21,30.72,14.77,14.26,87.99,21,87.99,14.77,-0.1035073922774523,-0.5175369613872615,20.378905091860396,-1.6581884242847857
22,30.72,14.67,14.37,88.82,22,88.82,14.67,-0.10205934293200697,-0.5102967146600348,20.675834999163172,-1.6349906737707516
23,30.72,14.75,14.29,88.18,23,88.18,14.75,-0.10317596507648635,-0.5158798253824317,20.44229693159,-1.6528789605253114
24,30.72,14.69,14.35,88.67,24,88.67,14.69,-0.1023210794445087,-0.5116053972225435,20.619017602298403,-1.6391836927010295
25,30.72,14.92,14.12,86.83,25,86.83,14.92,-0.1055298715003527,-0.5276493575017634,19.956673651651556,-1.6905885414356503
26,30.72,14.67,14.36,88.79,26,88.79,14.67,-0.10211169142107444,-0.5105584571053722,20.67036695263626,-1.6358292965656125
27,30.72,14.73,14.31,88.35,27,88.35,14.73,-0.10287939523682635,-0.5143969761841317,20.5022436136262,-1.648127911693958
28,30.72,14.7,14.34,88.6,28,88.6,14.7,-0.10244321781526533,-0.5122160890763267,20.59157955370585,-1.6411403494005505
29,30.72,14.63,14.41,89.12,29,89.12,14.63,-0.1015358293574953,-0.5076791467874765,20.78996225811692,-1.6266039863070747
30,30.72,14.57,14.47,89.58,30,89.58,14.57,-0.10073303172094605,-0.5036651586047303,20.96422823475179,-1.6137431681695558
31,30.72,14.77,14.27,88.0,31,88.0,14.77,-0.10348994967025012,-0.5174497483512506,20.380714122952444,-1.6579089937174067
32,30.72,14.65,14.36,88.87,32,88.87,14.65,-0.10197209420269165,-0.5098604710134582,20.714562737333015,-1.6335929491271202
33,30.72,14.71,14.33,88.48,33,88.48,14.71,-0.1026525892940246,-0.5132629464701229,20.555094645019913,-1.6444944804902741
34,30.72,14.63,14.38,89.0,34,89.0,14.63,-0.10174524064372836,-0.5087262032186418,20.768025539145864,-1.6299587551125283
35,30.72,14.69,14.35,88.65,35,88.65,14.69,-0.10235597648336102,-0.511779882416805,20.615377645866314,-1.6397427432634435
36,30.72,14.77,14.27,88.04,36,88.04,14.77,-0.10342017818365529,-0.5171008909182764,20.387950357027172,-1.6567912545021577
37,30.72,14.96,14.08,86.52,37,86.52,14.96,-0.10607001210504191,-0.5303500605252095,19.845492100646585,-1.6992415939227714
38,30.72,14.6,14.42,89.28,38,89.28,14.6,-0.10125660398833525,-0.5062830199416762,20.864081899778014,-1.6221307958931306
39,30.72,14.71,14.33,88.48,39,88.48,14.71,-0.1026525892940246,-0.5132629464701229,20.555094645019913,-1.6444944804902741
40,30.72,14.6,14.44,89.37,40,89.37,14.6,-0.10109953527232184,-0.5054976763616091,20.880570973732475,-1.6196145550625958
41,30.72,14.55,14.49,89.75,41,89.75,14.55,-0.10043633092847466,-0.5021816546423733,21.025717660875628,-1.6089900214741641
42,30.72,14.63,14.41,89.14,42,89.14,14.63,-0.10150092679667239,-0.5075046339833619,20.79361844915569,-1.6260448472826916
43,30.72,14.76,14.27,88.07,43,88.07,14.76,-0.10336784847291135,-0.5168392423645567,20.407862436239586,-1.6559529325360398
44,30.72,14.76,14.28,88.09,44,88.09,14.76,-0.1033329614852438,-0.516664807426219,20.411483252263846,-1.6553940429936056
45,30.72,14.68,14.36,88.73,45,88.73,14.68,-0.10221638664806143,-0.5110819332403072,20.644673833581614,-1.637506514101944
46,30.72,14.78,14.26,87.97,46,87.97,14.78,-0.1035422771708015,-0.5177113858540074,20.3608356073801,-1.65874728027624
47,30.72,14.89,14.14,87.04,47,87.04,14.89,-0.10516387686100566,-0.5258193843050283,20.03644813981467,-1.6847253073133106
48,30.72,14.7,14.34,88.6,48,88.6,14.7,-0.10244321781526533,-0.5122160890763267,20.59157955370585,-1.6411403494005505
49,30.72,14.76,14.27,88.06,49,88.06,14.76,-0.10338529181312497,-0.5169264590656248,20.406052044171233,-1.656232374846262
50,30.72,14.6,14.43,89.33,50,89.33,14.6,-0.10116934394852461,-0.5058467197426231,20.873242458839208,-1.6207328900553644
51,30.72,14.65,14.39,88.96,51,88.96,14.65,-0.10181504274994949,-0.5090752137497474,20.730990988481352,-1.6310769848541906
52,30.72,14.84,14.2,87.47,52,87.47,14.84,-0.1044142481787767,-0.5220712408938835,20.184566712612188,-1.6727162558240027
53,30.72,14.7,14.33,88.55,53,88.55,14.7,-0.10253045728655297,-0.5126522864327648,20.58248647933312,-1.6425379257305786
54,30.72,14.9,14.11,86.88,54,86.88,14.9,-0.10544273647350091,-0.5272136823675045,19.993699401636164,-1.6891926383054845
55,30.72,14.62,14.41,89.17,55,89.17,14.62,-0.10144857261386064,-0.5072428630693032,20.814023467157917,-1.6252061332740475
56,30.72,14.73,14.31,88.33,56,88.33,14.73,-0.10291428717235447,-0.5145714358617723,20.498614551290437,-1.6486868805011186
57,30.72,14.6,14.44,89.35,57,89.35,14.6,-0.10113443967953724,-0.5056721983976862,20.876906709030255,-1.6201737236661866
58,30.72,14.57,14.46,89.57,58,89.57,14.57,-0.1007504845332927,-0.5037524226664635,20.962392081251117,-1.614022762223349
59,30.72,14.59,14.45,89.44,59,89.44,14.59,-0.10097736881992492,-0.5048868440996246,20.908416532808886,-1.617657448495197
60,30.72,14.84,14.2,87.46,60,87.46,14.84,-0.10443168439130122,-0.5221584219565061,20.182767285038146,-1.6729955839486457
61,30.72,14.65,14.38,88.95,61,88.95,14.65,-0.10183249313961029,-0.5091624656980515,20.729165603367246,-1.6313565400965568
62,30.72,14.75,14.28,88.14,62,88.14,14.75,-0.10324574224863717,-0.5162287112431858,20.43504982036851,-1.6539967908231674
63,30.72,14.5,14.54,90.18,63,90.18,14.5,-0.09968584125141203,-0.4984292062570601,21.181142926657387,-1.5969671768476206
64,30.72,14.51,14.53,90.06,64,90.06,14.51,-0.09989528026402,-0.4994764013201,21.143697899541362,-1.6003223898296004
65,30.72,14.43,14.61,90.69,65,90.69,14.43,-0.09879575192496905,-0.4939787596248452,21.383567372481867,-1.582707945838004
66,30.72,14.45,14.58,90.52,66,90.52,14.45,-0.09909244124813249,-0.4954622062406624,21.32102475283889,-1.5874609087950824
67,30.72,14.49,14.55,90.22,67,90.22,14.49,-0.09961602850807576,-0.49808014254037875,21.2038674134859,-1.5958487766993736
68,30.72,14.75,14.28,88.15,68,88.15,14.75,-0.10322829810257744,-0.5161414905128872,20.436861582908634,-1.6537173356032906
69,30.72,14.61,14.43,89.31,69,89.31,14.61,-0.10120424807503098,-0.5060212403751548,20.85459631633762,-1.6212920541619962
70,30.72,14.61,14.42,89.26,70,89.26,14.61,-0.10129150774003243,-0.5064575387001621,20.84544237280169,-1.6226899539953195
71,30.72,14.72,14.32,88.43,71,88.43,14.72,-0.10273982402877356,-0.5136991201438678,20.531373990165864,-1.6458919809409525
72,30.72,14.53,14.5,89.89,72,89.89,14.53,-0.10019198609978,-0.5009599304989,21.08186037304221,-1.6050756173184755
73,30.72,14.61,14.41,89.2,73,89.2,14.61,-0.10139621803391455,-0.5069810901695727,20.83445777736677,-1.624367412903311
74,30.72,14.59,14.45,89.44,74,89.44,14.59,-0.10097736881992492,-0.5048868440996246,20.908416532808886,-1.617657448495197
75,30.72,14.66,14.38,88.88,75,88.88,14.66,-0.10195464427448214,-0.5097732213724107,20.70156910087013,-1.633313401277204
76,30.72,14.67,14.37,88.81,76,88.81,14.67,-0.10207679249180267,-0.5103839624590133,20.67401231036094,-1.6352702157186787
77,30.72,14.65,14.38,88.94,77,88.94,14.65,-0.10184994347345017,-0.5092497173672508,20.72734022409225,-1.6316360944446717
78,30.72,14.66,14.37,88.86,78,88.86,14.66,-0.10198954407082778,-0.5099477203541388,20.697921044883113,-1.633872496014661
79,30.72,14.56,14.47,89.65,79,89.65,14.56,-0.10061086143906783,-0.5030543071953392,20.992194512411274,-1.6117860002538666
80,30.72,14.6,14.43,89.34,80,89.34,14.6,-0.10115189183157523,-0.5057594591578761,20.875074582092925,-1.6204533071418352
81,30.72,14.74,14.3,88.26,81,88.26,14.74,-0.10303640612241363,-0.5151820306120681,20.471342045240018,-1.6506432260810664
82,30.72,14.55,14.48,89.72,82,89.72,14.55,-0.10048869024540247,-0.5024434512270123,21.02020116471296,-1.6098288177313476
83,30.72,14.68,14.36,88.72,83,88.72,14.68,-0.10223383561935738,-0.5111691780967869,20.6428525081693,-1.6377860466221053
84,30.72,14.45,14.57,90.48,84,90.48,14.45,-0.09916225175852295,-0.4958112587926147,21.31361621316378,-1.5885792731715376
85,30.72,14.65,14.39,88.98,85,88.98,14.65,-0.10178014180529137,-0.5089007090264568,20.73464177600446,-1.6305178717207676
86,30.72,14.46,14.57,90.43,86,90.43,14.46,-0.0992495154667073,-0.49624757733353647,21.288895706097044,-1.5899772377766508
87,30.72,14.58,14.43,89.39,87,89.39,14.58,-0.1010646307311314,-0.5053231536556569,20.91428468645729,-1.6190553843127249
88,30.72,14.53,14.51,89.91,88,89.91,14.53,-0.10015707956808312,-0.5007853978404155,21.085543381611163,-1.6045164146806916
89,30.72,14.41,14.63,90.87,89,90.87,14.41,-0.09848162189978994,-0.4924081094989497,21.44814825151134,-1.577675582834635
90,30.72,14.46,14.57,90.44,90,90.44,14.46,-0.09923206267722175,-0.4961603133861087,21.290746514158617,-1.5896976440890924
91,30.72,14.52,14.52,90.02,91,90.02,14.52,-0.099965093415669,-0.499825467078345,21.121049584789812,-1.6014407965190174
92,30.72,14.72,14.31,88.39,92,88.39,14.72,-0.10280961031748492,-0.5140480515874246,20.52411044400981,-1.6470099572861083
93,30.72,14.54,14.5,89.86,93,89.86,14.54,-0.10024434585213451,-0.5012217292606725,21.061129447907657,-1.6059144205511948
94,30.72,14.47,14.56,90.36,94,90.36,14.47,-0.09937168560344412,-0.4968584280172205,21.260511979117464,-1.5919344033671747
95,30.72,14.65,14.38,88.93,95,88.93,14.65,-0.10186739375093752,-0.5093369687546876,20.725514850711967,-1.631915647890019
96,30.72,14.66,14.37,88.86,96,88.86,14.66,-0.10198954407082778,-0.5099477203541388,20.697921044883113,-1.633872496014661
97,30.72,14.6,14.44,89.39,97,89.39,14.6,-0.1010646307311314,-0.5053231536556569,20.884235252499398,-1.6190553843127249
98,30.72,14.65,14.39,88.96,98,88.96,14.65,-0.10181504274994949,-0.5090752137497474,20.730990988481352,-1.6310769848541906
99,30.72,14.57,14.47,89.6,99,89.6,14.57,-0.10069812602979616,-0.5034906301489808,20.96790054874481,-1.6131839789973346
100,30.72,14.59,14.43,89.35,100,89.35,14.59,-0.10113443967953724,-0.5056721983976862,20.89191537945528,-1.6201737236661866
101,30.72,14.38,14.66,91.12,101,91.12,14.38,-0.0980453557255179,-0.49022677862758945,21.541647001807164,-1.5706865987227967
102,30.72,14.57,14.47,89.59,102,89.59,14.57,-0.10071557888627002,-0.50357789443135,20.96606439060166,-1.6134635737580456
103,30.72,14.44,14.6,90.62,103,90.62,14.44,-0.09891791698179232,-0.4945895849089616,21.35505365412385,-1.584665030048313
104,30.72,14.64,14.39,89.0,104,89.0,14.64,-0.10174524064372836,-0.5087262032186418,20.753148436111747,-1.6299587551125283
105,30.72,14.54,14.48,89.75,105,89.75,14.54,-0.10043633092847466,-0.5021816546423733,21.040887605131715,-1.6089900214741641
106,30.72,14.5,14.54,90.17,106,90.17,14.5,-0.09970329446249981,-0.49851647231249907,21.1792974307579,-1.597246777289247
107,30.72,14.52,14.51,89.96,107,89.96,14.52,-0.10006981316440877,-0.5003490658220439,21.10999255957653,-1.6031184068938285
108,30.72,14.48,14.56,90.32,108,90.32,14.48,-0.0994414975429172,-0.49720748771458595,21.237713696695973,-1.5930527906375336
109,30.72,14.57,14.46,89.57,109,89.57,14.57,-0.1007504845332927,-0.5037524226664635,20.962392081251117,-1.614022762223349
110,30.72,14.51,14.53,90.1,110,90.1,14.51,-0.09982546716341019,-0.49912733581705093,21.151074572668673,-1.5992039839578311
111,30.72,14.63,14.41,89.15,111,89.15,14.63,-0.10148347544741386,-0.5074173772370693,20.7954465518871,-1.62576527666757
112,30.72,14.43,14.61,90.69,112,90.69,14.43,-0.09879575192496905,-0.4939787596248452,21.383567372481867,-1.582707945838004
113,30.72,14.63,14.4,89.1,113,89.1,14.63,-0.1015707317311821,-0.5078536586559105,20.786306086681453,-1.6271631223335372
114,30.72,14.6,14.43,89.32,114,89.32,14.6,-0.10118679602985375,-0.5059339801492687,20.8714103393249,-1.621012472398257
115,30.72,14.66,14.38,88.9,115,88.9,14.66,-0.10191974423996897,-0.5095987211998448,20.705217181752666,-1.6327543027243028
116,30.72,14.69,14.33,88.59,116,88.59,14.69,-0.10246066586049817,-0.5123033293024908,20.604457958001273,-1.6414198670851805
117,30.72,14.71,14.32,88.46,117,88.46,14.71,-0.10268748343405194,-0.5134374171702597,20.55146017954478,-1.645053484613512
118,30.72,14.74,14.3,88.28,118,88.28,14.74,-0.10300151544832513,-0.5150075772416256,20.4749683952136,-1.6500842774821685
119,30.72,14.77,14.27,88.02,119,88.02,14.77,-0.10345506413744726,-0.5172753206872363,20.38433221815871,-1.6573501274819051
120,30.72,14.76,14.28,88.08,120,88.08,14.76,-0.10335040503010716,-0.5167520251505358,20.409672838955508,-1.6556734885823166
121,30.72,14.68,14.36,88.74,121,88.74,14.68,-0.10219893760925053,-0.5109946880462526,20.646495166041138,-1.6372269805001933
122,30.72,14.54,14.5,89.86,122,89.86,14.54,-0.10024434585213451,-0.5012217292606725,21.061129447907657,-1.6059144205511948
123,30.72,14.61,14.43,89.28,123,89.28,14.61,-0.10125660398833525,-0.5062830199416762,20.849103938225102,-1.6221307958931306
124,30.72,14.58,14.46,89.54,124,89.54,14.58,-0.10080284283103964,-0.5040142141551982,20.941806723841147,-1.614861542153255
125,30.72,14.49,14.55,90.26,125,90.26,14.49,-0.09954621595188247,-0.49773107975941233,21.21125471185262,-1.5947303795491572
126,30.72,14.62,14.39,89.1,126,89.1,14.62,-0.1015707317311821,-0.5078536586559105,20.80121760235942,-1.6271631223335372
127,30.72,14.66,14.37,88.86,127,88.86,14.66,-0.10198954407082778,-0.5099477203541388,20.697921044883113,-1.633872496014661
128,30.72,14.52,14.52,90.0,128,90.0,14.52,-0.1,-0.5,21.117363909569022,-1.602
129,30.72,14.77,14.27,88.0,129,88.0,14.77,-0.10348994967025012,-0.5174497483512506,20.380714122952444,-1.6579089937174067
130,30.72,14.61,14.4,89.19,130,89.19,14.61,-0.1014136696038033,-0.5070683480190165,20.83262702675167,-1.6246469870529288
131,30.72,14.55,14.48,89.73,131,89.73,14.55,-0.10047123715393734,-0.5023561857696867,21.022039995273467,-1.609549219206076
132,30.72,14.63,14.41,89.12,132,89.12,14.63,-0.1015358293574953,-0.5076791467874765,20.78996225811692,-1.6266039863070747
133,30.72,14.64,14.4,89.06,133,89.06,14.64,-0.1016405359001362,-0.508202679500681,20.76410884428953,-1.628281385120182
134,30.72,14.64,14.4,89.08,134,89.08,14.64,-0.10160563391347995,-0.5080281695673997,20.767762356125232,-1.6277222552939488
135,30.72,14.66,14.38,88.92,135,88.92,14.66,-0.10188484397154084,-0.5094242198577041,20.7088652870862,-1.632195200424084
136,30.72,14.6,14.44,89.39,136,89.39,14.6,-0.1010646307311314,-0.5053231536556569,20.884235252499398,-1.6190553843127249
137,30.72,14.8,14.23,87.75,137,87.75,14.8,-0.10392598157590688,-0.5196299078795343,20.292283268497204,-1.6648942248460281
138,30.72,14.79,14.24,87.82,138,87.82,14.79,-0.10380389981961957,-0.5190194990980979,20.319309297062247,-1.6629384751103056
139,30.72,14.64,14.39,89.02,139,89.02,14.64,-0.10171033926951308,-0.5085516963475654,20.756801883837625,-1.6293996350975994
140,30.72,14.57,14.46,89.56,140,89.56,14.57,-0.10076793732277828,-0.5038396866138913,20.960555930155586,-1.614302355910908
141,30.72,14.9,14.14,87.02,141,87.02,14.9,-0.10519873655937517,-0.5259936827968759,20.018774080672195,-1.6852837596811903
142,30.72,14.93,14.06,86.56,142,86.56,14.93,-0.10600032619356206,-0.5300016309678103,19.894422949276134,-1.698125225620864
143,30.72,14.82,14.22,87.65,143,87.65,14.82,-0.10410037387439451,-0.5205018693719725,20.24555638586456,-1.6676879894678
144,30.72,14.68,14.36,88.71,144,88.71,14.68,-0.10225128452260679,-0.511256422613034,20.6410311898597,-1.6380655780521607
145,30.72,14.74,14.27,88.14,145,88.14,14.74,-0.10324574224863717,-0.5162287112431858,20.44958476838503,-1.6539967908231674
146,30.72,14.9,14.14,86.99,146,86.99,14.9,-0.10525102491788281,-0.526255124589414,20.013400661539663,-1.6861214191844827
147,30.72,14.66,14.38,88.9,147,88.9,14.66,-0.10191974423996897,-0.5095987211998448,20.705217181752666,-1.6327543027243028
148,30.72,14.6,14.43,89.33,148,89.33,14.6,-0.10116934394852461,-0.5058467197426231,20.873242458839208,-1.6207328900553644
149,30.72,14.55,14.48,89.73,149,89.73,14.55,-0.10047123715393734,-0.5023561857696867,21.022039995273467,-1.609549219206076
150,30.72,14.6,14.44,89.39,150,89.39,14.6,-0.1010646307311314,-0.5053231536556569,20.884235252499398,-1.6190553843127249
151,30.72,14.78,14.25,87.92,151,87.92,14.78,-0.1036294875065576,-0.5181474375327879,20.351797147175926,-1.6601443898550525
152,30.72,14.52,14.52,89.98,152,89.98,14.52,-0.10003490658433101,-0.500174532921655,21.11367823434823,-1.6025592034809828
153,30.72,14.61,14.42,89.25,153,89.25,14.61,-0.10130895955713447,-0.5065447977856723,20.843611596252767,-1.6229695321052942
154,30.72,14.58,14.44,89.44,154,89.44,14.58,-0.10097736881992492,-0.5048868440996246,20.923458622997405,-1.617657448495197
155,30.72,14.47,14.57,90.37,155,90.37,14.47,-0.0993542326650956,-0.496771163325478,21.26236146086158,-1.5916548072948316
156,30.72,14.48,14.55,90.29,156,90.29,14.48,-0.0994938566780188,-0.49746928339009394,21.232169238061356,-1.593891583981861
157,30.72,14.45,14.57,90.48,157,90.48,14.45,-0.09916225175852295,-0.4958112587926147,21.31361621316378,-1.5885792731715376
158,30.72,14.65,14.39,88.97,158,88.97,14.65,-0.10179759230499932,-0.5089879615249966,20.732816379378953,-1.6307974287260891
159,30.72,14.68,14.36,88.76,159,88.76,14.68,-0.1021640393312098,-0.5108201966560489,20.650137851879947,-1.636667910085981
160,30.72,14.33,14.71,91.5,160,91.5,14.33,-0.0973823051692127,-0.4869115258460635,21.691532452345903,-1.5600645288107875
161,30.72,14.47,14.57,90.42,161,90.42,14.47,-0.09926696827905396,-0.49633484139526973,21.271608837187145,-1.5902568318304444
162,30.72,14.55,14.47,89.67,162,89.67,14.55,-0.10057595546879966,-0.5028797773439982,21.011007036556773,-1.6112268066101705
163,30.72,14.57,14.46,89.58,163,89.58,14.57,-0.10073303172094605,-0.5036651586047303,20.96422823475179,-1.6137431681695558
164,30.72,14.53,14.5,89.87,164,89.87,14.53,-0.10022689260808398,-0.5011344630404199,21.07817736694145,-1.6056348195815053
165,30.72,14.7,14.31,88.47,165,88.47,14.7,-0.10267003640470525,-0.5133501820235262,20.567937981004267,-1.644773983203378
166,30.72,14.76,14.23,87.89,166,87.89,14.76,-0.10368181238553563,-0.5184090619276781,20.3752770615233,-1.6609826344162808
167,30.72,14.68,14.33,88.6,167,88.6,14.68,-0.10244321781526533,-0.5122160890763267,20.620997173099724,-1.6411403494005505
168,30.72,14.59,14.44,89.4,168,89.4,14.59,-0.10104717841162457,-0.5052358920581228,20.901082653176267,-1.6187757981542255
169,30.72,14.7,14.33,88.54,169,88.54,14.7,-0.10254790495169004,-0.5127395247584502,20.580667888340074,-1.6428174373260744
170,30.72,14.69,14.3,88.46,170,88.46,14.69,-0.10268748343405194,-0.5134374171702597,20.580799615834724,-1.645053484613512
171,30.72,14.67,14.35,88.74,171,88.74,14.67,-0.10219893760925053,-0.5109946880462526,20.66125367688102,-1.6372269805001933
172,30.72,14.57,14.47,89.59,172,89.59,14.57,-0.10071557888627002,-0.50357789443135,20.96606439060166,-1.6134635737580456
173,30.72,14.68,14.36,88.74,173,88.74,14.68,-0.10219893760925053,-0.5109946880462526,20.646495166041138,-1.6372269805001933
174,30.72,14.51,14.52,90.03,174,90.03,14.51,-0.09994764012483265,-0.4997382006241632,21.138165390960125,-1.601161194799819
175,30.72,14.55,14.49,89.77,175,89.77,14.55,-0.10040142464984639,-0.5020071232492319,21.029395332079233,-1.608430822890539
176,30.72,14.8,14.24,87.8,176,87.8,14.8,-0.10383878090875201,-0.51919390454376,20.30130792486591,-1.6634972701582071
177,30.72,14.51,14.52,90.03,177,90.03,14.51,-0.09994764012483265,-0.4997382006241632,21.138165390960125,-1.601161194799819
178,30.72,14.51,14.53,90.07,178,90.07,14.51,-0.0998778269827535,-0.4993891349137675,21.14554206846922,-1.6000427882637112
179,30.72,14.54,14.48,89.77,179,89.77,14.54,-0.10040142464984639,-0.5020071232492319,21.04456792975567,-1.608430822890539
180,30.72,14.59,14.45,89.47,180,89.47,14.59,-0.1009250113116797,-0.5046250565583985,20.913916975570196,-1.616818681213109
181,30.72,14.65,14.38,88.93,181,88.93,14.65,-0.10186739375093752,-0.5093369687546876,20.725514850711967,-1.631915647890019
