FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,32.58,14.87,14.17,87.24,0,87.24,14.87,-0.10481524597204345,-0.5240762298602172,20.100593846006788,-1.679140240472136
1,32.58,14.87,14.17,87.24,1,87.24,14.87,-0.10481524597204345,-0.5240762298602172,20.100593846006788,-1.679140240472136
2,32.58,13.23,15.8,100.09,2,100.09,13.23,-0.08248051047979976,-0.41240255239899876,25.32733895015446,-1.3213377778863922
3,32.58,12.31,16.7,107.22,3,107.22,12.31,-0.07039585129244477,-0.35197925646222383,28.847667665323034,-1.1277415377049653
4,32.58,10.26,18.55,122.1,4,122.1,10.26,-0.046860142048191736,-0.23430071024095867,38.59730960323547,-0.7506994756120315
5,32.58,1.5,22.95,172.54,5,172.54,1.5,-0.000846425577010912,-0.00423212788505456,436.112063865322,-0.013559737743714809
6,0.0,0.0,0.0,180.0,6,180.0,0.0,-0.0,-0.0,inf,-0.0
7,0.0,0.0,0.0,180.0,7,180.0,0.0,-0.0,-0.0,inf,-0.0
8,0.0,0.0,0.0,180.0,8,180.0,0.0,-0.0,-0.0,inf,-0.0
9,0.0,0.0,0.0,180.0,9,180.0,0.0,-0.0,-0.0,inf,-0.0
10,0.0,0.0,0.0,180.0,10,180.0,0.0,-0.0,-0.0,inf,-0.0
11,0.0,0.0,0.0,180.0,11,180.0,0.0,-0.0,-0.0,inf,-0.0
12,0.0,0.0,0.0,180.0,12,180.0,0.0,-0.0,-0.0,inf,-0.0
13,0.0,0.0,0.0,180.0,13,180.0,0.0,-0.0,-0.0,inf,-0.0
14,0.0,0.0,0.0,180.0,14,180.0,0.0,-0.0,-0.0,inf,-0.0
15,0.0,0.0,0.0,180.0,15,180.0,0.0,-0.0,-0.0,inf,-0.0
16,0.0,0.0,0.0,180.0,16,180.0,0.0,-0.0,-0.0,inf,-0.0
17,0.0,0.0,0.0,180.0,17,180.0,0.0,-0.0,-0.0,inf,-0.0
18,0.0,0.0,0.0,180.0,18,180.0,0.0,-0.0,-0.0,inf,-0.0
19,0.0,0.0,0.0,180.0,19,180.0,0.0,-0.0,-0.0,inf,-0.0
20,0.0,0.0,0.0,180.0,20,180.0,0.0,-0.0,-0.0,inf,-0.0
21,0.0,0.0,0.0,180.0,21,180.0,0.0,-0.0,-0.0,inf,-0.0
22,0.0,0.0,0.0,180.0,22,180.0,0.0,-0.0,-0.0,inf,-0.0
23,0.0,0.0,0.0,180.0,23,180.0,0.0,-0.0,-0.0,inf,-0.0
24,0.0,0.0,0.0,180.0,24,180.0,0.0,-0.0,-0.0,inf,-0.0
25,0.0,0.0,0.0,180.0,25,180.0,0.0,-0.0,-0.0,inf,-0.0
26,0.0,0.0,0.0,180.0,26,180.0,0.0,-0.0,-0.0,inf,-0.0
27,0.0,0.0,0.0,180.0,27,180.0,0.0,-0.0,-0.0,inf,-0.0
28,0.0,0.0,0.0,180.0,28,180.0,0.0,-0.0,-0.0,inf,-0.0
29,0.0,0.0,0.0,180.0,29,180.0,0.0,-0.0,-0.0,inf,-0.0
30,0.0,0.0,0.0,180.0,30,180.0,0.0,-0.0,-0.0,inf,-0.0
31,0.0,0.0,0.0,180.0,31,180.0,0.0,-0.0,-0.0,inf,-0.0
32,0.0,0.0,0.0,180.0,32,180.0,0.0,-0.0,-0.0,inf,-0.0
33,0.0,0.0,0.0,180.0,33,180.0,0.0,-0.0,-0.0,inf,-0.0
34,0.0,0.0,0.0,180.0,34,180.0,0.0,-0.0,-0.0,inf,-0.0
35,0.0,0.0,0.0,180.0,35,180.0,0.0,-0.0,-0.0,inf,-0.0
36,0.0,0.0,0.0,180.0,36,180.0,0.0,-0.0,-0.0,inf,-0.0
37,0.0,0.0,0.0,180.0,37,180.0,0.0,-0.0,-0.0,inf,-0.0
38,0.0,0.0,0.0,180.0,38,180.0,0.0,-0.0,-0.0,inf,-0.0
39,0.0,0.0,0.0,180.0,39,180.0,0.0,-0.0,-0.0,inf,-0.0
40,0.0,0.0,0.0,180.0,40,180.0,0.0,-0.0,-0.0,inf,-0.0
41,0.0,0.0,0.0,180.0,41,180.0,0.0,-0.0,-0.0,inf,-0.0
42,0.0,0.0,0.0,180.0,42,180.0,0.0,-0.0,-0.0,inf,-0.0
43,0.0,0.0,0.0,180.0,43,180.0,0.0,-0.0,-0.0,inf,-0.0
44,0.0,0.0,0.0,180.0,44,180.0,0.0,-0.0,-0.0,inf,-0.0
45,0.0,0.0,0.0,180.0,45,180.0,0.0,-0.0,-0.0,inf,-0.0
46,0.0,0.0,0.0,180.0,46,180.0,0.0,-0.0,-0.0,inf,-0.0
47,0.0,0.0,0.0,180.0,47,180.0,0.0,-0.0,-0.0,inf,-0.0
48,0.0,0.0,0.0,180.0,48,180.0,0.0,-0.0,-0.0,inf,-0.0
49,0.0,0.0,0.0,180.0,49,180.0,0.0,-0.0,-0.0,inf,-0.0
50,0.0,0.0,0.0,180.0,50,180.0,0.0,-0.0,-0.0,inf,-0.0
51,0.0,0.0,0.0,180.0,51,180.0,0.0,-0.0,-0.0,inf,-0.0
52,0.0,0.0,0.0,180.0,52,180.0,0.0,-0.0,-0.0,inf,-0.0
53,0.0,0.0,0.0,180.0,53,180.0,0.0,-0.0,-0.0,inf,-0.0
54,0.0,0.0,0.0,180.0,54,180.0,0.0,-0.0,-0.0,inf,-0.0
