FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,20.21,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,20.21,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,20.21,15.29,13.72,83.82,2,83.82,15.29,-0.11076523249817097,-0.5538261624908548,18.927542417566656,-1.7744590246206988
3,20.21,15.65,13.37,81.01,3,81.01,15.65,-0.11562620785232035,-0.5781310392616017,17.997751727045,-1.8523318497941719
4,20.21,15.67,13.3,80.67,4,80.67,15.67,-0.11621205153722516,-0.5810602576861258,17.91662046215561,-1.861717065626347
5,20.21,15.91,13.07,78.82,5,78.82,15.91,-0.11938919214479876,-0.5969459607239938,17.329350151715445,-1.912614858159676
6,20.21,16.23,12.78,76.44,6,76.44,16.23,-0.12344634990685624,-0.6172317495342812,16.5913318907153,-1.977610525507837
7,20.21,16.21,12.8,76.57,7,76.57,16.21,-0.12322572159621453,-0.6161286079810726,16.63346755543321,-1.9740760599713567
8,20.21,16.37,12.62,75.23,8,75.23,16.37,-0.12549394954004767,-0.6274697477002383,16.2525232116789,-2.0104130716315636
9,20.21,16.89,12.14,71.4,9,71.4,16.89,-0.13189593092980698,-0.6594796546490349,15.153795134064888,-2.112972813495508
10,20.21,17.18,11.83,69.08,10,69.08,17.18,-0.13570640764585568,-0.6785320382292783,14.549849476292716,-2.174016650486608
11,20.21,16.61,12.28,72.95,11,72.95,16.61,-0.12932061266221304,-0.6466030633110652,15.656527143875062,-2.071716214848653
12,20.21,16.64,12.26,72.77,12,72.77,16.64,-0.12962081920669352,-0.6481040960334676,15.599596604617384,-2.07652552369123
13,20.21,16.65,12.26,72.71,13,72.71,16.65,-0.1297208232354151,-0.6486041161770755,15.580673202191315,-2.0781275882313497
14,20.21,16.66,12.25,72.63,14,72.63,16.66,-0.12985411122194143,-0.6492705561097072,15.558729874160191,-2.0802628617755015
15,20.21,16.76,12.15,71.88,15,71.88,16.76,-0.13110082032786818,-0.6555041016393409,15.348628051430746,-2.100235141652448
16,20.21,16.87,12.05,71.06,16,71.06,16.87,-0.13245778313884476,-0.6622889156942238,15.121814301488905,-2.121973685884293
17,20.21,17.04,11.91,69.93,17,69.93,17.04,-0.1343167938899388,-0.671583969449694,14.79854989896413,-2.1517550381168196
18,20.21,17.06,11.82,69.44,18,69.44,17.06,-0.135118806988038,-0.67559403494019,14.708923560556565,-2.1646032879483688
19,20.21,16.94,11.96,70.48,19,70.48,16.94,-0.13341358828441216,-0.6670679414220607,14.97078242064322,-2.1372856843162826
20,20.21,17.0,11.88,69.87,20,69.87,17.0,-0.13441513560555896,-0.6720756780277948,14.826036174582,-2.1533304724010542
21,20.21,17.19,11.71,68.53,21,68.53,17.19,-0.1366014011007972,-0.6830070055039859,14.461818864355273,-2.1883544456347708
22,20.21,17.09,11.8,69.27,22,69.27,17.09,-0.1353964592652494,-0.676982296326247,14.657294083709196,-2.169051277429295
23,20.21,17.04,11.83,69.54,23,69.54,17.04,-0.13495533754206046,-0.6747766877103023,14.741516236226389,-2.1619845074238087
24,20.21,16.89,11.97,70.64,24,70.64,16.89,-0.13315025573531195,-0.6657512786765597,15.0407236228318,-2.133067096879697
25,20.21,17.05,11.84,69.55,25,69.55,17.05,-0.13493898473284252,-0.6746949236642126,14.73396560788594,-2.1617225354201373
26,20.21,16.83,12.02,71.08,26,71.08,16.83,-0.13242476445475945,-0.6621238222737973,15.162275423966173,-2.1214447265652465
27,20.21,16.81,12.06,71.33,27,71.33,16.81,-0.1320116988517741,-0.6600584942588705,15.218506246491343,-2.114827415605421
28,20.21,17.0,11.91,70.02,28,70.02,17.0,-0.13416921078914834,-0.6708460539457417,14.848055640175462,-2.1493907568421564
29,20.21,16.97,11.93,70.22,29,70.22,16.97,-0.13384094702691282,-0.6692047351345641,14.904861515206754,-2.1441319713711433
30,20.21,17.14,11.77,68.96,30,68.96,17.14,-0.13590196242512462,-0.6795098121256231,14.567867974318753,-2.1771494380504963
31,20.21,17.02,11.86,69.74,31,69.74,17.02,-0.1346280797083253,-0.6731403985416264,14.788835895558888,-2.156741836927371
32,20.21,16.95,11.93,70.31,32,70.31,16.95,-0.13369309356814868,-0.6684654678407433,14.936472734209845,-2.1417633589617417
33,20.21,16.98,11.9,70.05,33,70.05,16.98,-0.1341199976688672,-0.670599988344336,14.87069617696541,-2.1486023626552524
34,20.21,17.19,11.71,68.51,34,68.51,17.19,-0.13663388326431922,-0.683169416321596,14.458943985572084,-2.188874809894394
35,20.21,17.07,11.8,69.32,35,69.32,17.07,-0.13531482906848477,-0.6765741453424238,14.682467778917642,-2.167743561677126
36,20.21,16.97,11.86,69.89,36,69.89,16.97,-0.13438235922174036,-0.6719117961087018,14.856295556011888,-2.1528053947322805
37,20.21,17.3,11.58,67.6,37,67.6,17.3,-0.13810703763502744,-0.6905351881751371,14.233669387644172,-2.2124747429131393
38,20.21,16.92,11.91,70.28,38,70.28,16.92,-0.1337423873095741,-0.6687119365478705,14.959644610134266,-2.142553044699377
39,20.21,16.96,11.86,69.93,39,69.93,16.96,-0.1343167938899388,-0.671583969449694,14.871311114319182,-2.1517550381168196
40,20.21,16.91,11.92,70.37,40,70.37,16.91,-0.1335944783873564,-0.667972391936782,14.982183809426596,-2.1401835437654495
41,20.21,17.09,11.75,69.0,41,69.0,17.09,-0.13583679495453005,-0.6791839747726502,14.618083932672775,-2.1761054551715713
42,20.21,17.12,11.75,68.9,42,68.9,17.12,-0.13599968081200514,-0.6799984040600257,14.576915262946494,-2.178714886608322
43,20.21,17.11,11.73,68.88,43,68.88,17.11,-0.1360322448400195,-0.6801612242000974,14.582896398338342,-2.1792365623371124
44,20.21,17.01,11.83,69.65,44,69.65,17.01,-0.1347753981862428,-0.6738769909312139,14.784714829802356,-2.1591018789436096
45,20.21,17.39,11.48,66.86,45,66.86,17.39,-0.13929791774875816,-0.6964895887437907,14.052821402290942,-2.2315526423351058
46,20.21,17.33,11.53,67.24,46,67.24,17.33,-0.13868719101792665,-0.6934359550896332,14.157092136519836,-2.221768800107185
47,20.21,17.11,11.72,68.82,47,68.82,17.11,-0.13612991056567547,-0.6806495528283774,14.574210244420335,-2.180801167262121
48,20.21,16.95,11.89,70.1,48,70.1,16.95,-0.13403795502130503,-0.6701897751065251,14.90549979506579,-2.1472880394413063
49,20.21,17.13,11.72,68.76,49,68.76,17.13,-0.13622753667045456,-0.6811376833522728,14.547808445837843,-2.182365137460682
50,20.21,17.39,11.47,66.81,50,66.81,17.39,-0.13937814842122728,-0.6968907421061363,14.045805517397604,-2.232837937708061
51,20.21,17.31,11.55,67.43,51,67.43,17.31,-0.13838118782642198,-0.6919059391321098,14.201016265856198,-2.2168666289792798
52,20.21,16.74,12.06,71.51,52,71.51,16.74,-0.13171391378715272,-0.6585695689357636,15.311968129931532,-2.1100568988701864
53,20.21,16.99,11.85,69.79,53,69.79,16.99,-0.13454619916710522,-0.6727309958355261,14.823389152716079,-2.1554301106570257
54,20.21,17.11,11.74,68.91,54,68.91,17.11,-0.13598339715283048,-0.6799169857641524,14.587240793740238,-2.178454022388344
55,20.21,17.33,11.53,67.27,55,67.27,17.33,-0.13863890292171643,-0.6931945146085822,14.161329983665754,-2.2209952248058973
56,20.21,17.14,11.71,68.66,56,68.66,17.14,-0.13639015850793562,-0.681950792539678,14.524528174616849,-2.1849703392971285
57,20.21,16.74,12.01,71.34,57,71.34,16.74,-0.13199516349857385,-0.6599758174928692,15.28637785853865,-2.114562519247153
58,20.21,17.24,11.59,67.85,58,67.85,17.24,-0.1377032668542306,-0.6885163342711529,14.32090034044766,-2.206006335004774
59,20.21,17.45,11.4,66.28,59,66.28,17.45,-0.14022673787032333,-0.7011336893516166,13.921580142565373,-2.24643234068258
60,20.21,17.33,11.53,67.26,60,67.26,17.33,-0.13865500013144857,-0.6932750006572428,14.15991726459678,-2.221253102105806
61,20.21,17.49,11.38,66.09,61,66.09,17.49,-0.14053011480255756,-0.7026505740127877,13.862060842160203,-2.251292439136972
62,20.21,17.42,11.45,66.66,62,66.66,17.42,-0.1396186602653142,-0.6980933013265709,13.999623852566623,-2.236690937450333
63,20.21,17.53,11.32,65.72,63,65.72,17.53,-0.14111961937808665,-0.7055980968904332,13.778011244425858,-2.260736302436948
64,20.21,17.45,11.42,66.37,64,66.37,17.45,-0.14008287840591951,-0.7004143920295975,13.934115100143812,-2.2441277120628307
65,20.21,17.49,11.39,66.14,65,66.14,17.49,-0.14045032184324374,-0.7022516092162187,13.868996915735567,-2.2500141559287647
66,20.21,17.36,11.48,66.97,66,66.97,17.36,-0.1391213050120874,-0.6956065250604369,14.093583971293123,-2.22872330629364
67,20.21,17.37,11.42,66.64,67,66.64,17.37,-0.13965070803065543,-0.6982535401532771,14.038784487430929,-2.2372043426511
68,20.21,17.28,11.51,67.33,68,67.33,17.28,-0.1385422949633143,-0.6927114748165715,14.212514789647763,-2.219447565312295
69,20.21,17.44,11.36,66.17,69,66.17,17.44,-0.14040243127751922,-0.7020121563875961,13.914573944483237,-2.2492469490658578
70,20.21,17.3,11.52,67.3,70,67.3,17.3,-0.13859060423243186,-0.6929530211621593,14.191154092514504,-2.220221479803558
71,20.21,17.34,11.45,66.87,71,66.87,17.34,-0.1392818680210599,-0.6964093401052995,14.096430699904591,-2.2312955256973797
72,20.21,17.18,11.63,68.17,72,68.17,17.18,-0.1371853938663837,-0.6859269693319185,14.418870376147357,-2.197710009739467
73,20.21,17.38,11.39,66.47,73,66.47,17.38,-0.13992291857757447,-0.6996145928878723,14.00655469269278,-2.2415651556127427
74,20.21,17.12,11.57,68.1,74,68.1,17.12,-0.1372987782575809,-0.6864938912879045,14.461446991444165,-2.1995264276864464
75,20.21,17.37,11.4,66.55,75,66.55,17.37,-0.13979486313076106,-0.6989743156538053,14.026163525041312,-2.239513707354792
76,20.21,16.67,12.03,71.63,76,71.63,16.67,-0.13151521633834257,-0.6575760816917128,15.397192507772871,-2.106873765740248
77,20.21,17.32,11.43,66.85,77,66.85,17.32,-0.13931396627937342,-0.6965698313968671,14.110565280404357,-2.2318097397955623
78,20.21,17.38,11.37,66.39,78,66.39,17.38,-0.1400508961926153,-0.7002544809630764,13.995356803222402,-2.243615357005697
79,20.21,17.28,11.44,66.99,79,66.99,17.28,-0.13908917809420163,-0.6954458904710081,14.164374723590347,-2.22820863306911
80,20.21,17.24,11.48,67.31,80,67.31,17.24,-0.13857450231760904,-0.6928725115880452,14.244023400275978,-2.2199635271280966
