FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,25.52,15.13,13.9,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,25.52,15.13,13.9,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,25.52,14.75,14.29,88.2,2,88.2,14.75,-0.10314107590781281,-0.515705379539064,20.44592054770984,-1.6523200360431611
3,25.52,11.33,17.61,114.51,3,114.51,11.33,-0.05851479454582823,-0.29257397272914115,33.12848286118854,-0.9374070086241683
4,0.0,0.0,0.0,180.0,4,180.0,0.0,-0.0,-0.0,inf,-0.0
5,0.0,0.0,0.0,180.0,5,180.0,0.0,-0.0,-0.0,inf,-0.0
6,0.0,0.0,0.0,180.0,6,180.0,0.0,-0.0,-0.0,inf,-0.0
7,0.0,0.0,0.0,180.0,7,180.0,0.0,-0.0,-0.0,inf,-0.0
8,0.0,0.0,0.0,180.0,8,180.0,0.0,-0.0,-0.0,inf,-0.0
9,0.0,0.0,0.0,180.0,9,180.0,0.0,-0.0,-0.0,inf,-0.0
10,0.0,0.0,0.0,180.0,10,180.0,0.0,-0.0,-0.0,inf,-0.0
11,0.0,0.0,0.0,180.0,11,180.0,0.0,-0.0,-0.0,inf,-0.0
12,0.0,0.0,0.0,180.0,12,180.0,0.0,-0.0,-0.0,inf,-0.0
13,0.0,0.0,0.0,180.0,13,180.0,0.0,-0.0,-0.0,inf,-0.0
14,0.0,0.0,0.0,180.0,14,180.0,0.0,-0.0,-0.0,inf,-0.0
15,0.0,0.0,0.0,180.0,15,180.0,0.0,-0.0,-0.0,inf,-0.0
16,0.0,0.0,0.0,180.0,16,180.0,0.0,-0.0,-0.0,inf,-0.0
17,0.0,0.0,0.0,180.0,17,180.0,0.0,-0.0,-0.0,inf,-0.0
18,0.0,0.0,0.0,180.0,18,180.0,0.0,-0.0,-0.0,inf,-0.0
19,0.0,0.0,0.0,180.0,19,180.0,0.0,-0.0,-0.0,inf,-0.0
