FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.85,15.13,13.91,85.17,0,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
1,21.85,15.13,13.91,85.17,1,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
2,21.85,14.2,14.84,92.52,2,92.52,14.2,-0.09560318816821353,-0.47801594084106763,22.092381052162242,-1.5315630744547808
3,21.85,14.9,14.13,86.97,3,86.97,14.9,-0.10528588302466264,-0.5264294151233132,20.009818464216192,-1.6866798460550956
4,21.85,14.71,14.32,88.46,4,88.46,14.71,-0.10268748343405194,-0.5134374171702597,20.55146017954478,-1.645053484613512
5,21.85,14.67,14.37,88.82,5,88.82,14.67,-0.10205934293200697,-0.5102967146600348,20.675834999163172,-1.6349906737707516
6,21.85,14.82,14.22,87.64,6,87.64,14.82,-0.10411781242603349,-0.5205890621301674,20.243754171192293,-1.6679673550650564
7,21.85,14.54,14.49,89.81,7,89.81,14.54,-0.10033161195010593,-0.5016580597505296,21.051928594026297,-1.6073124234406968
8,21.85,14.61,14.43,89.29,8,89.29,14.61,-0.10123915205480334,-0.5061957602740167,20.85093472698806,-1.6218512159179495
9,21.85,14.65,14.38,88.93,9,88.93,14.65,-0.10186739375093752,-0.5093369687546876,20.725514850711967,-1.631915647890019
10,21.85,14.62,14.41,89.17,10,89.17,14.62,-0.10144857261386064,-0.5072428630693032,20.814023467157917,-1.6252061332740475
11,21.85,14.66,14.37,88.84,11,88.84,14.66,-0.10202444362475352,-0.5101222181237676,20.69427301423611,-1.6344315868685513
12,21.85,14.77,14.27,88.0,12,88.0,14.77,-0.10348994967025012,-0.5174497483512506,20.380714122952444,-1.6579089937174067
13,21.85,14.86,14.18,87.29,13,87.29,14.86,-0.10472807891631145,-0.5236403945815572,20.123753417857017,-1.6777438242393092
14,21.85,14.74,14.3,88.27,14,88.27,14.74,-0.10301896083135081,-0.515094804156754,20.473155215447747,-1.65036375251824
15,21.85,14.57,14.47,89.62,15,89.62,14.57,-0.10066322025358171,-0.5033161012679085,20.971572871687197,-1.612624788462379
16,21.85,14.44,14.6,90.64,16,90.64,14.44,-0.09888301250705779,-0.49441506253528894,21.358760533023936,-1.5841058603630658
17,21.85,14.59,14.45,89.44,17,89.44,14.59,-0.10097736881992492,-0.5048868440996246,20.908416532808886,-1.617657448495197
18,21.85,14.73,14.31,88.37,18,88.37,14.73,-0.10284450295045265,-0.5142225147522632,20.505872712452923,-1.6475689372662514
19,21.85,14.44,14.6,90.63,19,90.63,14.44,-0.09890046472767819,-0.4945023236383909,21.35690709535242,-1.5843854449374046
20,21.85,14.59,14.45,89.42,20,89.42,14.59,-0.10101227367744599,-0.5050613683872299,20.904749586513677,-1.6182166243126848
21,21.85,14.6,14.44,89.38,21,89.38,14.6,-0.10108208301820767,-0.5054104150910383,20.882403111385756,-1.6193349699516868
22,21.85,14.44,14.59,90.59,22,90.59,14.44,-0.0989702739397811,-0.4948513696989055,21.349493309660364,-1.5855037885152932
23,21.85,14.44,14.59,90.61,23,90.61,14.44,-0.09893536926886864,-0.49467684634434317,21.353200209394675,-1.5849446156872757
24,21.85,14.57,14.46,89.58,24,89.58,14.57,-0.10073303172094605,-0.5036651586047303,20.96422823475179,-1.6137431681695558
25,21.85,14.57,14.47,89.6,25,89.6,14.57,-0.10069812602979616,-0.5034906301489808,20.96790054874481,-1.6131839789973346
26,21.85,14.59,14.44,89.39,26,89.39,14.59,-0.1010646307311314,-0.5053231536556569,20.899249191506364,-1.6190553843127249
27,21.85,14.63,14.41,89.13,27,89.13,14.63,-0.10151837810021005,-0.5075918905010502,20.791790351213738,-1.626324417165365
28,21.85,14.46,14.58,90.46,28,90.46,14.46,-0.09919715716896037,-0.4959857858448018,21.29444812278323,-1.5891384578467451
29,21.85,14.6,14.44,89.35,29,89.35,14.6,-0.10113443967953724,-0.5056721983976862,20.876906709030255,-1.6201737236661866
30,21.85,14.6,14.44,89.37,30,89.37,14.6,-0.10109953527232184,-0.5054976763616091,20.880570973732475,-1.6196145550625958
31,21.85,14.6,14.44,89.35,31,89.35,14.6,-0.10113443967953724,-0.5056721983976862,20.876906709030255,-1.6201737236661866
32,21.85,14.67,14.37,88.84,32,88.84,14.67,-0.10202444362475352,-0.5101222181237676,20.67948039636982,-1.6344315868685513
33,21.85,14.67,14.37,88.83,33,88.83,14.67,-0.10204189330948006,-0.5102094665474003,20.677657694517976,-1.6347111308178706
34,21.85,14.52,14.51,89.95,34,89.95,14.52,-0.10008726645152353,-0.5004363322576176,21.108149722499427,-1.603398008553407
35,21.85,14.43,14.6,90.68,35,90.68,14.43,-0.09881320397014627,-0.49406601985073134,21.381712605560164,-1.5829875276017433
36,21.85,14.57,14.47,89.61,36,89.61,14.57,-0.10068067315205619,-0.5034033657602809,20.969736709125296,-1.61290438389594
37,21.85,14.59,14.45,89.47,37,89.47,14.59,-0.1009250113116797,-0.5046250565583985,20.913916975570196,-1.616818681213109
38,21.85,14.72,14.32,88.41,38,88.41,14.72,-0.10277471734217469,-0.5138735867108735,20.52774219949313,-1.6464509718216385
39,21.85,14.65,14.39,88.96,39,88.96,14.65,-0.10181504274994949,-0.5090752137497474,20.730990988481352,-1.6310769848541906
40,21.85,14.53,14.5,89.89,40,89.89,14.53,-0.10019198609978,-0.5009599304989,21.08186037304221,-1.6050756173184755
41,21.85,14.59,14.45,89.47,41,89.47,14.59,-0.1009250113116797,-0.5046250565583985,20.913916975570196,-1.616818681213109
42,21.85,14.59,14.44,89.41,42,89.41,14.59,-0.10102972606021893,-0.5051486303010946,20.902916118197318,-1.6184962114847072
43,21.85,14.64,14.39,89.02,43,89.02,14.64,-0.10171033926951308,-0.5085516963475654,20.756801883837625,-1.6293996350975994
44,21.85,14.56,14.48,89.7,44,89.7,14.56,-0.10052359638314196,-0.5026179819157097,21.001381998958205,-1.610388014057934
45,21.85,14.62,14.41,89.18,45,89.18,14.62,-0.10143112113062919,-0.5071556056531459,20.815852895363488,-1.6249265605126795
46,21.85,14.69,14.35,88.64,46,88.64,14.69,-0.1023734248954022,-0.511867124477011,20.61355767885113,-1.6400222668243432
47,21.85,14.63,14.4,89.1,47,89.1,14.63,-0.1015707317311821,-0.5078536586559105,20.786306086681453,-1.6271631223335372
48,21.85,14.68,14.36,88.73,48,88.73,14.68,-0.10221638664806143,-0.5110819332403072,20.644673833581614,-1.637506514101944
49,21.85,14.63,14.41,89.15,49,89.15,14.63,-0.10148347544741386,-0.5074173772370693,20.7954465518871,-1.62576527666757
50,21.85,14.61,14.43,89.29,50,89.29,14.61,-0.10123915205480334,-0.5061957602740167,20.85093472698806,-1.6218512159179495
51,21.85,14.72,14.32,88.4,51,88.4,14.72,-0.10279216387235689,-0.5139608193617844,20.525926317325133,-1.6467304652351573
52,21.85,14.61,14.43,89.28,52,89.28,14.61,-0.10125660398833525,-0.5062830199416762,20.849103938225102,-1.6221307958931306
53,21.85,14.47,14.57,90.38,53,90.38,14.47,-0.0993367797464183,-0.49668389873209146,21.264210940521146,-1.5913752115376212
54,21.85,14.46,14.57,90.42,54,90.42,14.46,-0.09926696827905396,-0.49633484139526973,21.28704489561113,-1.5902568318304444
55,21.85,14.55,14.49,89.76,55,89.76,14.55,-0.1004188777955404,-0.502094388977702,21.027556495805257,-1.6087104222845572
56,21.85,14.5,14.54,90.15,56,90.15,14.5,-0.0997382009112582,-0.498691004556291,21.175606436148072,-1.5978059785983565
57,21.85,14.51,14.52,90.05,57,90.05,14.51,-0.0999127335484765,-0.4995636677423825,21.141853730276438,-1.6006019914465937
58,21.85,14.44,14.6,90.63,58,90.63,14.44,-0.09890046472767819,-0.4945023236383909,21.35690709535242,-1.5843854449374046
59,21.85,14.41,14.62,90.82,59,90.82,14.41,-0.09856887886937082,-0.4928443943468541,21.43886125527213,-1.5790734394873205
60,21.85,14.47,14.56,90.36,60,90.36,14.47,-0.09937168560344412,-0.4968584280172205,21.260511979117464,-1.5919344033671747
61,21.85,14.34,14.69,91.39,61,91.39,14.34,-0.09757423030439222,-0.4878711515219611,21.655122283625758,-1.5631391694763632
62,21.85,14.71,14.32,88.46,62,88.46,14.71,-0.10268748343405194,-0.5134374171702597,20.55146017954478,-1.645053484613512
63,21.85,14.65,14.39,89.0,63,89.0,14.65,-0.10174524064372836,-0.5087262032186418,20.738292586216748,-1.6299587551125283
64,21.85,14.57,14.46,89.56,64,89.56,14.57,-0.10076793732277828,-0.5038396866138913,20.960555930155586,-1.614302355910908
65,21.85,14.55,14.49,89.76,65,89.76,14.55,-0.1004188777955404,-0.502094388977702,21.027556495805257,-1.6087104222845572
66,21.85,14.59,14.45,89.44,66,89.44,14.59,-0.10097736881992492,-0.5048868440996246,20.908416532808886,-1.617657448495197
67,21.85,14.69,14.35,88.68,67,88.68,14.69,-0.10230363081876062,-0.5115181540938031,20.620837591604417,-1.638904165716545
68,21.85,14.58,14.46,89.55,68,89.55,14.58,-0.10078539008887114,-0.5039269504443556,20.943641548988694,-1.6145819492237155
69,21.85,14.65,14.38,88.92,69,88.92,14.65,-0.10188484397154084,-0.5094242198577041,20.72368948328199,-1.632195200424084
70,21.85,14.64,14.39,89.02,70,89.02,14.64,-0.10171033926951308,-0.5085516963475654,20.756801883837625,-1.6293996350975994
71,21.85,14.53,14.51,89.94,71,89.94,14.53,-0.10010471973598,-0.5005235986798999,21.091067898110815,-1.6036776101703996
72,21.85,14.73,14.31,88.35,72,88.35,14.73,-0.10287939523682635,-0.5143969761841317,20.5022436136262,-1.648127911693958
