FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,20.36,15.29,13.75,83.91,0,83.91,15.29,-0.11060905250085938,-0.5530452625042969,18.943163772790722,-1.7719570210637672
1,20.36,15.29,13.75,83.91,1,83.91,15.29,-0.11060905250085938,-0.5530452625042969,18.943163772790722,-1.7719570210637672
2,20.36,14.7,14.31,88.45,2,88.45,14.7,-0.10270493038153317,-0.5135246519076658,20.56430094008949,-1.6453329847121614
3,20.36,15.01,13.99,85.97,3,85.97,15.01,-0.10702787874734897,-0.5351393937367448,19.678559470677317,-1.7145866175325304
4,20.36,14.81,14.18,87.51,4,87.51,14.81,-0.1043445019893332,-0.521722509946666,20.234637848444486,-1.6715989218691178
5,20.36,14.84,14.2,87.46,5,87.46,14.84,-0.10443168439130122,-0.5221584219565061,20.182767285038146,-1.6729955839486457
6,20.36,14.7,14.22,88.07,6,88.07,14.7,-0.10336784847291135,-0.5168392423645567,20.49520419501576,-1.6559529325360398
7,20.36,14.87,14.07,86.83,7,86.83,14.87,-0.1055298715003527,-0.5276493575017634,20.026999996076913,-1.6905885414356503
8,20.36,14.91,14.08,86.71,8,86.71,14.91,-0.10573897825660993,-0.5286948912830496,19.949225685267788,-1.693938431670891
9,20.36,14.93,14.01,86.35,9,86.35,14.93,-0.1063661438131613,-0.5318307190658065,19.856908811732453,-1.703985623886844
10,20.36,14.84,14.15,87.26,10,87.26,14.84,-0.10478037958607565,-0.5239018979303782,20.146781732124634,-1.678581680968932
11,20.36,14.95,14.04,86.4,11,86.4,14.95,-0.10627905195293133,-0.5313952597646566,19.837994107301036,-1.7025904122859599
12,20.36,14.86,14.13,87.15,12,87.15,14.86,-0.10497213738686578,-0.5248606869343289,20.09860196518672,-1.6816536409375897
13,20.36,14.84,14.13,87.2,13,87.2,14.84,-0.10488497697956133,-0.5244248848978066,20.13598721847976,-1.6802573312125724
14,20.36,14.91,14.06,86.63,14,86.63,14.91,-0.10587836883186007,-0.5293918441593003,19.934911264293838,-1.6961714686863982
15,20.36,14.88,14.15,87.11,15,87.11,14.88,-0.10504186298961611,-0.5252093149480805,20.063116077201617,-1.6827706450936502
16,20.36,14.92,14.07,86.62,16,86.62,14.92,-0.10589579185354508,-0.5294789592677254,19.91912262452211,-1.6964505854937921
17,20.36,14.81,14.16,87.44,17,87.44,14.81,-0.10446655641082864,-0.5223327820541431,20.222015013707548,-1.6735542337014748
18,20.36,15.02,13.99,85.94,18,85.94,15.02,-0.10708010819355257,-0.5354005409677628,19.65951238179343,-1.715423333260712
19,20.36,14.88,14.09,86.87,19,86.87,14.88,-0.10546016381258519,-0.5273008190629259,20.02006879487161,-1.6894718242776148
20,20.36,15.02,13.99,85.94,20,85.94,15.02,-0.10708010819355257,-0.5354005409677628,19.65951238179343,-1.715423333260712
21,20.36,15.07,13.9,85.37,21,85.37,15.07,-0.10807208255118184,-0.5403604127559092,19.49045732458012,-1.731314762469933
22,20.36,14.94,14.05,86.51,22,86.51,14.94,-0.10608743312198071,-0.5304371656099035,19.87154378460531,-1.699520678614131
23,20.36,15.08,13.86,85.19,23,85.19,15.08,-0.10838517628706115,-0.5419258814353057,19.44514741050059,-1.7363305241187197
24,20.36,15.14,13.85,84.91,24,84.91,15.14,-0.10887204535526218,-0.5443602267763109,19.31524686549774,-1.7441301665913
25,20.36,15.23,13.79,84.3,25,84.3,15.23,-0.10993197497436391,-0.5496598748718196,19.089296975899455,-1.7611102390893099
26,20.36,15.13,13.82,84.83,26,84.83,15.13,-0.10901111239461357,-0.5450555619730678,19.31455227485033,-1.7463580205617093
27,20.36,15.16,13.78,84.55,27,84.55,15.16,-0.10949770690839543,-0.5474885345419771,19.22542232838516,-1.7541532646724947
28,20.36,15.25,13.74,84.05,28,84.05,15.25,-0.11036605394984554,-0.5518302697492277,19.01955193848269,-1.7680641842765255
29,20.36,14.96,14.03,86.34,29,86.34,14.96,-0.10638356160555813,-0.5319178080277907,19.81340555125214,-1.7042646569210413
30,20.36,15.11,13.85,85.02,30,85.02,15.11,-0.10868079998954366,-0.5434039999477183,19.374777091032858,-1.7410664158324896
31,20.36,15.25,13.69,83.84,31,83.84,15.25,-0.11073052811402867,-0.5536526405701433,18.98299658834468,-1.7739030603867392
32,20.36,15.06,13.93,85.53,32,85.53,15.06,-0.10779371003013774,-0.5389685501506887,19.532301803452413,-1.7268552346828066
33,20.36,14.92,14.04,86.52,33,86.52,14.92,-0.10607001210504191,-0.5303500605252095,19.901244008770398,-1.6992415939227714
34,20.36,15.17,13.82,84.65,34,84.65,15.17,-0.10932394858855005,-0.5466197429427502,19.229675505322234,-1.7513696563885717
35,20.36,15.25,13.77,84.16,35,84.16,15.25,-0.11017508302610664,-0.5508754151305332,19.038705584116535,-1.7650048300782284
36,20.36,15.1,13.89,85.22,36,85.22,15.1,-0.10833299966141036,-0.5416649983070517,19.42346118579275,-1.7354946545757939
37,20.36,15.48,13.54,82.35,37,82.35,15.48,-0.11331213385265526,-0.5665606692632763,18.433024610345544,-1.8152603843195372
38,20.36,15.36,13.61,83.12,38,83.12,15.36,-0.11197902938367295,-0.5598951469183647,18.71644245823556,-1.7939040507264405
39,20.36,15.21,13.78,84.38,39,84.38,15.21,-0.10979302937057195,-0.5489651468528597,19.129551666677326,-1.7588843305165627
40,20.36,15.52,13.43,81.71,40,81.71,15.52,-0.1144183493972653,-0.5720917469863265,18.27439703431768,-1.8329819573441901
41,20.36,15.53,13.44,81.77,41,81.77,15.53,-0.11431471597531857,-0.5715735798765929,18.27228579842641,-1.8313217499246035
42,20.36,15.36,13.61,83.05,42,83.05,15.36,-0.11210031371944738,-0.5605015685972369,18.70436927680177,-1.795847025785547
43,20.36,15.41,13.58,82.76,43,82.76,15.41,-0.11260258296889086,-0.5630129148444543,18.591035647904167,-1.8038933791616316
44,20.36,15.58,13.41,81.44,44,81.44,15.58,-0.11488450248849523,-0.5744225124424761,18.155071377542402,-1.8404497298656934
45,20.36,15.41,13.58,82.78,45,82.78,15.41,-0.11256795392834418,-0.5628397696417209,18.594471072668583,-1.8033386219320737
46,20.36,15.46,13.48,82.17,46,82.17,15.46,-0.11362343081632016,-0.5681171540816008,18.427195894743097,-1.820247361677449
47,20.36,15.4,13.64,83.06,47,83.06,15.4,-0.11208298848733306,-0.5604149424366652,18.655250549134966,-1.7955694755670755
48,20.36,15.42,13.48,82.35,48,82.35,15.42,-0.11331213385265526,-0.5665606692632763,18.50807574799405,-1.8152603843195372
49,20.36,15.54,13.43,81.69,49,81.69,15.54,-0.11445289036319524,-0.5722644518159762,18.246398389298594,-1.8335353036183877
50,20.36,15.68,13.32,80.68,50,80.68,15.68,-0.11619482888807663,-0.5809741444403831,17.906350301074145,-1.8614411587869875
51,20.36,15.95,13.08,78.71,51,78.71,15.95,-0.11957749917141068,-0.5978874958570534,17.26591898128949,-1.915631536725999
52,20.36,15.93,12.93,78.14,52,78.14,15.93,-0.12055210070593987,-0.6027605035296993,17.195182019401024,-1.9312446533091567
53,20.36,15.98,13.0,78.26,53,78.26,15.98,-0.12034708723691878,-0.6017354361845939,17.158548950134485,-1.9279603375354388
54,20.36,16.07,12.91,77.55,54,77.55,16.07,-0.12155875526422331,-0.6077937763211165,16.943119972707855,-1.9473712593328574
55,20.36,16.05,12.97,77.9,55,77.9,16.05,-0.1209618562903822,-0.6048092814519109,17.02192523727171,-1.9378089377719228
56,20.36,15.91,13.06,78.78,56,78.78,15.91,-0.11945767573250904,-0.5972883786625451,17.32277924887098,-1.9137119652347947
57,20.36,16.0,12.94,77.92,57,77.92,16.0,-0.12092772394030152,-0.6046386197015076,17.08075658937347,-1.9372621375236303
58,20.36,16.09,12.93,77.59,58,77.59,16.09,-0.12149057853652906,-0.6074528926826452,16.927586647652994,-1.9462790681551956
59,20.36,16.05,13.0,77.99,59,77.99,16.05,-0.12080824066122496,-0.6040412033061248,17.036530134868453,-1.9353480153928238
60,20.36,16.03,12.95,77.87,60,77.87,16.03,-0.12101305002519372,-0.6050652501259686,17.03923856048888,-1.9386290614036032
61,20.36,16.15,12.78,76.71,61,76.71,16.15,-0.12298798819297008,-0.6149399409648504,16.720462777512154,-1.9702675708513806
62,20.36,16.1,12.93,77.55,62,77.55,16.1,-0.12155875526422331,-0.6077937763211165,16.910143819690454,-1.9473712593328574
63,20.36,16.12,12.88,77.26,63,77.26,16.12,-0.12205272023126822,-0.610263601156341,16.841480437624593,-1.9552845781049168
64,20.36,16.22,12.72,76.22,64,76.22,16.22,-0.12381944532399079,-0.6190972266199539,16.56692932723648,-1.9835875140903325
65,20.36,16.33,12.68,75.66,65,75.66,16.33,-0.12476754530762978,-0.6238377265381488,16.361907972252112,-1.998776075828229
66,20.36,16.18,12.85,76.91,66,76.91,16.18,-0.12264813131109782,-0.6132406565554891,16.72012794687737,-1.9648230636037871
67,20.36,16.27,12.72,76.06,67,76.06,16.27,-0.1240905671828376,-0.620452835914188,16.48836080420999,-1.9879308862690583
68,20.36,16.21,12.71,76.18,68,76.18,16.21,-0.12388724328526757,-0.6194362164263378,16.571222076897328,-1.9846736374299865
69,20.36,16.5,12.52,74.39,69,74.39,16.5,-0.12690879200987548,-0.6345439600493774,15.988220306170131,-2.033078847998205
70,20.36,16.53,12.49,74.15,70,74.15,16.53,-0.1273119836862822,-0.6365599184314109,15.920772473395383,-2.0395379786542405
71,20.36,16.36,12.65,75.41,71,75.41,16.36,-0.12519004572924688,-0.6259502286462344,16.291214959124424,-2.005544532582535
72,20.36,16.23,12.77,76.4,72,76.4,16.23,-0.123514211310259,-0.617571056551295,16.58495472963236,-1.9786976651903492
73,20.36,16.3,12.69,75.78,73,75.78,16.3,-0.12456457711924263,-0.6228228855962131,16.41233476057676,-1.9955245254502667
74,20.36,16.49,12.52,74.43,74,74.43,16.49,-0.12684154730346844,-0.6342077365173422,16.0045530617023,-2.0320015878015645
75,20.36,16.34,12.67,75.61,75,75.61,16.34,-0.12485208337255388,-0.6242604168627693,16.343566639774608,-2.0001303756283133
76,20.36,16.43,12.56,74.8,76,74.8,16.43,-0.12621891786408648,-0.6310945893204324,16.123318530552368,-2.0220270641826654
77,20.36,16.13,12.87,77.18,77,77.18,16.13,-0.1221888875453675,-0.6109444377268375,16.817696497196245,-1.9574659784767872
78,20.36,16.46,12.51,74.45,78,74.45,16.46,-0.1268079200423748,-0.6340396002118739,16.038108254798747,-2.0314628790788443
79,20.36,16.25,12.76,76.27,79,76.27,16.25,-0.12373468155067786,-0.6186734077533893,16.542950290974467,-1.9822295984418594
80,20.36,16.44,12.55,74.75,80,74.75,16.44,-0.12630312144579747,-0.6315156072289874,16.10527586956302,-2.0233760055616754
81,20.36,16.21,12.66,76.01,81,76.01,16.21,-0.12417525433644308,-0.6208762716822154,16.544121853275477,-1.9892875744698182
82,20.36,16.27,12.72,76.02,82,76.02,16.27,-0.12415831837649907,-0.6207915918824953,16.482010342451822,-1.9890162603915151
83,20.36,16.28,12.66,75.74,83,75.74,16.28,-0.12463224519848702,-0.6231612259924351,16.427046736585154,-1.996608568079762
84,20.36,16.48,12.54,74.54,84,74.54,16.48,-0.12665655700412964,-0.6332827850206482,16.03179626715735,-2.0290380432061568
85,20.36,16.47,12.48,74.29,85,74.29,16.47,-0.1270768463260099,-0.6353842316300495,16.003058771569588,-2.0357710781426785
86,20.36,16.2,12.81,76.67,86,76.67,16.2,-0.12305592608963256,-0.6152796304481628,16.660176560679783,-1.9713559359559136
87,20.36,16.44,12.61,74.99,87,74.99,16.44,-0.12589876270196135,-0.6294938135098067,16.14276824809024,-2.0168981784854205
88,20.36,16.47,12.52,74.51,88,74.51,16.47,-0.12670701867670275,-0.6335350933835138,16.037284226527298,-2.029846439200778
89,20.36,16.51,12.51,74.31,89,74.31,16.51,-0.1270432420448667,-0.6352162102243335,15.965704423859085,-2.0352327375587644
90,20.36,16.39,12.65,75.31,90,75.31,16.39,-0.12535891206503655,-0.6267945603251827,16.244383831049205,-2.0082497712818856
91,20.36,16.1,12.83,77.09,91,77.09,16.1,-0.12234202405323871,-0.6117101202661935,16.835916653816682,-1.959919225332884
92,20.36,16.11,12.89,77.35,92,77.35,16.11,-0.1218994806261726,-0.609497403130863,16.866912014848666,-1.9528296796312852
93,20.36,16.11,12.88,77.28,93,77.28,16.11,-0.12201867167473016,-0.6100933583736508,16.855624091960816,-1.954739120229177
94,20.36,16.36,12.7,75.63,94,75.63,16.36,-0.12481827041409242,-0.6240913520704621,16.325862136975044,-1.9995886920337604
95,20.36,16.29,12.67,75.75,95,75.75,16.29,-0.12461532930289931,-0.6230766465144966,16.418102305592324,-1.996337575432447
96,20.36,16.21,12.75,76.37,96,76.37,16.21,-0.12356509984363964,-0.6178254992181982,16.60153396691265,-1.979512899495107
97,20.36,16.1,12.86,77.24,97,77.24,16.1,-0.1220867661007492,-0.610433830503746,16.86010640150707,-1.9558299929340022
98,20.36,16.19,12.82,76.75,98,76.75,16.19,-0.12292003909224143,-0.6146001954612071,16.683725279991172,-1.9691790262577076
99,20.36,16.3,12.71,75.92,99,75.92,16.3,-0.12432764477512293,-0.6216382238756146,16.434500255340858,-1.9917288692974693
100,20.36,16.34,12.72,75.78,100,75.78,16.34,-0.12456457711924263,-0.6228228855962131,16.37039469289007,-1.9955245254502667
101,20.36,16.26,12.75,76.18,101,76.18,16.26,-0.12388724328526757,-0.6194362164263378,16.51801858289023,-1.9846736374299865
102,20.36,16.09,12.91,77.48,102,77.48,16.09,-0.12167803923408933,-0.6083901961704467,16.909810234649324,-1.949282188530111
103,20.36,16.22,12.79,76.51,103,76.51,16.22,-0.12332756497346078,-0.6166378248673039,16.61318271212151,-1.9757075908748418
104,20.36,16.35,12.62,75.34,104,75.34,16.35,-0.12530826025190175,-0.6265413012595087,16.29059213450679,-2.007438329235466
105,20.36,16.48,12.51,74.41,105,74.41,16.48,-0.12687517129400103,-0.6343758564700052,16.011577563203307,-2.0325402441298963
106,20.36,16.25,12.74,76.19,106,76.19,16.25,-0.12387029488512824,-0.6193514744256412,16.530222633200705,-1.9844021240597545
107,20.36,16.45,12.48,74.36,107,74.36,16.45,-0.12695921693474208,-0.6347960846737104,16.034263567901046,-2.033886655294568
108,20.36,16.19,12.82,76.72,108,76.72,16.19,-0.12297100196687556,-0.6148550098343778,16.678923773397674,-1.9699954515093465
109,20.36,16.24,12.69,76.01,109,76.01,16.24,-0.12417525433644308,-0.6208762716822154,16.512211053668345,-1.9892875744698182
110,20.36,16.37,12.62,75.24,110,75.24,16.37,-0.12547707256833823,-0.6273853628416911,16.254095038980743,-2.0101427025447784
111,20.36,16.41,12.56,74.87,111,74.87,16.41,-0.12610099931975574,-0.6305049965987787,16.154782370650324,-2.020138009102487
112,20.36,16.31,12.57,75.23,112,75.23,16.31,-0.12549394954004767,-0.6274697477002383,16.314940647633225,-2.0104130716315636
113,20.36,16.4,12.53,74.76,113,74.76,16.4,-0.1262862823298812,-0.631431411649406,16.14784035536724,-2.0231062429246967
114,20.36,16.61,12.32,73.13,114,73.13,16.61,-0.12902011673512281,-0.6451005836756141,15.684091823550185,-2.0669022700966675
115,20.36,16.5,12.4,73.85,115,73.85,16.5,-0.1278152985583603,-0.6390764927918015,15.904487420055037,-2.047601082904932
116,20.36,16.48,12.51,74.4,116,74.4,16.48,-0.12689198206152658,-0.6344599103076328,16.010022806960983,-2.0328095526256558
117,20.36,16.53,12.44,73.91,117,73.91,16.53,-0.12771469614832398,-0.6385734807416199,15.88364486247465,-2.04598943229615
118,20.36,16.43,12.54,74.7,118,74.7,16.43,-0.12638730499653728,-0.6319365249826864,16.10769565987173,-2.0247246260445273
119,20.36,16.5,12.45,74.04,119,74.04,16.5,-0.1274966201437666,-0.6374831007188329,15.933923350155174,-2.042495854703141
120,20.36,16.52,12.43,73.89,120,73.89,16.52,-0.12774823366740287,-0.6387411683370143,15.890583315305763,-2.0465267033517938
121,20.36,16.42,12.48,74.44,121,74.44,16.42,-0.1268247340814857,-0.6341236704074285,16.077323734720927,-2.0317322399854008
122,20.36,16.48,12.52,74.44,122,74.44,16.48,-0.1268247340814857,-0.6341236704074285,16.01624228602959,-2.0317322399854008
123,20.36,16.45,12.54,74.62,123,74.62,16.45,-0.12652195685328946,-0.6326097842664473,16.074780856770975,-2.026881748789697
124,20.36,16.48,12.49,74.3,124,74.3,16.48,-0.12706004459758638,-0.6353002229879319,15.99447941926955,-2.035501914453334
125,20.36,16.71,12.27,72.61,125,72.61,16.71,-0.12988742413464013,-0.6494371206732007,15.507138452507363,-2.080796534636935
126,20.36,16.38,12.56,74.96,126,74.96,16.38,-0.12594933254150656,-0.6297466627075328,16.199781812405092,-2.017708307314935
