FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,23.22,3.81,22.42,160.72,0,160.72,3.81,-0.005608373463119354,-0.02804186731559677,134.8168726139155,-0.08984614287917206
1,23.22,3.81,22.42,160.72,1,160.72,3.81,-0.005608373463119354,-0.02804186731559677,134.8168726139155,-0.08984614287917206
2,23.22,5.32,21.82,152.6,2,152.6,5.32,-0.011218461486359877,-0.05609230743179938,90.28981358573995,-0.1797197530114852
3,23.22,4.25,22.26,158.4,3,158.4,4.25,-0.007022351411174854,-0.03511175705587427,118.23077527079893,-0.11249806960702116
4,23.22,4.2,22.28,158.64,4,158.64,4.2,-0.006868967900077994,-0.03434483950038997,119.91467074936202,-0.11004086575924946
5,23.22,4.55,22.15,156.76,5,156.76,4.55,-0.008113990804548266,-0.04056995402274133,108.9357076780177,-0.12998613268886322
6,23.22,5.34,21.81,152.47,6,152.47,5.34,-0.011323105940878054,-0.056615529704390266,89.87744265091283,-0.18139615717286642
7,23.22,5.12,21.91,153.71,7,153.71,5.12,-0.010343625276021506,-0.05171812638010753,94.55514701441375,-0.16570487692186453
8,23.22,4.21,22.28,158.6,8,158.6,4.21,-0.006894418413747172,-0.03447209206873586,119.57640092204585,-0.1104485829882297
9,23.22,4.75,22.07,155.71,9,155.71,4.75,-0.008852491444161614,-0.04426245722080807,103.46475944934285,-0.14181691293546905
10,23.22,5.07,21.93,153.99,10,153.99,5.07,-0.01012824775884328,-0.05064123879421639,95.67905248804011,-0.16225452909666935
11,23.22,6.14,21.42,148.03,11,148.03,6.14,-0.01516745550269314,-0.0758372775134657,75.88850429000178,-0.2429826371531441
12,23.22,5.59,21.69,151.08,12,151.08,5.59,-0.012470422370899837,-0.06235211185449918,85.04564368930194,-0.1997761663818154
13,23.22,5.68,21.65,150.6,13,150.6,5.68,-0.012878618887981065,-0.06439309443990532,83.42260359910644,-0.20631547458545665
14,23.22,5.63,21.67,150.89,14,150.89,5.63,-0.012631267180898931,-0.06315633590449465,84.3232440137623,-0.20235290023800087
15,23.22,6.39,21.28,146.56,15,146.56,6.39,-0.016553664820806103,-0.08276832410403051,72.25555574035276,-0.2651897104293138
16,23.22,6.1,21.43,148.22,16,148.22,6.1,-0.014992341652241737,-0.07496170826120868,76.48765309792593,-0.24017731326891262
17,23.22,6.49,21.22,145.97,17,145.97,6.49,-0.01712553337938366,-0.08562766689691831,70.88377277558688,-0.27435104473772626
18,23.22,7.02,20.92,142.9,18,142.9,7.02,-0.020241607117477134,-0.10120803558738567,64.303383191375,-0.3242705460219837
19,23.22,7.23,20.79,141.63,19,141.63,7.23,-0.021598141789880478,-0.10799070894940238,61.95870478868199,-0.34600223147388526
