FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,26.06,15.14,13.9,85.12,0,85.12,15.14,-0.10850691278224278,-0.5425345639112139,19.352146887787065,-1.7382807427715292
1,26.06,15.14,13.9,85.12,1,85.12,15.14,-0.10850691278224278,-0.5425345639112139,19.352146887787065,-1.7382807427715292
2,26.06,14.74,14.3,88.27,2,88.27,14.74,-0.10301896083135081,-0.515094804156754,20.473155215447747,-1.65036375251824
3,26.06,14.57,14.46,89.56,3,89.56,14.57,-0.10076793732277828,-0.5038396866138913,20.960555930155586,-1.614302355910908
4,26.06,14.56,14.47,89.64,4,89.64,14.56,-0.10062831439655591,-0.5031415719827795,20.99035702075526,-1.6120655966328257
5,26.06,14.68,14.36,88.72,5,88.72,14.68,-0.10223383561935738,-0.5111691780967869,20.6428525081693,-1.6377860466221053
6,26.06,14.69,14.34,88.62,6,88.62,14.69,-0.10240832150205709,-0.5120416075102854,20.60991776749965,-1.6405813104629545
7,26.06,14.47,14.56,90.35,7,90.35,14.47,-0.09938913856093219,-0.49694569280466094,21.258662495345135,-1.5922139997461338
8,26.06,14.28,14.76,91.88,8,91.88,14.28,-0.0967193697563877,-0.4835968487819385,21.842506231794662,-1.5494443034973309
9,26.06,14.57,14.47,89.59,9,89.59,14.57,-0.10071557888627002,-0.50357789443135,20.96606439060166,-1.6134635737580456
10,26.06,14.22,14.82,92.37,10,92.37,14.22,-0.09586474914776329,-0.4793237457388164,22.03152291111148,-1.5357532813471677
11,26.06,14.4,14.63,90.91,11,90.91,14.4,-0.0984118171534796,-0.492059085767398,21.471215101597764,-1.5765573107987432
12,26.06,14.41,14.62,90.83,12,90.83,14.41,-0.09855142738613937,-0.4927571369306968,21.44071866402604,-1.5787938667259527
13,26.06,14.29,14.74,91.78,13,91.78,14.29,-0.09689381364359127,-0.4844690682179563,21.807728636865082,-1.552238894570332
14,26.06,14.53,14.5,89.89,14,89.89,14.53,-0.10019198609978,-0.5009599304989,21.08186037304221,-1.6050756173184755
15,26.06,14.48,14.55,90.28,15,90.28,14.48,-0.09951130975459754,-0.4975565487729877,21.23032108184277,-1.5941711822686526
16,26.06,14.3,14.74,91.72,16,91.72,14.3,-0.09699848455167488,-0.4849924227583744,21.780488152113573,-1.5539157225178315
17,26.06,14.57,14.47,89.63,17,89.63,14.57,-0.10064576733490443,-0.5032288366745221,20.973409036374566,-1.612345192705169
18,26.06,14.27,14.76,91.95,18,91.95,14.27,-0.09659726494978325,-0.48298632474891623,21.871706976956194,-1.5474881844955277
19,26.06,14.25,14.78,92.1,19,92.1,14.25,-0.09633562912934439,-0.4816781456467219,21.93211399022413,-1.543296778652097
20,26.06,14.35,14.68,91.29,20,91.29,14.35,-0.09774871547739322,-0.48874357738696605,21.620629658252376,-1.5659344219478393
21,26.06,14.16,14.88,92.85,21,92.85,14.16,-0.09502786261313423,-0.4751393130656711,22.22029757054432,-1.5223463590624102
22,26.06,14.32,14.71,91.54,22,91.54,14.32,-0.09731251656594808,-0.48656258282974035,21.714910862227462,-1.5589465153864883
23,26.06,14.48,14.56,90.31,23,90.31,14.48,-0.09945895057164694,-0.4972947528582347,21.235865545544257,-1.5933323881577839
24,26.06,14.53,14.51,89.94,24,89.94,14.53,-0.10010471973598,-0.5005235986798999,21.091067898110815,-1.6036776101703996
25,26.06,14.35,14.68,91.3,25,91.3,14.35,-0.09773126664272189,-0.4886563332136094,21.622494935861305,-1.5656548916164046
26,26.06,14.59,14.45,89.43,26,89.43,14.59,-0.10099482126383744,-0.5049741063191872,20.906583058069483,-1.6179370366466757
27,26.06,14.45,14.58,90.51,27,90.51,14.45,-0.09910989383559043,-0.4955494691779522,21.319172622179877,-1.5877404992461588
28,26.06,14.7,14.34,88.58,28,88.58,14.7,-0.10247811383077488,-0.5123905691538744,20.587942300296852,-1.6416993835690135
29,26.06,14.57,14.47,89.59,29,89.59,14.57,-0.10071557888627002,-0.50357789443135,20.96606439060166,-1.6134635737580456
30,26.06,14.37,14.67,91.16,30,91.16,14.37,-0.09797555637524649,-0.48987778187623243,21.564831961178005,-1.5695684131314487
31,26.06,14.58,14.46,89.51,31,89.51,14.58,-0.10085520090868268,-0.5042760045434134,20.93630226404857,-1.6157003185570964
32,26.06,14.44,14.59,90.58,32,90.58,14.44,-0.09898772632255404,-0.49493863161277013,21.34763985476814,-1.5857833756873156
