FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,19.73,15.12,13.91,85.23,0,85.23,15.12,-0.10831560694447831,-0.5415780347223915,19.398314785517734,-1.7352160232505425
1,19.73,15.12,13.91,85.23,1,85.23,15.12,-0.10831560694447831,-0.5415780347223915,19.398314785517734,-1.7352160232505425
2,19.73,14.83,14.2,87.52,2,87.52,14.83,-0.10432706510979171,-0.5216353255489585,20.207836266769878,-1.6713195830588632
3,19.73,14.61,14.43,89.27,3,89.27,14.61,-0.10127405588358884,-0.5063702794179442,20.847273153477722,-1.6224103752550931
4,19.73,14.34,14.69,91.37,4,91.37,14.34,-0.09760912676485528,-0.48804563382427635,21.651389126924762,-1.5636982107729815
5,19.73,14.56,14.48,89.7,5,89.7,14.56,-0.10052359638314196,-0.5026179819157097,21.001381998958205,-1.610388014057934
6,19.73,14.62,14.42,89.23,6,89.23,14.62,-0.10134386307118731,-0.5067193153559365,20.82500010382646,-1.6235286864004208
7,19.73,14.64,14.4,89.06,7,89.06,14.64,-0.1016405359001362,-0.508202679500681,20.76410884428953,-1.628281385120182
8,19.73,14.42,14.62,90.79,8,90.79,14.42,-0.09862123357850544,-0.49310616789252715,21.41769059108327,-1.579912161927657
9,19.73,14.43,14.6,90.68,9,90.68,14.43,-0.09881320397014627,-0.49406601985073134,21.381712605560164,-1.5829875276017433
10,19.73,14.57,14.46,89.57,10,89.57,14.57,-0.1007504845332927,-0.5037524226664635,20.962392081251117,-1.614022762223349
11,19.73,14.49,14.54,90.18,11,90.18,14.49,-0.09968584125141203,-0.4984292062570601,21.196480095316424,-1.5969671768476206
12,19.73,14.48,14.56,90.33,12,90.33,14.48,-0.09942404453120035,-0.4971202226560017,21.239561846046144,-1.5927731933898295
13,19.73,14.62,14.42,89.23,13,89.23,14.62,-0.10134386307118731,-0.5067193153559365,20.82500010382646,-1.6235286864004208
14,19.73,14.55,14.48,89.73,14,89.73,14.55,-0.10047123715393734,-0.5023561857696867,21.022039995273467,-1.609549219206076
15,19.73,14.65,14.38,88.93,15,88.93,14.65,-0.10186739375093752,-0.5093369687546876,20.725514850711967,-1.631915647890019
16,19.73,14.51,14.53,90.09,16,90.09,14.51,-0.0998429204319169,-0.4992146021595845,21.149230405089053,-1.5994835853193088
17,19.73,14.44,14.6,90.61,17,90.61,14.44,-0.09893536926886864,-0.49467684634434317,21.353200209394675,-1.5849446156872757
18,19.73,14.7,14.33,88.54,18,88.54,14.7,-0.10254790495169004,-0.5127395247584502,20.580667888340074,-1.6428174373260744
19,19.73,14.62,14.42,89.23,19,89.23,14.62,-0.10134386307118731,-0.5067193153559365,20.82500010382646,-1.6235286864004208
20,19.73,14.47,14.57,90.38,20,90.38,14.47,-0.0993367797464183,-0.49668389873209146,21.264210940521146,-1.5913752115376212
