FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.1,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,24.1,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,24.1,14.27,14.74,91.87,2,91.87,14.27,-0.09673681370417408,-0.4836840685208704,21.856701429148387,-1.5497237555408687
3,24.1,14.45,14.59,90.53,3,90.53,14.45,-0.0990749886883203,-0.4953749434416015,21.32287688056404,-1.5871813187868913
4,24.1,14.5,14.53,90.12,4,90.12,14.5,-0.09979056064287806,-0.4989528032143903,21.170069938049433,-1.5986447814989064
5,24.1,14.26,14.64,91.51,5,91.51,14.26,-0.09736485789745852,-0.4868242894872926,21.80521185658206,-1.5597850235172854
6,24.1,14.49,14.46,89.89,6,89.89,14.49,-0.10019198609978,-0.5009599304989,21.14292177836668,-1.6050756173184755
7,24.1,14.48,14.53,90.22,7,90.22,14.48,-0.09961602850807576,-0.49808014254037875,21.21923211339816,-1.5958487766993736
8,24.1,14.52,14.47,89.82,8,89.82,14.52,-0.10031415874858796,-0.5015707937429398,21.08419288647249,-1.607032823152379
9,24.1,14.35,14.66,91.24,9,91.24,14.35,-0.09783596066879024,-0.48917980334395117,21.611303161379386,-1.5673320899140197
10,24.1,14.51,14.53,90.07,10,90.07,14.51,-0.0998778269827535,-0.4993891349137675,21.14554206846922,-1.6000427882637112
11,24.1,14.41,14.62,90.83,11,90.83,14.41,-0.09855142738613937,-0.4927571369306968,21.44071866402604,-1.5787938667259527
12,24.1,14.2,14.79,92.3,12,92.3,14.2,-0.09598682074674404,-0.4799341037337202,22.050915840288514,-1.5377088683628395
13,24.1,14.2,14.82,92.45,13,92.45,14.2,-0.09572524631756779,-0.4786262315878389,22.079188306532362,-1.533518446007436
14,24.1,14.34,14.63,91.12,14,91.12,14.34,-0.0980453557255179,-0.49022677862758945,21.604722185749175,-1.5706865987227967
