FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.3,15.11,13.93,85.33,0,85.33,15.11,-0.10814166593064783,-0.5407083296532391,19.4293748638268,-1.7324294882089784
1,24.3,15.11,13.93,85.33,1,85.33,15.11,-0.10814166593064783,-0.5407083296532391,19.4293748638268,-1.7324294882089784
2,24.3,14.12,14.92,93.15,2,93.15,14.12,-0.09450498200875543,-0.4725249100437771,22.34327220442195,-1.513969811780262
3,24.3,13.94,15.09,94.55,3,94.55,13.94,-0.09206709597653907,-0.46033547988269535,22.915185190310126,-1.4749148775441558
4,24.3,13.99,15.05,94.19,4,94.19,13.99,-0.092693586820002,-0.46346793410001,22.760337419421074,-1.4849512608564321
5,24.3,14.08,14.96,93.46,5,93.46,14.08,-0.09396483048301447,-0.46982415241507236,22.46886344437269,-1.505316584337892
6,24.3,14.36,14.65,91.13,6,91.13,14.36,-0.09802790579730837,-0.49013952898654184,21.575002623443737,-1.57040705087288
7,24.3,14.04,14.97,93.68,7,93.68,14.04,-0.09358160339354193,-0.4679080169677097,22.578041280381388,-1.4991772863645418
8,24.3,14.34,14.65,91.26,8,91.26,14.34,-0.09780106239074948,-0.48900531195374736,21.63085622019271,-1.5667730194998066
9,24.3,14.15,14.86,92.81,9,92.81,14.15,-0.0950975906392439,-0.4754879531962195,22.22922685099343,-1.5234634020406872
10,24.3,14.48,14.49,90.02,10,90.02,14.48,-0.099965093415669,-0.499825467078345,21.182268631530242,-1.6014407965190174
11,24.3,13.92,15.04,94.42,11,94.42,13.92,-0.09229329394873911,-0.46146646974369554,22.924826938331794,-1.4785385690588007
12,24.3,14.13,14.86,92.87,12,92.87,14.13,-0.09499299950671514,-0.47496499753357563,22.273640356189613,-1.5217878520975765
13,24.3,14.06,14.9,93.32,13,93.32,14.06,-0.09420874895193058,-0.4710437447596529,22.47580360605988,-1.509224158209928
14,24.3,13.99,15.0,94.02,14,94.02,13.99,-0.09298953149692224,-0.46494765748461114,22.7278454159135,-1.4896922945806943
15,24.3,14.12,14.85,92.89,15,92.89,14.12,-0.09495813701038391,-0.4747906850519195,22.294001104561943,-1.5212293549063503
16,24.3,14.07,14.9,93.28,16,93.28,14.07,-0.0942784463575562,-0.47139223178778095,22.451414522502862,-1.5103407106480502
17,24.3,14.07,14.9,93.27,17,93.27,14.07,-0.09429587114601079,-0.4714793557300539,22.449512868827618,-1.5106198557590929
18,24.3,13.76,15.19,95.65,18,95.65,13.76,-0.09015486377611082,-0.4507743188805541,23.444088725475535,-1.4442809176932951
19,24.3,14.22,14.75,92.09,19,92.09,14.22,-0.09635307075584748,-0.48176535377923735,21.97882026102247,-1.5435761935086767
20,24.3,13.89,15.06,94.62,20,94.62,13.89,-0.09194531390973369,-0.4597265695486684,23.01537160197956,-1.4729639288339338
21,24.3,13.99,14.93,93.71,21,93.71,13.99,-0.09352935235988505,-0.4676467617994252,22.668578050284978,-1.4983402248053583
22,24.3,14.15,14.77,92.48,22,92.48,14.15,-0.09567293489020828,-0.4783646744510414,22.166809537736835,-1.5326804169411365
23,24.3,14.13,14.83,92.77,23,92.77,14.13,-0.09516732105472836,-0.4758366052736418,22.25470063482674,-1.5245804832967482
24,24.3,14.34,14.63,91.16,24,91.16,14.34,-0.09797555637524649,-0.48987778187623243,21.612189186950246,-1.5695684131314487
25,24.3,14.13,14.79,92.64,25,92.64,14.13,-0.0953939609959148,-0.4769698049795739,22.230076614533836,-1.528211255154555
26,24.3,14.36,14.57,90.83,26,90.83,14.36,-0.09855142738613937,-0.4927571369306968,21.519079156902247,-1.5787938667259527
27,24.3,14.15,14.77,92.46,27,92.46,14.15,-0.09570780904418996,-0.47853904522094975,22.16302614893963,-1.5332391008879231
28,24.3,14.13,14.77,92.52,28,92.52,14.13,-0.09560318816821353,-0.47801594084106763,22.207344460132713,-1.5315630744547808
29,24.3,13.88,15.02,94.51,29,94.51,13.88,-0.09213669105696003,-0.4606834552848001,23.011616857461345,-1.4760297907324995
30,24.3,14.05,14.83,93.1,30,93.1,14.05,-0.09459211870152248,-0.4729605935076124,22.450709688151306,-1.51536574159839
31,24.3,14.28,14.65,91.47,31,91.47,14.28,-0.0974346474607865,-0.4871732373039325,21.765649633617695,-1.5609030523217997
32,24.3,14.31,14.61,91.21,32,91.21,14.31,-0.09788830857892555,-0.48944154289462777,21.66910854231187,-1.5681707034343872
33,24.3,14.35,14.57,90.88,33,90.88,14.35,-0.09846417064250473,-0.4923208532125236,21.544147616625434,-1.5773960136929257
34,24.3,14.14,14.76,92.45,34,92.45,14.14,-0.09572524631756779,-0.4786262315878389,22.177596538376516,-1.533518446007436
35,24.3,14.21,14.71,91.95,35,91.95,14.21,-0.09659726494978325,-0.48298632474891623,21.968688458461216,-1.5474881844955277
36,24.3,13.87,15.05,94.64,36,94.64,13.87,-0.09191052123379234,-0.45955260616896165,23.05411615183014,-1.4724065501653534
37,24.3,14.48,14.42,89.76,37,89.76,14.48,-0.1004188777955404,-0.502094388977702,21.134216105101935,-1.6087104222845572
38,24.3,14.04,14.84,93.18,38,93.18,14.04,-0.09445270199750211,-0.47226350998751054,22.482760527489038,-1.5131322859999838
39,24.3,14.05,14.85,93.15,39,93.15,14.05,-0.09450498200875543,-0.4725249100437771,22.46023357097475,-1.513969811780262
40,24.3,14.2,14.65,91.77,40,91.77,14.2,-0.0969112585614888,-0.484556292807444,21.950997293226358,-1.5525183621550505
41,24.3,14.13,14.75,92.47,41,92.47,14.13,-0.09569037190155974,-0.47845185950779867,22.197872104960492,-1.532959757862987
42,24.3,14.07,14.83,93.04,42,93.04,14.07,-0.09469668816320781,-0.473483440816039,22.405769717750683,-1.5170409443745891
43,24.3,14.36,14.56,90.79,43,90.79,14.36,-0.09862123357850544,-0.49310616789252715,21.51162234070506,-1.579912161927657
44,24.3,14.3,14.65,91.4,44,91.4,14.3,-0.0975567821847347,-0.48778391092367346,21.720587146175973,-1.5628596505994499
45,24.3,14.16,14.74,92.31,45,92.31,14.16,-0.09596938157589456,-0.47984690787947276,22.118230861441518,-1.5374294928458307
46,24.3,14.31,14.61,91.21,46,91.21,14.31,-0.09788830857892555,-0.48944154289462777,21.66910854231187,-1.5681707034343872
47,24.3,14.34,14.63,91.14,47,91.14,14.34,-0.09801045592917224,-0.4900522796458612,21.60845569931652,-1.570127503985339
48,24.3,14.25,14.69,91.73,48,91.73,14.25,-0.09698103916864921,-0.48490519584324604,21.862611374268504,-1.5536362474817602
49,24.3,14.53,14.39,89.47,49,89.47,14.53,-0.1009250113116797,-0.5046250565583985,21.00451845433966,-1.616818681213109
50,24.3,14.14,14.83,92.73,50,92.73,14.14,-0.09523705382560181,-0.476185269128009,22.230598370099283,-1.525697602286141
51,24.3,14.19,14.75,92.22,51,92.22,14.19,-0.09612633846985938,-0.48063169234929687,22.05214469640072,-1.5399439422871473
52,24.3,14.17,14.75,92.27,52,92.27,14.17,-0.0960391389906581,-0.48019569495329045,22.09428050135168,-1.5385470066303426
53,24.3,14.2,14.77,92.26,53,92.26,14.2,-0.09605657864731386,-0.48028289323656925,22.043376005850902,-1.538826389929968
54,24.3,14.15,14.8,92.58,54,92.58,14.15,-0.09549857211388035,-0.4774928605694017,22.18572561452409,-1.5298871252643633
55,24.3,14.3,14.69,91.56,55,91.56,14.3,-0.09727762275338246,-0.48638811376691227,21.750538788032877,-1.558387516509187
56,24.3,14.0,14.92,93.67,56,93.67,14.0,-0.09359902079649943,-0.4679951039824971,22.643919712556617,-1.4994563131599208
57,24.3,14.41,14.53,90.46,57,90.46,14.41,-0.09919715716896037,-0.4959857858448018,21.37199188961009,-1.5891384578467451
58,24.3,14.26,14.66,91.57,58,91.57,14.26,-0.09726017597122648,-0.48630087985613235,21.816476494864244,-1.5581080190590482
59,24.3,14.35,14.62,91.1,59,91.1,14.35,-0.09808025576003104,-0.4904012788001552,21.585188055571706,-1.5712456972756972
60,24.3,14.47,14.54,90.29,60,90.29,14.47,-0.0994938566780188,-0.49746928339009394,21.247565553273688,-1.593891583981861
61,24.3,14.22,14.73,92.03,61,92.03,14.22,-0.09645772282919853,-0.4822886141459926,21.967525570163822,-1.5452527197237604
