FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,23.97,15.05,13.99,85.81,0,85.81,15.05,-0.107306413179998,-0.53653206589999,19.595450482265665,-1.719048739143568
1,23.97,15.05,13.99,85.81,1,85.81,15.05,-0.107306413179998,-0.53653206589999,19.595450482265665,-1.719048739143568
2,23.97,14.08,14.95,93.45,2,93.45,14.08,-0.09398225205307066,-0.4699112602653533,22.466963560583448,-1.505595677890192
3,23.97,14.32,14.72,91.59,3,91.59,14.32,-0.09722528265782532,-0.4861264132891266,21.72425666151884,-1.5575490281783615
4,23.97,14.6,14.43,89.32,4,89.32,14.6,-0.10118679602985375,-0.5059339801492687,20.8714103393249,-1.621012472398257
5,23.97,14.44,14.6,90.65,5,90.65,14.44,-0.09886556032046276,-0.49432780160231377,21.360613967081928,-1.5838262763338133
6,23.97,14.51,14.53,90.06,6,90.06,14.51,-0.09989528026402,-0.4994764013201,21.143697899541362,-1.6003223898296004
7,23.97,14.53,14.5,89.89,7,89.89,14.53,-0.10019198609978,-0.5009599304989,21.08186037304221,-1.6050756173184755
8,23.97,14.46,14.58,90.47,8,90.47,14.46,-0.09917970445124785,-0.4958985222562392,21.29629892323352,-1.5888588653089906
9,23.97,14.41,14.62,90.82,9,90.82,14.41,-0.09856887886937082,-0.4928443943468541,21.43886125527213,-1.5790734394873205
10,23.97,14.52,14.51,89.96,10,89.96,14.52,-0.10006981316440877,-0.5003490658220439,21.10999255957653,-1.6031184068938285
11,23.97,14.6,14.43,89.33,11,89.33,14.6,-0.10116934394852461,-0.5058467197426231,20.873242458839208,-1.6207328900553644
12,23.97,14.56,14.48,89.69,12,89.69,14.56,-0.10054104942835307,-0.5027052471417653,20.999544498066484,-1.610667611842216
13,23.97,14.57,14.47,89.61,13,89.61,14.57,-0.10068067315205619,-0.5034033657602809,20.969736709125296,-1.61290438389594
14,23.97,14.59,14.45,89.45,14,89.45,14.59,-0.10095991634624,-0.5047995817312,20.910250010676044,-1.6173778598667647
15,23.97,14.43,14.61,90.71,15,90.71,14.43,-0.09876084794519667,-0.4938042397259833,21.387276894572828,-1.5821487840820505
16,23.97,14.37,14.66,91.14,16,91.14,14.37,-0.09801045592917224,-0.4900522796458612,21.561106654465483,-1.570127503985339
17,23.97,14.38,14.65,91.07,17,91.07,14.38,-0.0981326062490625,-0.49066303124531246,21.532340357804628,-1.5720843521099812
18,23.97,14.65,14.39,88.96,18,88.96,14.65,-0.10181504274994949,-0.5090752137497474,20.730990988481352,-1.6310769848541906
19,23.97,14.4,14.64,90.95,19,90.95,14.4,-0.09834201318123026,-0.49171006590615124,21.478649942677972,-1.5754390511633087
20,23.97,14.59,14.44,89.4,20,89.4,14.59,-0.10104717841162457,-0.5052358920581228,20.901082653176267,-1.6187757981542255
