FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.55,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,24.55,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,24.55,14.44,14.59,90.6,2,90.6,14.44,-0.09895282158837543,-0.49476410794187714,21.35134676122136,-1.5852242018457743
3,24.55,14.15,14.89,92.92,3,92.92,14.15,-0.09490584441909392,-0.47452922209546955,22.25002880368316,-1.5203916275938845
4,24.55,14.24,14.79,92.16,4,92.16,14.24,-0.09623098173300657,-0.4811549086650328,21.959563914592767,-1.541620327362765
5,24.55,14.27,14.76,91.94,5,91.94,14.27,-0.09661470818687504,-0.48307354093437516,21.869831321890366,-1.547767625153738
6,24.55,14.26,14.78,92.05,6,92.05,14.26,-0.09642283836746506,-0.48211419183732523,21.906580924214712,-1.54469387064679
7,24.55,14.24,14.79,92.16,7,92.16,14.24,-0.09623098173300657,-0.4811549086650328,21.959563914592767,-1.541620327362765
8,24.55,14.06,14.98,93.61,8,93.61,14.06,-0.09370352929035855,-0.4685176464517927,22.530981937663302,-1.501130539231544
9,24.55,14.14,14.9,92.98,9,92.98,14.14,-0.09480126344062484,-0.4740063172031242,22.277911036785195,-1.51871624031881
10,24.55,14.07,14.97,93.56,10,93.56,14.07,-0.09379062498131158,-0.4689531249065579,22.504652891244923,-1.5025258122006113
11,24.55,14.13,14.91,93.09,11,93.09,14.13,-0.09460954653639982,-0.47304773268199907,22.3153018288894,-1.515644935513125
12,24.55,13.99,15.05,94.19,12,94.19,13.99,-0.092693586820002,-0.46346793410001,22.760337419421074,-1.4849512608564321
13,24.55,14.02,15.02,93.93,13,93.93,14.02,-0.09314623324151777,-0.46573116620758886,22.659577389132874,-1.4922026565291147
14,24.55,14.08,14.96,93.47,14,93.47,14.08,-0.09394740909680006,-0.4697370454840003,22.470763308113337,-1.505037493730737
15,24.55,14.03,15.01,93.88,15,93.88,14.03,-0.09323329709826295,-0.4661664854913147,22.63307687935703,-1.4935974195141724
16,24.55,14.14,14.9,92.99,16,92.99,14.14,-0.0947838338287185,-0.47391916914359244,22.27980332593846,-1.5184370179360702
17,24.55,14.07,14.97,93.57,17,93.57,14.07,-0.09377320546270174,-0.4688660273135087,22.506553969795846,-1.5022467515124818
18,24.55,14.04,15.0,93.79,18,93.79,14.04,-0.09339002498175542,-0.4669501249087771,22.59899612433356,-1.4961082002077217
19,24.55,13.83,15.2,95.41,19,95.41,13.83,-0.09057179297738202,-0.4528589648869101,23.272993190977594,-1.45096012349766
20,24.55,13.91,15.12,94.78,20,94.78,13.91,-0.09166700033858965,-0.4583350016929483,23.011327926024308,-1.4685053454242063
21,24.55,13.82,15.22,95.53,21,95.53,13.82,-0.09036330724112186,-0.4518165362056093,23.313886046188152,-1.447620182002772
22,24.55,13.75,15.29,96.06,22,96.06,13.75,-0.0894430133343392,-0.44721506667169597,23.54161032126169,-1.4328770736161138
23,24.55,13.79,15.24,95.7,23,95.7,13.79,-0.0900680250256361,-0.4503401251281805,23.40013536597407,-1.4428897609106903
24,24.55,13.76,15.27,95.96,24,95.96,13.76,-0.08961658694111929,-0.4480829347055964,23.504225501125866,-1.435657722796731
25,24.55,13.88,15.15,95.02,25,95.02,13.88,-0.0912496525019783,-0.4562482625098915,23.10981692686671,-1.4618194330816925
26,24.55,13.82,15.21,95.49,26,95.49,13.82,-0.09043279783489418,-0.45216398917447087,23.306157934457477,-1.4487334213150047
27,24.55,13.87,15.17,95.13,27,95.13,13.87,-0.09105841894605315,-0.4552920947302658,23.14852008436558,-1.4587558715157716
28,24.55,13.77,15.26,95.88,28,95.88,13.77,-0.08975546862529327,-0.4487773431264663,23.470770571097013,-1.4378826073771982
29,24.55,13.77,15.27,95.9,29,95.9,13.77,-0.08972074632127533,-0.4486037316063766,23.474646815705977,-1.4373263560668308
30,24.55,13.86,15.18,95.2,30,95.2,13.86,-0.09093674198022199,-0.4546837099011099,23.17956991353131,-1.4568066065231562
31,24.55,13.55,15.48,97.63,31,97.63,13.55,-0.08672246286527822,-0.4336123143263911,24.216226393192265,-1.389293855101757
32,24.55,13.69,15.34,96.5,32,96.5,13.69,-0.08867967862320934,-0.4433983931160467,23.735886878093012,-1.4206484515438136
33,24.55,13.63,15.4,96.97,33,96.97,13.63,-0.08786503692264164,-0.4393251846132082,23.93775023234853,-1.407597891500719
34,24.55,13.73,15.31,96.22,34,96.22,13.73,-0.08916536267290577,-0.44582681336452884,23.60876953412161,-1.4284291100199504
35,24.55,13.63,15.4,96.98,35,96.98,13.63,-0.08784771279790043,-0.4392385639895021,23.939705122598742,-1.4073203590223649
36,24.55,13.59,15.44,97.28,36,97.28,13.59,-0.08732816356099454,-0.43664081780497266,24.07266228635363,-1.3989971802471326
37,24.55,13.79,15.25,95.74,37,95.74,13.79,-0.08999855946789653,-0.4499927973394826,23.407878366794108,-1.4417769226757025
38,24.55,13.72,15.31,96.28,38,96.28,13.72,-0.08906126534134845,-0.44530632670674225,23.63853452927932,-1.4267614707684022
39,24.55,13.61,15.42,97.12,39,97.12,13.61,-0.08760521416049982,-0.4380260708024991,24.00412858087166,-1.4034355308512072
40,24.55,13.71,15.32,96.35,40,96.35,13.71,-0.08893983362373256,-0.4446991681186628,23.670289172541793,-1.4248161346521957
41,24.55,13.65,15.39,96.84,41,96.84,13.65,-0.08809028399051302,-0.4404514199525651,23.87547182749526,-1.4112063495280187
42,24.55,13.57,15.46,97.47,42,97.47,13.57,-0.0869992944963965,-0.4349964724819825,24.147282815222205,-1.3937286978322718
43,24.55,13.8,15.24,95.69,43,95.69,13.8,-0.0900853921727567,-0.4504269608637835,23.38037036666907,-1.4431679826075623
44,24.55,13.58,15.46,97.41,44,97.41,13.58,-0.08710313261161785,-0.43551566305808925,24.116807993904892,-1.395392184438118
45,24.55,13.58,15.46,97.42,45,97.42,13.58,-0.087085825273853,-0.435429126369265,24.118768557002323,-1.395114920887125
46,24.55,13.71,15.33,96.38,46,96.38,13.71,-0.08888779650215067,-0.4444389825107533,23.676125108979715,-1.4239824999644537
47,24.55,13.58,15.46,97.42,47,97.42,13.58,-0.087085825273853,-0.435429126369265,24.118768557002323,-1.395114920887125
48,24.55,13.69,15.35,96.53,48,96.53,13.69,-0.08862765687664145,-0.44313828438320724,23.741730056277166,-1.419815063163796
49,24.55,13.56,15.47,97.55,49,97.55,13.56,-0.0868608658731302,-0.434304329365651,24.181729339386653,-1.3915110712875458
50,24.55,13.6,15.44,97.26,50,97.26,13.6,-0.08736278952614895,-0.43681394763074477,24.05012038701558,-1.3995518882089062
51,24.55,13.53,15.5,97.77,51,97.77,13.53,-0.0864803200501787,-0.43240160025089347,24.281439402368964,-1.3854147272038626
52,24.55,13.57,15.46,97.46,52,97.46,13.57,-0.0870165998619482,-0.4350829993097409,24.1453209552593,-1.39400592978841
53,24.55,13.55,15.48,97.63,53,97.63,13.55,-0.08672246286527822,-0.4336123143263911,24.216226393192265,-1.389293855101757
54,24.55,13.6,15.44,97.26,54,97.26,13.6,-0.08736278952614895,-0.43681394763074477,24.05012038701558,-1.3995518882089062
55,24.55,13.56,15.47,97.55,55,97.55,13.56,-0.0868608658731302,-0.434304329365651,24.181729339386653,-1.3915110712875458
56,24.55,13.44,15.6,98.5,56,98.5,13.44,-0.08521905888703894,-0.42609529443519467,24.59707713750423,-1.3652093233703637
57,24.55,13.46,15.57,98.3,57,98.3,13.46,-0.08556437989990268,-0.4278218994995134,24.519114983895616,-1.370741365996441
58,24.55,13.54,15.5,97.71,58,97.71,13.54,-0.0865840857426643,-0.4329204287133214,24.250774063349535,-1.387077053597482
59,24.55,13.28,15.75,99.71,59,99.71,13.28,-0.08313385852922717,-0.41566929264613584,25.151111208627867,-1.3318044136382192
60,24.55,13.3,15.73,99.58,60,99.58,13.3,-0.08335754409822112,-0.4167877204911056,25.08537032128089,-1.3353878564535022
61,24.55,13.48,15.55,98.15,61,98.15,13.48,-0.08582348631982936,-0.4291174315991468,24.451238661160897,-1.3748922508436663
62,24.55,13.47,15.56,98.25,62,98.25,13.47,-0.08565073780088206,-0.4282536890044103,24.490085537383575,-1.3721248195701305
63,24.55,13.18,15.85,100.54,63,100.54,13.18,-0.08170780775523684,-0.4085390387761842,25.518926577013335,-1.3089590802388942
64,24.55,13.22,15.81,100.22,64,100.22,13.22,-0.08225717213991582,-0.41128586069957906,25.37355148227313,-1.3177598976814513
65,24.55,13.42,15.61,98.62,65,98.62,13.42,-0.0850119524586526,-0.425059762293263,24.65943025714852,-1.3618914783876146
66,24.55,13.28,15.75,99.73,66,99.73,13.28,-0.08309945304252216,-0.41549726521261077,25.155101394539034,-1.331253237741205
67,24.55,13.43,15.6,98.56,67,98.56,13.43,-0.08511549751150478,-0.4255774875575239,24.628230228964146,-1.3635502701343065
68,24.55,13.28,15.75,99.74,68,99.74,13.28,-0.08308225107113781,-0.41541125535568907,25.157096397965393,-1.3309776621596277
69,24.55,13.45,15.58,98.42,69,98.42,13.45,-0.08535716591563064,-0.4267858295781532,24.56201961092429,-1.367421797968403
70,24.55,13.29,15.74,99.68,70,99.68,13.29,-0.08318547061126486,-0.4159273530563242,25.12519448681206,-1.3326312391924628
71,24.55,13.32,15.71,99.38,71,99.38,13.32,-0.0837018426352342,-0.41850921317617096,25.005893175590607,-1.3409035190164518
72,24.55,13.33,15.7,99.33,72,99.33,13.33,-0.08378794846277482,-0.4189397423138741,24.97618816845468,-1.3422829343736526
73,24.55,13.34,15.69,99.25,73,99.25,13.34,-0.08392574343961741,-0.41962871719808703,24.940563721101753,-1.3444904099026709
74,24.55,13.35,15.68,99.18,74,99.18,13.35,-0.08404633976015136,-0.4202316988007567,24.90697900707864,-1.3464223629576246
75,24.55,13.36,15.67,99.07,75,99.07,13.36,-0.08423589630620824,-0.4211794815310412,24.865499916395844,-1.349459058825456
76,24.55,13.26,15.77,99.89,76,99.89,13.26,-0.08282428363506825,-0.4141214181753412,25.2270375678452,-1.3268450238337932
77,24.55,13.24,15.79,100.07,77,100.07,13.24,-0.08251487825829577,-0.4125743912914788,25.30318555920391,-1.3218883496978981
78,24.55,13.25,15.78,99.93,78,99.93,13.25,-0.08275551212748228,-0.41377756063741133,25.25509166447501,-1.3257433042822662
79,24.55,13.34,15.69,99.25,79,99.25,13.34,-0.08392574343961741,-0.41962871719808703,24.940563721101753,-1.3444904099026709
80,24.55,13.36,15.67,99.13,80,99.13,13.36,-0.08413249457888822,-0.42066247289444103,24.877416336217376,-1.347802563153789
81,24.55,13.27,15.76,99.84,81,99.84,13.27,-0.08291025978767233,-0.4145512989383616,25.197031035153746,-1.3282223617985107
82,24.55,13.2,15.83,100.32,82,100.32,13.2,-0.0820854355116418,-0.41042717755820896,25.434107754325858,-1.3150086768965015
83,24.55,13.4,15.63,98.8,83,98.8,13.4,-0.08470141637159621,-0.423507081857981,24.73386123730235,-1.3569166902729712
84,24.55,13.15,15.88,100.72,84,100.72,13.15,-0.08139903993614071,-0.4069951996807035,25.61646886463072,-1.3040126197769741
85,24.55,13.44,15.59,98.47,85,98.47,13.44,-0.08527084566032256,-0.42635422830161274,24.59114642851972,-1.3660389474783674
86,24.55,13.56,15.47,97.55,86,97.55,13.56,-0.0868608658731302,-0.434304329365651,24.181729339386653,-1.3915110712875458
87,24.55,13.48,15.55,98.18,87,98.18,13.48,-0.08577165720586699,-0.4288582860293349,24.45715567798648,-1.3740619484379892
88,24.55,13.39,15.64,98.84,88,98.84,13.39,-0.08463242874930077,-0.4231621437465038,24.761244580606835,-1.3558115085637983
89,24.55,13.53,15.5,97.79,89,97.79,13.53,-0.08644573477506165,-0.4322286738753082,24.285372436842255,-1.3848606710964877
90,24.55,13.42,15.61,98.63,90,98.63,13.42,-0.08499469654474462,-0.4249734827237231,24.661409534649778,-1.3616150386468087
91,24.55,13.45,15.58,98.41,91,98.41,13.45,-0.0853744313069346,-0.426872156534673,24.560043896796177,-1.3676983895370922
92,24.55,13.52,15.52,97.88,92,97.88,13.52,-0.0862901215357546,-0.43145060767877297,24.321989200606758,-1.3823677470027886
93,24.55,13.36,15.67,99.09,93,99.09,13.36,-0.08420142713736012,-0.42100713568680054,24.869472278343167,-1.348906862740509
94,24.55,13.35,15.68,99.14,94,99.14,13.35,-0.08411526264633751,-0.4205763132316875,24.899029797616574,-1.3475265075943268
95,24.55,13.41,15.62,98.71,95,98.71,13.41,-0.08485666573278845,-0.42428332866394225,24.696618708365367,-1.359403785039271
96,24.55,13.42,15.61,98.6,96,98.6,13.42,-0.08504646565562907,-0.4252323282781453,24.65547154510139,-1.3624443798031776
97,24.55,13.43,15.6,98.55,97,98.55,13.43,-0.08513275661030771,-0.4256637830515385,24.626252138157497,-1.3638267608971295
98,24.55,13.44,15.59,98.45,98,98.45,13.44,-0.08530537242009982,-0.42652686210049906,24.58719236551418,-1.366592066169999
99,24.55,13.27,15.76,99.8,99,99.8,13.27,-0.08297905008339675,-0.4148952504169837,25.189046727767362,-1.329324382336016
