FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.74,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,24.74,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,24.74,14.8,14.21,87.68,2,87.68,14.8,-0.10404805747217526,-0.5202402873608762,20.279649270952586,-1.6668498807042476
3,24.74,14.67,14.34,88.7,3,88.7,14.67,-0.10226873335727814,-0.5113436667863906,20.653963181885,-1.6383451083835958
4,24.74,14.51,14.51,89.99,4,89.99,14.51,-0.10001745329243135,-0.5000872664621567,21.130788710754562,-1.6022796017447503
5,24.74,14.46,14.55,90.38,5,90.38,14.46,-0.0993367797464183,-0.49668389873209146,21.279641630551698,-1.5913752115376212
6,24.74,14.47,14.54,90.28,6,90.28,14.47,-0.09951130975459754,-0.4975565487729877,21.24571605688136,-1.5941711822686526
7,24.74,14.46,14.55,90.33,7,90.33,14.46,-0.09942404453120035,-0.4971202226560017,21.270387501445317,-1.5927731933898295
8,24.74,14.35,14.66,91.24,8,91.24,14.35,-0.09783596066879024,-0.48917980334395117,21.611303161379386,-1.5673320899140197
9,24.74,14.48,14.53,90.2,9,90.2,14.48,-0.09965093485847765,-0.4982546742923882,21.21553578007422,-1.5964079764328118
10,24.74,14.37,14.64,91.07,10,91.07,14.37,-0.0981326062490625,-0.49066303124531246,21.548067880170773,-1.5720843521099812
11,24.74,14.59,14.42,89.32,11,89.32,14.59,-0.10118679602985375,-0.5059339801492687,20.886415058340717,-1.621012472398257
12,24.74,14.54,14.47,89.72,12,89.72,14.54,-0.10048869024540247,-0.5024434512270123,21.0353671288462,-1.6098288177313476
13,24.74,14.42,14.59,90.67,13,90.67,14.42,-0.0988306560514754,-0.4941532802573769,21.395417410009642,-1.5832671099446358
14,24.74,14.39,14.63,90.94,14,90.94,14.39,-0.09835946409986379,-0.49179732049931896,21.492455408215207,-1.575718614879818
15,24.74,14.46,14.55,90.35,15,90.35,14.46,-0.09938913856093219,-0.49694569280466094,21.274089159064157,-1.5922139997461338
16,24.74,14.41,14.6,90.76,16,90.76,14.41,-0.09867358866563673,-0.4933679433281836,21.427716707291598,-1.5807508904235004
17,24.74,14.42,14.59,90.65,17,90.65,14.42,-0.09886556032046276,-0.49432780160231377,21.39170515748787,-1.5838262763338133
18,24.74,14.52,14.49,89.89,18,89.89,14.52,-0.10019198609978,-0.5009599304989,21.097092707895857,-1.6050756173184755
19,24.74,14.5,14.52,90.07,19,90.07,14.5,-0.0998778269827535,-0.4993891349137675,21.160842428475796,-1.6000427882637112
20,24.74,14.64,14.37,88.95,20,88.95,14.64,-0.10183249313961029,-0.5091624656980515,20.74401491515952,-1.6313565400965568
21,24.74,14.3,14.72,91.65,21,91.65,14.3,-0.09712060476317363,-0.4856030238158682,21.767385600569522,-1.5558720883060415
22,24.74,14.45,14.56,90.43,22,90.43,14.45,-0.0992495154667073,-0.49624757733353647,21.304355478058632,-1.5899772377766508
