FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.39,14.95,14.09,86.6,0,86.6,14.95,-0.10593063735759618,-0.5296531867879809,19.873673504696292,-1.697008810468691
1,22.39,14.95,14.09,86.6,1,86.6,14.95,-0.10593063735759618,-0.5296531867879809,19.873673504696292,-1.697008810468691
2,22.39,13.69,15.34,96.51,2,96.51,13.69,-0.08866233769547903,-0.4433116884773951,23.737834642966202,-1.420370649881574
3,22.39,14.11,14.92,93.19,3,93.19,14.11,-0.09443527566433726,-0.4721763783216863,22.367491252364587,-1.512853116142683
4,22.39,13.68,15.36,96.62,4,96.62,13.68,-0.08847161040073594,-0.44235805200367967,23.777528092171504,-1.4173151986197896
5,22.39,13.85,15.19,95.27,5,95.27,13.85,-0.09081507854243788,-0.4540753927121894,23.210665318767322,-1.4548575582498549
6,22.39,13.99,15.05,94.18,6,94.18,13.99,-0.09271099357533322,-0.46355496787666606,22.758426317788285,-1.485230117076838
7,22.39,13.95,15.09,94.52,7,94.52,13.95,-0.09211929192623466,-0.4605964596311733,22.89217256462903,-1.4757510566582792
8,22.39,13.98,15.06,94.25,8,94.25,13.98,-0.09258915098046008,-0.4629457549023004,22.788921758793045,-1.4832781987069705
9,22.39,14.37,14.67,91.17,9,91.17,14.37,-0.09795810669051996,-0.48979053345259976,21.56669460468862,-1.5692888691821298
10,22.39,14.41,14.63,90.86,10,90.86,14.41,-0.09849907320332765,-0.49249536601663824,21.446290861882726,-1.577955152717309
11,22.39,14.26,14.77,92.01,11,92.01,14.26,-0.09649260772254772,-0.4824630386127386,21.899073166414713,-1.5458115757152144
12,22.39,14.44,14.6,90.61,12,90.61,14.44,-0.09893536926886864,-0.49467684634434317,21.353200209394675,-1.5849446156872757
13,22.39,14.46,14.57,90.43,13,90.43,14.46,-0.0992495154667073,-0.49624757733353647,21.288895706097044,-1.5899772377766508
14,22.39,14.35,14.69,91.33,14,91.33,14.35,-0.09767892055549128,-0.4883946027774564,21.628090724134015,-1.5648163072989703
15,22.39,14.34,14.7,91.44,15,91.44,14.34,-0.09748699045566626,-0.4874349522783313,21.66445503604659,-1.5617415870997735
16,22.39,14.43,14.6,90.66,16,90.66,14.43,-0.09884810816842478,-0.4942405408421239,21.37800306024683,-1.583546692858165
17,22.39,14.42,14.61,90.76,17,90.76,14.42,-0.09867358866563673,-0.4933679433281836,21.41212235230133,-1.5807508904235004
18,22.39,14.42,14.61,90.75,18,90.75,14.42,-0.09869104044286556,-0.49345520221432776,21.410266264037443,-1.5810304678947062
19,22.39,14.57,14.47,89.6,19,89.6,14.57,-0.10069812602979616,-0.5034906301489808,20.96790054874481,-1.6131839789973346
20,22.39,14.41,14.63,90.86,20,90.86,14.41,-0.09849907320332765,-0.49249536601663824,21.446290861882726,-1.577955152717309
21,22.39,14.69,14.35,88.68,21,88.68,14.69,-0.10230363081876062,-0.5115181540938031,20.620837591604417,-1.638904165716545
22,22.39,14.63,14.41,89.12,22,89.12,14.63,-0.1015358293574953,-0.5076791467874765,20.78996225811692,-1.6266039863070747
23,22.39,14.51,14.52,90.03,23,90.03,14.51,-0.09994764012483265,-0.4997382006241632,21.138165390960125,-1.601161194799819
24,22.39,14.45,14.58,90.5,24,90.5,14.45,-0.0991273464501626,-0.495636732250813,21.317320488643407,-1.5880200901316048
25,22.39,14.57,14.47,89.63,25,89.63,14.57,-0.10064576733490443,-0.5032288366745221,20.973409036374566,-1.612345192705169
26,22.39,14.53,14.51,89.9,26,89.9,14.53,-0.10017453283658984,-0.5008726641829492,21.083701877046213,-1.604796016042169
27,22.39,14.56,14.48,89.68,27,89.68,14.56,-0.10055850245708282,-0.5027925122854141,20.99770699890996,-1.6109472093624668
28,22.39,14.31,14.7,91.54,28,91.54,14.31,-0.09731251656594808,-0.48656258282974035,21.730841238423007,-1.5589465153864883
29,22.39,14.59,14.42,89.33,29,89.33,14.59,-0.10116934394852461,-0.5058467197426231,20.888248494988755,-1.6207328900553644
30,22.39,14.33,14.68,91.41,30,91.41,14.33,-0.09753933413950183,-0.48769667069750916,21.674721487203744,-1.5625801329148192
31,22.39,14.58,14.43,89.43,31,89.43,14.58,-0.10099482126383744,-0.5049741063191872,20.92162382920582,-1.6179370366466757
32,22.39,14.57,14.47,89.63,32,89.63,14.57,-0.10064576733490443,-0.5032288366745221,20.973409036374566,-1.612345192705169
33,22.39,14.49,14.53,90.16,33,90.16,14.49,-0.09972074768262576,-0.49860373841312877,21.192786429930802,-1.5975263778756645
34,22.39,14.38,14.63,90.97,34,90.97,14.38,-0.09830711149601024,-0.4915355574800512,21.51372662181843,-1.574879926166084
35,22.39,14.57,14.46,89.56,35,89.56,14.57,-0.10076793732277828,-0.5038396866138913,20.960555930155586,-1.614302355910908
36,22.39,14.54,14.47,89.71,36,89.71,14.54,-0.10050614332198123,-0.5025307166099061,21.033526973148696,-1.6101084160181391
37,22.39,14.55,14.46,89.65,37,89.65,14.55,-0.10061086143906783,-0.5030543071953392,21.007329397841513,-1.6117860002538666
38,22.39,14.31,14.71,91.58,38,91.58,14.31,-0.09724272927253025,-0.48621364636265124,21.73832338072419,-1.5578285229459345
39,22.39,14.62,14.42,89.23,39,89.23,14.62,-0.10134386307118731,-0.5067193153559365,20.82500010382646,-1.6235286864004208
40,22.39,14.49,14.52,90.1,40,90.1,14.49,-0.09982546716341019,-0.49912733581705093,21.18170541397114,-1.5992039839578311
41,22.39,14.64,14.39,89.0,41,89.0,14.64,-0.10174524064372836,-0.5087262032186418,20.753148436111747,-1.6299587551125283
42,22.39,14.59,14.45,89.47,42,89.47,14.59,-0.1009250113116797,-0.5046250565583985,20.913916975570196,-1.616818681213109
43,22.39,14.44,14.58,90.56,43,90.56,14.44,-0.0990226311800751,-0.49511315590037547,21.343932935215868,-1.5863425515048029
44,22.39,14.7,14.34,88.58,44,88.58,14.7,-0.10247811383077488,-0.5123905691538744,20.587942300296852,-1.6416993835690135
45,22.39,14.21,14.8,92.34,45,92.34,14.21,-0.09591706480214901,-0.479585324010745,22.04215406416749,-1.536591378130427
46,22.39,14.46,14.58,90.49,46,90.49,14.46,-0.09914479909131735,-0.4957239954565867,21.300000516128158,-1.5882996814429038
