FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.28,15.01,14.02,86.1,0,86.1,15.01,-0.10680152906652483,-0.5340076453326241,19.701641746118728,-1.7109604956457278
1,21.28,15.01,14.02,86.1,1,86.1,15.01,-0.10680152906652483,-0.5340076453326241,19.701641746118728,-1.7109604956457278
2,21.28,13.51,15.53,97.97,2,97.97,13.51,-0.08613454212420975,-0.4306727106210487,24.3586590960388,-1.37987536482984
3,21.28,13.37,15.66,99.04,3,99.04,13.37,-0.08428760365968323,-0.4214380182984161,24.83995985797309,-1.3502874106281253
4,21.28,13.39,15.64,98.87,4,98.87,13.39,-0.08458069294603174,-0.42290346473015866,24.767192750384112,-1.3549827009954285
5,21.28,13.05,15.98,101.53,5,101.53,13.05,-0.08001190055596541,-0.40005950277982705,25.98729969093076,-1.2817906469065659
6,21.28,12.58,16.44,105.16,6,105.16,12.58,-0.07384845938049032,-0.3692422969024516,27.769772503034922,-1.183052319275455
7,21.28,12.85,16.17,103.07,7,103.07,12.85,-0.07738586962326433,-0.3869293481163216,26.729404587642843,-1.2397216313646944
8,21.28,12.86,16.16,103.0,8,103.0,12.86,-0.07750489456561349,-0.38752447282806746,26.693194667088957,-1.2416284109411282
9,21.28,12.92,16.11,102.54,9,102.54,12.92,-0.07828788556703496,-0.39143942783517477,26.468956188108248,-1.2541719267839
10,21.28,12.94,16.08,102.35,10,102.35,12.94,-0.07861170618383995,-0.39305853091919973,26.387208751500868,-1.259359533065116
11,21.28,12.72,16.3,104.09,11,104.09,12.72,-0.07565542665234837,-0.37827713326174184,27.227818443884875,-1.2119999349706208
12,21.28,12.69,16.33,104.31,12,104.31,12.69,-0.07528318658899592,-0.3764159329449796,27.341069341697896,-1.2060366491557146
13,21.28,12.96,16.07,102.22,13,102.22,12.96,-0.07883340339158505,-0.3941670169579252,26.317879293040114,-1.2629111223331926
14,21.28,12.89,16.13,102.71,14,102.71,12.89,-0.07799835360988883,-0.3899917680494441,26.568597830033394,-1.249533624830419
15,21.28,12.79,16.23,103.56,15,103.56,12.79,-0.07655365009314374,-0.3827682504657187,26.962163883282226,-1.2263894744921628
16,21.28,12.71,16.3,104.11,16,104.11,12.71,-0.07562157173254092,-0.3781078586627045,27.25454677450822,-1.2114575791553055
17,21.28,12.47,16.54,105.96,17,105.96,12.47,-0.07250337985623341,-0.36251689928116704,28.1953442271072,-1.1615041452968593
18,21.28,12.44,16.57,106.18,18,106.18,12.44,-0.07213441166830968,-0.3606720583415484,28.31305176770483,-1.1555932749263211
19,21.28,12.58,16.43,105.1,19,105.1,12.58,-0.07394954913573518,-0.36974774567867585,27.75735941268919,-1.1846717771544775
20,21.28,12.61,16.4,104.89,20,104.89,12.61,-0.07430358752047705,-0.3715179376023853,27.644252106515165,-1.1903434720780424
21,21.28,12.77,16.25,103.7,21,103.7,12.77,-0.07631618539343815,-0.3815809269671907,27.035434986461016,-1.222585290002879
22,21.28,12.69,16.33,104.31,22,104.31,12.69,-0.07528318658899592,-0.3764159329449796,27.341069341697896,-1.2060366491557146
23,21.28,12.75,16.27,103.83,23,103.83,12.75,-0.07609580904224011,-0.3804790452112005,27.106879529027676,-1.2190548608566867
24,21.28,12.77,16.25,103.68,24,103.68,12.77,-0.07635010029762752,-0.3817505014881376,27.03133587813306,-1.223128606767993
