FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.5,15.3,13.74,83.82,0,83.82,15.3,-0.11076523249817097,-0.5538261624908548,18.91459341103951,-1.7744590246206988
1,21.5,15.3,13.74,83.82,1,83.82,15.3,-0.11076523249817097,-0.5538261624908548,18.91459341103951,-1.7744590246206988
2,21.5,14.26,14.77,92.01,2,92.01,14.26,-0.09649260772254772,-0.4824630386127386,21.899073166414713,-1.5458115757152144
3,21.5,15.21,13.83,84.53,3,84.53,15.21,-0.10953245511750101,-0.547662275587505,19.15575821747108,-1.7547099309823662
4,21.5,15.46,13.55,82.46,4,82.46,15.46,-0.11312183194427046,-0.5656091597213523,18.4767893641171,-1.8122117477472126
5,21.5,15.55,13.44,81.66,5,81.66,15.55,-0.11450469850882337,-0.5725234925441168,18.229033177257612,-1.8343652701113504
6,21.5,15.69,13.31,80.62,6,80.62,15.69,-0.11629815736476581,-0.581490786823829,17.884357500949008,-1.8630964809835482
7,21.5,16.07,12.93,77.66,7,77.66,16.07,-0.12137124407939943,-0.6068562203969972,16.960924289783765,-1.9443673301519788
8,21.5,15.91,13.09,78.87,8,78.87,15.91,-0.11930357437493058,-0.5965178718746529,17.337565054969986,-1.911243261486388
9,21.5,15.98,13.0,78.28,9,78.28,15.98,-0.12031290962381823,-0.6015645481190911,17.161813234795197,-1.927412812173568
10,21.5,15.97,13.01,78.35,10,78.35,15.97,-0.12019326851415008,-0.6009663425707503,17.184475902521573,-1.9254961615966841
11,21.5,15.9,13.08,78.9,11,78.9,15.9,-0.11925219665259075,-0.5962609832629537,17.35389323426317,-1.9104201903745037
12,21.5,15.85,13.13,79.27,12,79.27,15.85,-0.11861810847684484,-0.5930905423842242,17.472191682929473,-1.9002620977990543
13,21.5,15.95,13.02,78.45,13,78.45,15.95,-0.12002230040208446,-0.6001115020104223,17.22335277155223,-1.922757252441393
14,21.5,15.93,13.05,78.66,14,78.66,15.93,-0.11966306946154202,-0.5983153473077101,17.280371392631324,-1.9170023727739032
15,21.5,16.13,12.85,77.08,15,77.08,16.13,-0.1223590358248053,-0.6117951791240265,16.80160356530013,-1.9601917539133809
16,21.5,16.03,12.95,77.88,16,77.88,16.03,-0.12099598608632425,-0.6049799304316212,17.040863017049645,-1.9383556971029146
17,21.5,15.97,13.04,78.46,17,78.46,15.97,-0.12000520022775617,-0.6000260011387808,17.202449951150662,-1.9224833076486538
18,21.5,15.92,13.05,78.7,18,78.7,15.92,-0.11959461442425177,-0.5979730721212588,17.298278118231796,-1.9159057230765133
19,21.5,16.11,12.9,77.37,19,77.37,16.11,-0.12186542002922277,-0.6093271001461138,16.870137705003565,-1.9522840288681487
20,21.5,15.91,13.05,78.73,20,78.73,15.91,-0.11954326687715565,-0.5977163343857782,17.31456690026858,-1.9150831353720335
21,21.5,16.08,12.93,77.61,21,77.61,16.08,-0.12145648624276238,-0.6072824312138119,16.941817873267553,-1.9457329096090532
22,21.5,16.15,12.86,77.04,22,77.04,16.15,-0.12242707609493814,-0.6121353804746906,16.77344624321517,-1.9612817590409088
23,21.5,16.03,12.97,77.93,23,77.93,16.03,-0.12091065680875884,-0.6045532840437942,17.048986212158763,-1.9369887220763167
24,21.5,16.24,12.76,76.32,24,76.32,16.24,-0.12364989970237249,-0.6182494985118624,16.561548628780756,-1.9808713932320072
25,21.5,16.04,12.96,77.87,25,77.87,16.04,-0.12101305002519372,-0.6050652501259686,17.028141084990335,-1.9386290614036032
26,21.5,16.25,12.73,76.16,26,76.16,16.25,-0.12392113790208895,-0.6196056895104447,16.5254508862137,-1.9852166291914648
27,21.5,15.97,13.01,78.36,27,78.36,15.97,-0.1201761744624007,-0.6008808723120035,17.186109613995754,-1.925222314887659
28,21.5,16.17,12.82,76.81,28,76.81,16.17,-0.12281809450597048,-0.6140904725298524,16.71489261976021,-1.967545873985647
29,21.5,16.09,12.91,77.49,29,77.49,16.09,-0.12166100064386572,-0.6083050032193286,16.911425960082745,-1.9490092303147286
30,21.5,16.15,12.85,77.03,30,77.03,16.15,-0.12244408445584716,-0.6122204222792358,16.771839642269942,-1.9615542329826714
31,21.5,16.42,12.59,74.97,31,74.97,16.42,-0.12593247671810204,-0.6296623835905102,16.160159527752466,-2.0174382770239947
32,21.5,16.06,12.9,77.55,32,77.55,16.06,-0.12155875526422331,-0.6077937763211165,16.954140570641595,-1.9473712593328574
33,21.5,16.05,12.93,77.67,33,77.67,16.05,-0.1213541936916335,-0.6067709684581675,16.984624035564003,-1.9440941829399687
34,21.5,16.03,12.95,77.87,34,77.87,16.03,-0.12101305002519372,-0.6050652501259686,17.03923856048888,-1.9386290614036032
35,21.5,16.05,12.93,77.7,35,77.7,16.05,-0.12130303862749768,-0.6065151931374884,16.989487567206957,-1.9432746788125128
36,21.5,16.18,12.83,76.83,36,76.83,16.18,-0.12278410741106126,-0.6139205370553062,16.70730858497318,-1.9670014007252012
37,21.5,16.18,12.82,76.77,37,76.77,16.18,-0.12288606035070132,-0.6144303017535065,16.697696810324604,-1.9686346868182352
38,21.5,16.03,12.95,77.87,38,77.87,16.03,-0.12101305002519372,-0.6050652501259686,17.03923856048888,-1.9386290614036032
39,21.5,16.29,12.69,75.85,39,75.85,16.29,-0.12444612919163667,-0.6222306459581833,16.433941459184176,-1.9936269896500194
40,21.5,16.22,12.74,76.31,40,76.31,16.22,-0.12366685751493403,-0.6183342875746701,16.581277740734727,-1.9811430573892432
41,21.5,15.93,13.02,78.54,41,78.54,15.93,-0.11986837693873234,-0.5993418846936617,17.260698276065906,-1.920291398558492
