FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,30.31,13.11,15.87,100.88,0,100.88,13.11,-0.0811247336776605,-0.4056236683883025,25.73110508800124,-1.2996182335161213
1,30.31,13.11,15.87,100.88,1,100.88,13.11,-0.0811247336776605,-0.4056236683883025,25.73110508800124,-1.2996182335161213
2,30.31,13.21,15.68,99.77,2,99.77,13.21,-0.08303064825114526,-0.4151532412557263,25.303586303797772,-1.330150984983347
3,30.31,13.11,15.85,100.79,3,100.79,13.11,-0.08127901297346414,-0.4063950648673207,25.712967923213604,-1.3020897878348956
4,30.31,13.12,15.72,100.32,4,100.32,13.12,-0.0820854355116418,-0.41042717755820896,25.597582576646754,-1.3150086768965015
5,30.31,13.11,15.8,100.63,5,100.63,13.11,-0.08155340108811424,-0.40776700544057115,25.68071069501422,-1.30648548543159
6,30.31,13.12,15.77,100.45,6,100.45,13.12,-0.08186225955652547,-0.4093112977826273,25.623798194467554,-1.311433398095538
7,30.31,13.24,15.66,99.58,7,99.58,13.24,-0.08335754409822112,-0.4167877204911056,25.20514607061142,-1.3353878564535022
8,30.31,13.16,15.73,100.17,8,100.17,13.16,-0.08234306075465452,-0.41171530377327253,25.485418711854425,-1.3191358332895653
9,30.31,13.19,15.75,100.09,9,100.09,13.19,-0.08248051047979976,-0.41240255239899876,25.40827973060666,-1.3213377778863922
10,30.31,13.44,15.43,97.9,10,97.9,13.44,-0.08625554539628533,-0.43127772698142663,24.478376947031986,-1.381813837248491
11,30.31,13.35,15.5,98.51,11,98.51,13.35,-0.08520179752908306,-0.4260089876454153,24.77371448003897,-1.3649327964159106
12,30.31,13.3,15.64,99.25,12,99.25,13.3,-0.08392574343961741,-0.41962871719808703,25.019577626880785,-1.3444904099026709
13,30.31,13.36,15.51,98.52,13,98.52,13.36,-0.08518453662190621,-0.425922683109531,24.756174892970467,-1.3646562766829375
14,30.31,13.31,15.56,98.91,14,98.91,13.31,-0.0845117184532429,-0.4225585922662145,24.931980101499065,-1.3538777296209512
15,30.31,13.25,15.65,99.51,15,99.51,13.25,-0.08347802573428967,-0.4173901286714483,25.171098061012632,-1.3373179722633204
16,30.31,13.15,15.71,100.14,16,100.14,13.15,-0.08239460038201739,-0.4119730019100869,25.499805410100567,-1.3199614981199186
17,30.31,13.12,15.73,100.32,17,100.32,13.12,-0.0820854355116418,-0.41042717755820896,25.597582576646754,-1.3150086768965015
18,30.31,13.14,15.7,100.13,18,100.13,13.14,-0.0824117813310851,-0.41205890665542544,25.518244609019455,-1.3202367369239831
19,30.31,13.26,15.51,98.93,19,98.93,13.26,-0.08447723403554763,-0.4223861701777381,25.035031562069634,-1.353325289249473
20,30.31,13.25,15.64,99.48,20,99.48,13.25,-0.08352966828098425,-0.41764834140492124,25.165094515130615,-1.3381452858613676
21,30.31,13.1,15.72,100.4,21,100.4,13.1,-0.08194808547494402,-0.40974042737472005,25.654939235218823,-1.3128083293086033
22,30.31,13.42,15.45,98.07,22,98.07,13.42,-0.08596171625281612,-0.4298085812640806,24.550491019312823,-1.3771066943701142
23,30.31,13.19,15.66,99.79,23,99.79,13.19,-0.08299624895485701,-0.414981244774285,25.348036726768264,-1.3295999082568093
