FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.89,15.13,13.9,85.15,0,85.15,15.13,-0.10845474154281087,-0.5422737077140544,19.37081761068259,-1.7374449595158301
1,24.89,15.13,13.9,85.15,1,85.15,15.13,-0.10845474154281087,-0.5422737077140544,19.37081761068259,-1.7374449595158301
2,24.89,14.46,14.55,90.36,2,90.36,14.46,-0.09937168560344412,-0.4968584280172205,21.275939984941818,-1.5919344033671747
3,24.89,14.39,14.63,90.94,3,90.94,14.39,-0.09835946409986379,-0.49179732049931896,21.492455408215207,-1.575718614879818
4,24.89,14.51,14.52,90.04,4,90.04,14.51,-0.09993018683559124,-0.49965093417795614,21.140009560730636,-1.6008815931061715
5,24.89,14.52,14.52,90.01,5,90.01,14.52,-0.09998254670756866,-0.49991273353784327,21.119206747207485,-1.60172039825525
6,24.89,14.63,14.38,88.99,6,88.99,14.63,-0.10176269125135717,-0.5088134562567859,20.766197514103307,-1.6302383138467418
7,24.89,14.59,14.45,89.43,7,89.43,14.59,-0.10099482126383744,-0.5049741063191872,20.906583058069483,-1.6179370366466757
8,24.89,14.53,14.51,89.91,8,89.91,14.53,-0.10015707956808312,-0.5007853978404155,21.085543381611163,-1.6045164146806916
9,24.89,14.52,14.52,89.99,9,89.99,14.52,-0.10001745329243135,-0.5000872664621567,21.11552107193056,-1.6022796017447503
10,24.89,14.71,14.33,88.48,10,88.48,14.71,-0.1026525892940246,-0.5132629464701229,20.555094645019913,-1.6444944804902741
11,24.89,14.76,14.28,88.13,11,88.13,14.76,-0.10326318629582593,-0.5163159314791296,20.418725010318383,-1.6542762444591312
12,24.89,14.68,14.36,88.73,12,88.73,14.68,-0.10221638664806143,-0.5110819332403072,20.644673833581614,-1.637506514101944
13,24.89,14.59,14.43,89.38,13,89.38,14.59,-0.10108208301820767,-0.5054104150910383,20.897415733243466,-1.6193349699516868
14,24.89,14.66,14.35,88.79,14,88.79,14.66,-0.10211169142107444,-0.5105584571053722,20.685153051398206,-1.6358292965656125
15,24.89,14.39,14.65,91.03,15,91.03,14.39,-0.0982024076950007,-0.49101203847500346,21.50919573159823,-1.5732025712739113
16,24.89,14.45,14.59,90.58,16,90.58,14.45,-0.09898772632255404,-0.49493863161277013,21.332137473207005,-1.5857833756873156
17,24.89,14.51,14.52,90.05,17,90.05,14.51,-0.0999127335484765,-0.4995636677423825,21.141853730276438,-1.6006019914465937
18,24.89,14.53,14.51,89.94,18,89.94,14.53,-0.10010471973598,-0.5005235986798999,21.091067898110815,-1.6036776101703996
19,24.89,14.38,14.61,90.94,19,90.94,14.38,-0.09835946409986379,-0.49179732049931896,21.508142391181448,-1.575718614879818
20,24.89,14.31,14.72,91.62,20,91.62,14.31,-0.09717294332297269,-0.4858647166148634,21.745805378945366,-1.5567105520340223
21,24.89,14.44,14.59,90.6,21,90.6,14.44,-0.09895282158837543,-0.49476410794187714,21.35134676122136,-1.5852242018457743
22,24.89,14.48,14.56,90.31,22,90.31,14.48,-0.09945895057164694,-0.4972947528582347,21.235865545544257,-1.5933323881577839
23,24.89,14.42,14.57,90.61,23,90.61,14.42,-0.09893536926886864,-0.49467684634434317,21.38428060879282,-1.5849446156872757
24,24.89,14.4,14.62,90.86,24,90.86,14.4,-0.09849907320332765,-0.49249536601663824,21.461921434733227,-1.577955152717309
25,24.89,14.69,14.32,88.55,25,88.55,14.69,-0.10253045728655297,-0.5126522864327648,20.597178321719014,-1.6425379257305786
26,24.89,14.35,14.64,91.13,26,91.13,14.35,-0.09802790579730837,-0.49013952898654184,21.59078425813389,-1.57040705087288
27,24.89,14.29,14.72,91.68,27,91.68,14.29,-0.09706826699277715,-0.48534133496388576,21.78899739402563,-1.5550336372242899
28,24.89,14.44,14.59,90.59,28,90.59,14.44,-0.0989702739397811,-0.4948513696989055,21.349493309660364,-1.5855037885152932
29,24.89,14.31,14.72,91.63,29,91.63,14.31,-0.09715549704954735,-0.48577748524773673,21.747675855560818,-1.5564310627337485
30,24.89,14.25,14.79,92.12,30,92.12,14.25,-0.0963007462117388,-0.481503731058694,21.935870445621646,-1.5427379543120556
31,24.89,14.38,14.66,91.13,31,91.13,14.38,-0.09802790579730837,-0.49013952898654184,21.543508311781224,-1.57040705087288
32,24.89,14.18,14.86,92.69,32,92.69,14.18,-0.09530678891787739,-0.4765339445893869,22.157190368780192,-1.5268147584643956
