FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,23.72,13.99,15.04,94.15,0,94.15,13.99,-0.09276321517142089,-0.4638160758571044,22.752692866857828,-1.4860667070461626
1,23.72,13.99,15.04,94.15,1,94.15,13.99,-0.09276321517142089,-0.4638160758571044,22.752692866857828,-1.4860667070461626
2,23.72,13.82,15.22,95.51,2,95.51,13.82,-0.09039805195302388,-0.45199025976511936,23.31002205537943,-1.4481767922874424
3,23.72,13.59,15.44,97.27,3,97.27,13.59,-0.08734547635083235,-0.43672738175416176,24.070702624228275,-1.3992745311403343
4,23.72,13.28,15.75,99.74,4,99.74,13.28,-0.08308225107113781,-0.41541125535568907,25.157096397965393,-1.3309776621596277
5,23.72,12.53,16.48,105.48,5,105.48,12.53,-0.07330980106796245,-0.3665490053398122,27.953267510685155,-1.1744230131087583
6,23.72,12.16,16.83,108.31,6,108.31,12.16,-0.06858418428099432,-0.34292092140497155,29.45479694889696,-1.098718632181529
7,23.72,12.11,16.88,108.68,7,108.68,12.11,-0.06797176677015773,-0.33985883385078863,29.66179434673814,-1.0889077036579269
8,23.72,11.91,17.08,110.23,8,110.23,11.91,-0.06542104545590238,-0.3271052272795119,30.521307416599956,-1.0480451482035562
9,23.72,11.69,17.27,111.81,9,111.81,11.69,-0.06284701187594717,-0.31423505937973584,31.471965263085693,-1.0068091302526736
10,23.72,11.43,17.52,113.74,10,113.74,11.43,-0.0597413068264554,-0.298706534132277,32.65410929965034,-0.9570557353598155
11,23.72,10.8,18.08,118.29,11,118.29,10.8,-0.05260654704609594,-0.2630327352304797,35.713020210989015,-0.842756883678457
12,23.72,10.37,18.45,121.31,12,121.31,10.37,-0.048033176483489065,-0.2401658824174453,37.98346143701652,-0.7694914872654948
13,23.72,9.94,18.82,124.3,13,124.3,9.94,-0.04364739510624286,-0.2182369755312143,40.433987762023456,-0.6992312696020107
14,23.72,10.0,18.77,123.88,14,123.88,10.0,-0.04425446539383393,-0.22127232696916965,40.07932769040281,-0.7089565356092196
15,23.72,9.83,18.91,125.07,15,125.07,9.83,-0.04254232089479229,-0.21271160447396142,41.09494334208885,-0.6815279807345724
16,23.72,10.04,18.74,123.65,16,123.65,10.04,-0.04458818006617713,-0.22294090033088565,39.856477637603355,-0.7143026446601576
17,23.72,9.96,18.8,124.2,17,124.2,9.96,-0.04379166221478693,-0.21895831107393465,40.32440397718708,-0.7015424286808867
18,23.72,10.15,18.64,122.87,18,122.87,10.15,-0.045726524841945795,-0.22863262420972896,39.21925829162144,-0.7325389279679716
19,23.72,10.25,18.55,122.14,19,122.14,10.25,-0.046801014736080594,-0.23400507368040296,38.646557921921875,-0.7497522560720111
20,23.72,10.2,18.6,122.49,20,122.49,10.2,-0.0462847599412096,-0.23142379970604798,38.92819210231102,-0.7414818542581777
21,23.72,10.25,18.56,122.16,21,122.16,10.25,-0.046771460801426606,-0.233857304007133,38.651068831972474,-0.7492788020388542
22,23.72,10.36,18.47,121.42,22,121.42,10.36,-0.04786924544722864,-0.23934622723614318,38.047337927743754,-0.7668653120646028
23,23.72,10.27,18.54,122.04,23,122.04,10.27,-0.04694888156932658,-0.23474440784663286,38.54365297442339,-0.7521210827406117
24,23.72,9.78,18.95,125.4,24,125.4,9.78,-0.04207188276573211,-0.21035941382866052,41.395511536354284,-0.6739915619070284
25,23.72,9.29,19.34,128.67,25,128.67,9.29,-0.037516606175825584,-0.18758303087912792,44.515168497151016,-0.6010160309367258
26,23.72,9.98,18.78,124.01,26,124.01,9.98,-0.04406624106943446,-0.22033120534717227,40.19482282928387,-0.70594118193234
27,23.72,10.17,18.63,122.73,27,122.73,10.17,-0.04593191395823725,-0.22965956979118624,39.105221714162646,-0.7358292616109607
28,23.72,10.48,18.36,120.56,28,120.56,10.48,-0.04915596195463773,-0.24577980977318864,37.390810429090195,-0.7874785105132964
29,23.72,11.14,17.78,115.87,29,115.87,11.14,-0.05636692788382607,-0.28183463941913034,34.02919053838727,-0.9029981846988937
30,23.72,11.33,17.61,114.51,30,114.51,11.33,-0.05851479454582823,-0.29257397272914115,33.12848286118854,-0.9374070086241683
31,23.72,11.13,17.79,115.97,31,115.97,11.13,-0.05620995207425446,-0.2810497603712723,34.083641510929574,-0.9004834322295564
32,23.72,11.17,17.75,115.65,32,115.65,11.17,-0.0567127418479586,-0.283563709239793,33.88388328899407,-0.9085381244042968
33,23.72,11.12,17.8,116.02,33,116.02,11.12,-0.05613151416162863,-0.28065757080814313,34.12720571217441,-0.8992268568692906
34,23.72,11.22,17.71,115.3,34,115.3,11.22,-0.05726421366128076,-0.2863210683064038,33.64698459875994,-0.9173727028537177
35,23.72,11.27,17.67,114.94,35,114.94,11.27,-0.05783310531074223,-0.28916552655371114,33.409910519632604,-0.9264863470780905
