FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,50.46,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,50.46,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,50.46,14.24,14.77,92.12,2,92.12,14.24,-0.0963007462117388,-0.481503731058694,21.95204561007956,-1.5427379543120556
3,50.46,14.79,14.25,87.87,3,87.87,14.79,-0.10371669507830106,-0.5185834753915053,20.328340771741875,-1.661541455154383
4,50.46,14.59,14.45,89.46,4,89.46,14.59,-0.10094246384331443,-0.5047123192165721,20.912083491615093,-1.617098270769897
5,50.46,14.37,14.67,91.18,5,91.18,14.37,-0.09794065706799306,-0.48970328533996527,21.568557241559823,-1.5690093262292488
6,50.46,14.38,14.66,91.08,6,91.08,14.38,-0.0981151560284592,-0.49057578014229597,21.534201698967095,-1.5718047995759163
7,50.46,14.42,14.62,90.81,7,90.81,14.42,-0.09858633039619674,-0.49293165198098365,21.421402728031055,-1.5793530129470719
8,50.46,14.24,14.8,92.2,8,92.2,14.24,-0.09616121909124802,-0.48080609545624003,21.967082021140936,-1.5405027298417933
9,50.46,14.43,14.61,90.69,9,90.69,14.43,-0.09879575192496905,-0.4939787596248452,21.383567372481867,-1.582707945838004
10,50.46,14.32,14.71,91.54,10,91.54,14.32,-0.09731251656594808,-0.48656258282974035,21.714910862227462,-1.5589465153864883
11,50.46,14.27,14.76,91.93,11,91.93,14.27,-0.09663215152708866,-0.4831607576354433,21.867955655735937,-1.5480470674639604
12,50.46,14.32,14.72,91.55,12,91.55,14.32,-0.09729506961846683,-0.4864753480923341,21.716780039854783,-1.5586670152878386
13,50.46,14.29,14.74,91.79,13,91.79,14.29,-0.0968763688203136,-0.484381844101568,21.809601706213602,-1.5519594285014238
14,50.46,14.3,14.74,91.71,14,91.71,14.3,-0.09701593002613193,-0.4850796501306596,21.778616388009343,-1.5541951990186336
15,50.46,14.1,14.94,93.31,15,93.31,14.1,-0.09422617304004649,-0.47113086520023245,22.40692533684713,-1.5095032921015448
16,50.46,14.24,14.79,92.16,16,92.16,14.24,-0.09623098173300657,-0.4811549086650328,21.959563914592767,-1.541620327362765
17,50.46,14.33,14.71,91.48,17,91.48,14.33,-0.09741719995140813,-0.48708599975704064,21.68779674061035,-1.5606235432215583
18,50.46,14.2,14.84,92.5,18,92.5,14.2,-0.09563806126346641,-0.47819030631733206,22.08861176778892,-1.5321217414407318
19,50.46,14.06,14.98,93.62,19,93.62,14.06,-0.09368611072544991,-0.4684305536272495,22.532884332648475,-1.5008514938217075
20,50.46,14.11,14.93,93.22,20,93.22,14.11,-0.09438299768403324,-0.4719149884201662,22.3731796177732,-1.5120156228982125
21,50.46,14.2,14.83,92.47,21,92.47,14.2,-0.09569037190155974,-0.47845185950779867,22.082957733660486,-1.532959757862987
22,50.46,14.29,14.75,91.84,22,91.84,14.29,-0.09678914614182185,-0.48394573070910923,21.818966898567663,-1.550562121191986
23,50.46,14.3,14.74,91.76,23,91.76,14.3,-0.09692870357347473,-0.48464351786737364,21.787975109861524,-1.5527978312470652
24,50.46,14.2,14.84,92.55,24,92.55,14.2,-0.09555087953117114,-0.4777543976558557,22.0980348700056,-1.5307250900893616
25,50.46,14.27,14.77,91.98,25,91.98,14.27,-0.09654493586255278,-0.48272467931276386,21.87733387505073,-1.5466498725180955
26,50.46,14.16,14.87,92.8,26,92.8,14.16,-0.09511502302043867,-0.47557511510219336,22.210848821990663,-1.5237426687874274
27,50.46,14.22,14.81,92.32,27,92.32,14.22,-0.09595194252782477,-0.4797597126391238,22.02211246905161,-1.5371501192957528
28,50.46,14.12,14.92,93.18,28,93.18,14.12,-0.09445270199750211,-0.47226350998751054,22.348956558883202,-1.5131322859999838
29,50.46,14.23,14.8,92.25,29,92.25,14.23,-0.09607401842409315,-0.4803700921204657,21.99269638306137,-1.539105775153972
30,50.46,14.1,14.94,93.31,30,93.31,14.1,-0.09422617304004649,-0.47113086520023245,22.40692533684713,-1.5095032921015448
31,50.46,14.01,15.02,93.99,31,93.99,14.01,-0.09304176350892085,-0.4652088175446042,22.68802573110689,-1.490529051412912
32,50.46,14.12,14.92,93.17,32,93.17,14.12,-0.09447012849964731,-0.47235064249823655,22.347061792358897,-1.5134114585643499
33,50.46,13.87,15.17,95.14,33,95.14,13.87,-0.09104103570099849,-0.4552051785049924,23.150445964294548,-1.4584773919299958
34,50.46,13.85,15.18,95.25,34,95.25,13.85,-0.09084983813365977,-0.45424919066829883,23.206808476539656,-1.4554144069012294
35,50.46,13.99,15.04,94.13,35,94.13,13.99,-0.09279803067192181,-0.463990153359609,22.748870445126286,-1.4866244513641873
36,50.46,14.05,14.98,93.66,36,93.66,14.05,-0.09361643839444188,-0.46808219197220935,22.557349779973702,-1.4997353430789588
37,50.46,13.87,15.17,95.14,37,95.14,13.87,-0.09104103570099849,-0.4552051785049924,23.150445964294548,-1.4584773919299958
38,50.46,14.05,14.98,93.67,38,93.67,14.05,-0.09359902079649943,-0.4679951039824971,22.559253491907242,-1.4994563131599208
39,50.46,13.89,15.14,94.92,39,94.92,13.89,-0.09142352919554862,-0.45711764597774307,23.07309233549859,-1.4646049377126888
40,50.46,13.88,15.16,95.04,40,95.04,13.88,-0.0912148803449257,-0.45607440172462843,23.113666396787455,-1.4612623831257097
41,50.46,13.86,15.17,95.18,41,95.18,13.86,-0.09097150545513145,-0.45485752727565726,23.17571556626468,-1.4573635173912058
42,50.46,13.85,15.19,95.3,42,95.3,13.85,-0.09076294125534384,-0.4538147062767192,23.216450349126756,-1.4540223189106083
43,50.46,13.86,15.17,95.17,43,95.17,13.86,-0.09098888760538644,-0.4549444380269322,23.173788346862768,-1.4576419794382907
44,50.46,13.95,15.09,94.51,44,94.51,13.95,-0.09213669105696003,-0.4606834552848001,22.89025654314377,-1.4760297907324995
45,50.46,13.9,15.14,94.9,45,94.9,13.9,-0.09145830768626324,-0.4572915384313162,23.051798876202543,-1.4651620891339372
46,50.46,13.86,15.18,95.21,46,95.21,13.86,-0.09091936065662648,-0.45459680328313234,23.181497041278615,-1.4565281577191562
47,50.46,13.84,15.19,95.32,47,95.32,13.84,-0.09072818446995,-0.45364092234974995,23.237947048184324,-1.453465515208599
48,50.46,13.71,15.32,96.33,48,96.33,13.71,-0.08897452672356079,-0.44487263361780394,23.666398359228577,-1.425371918111444
49,50.46,13.69,15.34,96.52,49,96.52,13.69,-0.08864499711311365,-0.4432249855655682,23.73978236904736,-1.4200928537520805
