FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,28.67,15.13,13.91,85.17,0,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
1,28.67,15.13,13.91,85.17,1,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
2,28.67,14.19,14.84,92.57,2,92.57,14.19,-0.09551600778323079,-0.4775800389161539,22.118161564460934,-1.530166444687357
3,28.67,14.26,14.78,92.04,3,92.04,14.26,-0.09644028054411413,-0.48220140272057066,21.904704002210334,-1.5449732943167083
4,28.67,14.12,14.92,93.13,4,93.13,14.12,-0.09453983618741484,-0.47269918093707414,22.339482543685346,-1.5145281757223856
5,28.67,14.31,14.73,91.64,5,91.64,14.31,-0.09713805086277053,-0.4856902543138526,21.749546322886378,-1.5561515748215837
6,28.67,14.32,14.72,91.55,6,91.55,14.32,-0.09729506961846683,-0.4864753480923341,21.716780039854783,-1.5586670152878386
7,28.67,14.01,15.02,94.0,7,94.0,14.01,-0.09302435262558748,-0.46512176312793735,22.689934418462208,-1.4902501290619112
8,28.67,14.11,14.92,93.19,8,93.19,14.11,-0.09443527566433726,-0.4721763783216863,22.367491252364587,-1.512853116142683
9,28.67,13.86,15.17,95.16,9,95.16,13.86,-0.09100627003013562,-0.4550313501506781,23.17186109702673,-1.4579204458827726
10,28.67,14.11,14.92,93.2,10,93.2,14.11,-0.09441784950068362,-0.4720892475034181,22.369387392688985,-1.5125739490009515
11,28.67,13.97,15.07,94.32,11,94.32,13.97,-0.09246731944720675,-0.4623365972360337,22.819461806080643,-1.4813264575442522
12,28.67,13.9,15.14,94.9,12,94.9,13.9,-0.09145830768626324,-0.4572915384313162,23.051798876202543,-1.4651620891339372
13,28.67,14.0,15.04,94.12,13,94.12,14.0,-0.09281543875151417,-0.46407719375757084,22.729885239383666,-1.486903328799257
14,28.67,13.98,15.06,94.28,14,94.28,13.98,-0.09253693610112079,-0.4626846805056039,22.794658781738246,-1.482441716339955
15,28.67,13.9,15.13,94.85,15,94.85,13.9,-0.09154525845718914,-0.4577262922859457,23.042187504676416,-1.4665550404841698
16,28.67,14.02,15.01,93.91,16,93.91,14.02,-0.09318105816159575,-0.4659052908079787,22.655762530046946,-1.4927605517487639
17,28.67,14.08,14.96,93.5,17,93.5,14.08,-0.09389514604651433,-0.4694757302325716,22.47646277846497,-1.5042002396651595
18,28.67,14.22,14.82,92.37,18,92.37,14.22,-0.09586474914776329,-0.4793237457388164,22.03152291111148,-1.5357532813471677
19,28.67,14.14,14.89,92.96,19,92.96,14.14,-0.09483612313899437,-0.47418061569497183,22.27412640695722,-1.5192746926866898
20,28.67,13.98,15.06,94.24,20,94.24,13.98,-0.09260655639244153,-0.46303278196220765,22.787009368126405,-1.4835570334069133
21,28.67,13.58,15.46,97.41,21,97.41,13.58,-0.08710313261161785,-0.43551566305808925,24.116807993904892,-1.395392184438118
22,28.67,13.87,15.16,95.08,22,95.08,13.87,-0.09114533924637779,-0.4557266962318889,23.13889023324808,-1.4601483347269721
23,28.67,13.62,15.42,97.1,23,97.1,13.62,-0.08763985232595076,-0.43819926162975376,23.98167293513773,-1.403990434261731
24,28.67,13.83,15.21,95.46,24,95.46,13.83,-0.09048491884212886,-0.4524245942106443,23.282647196934878,-1.4495683998509044
25,28.67,13.79,15.25,95.74,25,95.74,13.79,-0.08999855946789653,-0.4499927973394826,23.407878366794108,-1.4417769226757025
26,28.67,13.63,15.4,96.97,26,96.97,13.63,-0.08786503692264164,-0.4393251846132082,23.93775023234853,-1.407597891500719
27,28.67,13.72,15.32,96.31,27,96.31,13.72,-0.08900922116680951,-0.4450461058340475,23.64436678203687,-1.4259277230922882
28,28.67,13.7,15.34,96.48,28,96.48,13.7,-0.08871436151265183,-0.44357180756325915,23.713769546963587,-1.4212040714326823
29,28.67,13.65,15.39,96.86,29,96.86,13.65,-0.0880556265757272,-0.440278132878636,23.879376613674555,-1.4106511377431497
30,28.67,13.58,15.45,97.36,30,97.36,13.58,-0.08718967518281306,-0.4359483759140653,24.107004512066872,-1.3967785964286652
31,28.67,13.36,15.67,99.13,31,99.13,13.36,-0.08413249457888822,-0.42066247289444103,24.877416336217376,-1.347802563153789
32,28.67,13.48,15.55,98.14,32,98.14,13.48,-0.08584076355553445,-0.42920381777767225,24.449266223537506,-1.375169032159662
33,28.67,13.23,15.8,100.14,33,100.14,13.23,-0.08239460038201739,-0.4119730019100869,25.337342072957725,-1.3199614981199186
34,28.67,13.2,15.83,100.33,34,100.33,13.2,-0.08206826484158186,-0.4103413242079093,25.436111845578516,-1.3147336027621415
35,28.67,13.11,15.92,101.03,35,101.03,13.11,-0.08086770520112772,-0.4043385260056386,25.761321506929693,-1.295500637322066
36,28.67,13.19,15.84,100.42,36,100.42,13.19,-0.081913753454238,-0.40956876727118996,25.47448217102486,-1.3122583303368927
37,28.67,13.34,15.69,99.27,37,99.27,13.34,-0.08389129174701337,-0.4194564587350669,24.94454033843863,-1.3439384937871541
38,28.67,13.02,16.01,101.76,38,101.76,13.02,-0.07961873762921153,-0.3980936881460576,26.09699739967699,-1.2754921768199685
39,28.67,13.07,15.96,101.38,39,101.38,13.07,-0.08026848508470896,-0.4013424254235448,25.915113894754505,-1.2859011310570376
