FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.05,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,22.05,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,22.05,14.85,14.19,87.37,2,87.37,14.85,-0.10458860416542946,-0.5229430208271473,20.152340014187384,-1.6755094387301799
3,22.05,13.56,15.47,97.55,3,97.55,13.56,-0.0868608658731302,-0.434304329365651,24.181729339386653,-1.3915110712875458
4,22.05,13.06,15.97,101.44,4,101.44,13.06,-0.0801658349461977,-0.40082917473098845,25.94815102933755,-1.2842566758380871
5,22.05,12.08,16.91,108.9,5,108.9,12.08,-0.06760825818018505,-0.3380412909009253,29.786356490921143,-1.0830842960465645
6,22.05,11.62,17.34,112.35,6,112.35,11.62,-0.06197365872667953,-0.30986829363339763,31.789695547840555,-0.992818012801406
7,22.05,11.34,17.59,114.38,7,114.38,11.34,-0.05872134839032672,-0.2936067419516336,33.06914702078013,-0.9407160012130341
8,22.05,11.2,17.73,115.45,8,115.45,11.2,-0.05702767212677946,-0.2851383606338973,33.74369046787831,-0.913583307471007
9,22.05,11.13,17.79,115.91,9,115.91,11.13,-0.05630412158354198,-0.2815206079177099,34.07047592101676,-0.9019920277683424
10,22.05,11.08,17.83,116.28,10,116.28,11.08,-0.05572417689610987,-0.27862088448054934,34.31544326927738,-0.8927013138756801
11,22.05,10.93,17.97,117.38,11,117.38,10.93,-0.054011014927923866,-0.2700550746396193,35.060821167586475,-0.8652564591453403
12,22.05,10.83,18.06,118.11,12,118.11,10.83,-0.05288341657729698,-0.26441708288648486,35.56783585430846,-0.8471923335682976
13,22.05,10.85,18.04,117.95,13,117.95,10.85,-0.053129913300871814,-0.26564956650435906,35.46262556082303,-0.8511412110799664
14,22.05,11.09,17.83,116.25,14,116.25,11.09,-0.055771130978099895,-0.27885565489049946,34.275950935709034,-0.8934535182691603
15,22.05,11.13,17.79,115.92,15,115.92,11.13,-0.05628842333490669,-0.28144211667453345,34.07267065161953,-0.9017405418252051
16,22.05,11.41,17.53,113.89,16,113.89,11.41,-0.05950179868071688,-0.2975089934035844,32.74749034837203,-0.9532188148650844
17,22.05,11.83,17.15,110.8,17,110.8,11.83,-0.0644893037591863,-0.32244651879593145,30.862115501999597,-1.0331186462221644
18,22.05,11.31,17.62,114.61,18,114.61,11.31,-0.05835605224429148,-0.2917802612214574,33.21252728782192,-0.9348639569535495
19,22.05,11.47,17.48,113.44,19,113.44,11.47,-0.06022114926020503,-0.30110574630102516,32.4682699734242,-0.9647428111484846
20,22.05,11.21,17.72,115.37,20,115.37,11.21,-0.057153791062604,-0.28576895531302,33.6942028896467,-0.9156037328229161
21,22.05,11.36,17.58,114.23,21,114.23,11.36,-0.05895994373955853,-0.29479971869779265,32.974681126025175,-0.9445382987077277
22,22.05,11.56,17.39,112.76,22,112.76,11.56,-0.06131280898207339,-0.30656404491036693,32.05349588402969,-0.9822311998928157
23,22.05,11.42,17.52,113.8,23,113.8,11.42,-0.05964547036476101,-0.29822735182380505,32.69750279551432,-0.9555204352434714
24,22.05,11.32,17.62,114.56,24,114.56,11.32,-0.058435407568437236,-0.2921770378421862,33.170467918914206,-0.9361352292463645
25,22.05,11.41,17.54,113.93,25,113.93,11.41,-0.059437976652639585,-0.2971898832631979,32.75618068882784,-0.9521963859752861
26,22.05,11.04,17.87,116.57,26,116.57,11.04,-0.055270915158128986,-0.27635457579064493,34.51160432036206,-0.8854400608332264
27,22.05,11.39,17.55,114.01,27,114.01,11.39,-0.05931039193589376,-0.2965519596794688,32.834656885659804,-0.950152478813018
28,22.05,10.88,18.01,117.73,28,117.73,10.88,-0.05346944269977372,-0.2673472134988686,35.309907961644804,-0.8565804720503749
29,22.05,11.12,17.8,116.03,29,116.03,11.12,-0.05611583058612366,-0.2805791529306183,34.12940048779587,-0.898975605989701
30,22.05,10.97,17.93,117.11,30,117.11,10.97,-0.054429972826078046,-0.2721498641303902,34.8653170535714,-0.8719681646737703
31,22.05,11.46,17.49,113.56,31,113.56,11.46,-0.06002908068247024,-0.3001454034123512,32.524374121457946,-0.9616658725331731
32,22.05,11.34,17.6,114.42,32,114.42,11.34,-0.0586577706783171,-0.2932888533915855,33.07786084892722,-0.93969748626664
33,22.05,11.39,17.56,114.07,33,114.07,11.39,-0.05921475544273554,-0.29607377721367767,32.8477035288608,-0.9486203821926232
34,22.05,11.36,17.58,114.26,34,114.26,11.36,-0.058912202114638525,-0.2945610105731926,32.98121225982343,-0.9437734778765091
35,22.05,11.27,17.66,114.93,35,114.93,11.27,-0.0578489317233591,-0.2892446586167955,33.407727070775756,-0.9267398862082128
36,22.05,11.52,17.43,113.06,36,113.06,11.52,-0.06083051355008032,-0.30415256775040156,32.23660365152917,-0.9745048270722867
37,22.05,11.2,17.72,115.41,37,115.41,11.2,-0.0570907211379611,-0.2854536056898055,33.73493430072034,-0.9145933526301367
38,22.05,11.52,17.44,113.12,38,113.12,11.52,-0.060734182903232486,-0.3036709145161624,32.249587635932976,-0.9729616101097844
39,22.05,11.45,17.5,113.63,39,113.63,11.45,-0.05991712159408052,-0.29958560797040257,32.56971442903191,-0.9598722879371698
40,22.05,11.75,17.22,111.37,40,111.37,11.75,-0.06356107653418244,-0.3178053826709122,31.207369072606443,-1.0182484460776027
41,22.05,11.66,17.3,112.03,41,112.03,11.66,-0.0624907985625526,-0.312453992812763,31.605235023277356,-1.0011025929720927
42,22.05,11.13,17.79,115.93,42,115.93,11.13,-0.05627272641780221,-0.28136363208901105,34.07486519606451,-0.9014890772131914
43,22.05,11.47,17.48,113.42,43,113.42,11.47,-0.06025317767684862,-0.30126588838424306,32.46393303013167,-0.9652559063831149
44,22.05,11.5,17.45,113.22,44,113.22,11.5,-0.060573727565704893,-0.30286863782852447,32.330775076612554,-0.9703911156025924
45,22.05,11.51,17.45,113.2,45,113.2,11.51,-0.060605809040904894,-0.30302904520452445,32.29663941851262,-0.9709050608352964
46,22.05,11.65,17.32,112.16,46,112.16,11.65,-0.06228056848126236,-0.3114028424063118,31.66200561102553,-0.9977347070698229
47,22.05,11.55,17.41,112.88,47,112.88,11.55,-0.061119762792701905,-0.3055988139635095,32.10888825238045,-0.9791385999390845
48,22.05,11.64,17.32,112.19,48,112.19,11.64,-0.06223208138370798,-0.31116040691853986,31.697317196169617,-0.9969579437670018
49,22.05,11.49,17.46,113.3,49,113.3,11.49,-0.06044544974370352,-0.3022272487185176,32.37797542135419,-0.9683361048941304
50,22.05,11.34,17.6,114.4,50,114.4,11.34,-0.058689557017545815,-0.29344778508772906,33.07350427979774,-0.9402067034210839
51,22.05,10.93,17.97,117.36,51,117.36,10.93,-0.05404201393785122,-0.2702100696892561,35.05640287729955,-0.8657530632843765
52,22.05,11.15,17.77,115.8,52,115.8,11.15,-0.056476890062767265,-0.2823844503138363,33.981403491174085,-0.9047597788055316
53,22.05,10.96,17.94,117.15,53,117.15,10.96,-0.05436784090995239,-0.27183920454976196,34.90799591803713,-0.8709728113774373
54,22.05,11.03,17.88,116.69,54,116.69,11.03,-0.055083693094852594,-0.27541846547426296,34.571312808572046,-0.8824407633795386
55,22.05,11.4,17.54,113.95,55,113.95,11.4,-0.05940607305019623,-0.29703036525098114,32.79103615588989,-0.9516852902641436
56,22.05,11.58,17.38,112.63,56,112.63,11.58,-0.06152213383013549,-0.3076106691506774,31.9667098390467,-0.9855845839587705
57,22.05,11.53,17.42,113.0,57,113.0,11.53,-0.06092688715107262,-0.3046344357553631,32.193959442020024,-0.9760487321601833
58,22.05,11.55,17.41,112.86,58,112.86,11.55,-0.0611519253368634,-0.305759626684317,32.10456515077746,-0.9796538438965516
59,22.05,11.23,17.7,115.22,59,115.22,11.23,-0.05739048901567661,-0.286952445078383,33.59766009418492,-0.9193956340311392
60,22.05,11.27,17.66,114.91,60,114.91,11.27,-0.057880588400095606,-0.289402942000478,33.40335964169973,-0.9272470261695316
61,22.05,11.45,17.5,113.6,61,113.6,11.45,-0.059965096744310525,-0.2998254837215526,32.56320610593508,-0.9606408498438546
62,22.05,11.43,17.52,113.76,62,113.76,11.43,-0.05970935642863373,-0.29854678214316865,32.65845175140039,-0.9565438899867124
63,22.05,11.27,17.66,114.94,63,114.94,11.27,-0.05783310531074223,-0.28916552655371114,33.409910519632604,-0.9264863470780905
64,22.05,11.29,17.65,114.8,64,114.8,11.29,-0.058054791755382286,-0.2902739587769114,33.31651236965821,-0.9300377639212242
65,22.05,11.63,17.33,112.26,65,112.26,11.63,-0.06211898511239786,-0.3105949255619893,31.741314046885883,-0.9951461415006138
66,22.05,11.46,17.49,113.56,66,113.56,11.46,-0.06002908068247024,-0.3001454034123512,32.524374121457946,-0.9616658725331731
67,22.05,11.44,17.51,113.67,67,113.67,11.44,-0.059853171823299814,-0.29926585911649906,32.608619690683774,-0.958847812609263
68,22.05,11.68,17.28,111.87,68,111.87,11.68,-0.06274980824568482,-0.3137490412284241,31.51344769314216,-1.005251928095871
69,22.05,11.09,17.82,116.22,69,116.22,11.09,-0.0558180971856852,-0.279090485928426,34.269359530551746,-0.8942059169146769
70,22.05,11.14,17.78,115.84,70,115.84,11.14,-0.056414046566676604,-0.282070232833383,34.02260928641391,-0.9037530259981592
71,22.05,11.09,17.83,116.22,71,116.22,11.09,-0.0558180971856852,-0.279090485928426,34.269359530551746,-0.8942059169146769
72,22.05,11.19,17.74,115.53,72,115.53,11.19,-0.05690163696770695,-0.28450818483853474,33.793260194280975,-0.9115642242226653
73,22.05,11.02,17.89,116.72,73,116.72,11.02,-0.05503691833211264,-0.2751845916605632,34.61129227398812,-0.8816914316804445
74,22.05,11.29,17.65,114.8,74,114.8,11.29,-0.058054791755382286,-0.2902739587769114,33.31651236965821,-0.9300377639212242
75,22.05,11.05,17.86,116.54,75,116.54,11.05,-0.055317751362867235,-0.27658875681433615,34.4717886477065,-0.8861903768331331
76,22.05,11.05,17.86,116.49,76,116.49,11.05,-0.05539583891973714,-0.2769791945986857,34.46078736840884,-0.887441339494189
77,22.05,11.04,17.87,116.6,77,116.6,11.04,-0.05522409121612304,-0.2761204560806152,34.51820741520987,-0.8846899412822911
78,22.05,11.06,17.86,116.47,78,116.47,11.06,-0.05542708345685865,-0.27713541728429325,34.42325312034663,-0.8879418769788755
79,22.05,10.9,17.99,117.59,79,117.59,10.9,-0.05368586436387604,-0.2684293218193802,35.21001172403066,-0.8600475471092941
80,22.05,10.98,17.92,117.02,80,117.02,10.98,-0.05456985079753754,-0.27284925398768767,34.81169319854792,-0.8742090097765514
81,22.05,10.91,17.99,117.55,81,117.55,10.91,-0.05374774997070503,-0.26873874985352514,35.16682503464023,-0.8610389545306946
82,22.05,11.12,17.8,116.03,82,116.03,11.12,-0.05611583058612366,-0.2805791529306183,34.12940048779587,-0.898975605989701
83,22.05,10.91,17.98,117.51,83,117.51,10.91,-0.05380965812031872,-0.2690482906015936,35.15798404713485,-0.8620307230875058
84,22.05,11.1,17.82,116.15,84,116.15,11.1,-0.05592773208614238,-0.2796386604307119,34.22116052496253,-0.8959622680200009
85,22.05,11.42,17.53,113.85,85,113.85,11.42,-0.05956564044712551,-0.29782820223562756,32.70836274876344,-0.9542415599629507
86,22.05,10.9,17.99,117.56,86,117.56,10.9,-0.053732276454433285,-0.2686613822721664,35.20337722760422,-0.8607910688000212
87,22.05,10.92,17.98,117.48,87,117.48,10.92,-0.05385610400808088,-0.26928052004040437,35.1170926777592,-0.8627747862094557
88,22.05,11.03,17.88,116.69,88,116.69,11.03,-0.055083693094852594,-0.27541846547426296,34.571312808572046,-0.8824407633795386
89,22.05,11.06,17.85,116.41,89,116.41,11.06,-0.05552084963943971,-0.27760424819719853,34.41005567770769,-0.8894440112238241
90,22.05,11.36,17.58,114.29,90,114.29,11.36,-0.05886447175417134,-0.29432235877085666,32.987741852625774,-0.9430088375018248
91,22.05,10.98,17.93,117.04,91,117.04,10.98,-0.054538757104555614,-0.27269378552277806,34.81610351286347,-0.8737108888149809
92,22.05,11.38,17.56,114.13,92,114.13,11.38,-0.05911916367559866,-0.2955958183779933,32.89140544128711,-0.9470890020830905
93,22.05,11.26,17.67,114.99,93,114.99,11.26,-0.057753992524454435,-0.28876996262227217,33.45235974308355,-0.92521896024176
94,22.05,11.27,17.66,114.9,94,114.9,11.27,-0.057896418663250904,-0.2894820933162545,33.4011756616136,-0.9275006269852795
95,22.05,11.48,17.47,113.37,95,113.37,11.48,-0.06033326989817436,-0.3016663494908718,32.42308505622748,-0.9665389837687532
96,22.05,11.0,17.9,116.86,96,116.86,11.0,-0.05481879930193443,-0.27409399650967214,34.70911720263996,-0.8781971648169895
97,22.05,11.19,17.74,115.53,97,115.53,11.19,-0.05690163696770695,-0.28450818483853474,33.793260194280975,-0.9115642242226653
98,22.05,11.06,17.86,116.47,98,116.47,11.06,-0.05542708345685865,-0.27713541728429325,34.42325312034663,-0.8879418769788755
99,22.05,11.15,17.77,115.77,99,115.77,11.15,-0.05652403660730243,-0.28262018303651215,33.97482462581105,-0.9055150664489849
100,22.05,10.66,18.21,119.32,100,119.32,10.66,-0.05103131684700311,-0.2551565842350155,36.443481690082194,-0.8175216958889897
101,22.05,11.09,17.82,116.2,101,116.2,11.09,-0.05584941472082549,-0.2792470736041274,34.26496431592296,-0.8947076238276244
102,22.05,10.84,18.05,118.03,102,118.03,10.84,-0.053006619131084065,-0.2650330956554203,35.515185751790256,-0.8491660384799667
103,22.05,11.13,17.79,115.92,103,115.92,11.13,-0.05628842333490669,-0.28144211667453345,34.07267065161953,-0.9017405418252051
104,22.05,11.33,17.6,114.45,104,114.45,11.33,-0.058610100615856524,-0.2930505030792826,33.11540816577785,-0.9389338118660215
105,22.05,11.29,17.65,114.81,105,114.81,11.29,-0.05803894868844892,-0.2901947434422446,33.31869400300936,-0.9297839579889517
106,22.05,11.15,17.77,115.77,106,115.77,11.15,-0.05652403660730243,-0.28262018303651215,33.97482462581105,-0.9055150664489849
107,22.05,10.94,17.96,117.33,107,117.33,10.94,-0.054088522951263956,-0.27044261475631975,35.01568039495966,-0.8664981376792485
108,22.05,11.05,17.86,116.51,108,116.51,11.05,-0.05536459981749736,-0.2768229990874868,34.465188454862606,-0.8869408890763077
109,22.05,11.25,17.68,115.09,109,115.09,11.25,-0.057595863528619465,-0.2879793176430973,33.50581079520788,-0.9226857337284838
110,22.05,11.15,17.77,115.8,110,115.8,11.15,-0.056476890062767265,-0.2823844503138363,33.981403491174085,-0.9047597788055316
111,22.05,11.04,17.87,116.59,111,116.59,11.04,-0.055239697833473406,-0.276198489167367,34.516006575848564,-0.8849399592922439
