FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,37.27,15.09,13.95,85.52,0,85.52,15.09,-0.10781111011580335,-0.5390555505790168,19.489867202894924,-1.7271339840551696
1,37.27,15.09,13.95,85.52,1,85.52,15.09,-0.10781111011580335,-0.5390555505790168,19.489867202894924,-1.7271339840551696
2,37.27,13.65,15.38,96.8,2,96.8,13.65,-0.08815960316934993,-0.4407980158467496,23.867661765113073,-1.4123168427729857
3,37.27,14.91,14.12,86.89,3,86.89,14.91,-0.10542530896862141,-0.5271265448431071,19.98143729087175,-1.688913449677315
4,37.27,15.29,13.75,83.91,4,83.91,15.29,-0.11060905250085938,-0.5530452625042969,18.943163772790722,-1.7719570210637672
5,37.27,15.19,13.85,84.74,5,84.74,15.19,-0.10916754180158084,-0.5458377090079042,19.218917303882932,-1.748864019661325
6,37.27,15.2,13.84,84.62,6,84.62,15.2,-0.10937607909083664,-0.5468803954541832,19.184691230340007,-1.752204787035203
7,37.27,15.36,13.68,83.38,7,83.38,15.36,-0.11152838959926409,-0.5576419479963204,18.761301143767458,-1.7866848013802106
8,37.27,15.49,13.55,82.35,8,82.35,15.49,-0.11331213385265526,-0.5665606692632763,18.42057510869261,-1.8152603843195372
9,37.27,15.64,13.4,81.17,9,81.17,15.64,-0.11535032504599647,-0.5767516252299824,18.0367342983607,-1.8479122072368634
10,37.27,15.72,13.32,80.56,10,80.56,15.72,-0.11640146796852711,-0.5820073398426355,17.838635201110183,-1.8647515168558044
11,37.27,15.8,13.24,79.93,11,79.93,15.8,-0.11748512174170425,-0.5874256087085212,17.639489060497194,-1.882111650302102
12,37.27,15.61,13.43,81.41,12,81.41,15.61,-0.11493627706235386,-0.5746813853117693,18.113513200459202,-1.8412791585389088
13,37.27,15.79,13.25,79.99,13,79.99,15.79,-0.1173820056399137,-0.5869100281995685,17.66113938226938,-1.8804597303514174
14,37.27,15.61,13.41,81.31,14,81.31,15.61,-0.11510882932146545,-0.5755441466073272,18.096624273912326,-1.8440434457298764
15,37.27,15.74,13.28,80.34,15,80.34,15.74,-0.11678011877217065,-0.5839005938608532,17.778196453076152,-1.8708175027301737
16,37.27,15.92,13.12,79.01,16,79.01,15.92,-0.1190637666207445,-0.5953188331037225,17.349178776846923,-1.9074015412643268
17,37.27,15.79,13.21,79.85,17,79.85,15.79,-0.11762258003075919,-0.5881129001537959,17.63787323117942,-1.884313732092762
18,37.27,15.91,13.11,79.0,18,79.0,15.91,-0.1190808995376545,-0.5954044976882724,17.3589303889218,-1.907676010593225
19,37.27,15.75,13.25,80.16,19,80.16,15.75,-0.11708974021232768,-0.5854487010616384,17.736372390992045,-1.8757776382014895
20,37.27,15.78,13.24,79.97,20,79.97,15.78,-0.11741637979737299,-0.5870818989868649,17.669512753219216,-1.8810104043539153
21,37.27,15.74,13.25,80.18,21,80.18,15.74,-0.11705534610353655,-0.5852767305176827,17.75149058724168,-1.8752266445786554
22,37.27,15.91,13.07,78.83,22,78.83,15.91,-0.11937206976999588,-0.5968603488499794,17.330993019226597,-1.912340557715334
23,37.27,15.84,13.18,79.56,23,79.56,15.84,-0.11812057636271374,-0.5906028818135687,17.53167878308422,-1.892291633330674
24,37.27,15.83,13.15,79.42,24,79.42,15.83,-0.11836082302491929,-0.5918041151245964,17.520081656179208,-1.896140384859207
25,37.27,15.84,13.13,79.33,25,79.33,15.84,-0.11851520951011506,-0.5925760475505752,17.493639397215066,-1.8986136563520433
26,37.27,15.89,13.08,78.93,26,78.93,15.89,-0.11920081365215199,-0.5960040682607599,17.370243370642303,-1.9095970347074749
27,37.27,15.88,13.1,79.04,27,79.04,15.88,-0.11901236438780903,-0.5950618219390451,17.39979227862928,-1.9065780774927006
28,37.27,15.64,13.31,80.8,28,80.8,15.64,-0.1159881187691835,-0.5799405938459175,17.97443407538358,-1.8581296626823196
29,37.27,15.52,13.45,81.82,29,81.82,15.52,-0.11422834279413302,-0.571141713970665,18.2931071605263,-1.829938051562011
