FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,25.58,15.12,13.92,85.27,0,85.27,15.12,-0.1082460335489697,-0.5412301677448484,19.405355560226933,-1.7341014574544944
1,25.58,15.12,13.92,85.27,1,85.27,15.12,-0.1082460335489697,-0.5412301677448484,19.405355560226933,-1.7341014574544944
2,25.58,14.63,14.41,89.13,2,89.13,14.63,-0.10151837810021005,-0.5075918905010502,20.791790351213738,-1.626324417165365
3,25.58,15.05,13.99,85.8,3,85.8,15.05,-0.1073238197127632,-0.536619098563816,19.593680372235035,-1.7193275917984663
4,25.58,14.72,14.31,88.39,4,88.39,14.72,-0.10280961031748492,-0.5140480515874246,20.52411044400981,-1.6470099572861083
5,25.58,15.03,14.01,86.0,5,86.0,15.03,-0.10697564737441252,-0.5348782368720626,19.656448205077204,-1.7137498709380885
6,25.58,15.15,13.88,85.0,6,85.0,15.15,-0.10871557427476582,-0.5435778713738291,19.317698081979326,-1.7416234998817484
7,25.58,15.42,13.62,82.88,7,82.88,15.42,-0.11239478583950019,-0.5619739291975009,18.59902084723979,-1.800564469148793
8,25.58,14.96,14.08,86.55,8,86.55,14.96,-0.10601774794692936,-0.5300887397346468,19.850840463466735,-1.6984043221098084
9,25.58,15.04,14.0,85.88,9,85.88,15.04,-0.10718456124848584,-0.5359228062424292,19.621498274629204,-1.7170966712007432
10,25.58,15.33,13.71,83.58,10,83.58,15.33,-0.11118158158520063,-0.5559079079260031,18.834322143008556,-1.781128936994914
11,25.58,15.19,13.85,84.73,11,84.73,15.19,-0.10918492145756212,-0.5459246072878106,19.21716698229599,-1.749142441750145
12,25.58,15.23,13.8,84.36,12,84.36,15.23,-0.10982776757197799,-0.5491388378598899,19.099762944864846,-1.7594408365030874
13,25.58,15.17,13.87,84.87,13,84.87,15.17,-0.10894158105394686,-0.5447079052697342,19.26823726260513,-1.7452441284842286
14,25.58,15.42,13.61,82.87,14,82.87,15.42,-0.11241210435613924,-0.5620605217806962,18.597303904278185,-1.8008419117853507
15,25.58,15.23,13.81,84.41,15,84.41,15.23,-0.10974091983244012,-0.5487045991622006,19.108485412999613,-1.7580495357156907
16,25.58,15.45,13.59,82.69,16,82.69,15.45,-0.11272377249037213,-0.5636188624518607,18.52868522871352,-1.8058348352957616
17,25.58,15.62,13.42,81.37,17,81.37,15.62,-0.11500530345525539,-0.575026517276277,18.09463397914372,-1.8423849613531913
18,25.58,15.65,13.39,81.1,18,81.1,15.65,-0.11547103862994684,-0.5773551931497342,18.012898658219036,-1.8498460388517484
19,25.58,15.65,13.39,81.08,19,81.08,15.65,-0.11550552399176739,-0.577527619958837,18.00953235017149,-1.8503984943481135
20,25.58,15.57,13.47,81.69,20,81.69,15.57,-0.11445289036319524,-0.5722644518159762,18.209626032186712,-1.8335353036183877
21,25.58,15.43,13.61,82.85,21,82.85,15.43,-0.11244674025460694,-0.5622337012730346,18.581261099357537,-1.801396778878803
22,25.58,15.62,13.42,81.37,22,81.37,15.62,-0.11500530345525539,-0.575026517276277,18.09463397914372,-1.8423849613531913
23,25.58,15.62,13.43,81.38,23,81.38,15.62,-0.1149880475413474,-0.574940237706737,18.096321808319217,-1.8421085216123851
24,25.58,15.58,13.46,81.64,24,81.64,15.58,-0.11453923506426032,-0.5726961753213016,18.188933235763837,-1.8349185457294503
25,25.58,15.61,13.43,81.42,25,81.42,15.61,-0.11491901932535172,-0.5745950966267586,18.11520233889237,-1.8410026895921345
26,25.58,15.71,13.33,80.62,26,80.62,15.71,-0.11629815736476581,-0.581490786823829,17.860552012685297,-1.8630964809835482
27,25.58,15.71,13.33,80.63,27,80.63,15.71,-0.11628093719009996,-0.5814046859504998,17.862226257324735,-1.8628206137854013
28,25.58,15.68,13.36,80.88,28,80.88,15.68,-0.1158502730052093,-0.5792513650260465,17.9399170299077,-1.8559213735434528
29,25.58,15.64,13.4,81.16,29,81.16,15.64,-0.11536757125069924,-0.5768378562534962,18.035049674697234,-1.848188491436202
30,25.58,15.53,13.51,82.06,30,82.06,15.53,-0.11381360185428005,-0.5690680092714002,18.321597732246783,-1.8232939017055663
31,25.58,15.69,13.35,80.75,31,80.75,15.69,-0.11607425656038262,-0.5803712828019131,17.906155442509622,-1.8595095900973295
32,25.58,15.6,13.44,81.52,32,81.52,15.6,-0.11474641704681553,-0.5737320852340776,18.144252486925822,-1.8382376010899848
33,25.58,15.68,13.36,80.9,33,80.9,15.68,-0.11581580672544836,-0.5790790336272418,17.943274744357407,-1.8553692237416828
34,25.58,15.58,13.46,81.65,34,81.65,15.58,-0.11452196700772405,-0.5726098350386202,18.190626788184797,-1.8346419114637391
35,25.58,15.46,13.58,82.57,35,82.57,15.46,-0.11293148167052361,-0.564657408352618,18.49560944326285,-1.8091623363617881
36,25.58,15.6,13.44,81.5,36,81.5,15.6,-0.11478094111296105,-0.5739047055648052,18.140871103618494,-1.838790676629636
