FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,19.37,15.3,13.74,83.85,0,83.85,15.3,-0.11071317543138737,-0.5535658771569368,18.919796673977828,-1.7736250704108256
1,19.37,15.3,13.74,83.85,1,83.85,15.3,-0.11071317543138737,-0.5535658771569368,18.919796673977828,-1.7736250704108256
2,19.37,13.91,15.13,94.8,2,94.8,13.91,-0.09163221566676848,-0.45816107833384234,23.015170051330315,-1.467948094981631
3,19.37,14.34,14.7,91.41,3,91.41,14.34,-0.09753933413950183,-0.48769667069750916,21.658855408706952,-1.5625801329148192
4,19.37,14.63,14.41,89.14,4,89.14,14.63,-0.10150092679667239,-0.5075046339833619,20.79361844915569,-1.6260448472826916
5,19.37,14.49,14.55,90.25,5,90.25,14.49,-0.09956366907152536,-0.49781834535762676,21.20940788931435,-1.5950099785258363
6,19.37,14.59,14.45,89.46,6,89.46,14.59,-0.10094246384331443,-0.5047123192165721,20.912083491615093,-1.617098270769897
7,19.37,14.53,14.51,89.94,7,89.94,14.53,-0.10010471973598,-0.5005235986798999,21.091067898110815,-1.6036776101703996
8,19.37,14.67,14.37,88.82,8,88.82,14.67,-0.10205934293200697,-0.5102967146600348,20.675834999163172,-1.6349906737707516
9,19.37,14.59,14.44,89.42,9,89.42,14.59,-0.10101227367744599,-0.5050613683872299,20.904749586513677,-1.6182166243126848
10,19.37,14.57,14.47,89.59,10,89.59,14.57,-0.10071557888627002,-0.50357789443135,20.96606439060166,-1.6134635737580456
11,19.37,14.51,14.52,90.03,11,90.03,14.51,-0.09994764012483265,-0.4997382006241632,21.138165390960125,-1.601161194799819
12,19.37,14.48,14.56,90.33,12,90.33,14.48,-0.09942404453120035,-0.4971202226560017,21.239561846046144,-1.5927731933898295
13,19.37,14.42,14.61,90.75,13,90.75,14.42,-0.09869104044286556,-0.49345520221432776,21.410266264037443,-1.5810304678947062
14,19.37,14.4,14.64,90.95,14,90.95,14.4,-0.09834201318123026,-0.49171006590615124,21.478649942677972,-1.5754390511633087
15,19.37,14.38,14.66,91.08,15,91.08,14.38,-0.0981151560284592,-0.49057578014229597,21.534201698967095,-1.5718047995759163
16,19.37,14.46,14.55,90.37,16,90.37,14.46,-0.0993542326650956,-0.496771163325478,21.277790808789792,-1.5916548072948316
17,19.37,14.52,14.49,89.89,17,89.89,14.52,-0.10019198609978,-0.5009599304989,21.097092707895857,-1.6050756173184755
18,19.37,14.42,14.62,90.78,18,90.78,14.42,-0.09863868523292507,-0.4931934261646253,21.415834515880785,-1.5801917374314596
19,19.37,14.31,14.73,91.68,19,91.68,14.31,-0.09706826699277715,-0.48534133496388576,21.757028098150123,-1.5550336372242899
20,19.37,14.36,14.68,91.26,20,91.26,14.36,-0.09780106239074948,-0.48900531195374736,21.599234421955003,-1.5667730194998066
21,19.37,14.24,14.79,92.17,21,92.17,14.24,-0.09621354089902243,-0.4810677044951121,21.96144345993217,-1.5413409252023391
22,19.37,14.45,14.57,90.49,22,90.49,14.45,-0.09914479909131735,-0.4957239954565867,21.315468352285897,-1.5882996814429038
23,19.37,14.54,14.5,89.85,23,89.85,14.54,-0.10026179908874183,-0.5013089954437091,21.059289275337623,-1.6061940214016441
24,19.37,14.33,14.71,91.52,24,91.52,14.33,-0.09734741070597541,-0.48673705352987706,21.695268129934927,-1.559505519509726
25,19.37,14.29,14.75,91.84,25,91.84,14.29,-0.09678914614182185,-0.48394573070910923,21.818966898567663,-1.550562121191986
26,19.37,14.52,14.47,89.78,26,89.78,14.52,-0.10038397149192427,-0.5019198574596213,21.076821580939697,-1.6081512233006268
27,19.37,14.41,14.63,90.87,27,90.87,14.41,-0.09848162189978994,-0.4924081094989497,21.44814825151134,-1.577675582834635
28,19.37,14.39,14.65,91.04,28,91.04,14.39,-0.09818495725005051,-0.49092478625025254,21.511055739102535,-1.5729230151458091
29,19.37,14.35,14.68,91.3,29,91.3,14.35,-0.09773126664272189,-0.4886563332136094,21.622494935861305,-1.5656548916164046
30,19.37,14.47,14.57,90.42,30,90.42,14.47,-0.09926696827905396,-0.49633484139526973,21.271608837187145,-1.5902568318304444
31,19.37,14.47,14.56,90.36,31,90.36,14.47,-0.09937168560344412,-0.4968584280172205,21.260511979117464,-1.5919344033671747
32,19.37,14.41,14.62,90.82,32,90.82,14.41,-0.09856887886937082,-0.4928443943468541,21.43886125527213,-1.5790734394873205
33,19.37,14.37,14.67,91.21,33,91.21,14.37,-0.09788830857892555,-0.48944154289462777,21.574145111769518,-1.5681707034343872
34,19.37,14.31,14.73,91.64,34,91.64,14.31,-0.09713805086277053,-0.4856902543138526,21.749546322886378,-1.5561515748215837
35,19.37,14.41,14.62,90.82,35,90.82,14.41,-0.09856887886937082,-0.4928443943468541,21.43886125527213,-1.5790734394873205
36,19.37,14.19,14.82,92.47,36,92.47,14.19,-0.09569037190155974,-0.47845185950779867,22.099301341230564,-1.532959757862987
37,19.37,14.4,14.63,90.92,37,90.92,14.4,-0.09839436608652005,-0.49197183043260023,21.473073819738634,-1.5762777447060512
38,19.37,14.06,14.95,93.51,38,93.51,14.06,-0.0938777254009738,-0.469388627004869,22.511956845239848,-1.5039211609236003
39,19.37,14.14,14.88,92.92,39,92.92,14.14,-0.09490584441909392,-0.47452922209546955,22.266556942829553,-1.5203916275938845
40,19.37,14.21,14.83,92.46,40,92.46,14.21,-0.09570780904418996,-0.47853904522094975,22.06475491343142,-1.5332391008879231
41,19.37,14.29,14.75,91.83,41,91.83,14.29,-0.09680659048402934,-0.4840329524201467,21.81709388087217,-1.55084157955415
42,19.37,14.38,14.65,91.07,42,91.07,14.38,-0.0981326062490625,-0.49066303124531246,21.532340357804628,-1.5720843521099812
43,19.37,14.47,14.57,90.37,43,90.37,14.47,-0.0993542326650956,-0.496771163325478,21.26236146086158,-1.5916548072948316
44,19.37,14.59,14.44,89.4,44,89.4,14.59,-0.10104717841162457,-0.5052358920581228,20.901082653176267,-1.6187757981542255
45,19.37,14.54,14.5,89.84,45,89.84,14.54,-0.10027925231737425,-0.5013962615868712,21.05744910360842,-1.6064736221243354
46,19.37,14.23,14.81,92.3,46,92.3,14.23,-0.09598682074674404,-0.4799341037337202,22.00210034438316,-1.5377088683628395
47,19.37,14.24,14.78,92.12,47,92.12,14.24,-0.0963007462117388,-0.481503731058694,21.95204561007956,-1.5427379543120556
48,19.37,14.21,14.82,92.4,48,92.4,14.21,-0.09581243462708004,-0.47906217313540017,22.05345473679058,-1.5349152027258222
49,19.37,13.95,15.08,94.44,49,94.44,13.95,-0.09225849164919883,-0.46129245824599413,22.876843657446774,-1.4779810362201653
50,19.37,13.85,15.18,95.23,50,95.23,13.85,-0.09088459883980111,-0.45442299419900556,23.20295151060316,-1.4559712734136139
51,19.37,13.99,15.02,94.06,51,94.06,13.99,-0.09291989180644747,-0.4645994590322373,22.735491213400785,-1.4885766667392883
