FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,29.51,15.13,13.9,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,29.51,15.13,13.9,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,29.51,14.62,14.42,89.23,2,89.23,14.62,-0.10134386307118731,-0.5067193153559365,20.82500010382646,-1.6235286864004208
3,29.51,14.58,14.46,89.53,3,89.53,14.58,-0.10082029554875216,-0.5041014777437608,20.93997190126468,-1.6151411346910096
4,29.51,14.59,14.44,89.4,4,89.4,14.59,-0.10104717841162457,-0.5052358920581228,20.901082653176267,-1.6187757981542255
5,29.51,14.54,14.49,89.8,5,89.8,14.54,-0.10034906514152238,-0.5017453257076119,21.050088426220942,-1.6075920235671886
6,29.51,14.66,14.35,88.79,6,88.79,14.66,-0.10211169142107444,-0.5105584571053722,20.685153051398206,-1.6358292965656125
7,29.51,14.53,14.51,89.92,7,89.92,14.53,-0.10013962629479144,-0.5006981314739571,21.087384886680983,-1.6042368132425588
8,29.51,14.58,14.45,89.49,8,89.49,14.58,-0.10089010616440958,-0.5044505308220478,20.932632637787492,-1.6162595007538414
9,29.51,14.56,14.47,89.63,9,89.63,14.56,-0.10064576733490443,-0.5032288366745221,20.9885195311143,-1.612345192705169
10,29.51,14.33,14.71,91.52,10,91.52,14.33,-0.09734741070597541,-0.48673705352987706,21.695268129934927,-1.559505519509726
11,29.51,14.48,14.55,90.28,11,90.28,14.48,-0.09951130975459754,-0.4975565487729877,21.23032108184277,-1.5941711822686526
12,29.51,14.31,14.7,91.53,12,91.53,14.31,-0.09732996359529476,-0.4866498179764738,21.728970680762558,-1.559226016796622
13,29.51,14.28,14.73,91.78,13,91.78,14.28,-0.09689381364359127,-0.4844690682179563,21.82376223395888,-1.552238894570332
14,29.51,14.45,14.56,90.42,14,90.42,14.45,-0.09926696827905396,-0.49633484139526973,21.302503323533625,-1.5902568318304444
15,29.51,14.52,14.5,89.93,15,89.93,14.52,-0.10012217301724652,-0.5006108650862325,21.1044640492434,-1.6039572117362892
16,29.51,14.69,14.35,88.65,16,88.65,14.69,-0.10235597648336102,-0.511779882416805,20.615377645866314,-1.6397427432634435
17,29.51,14.47,14.57,90.4,17,90.4,14.47,-0.09930187397020383,-0.4965093698510191,21.267909893361274,-1.5908160210026654
18,29.51,14.57,14.47,89.6,18,89.6,14.57,-0.10069812602979616,-0.5034906301489808,20.96790054874481,-1.6131839789973346
19,29.51,14.59,14.45,89.47,19,89.47,14.59,-0.1009250113116797,-0.5046250565583985,20.913916975570196,-1.616818681213109
20,29.51,14.59,14.44,89.4,20,89.4,14.59,-0.10104717841162457,-0.5052358920581228,20.901082653176267,-1.6187757981542255
21,29.51,14.5,14.53,90.11,21,90.11,14.5,-0.09980801390022,-0.49904006950109997,21.168224437259052,-1.5989243826815243
22,29.51,14.67,14.37,88.8,22,88.8,14.67,-0.10209424198833571,-0.5104712099416785,20.672189628166795,-1.635549756653138
23,29.51,14.56,14.47,89.65,23,89.65,14.56,-0.10061086143906783,-0.5030543071953392,20.992194512411274,-1.6117860002538666
24,29.51,14.57,14.47,89.59,24,89.59,14.57,-0.10071557888627002,-0.50357789443135,20.96606439060166,-1.6134635737580456
25,29.51,14.48,14.55,90.27,25,90.27,14.48,-0.09952876284606267,-0.49764381423031334,21.22847292404783,-1.5944507807939239
26,29.51,14.8,14.24,87.78,26,87.78,14.8,-0.10387366153014065,-0.5193683076507032,20.297698025627405,-1.6640560577128531
27,29.51,14.88,14.16,87.18,27,87.18,14.88,-0.10491984159261494,-0.5245992079630747,20.075673283017583,-1.6808158623136913
28,29.51,14.68,14.35,88.68,28,88.68,14.68,-0.10230363081876062,-0.5115181540938031,20.635567278101906,-1.638904165716545
29,29.51,14.45,14.59,90.53,29,90.53,14.45,-0.0990749886883203,-0.4953749434416015,21.32287688056404,-1.5871813187868913
30,29.51,14.74,14.29,88.24,30,88.24,14.74,-0.1030712964265253,-0.5153564821326264,20.46771573371985,-1.6512021687529352
31,29.51,14.45,14.59,90.54,31,90.54,14.45,-0.09905753615668561,-0.495287680783428,21.32472900529889,-1.5869017292301035
32,29.51,14.55,14.49,89.77,32,89.77,14.55,-0.10040142464984639,-0.5020071232492319,21.029395332079233,-1.608430822890539
33,29.51,14.4,14.63,90.9,33,90.9,14.4,-0.09842926826881793,-0.49214634134408963,21.469356378304067,-1.5768368776664632
34,29.51,14.4,14.64,90.93,34,90.93,14.4,-0.09837691506847093,-0.49188457534235464,21.47493253267003,-1.5759981793969042
35,29.51,14.48,14.55,90.27,35,90.27,14.48,-0.09952876284606267,-0.49764381423031334,21.22847292404783,-1.5944507807939239
36,29.51,14.53,14.5,89.88,36,89.88,14.53,-0.10020943935712195,-0.5010471967856097,21.080018869655255,-1.6053552185010938
37,29.51,14.57,14.46,89.56,37,89.56,14.57,-0.10076793732277828,-0.5038396866138913,20.960555930155586,-1.614302355910908
38,29.51,14.62,14.42,89.21,38,89.21,14.62,-0.10137876642149456,-0.5068938321074727,20.821341207177156,-1.6240878380723427
39,29.51,14.56,14.47,89.63,39,89.63,14.56,-0.10064576733490443,-0.5032288366745221,20.9885195311143,-1.612345192705169
40,29.51,14.57,14.47,89.61,40,89.61,14.57,-0.10068067315205619,-0.5034033657602809,20.969736709125296,-1.61290438389594
41,29.51,14.68,14.36,88.72,41,88.72,14.68,-0.10223383561935738,-0.5111691780967869,20.6428525081693,-1.6377860466221053
