FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,20.32,15.3,13.74,83.84,0,83.84,15.3,-0.11073052811402867,-0.5536526405701433,18.918062220309064,-1.7739030603867392
1,20.32,15.3,13.74,83.84,1,83.84,15.3,-0.11073052811402867,-0.5536526405701433,18.918062220309064,-1.7739030603867392
2,20.32,14.64,14.4,89.08,2,89.08,14.64,-0.10160563391347995,-0.5080281695673997,20.767762356125232,-1.6277222552939488
3,20.32,14.45,14.59,90.53,3,90.53,14.45,-0.0990749886883203,-0.4953749434416015,21.32287688056404,-1.5871813187868913
4,20.32,14.63,14.41,89.11,4,89.11,14.63,-0.10155328056799649,-0.5077664028399824,20.78813416992093,-1.6268835546993037
5,20.32,14.37,14.67,91.17,5,91.17,14.37,-0.09795810669051996,-0.48979053345259976,21.56669460468862,-1.5692888691821298
6,20.32,14.41,14.63,90.86,6,90.86,14.41,-0.09849907320332765,-0.49249536601663824,21.446290861882726,-1.577955152717309
7,20.32,14.48,14.56,90.32,7,90.32,14.48,-0.0994414975429172,-0.49720748771458595,21.237713696695973,-1.5930527906375336
8,20.32,14.73,14.31,88.32,8,88.32,14.73,-0.10293173300722286,-0.5146586650361142,20.49680003394485,-1.64896636277571
9,20.32,14.68,14.36,88.75,9,88.75,14.68,-0.10218148850345612,-0.5109074425172806,20.648316505492414,-1.636947445825367
10,20.32,14.62,14.41,89.17,10,89.17,14.62,-0.10144857261386064,-0.5072428630693032,20.814023467157917,-1.6252061332740475
11,20.32,14.49,14.55,90.23,11,90.23,14.49,-0.09959857535015362,-0.4979928767507681,21.205714240074734,-1.595569177109461
12,20.32,14.67,14.37,88.82,12,88.82,14.67,-0.10205934293200697,-0.5102967146600348,20.675834999163172,-1.6349906737707516
13,20.32,14.51,14.53,90.07,13,90.07,14.51,-0.0998778269827535,-0.4993891349137675,21.14554206846922,-1.6000427882637112
14,20.32,14.65,14.38,88.93,14,88.93,14.65,-0.10186739375093752,-0.5093369687546876,20.725514850711967,-1.631915647890019
15,20.32,14.57,14.47,89.63,15,89.63,14.57,-0.10064576733490443,-0.5032288366745221,20.973409036374566,-1.612345192705169
16,20.32,14.58,14.45,89.5,16,89.5,14.58,-0.10087265354983739,-0.5043632677491869,20.934467449520707,-1.615979909868395
17,20.32,14.68,14.35,88.69,17,88.69,14.68,-0.10228618212283994,-0.5114309106141997,20.63738857477052,-1.6386246376078957
18,20.32,14.66,14.37,88.85,18,88.85,14.66,-0.10200699387835893,-0.5100349693917946,20.696097026364328,-1.63415204193131
19,20.32,14.66,14.38,88.9,19,88.9,14.66,-0.10191974423996897,-0.5095987211998448,20.705217181752666,-1.6327543027243028
20,20.32,14.58,14.43,89.43,20,89.43,14.58,-0.10099482126383744,-0.5049741063191872,20.92162382920582,-1.6179370366466757
21,20.32,14.73,14.29,88.26,21,88.26,14.73,-0.10303640612241363,-0.5151820306120681,20.48591312686572,-1.6506432260810664
22,20.32,14.72,14.29,88.29,22,88.29,14.72,-0.1029840699738681,-0.5149203498693404,20.505952209922455,-1.6498048009813668
23,20.32,14.56,14.46,89.59,23,89.59,14.56,-0.10071557888627002,-0.50357789443135,20.98116959382054,-1.6134635737580456
24,20.32,14.55,14.46,89.63,24,89.63,14.55,-0.10064576733490443,-0.5032288366745221,21.003651766968243,-1.612345192705169
25,20.32,14.46,14.58,90.48,25,90.48,14.46,-0.09916225175852295,-0.4958112587926147,21.298149721033955,-1.5885792731715376
26,20.32,14.5,14.49,89.93,26,89.93,14.5,-0.10012217301724652,-0.5006108650862325,21.135005371762023,-1.6039572117362892
27,20.32,14.6,14.41,89.25,27,89.25,14.6,-0.10130895955713447,-0.5065447977856723,20.85858561211635,-1.6229695321052942
28,20.32,14.7,14.31,88.46,28,88.46,14.7,-0.10268748343405194,-0.5134374171702597,20.566119456280408,-1.645053484613512
29,20.32,14.47,14.56,90.36,29,90.36,14.47,-0.09937168560344412,-0.4968584280172205,21.260511979117464,-1.5919344033671747
30,20.32,14.42,14.62,90.78,30,90.78,14.42,-0.09863868523292507,-0.4931934261646253,21.415834515880785,-1.5801917374314596
31,20.32,14.39,14.65,91.05,31,91.05,14.39,-0.09816750686038973,-0.49083753430194865,21.512915740713648,-1.5726434599034436
32,20.32,14.47,14.57,90.38,32,90.38,14.47,-0.0993367797464183,-0.49668389873209146,21.264210940521146,-1.5913752115376212
33,20.32,14.58,14.43,89.4,33,89.4,14.58,-0.10104717841162457,-0.5052358920581228,20.91611946716997,-1.6187757981542255
34,20.32,14.5,14.49,89.97,34,89.97,14.5,-0.10005235987516736,-0.5002617993758368,21.142387386841612,-1.6028388052001812
35,20.32,14.29,14.7,91.65,35,91.65,14.29,-0.09712060476317363,-0.4856030238158682,21.783377831595057,-1.5558720883060415
36,20.32,14.43,14.56,90.53,36,90.53,14.43,-0.0990749886883203,-0.4953749434416015,21.353890672317117,-1.5871813187868913
