FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,29.91,15.12,13.91,85.23,0,85.23,15.12,-0.10831560694447831,-0.5415780347223915,19.398314785517734,-1.7352160232505425
1,29.91,15.12,13.91,85.23,1,85.23,15.12,-0.10831560694447831,-0.5415780347223915,19.398314785517734,-1.7352160232505425
2,29.91,14.22,14.82,92.39,2,92.39,14.22,-0.09582987267378884,-0.4791493633689442,22.035286993170892,-1.5351945602340973
3,29.91,14.23,14.81,92.28,3,92.28,14.23,-0.09602169945465704,-0.48010849727328514,21.998338799005584,-1.5382676252636056
4,29.91,14.18,14.86,92.68,4,92.68,14.18,-0.09532422304968238,-0.4766211152484119,22.15530319638559,-1.5270940532559116
5,29.91,14.13,14.91,93.08,5,93.08,14.13,-0.0946269745354798,-0.47313487267739895,22.31340830826473,-1.5159241320583865
6,29.91,14.1,14.94,93.33,6,93.33,14.1,-0.09419132504022623,-0.47095662520113113,22.410719971673373,-1.5089450271444242
7,29.91,13.84,15.19,95.31,7,95.31,13.84,-0.09074556272169379,-0.4537278136084689,23.2360173335078,-1.4537439148015345
8,29.91,13.96,15.07,94.37,8,94.37,13.96,-0.09238030379660785,-0.4619015189830392,22.846216680219488,-1.4799324668216576
9,29.91,13.81,15.23,95.61,9,95.61,13.81,-0.09022434017786474,-0.4511217008893237,23.347103988450588,-1.445393929649393
10,29.91,13.8,15.23,95.62,10,95.62,13.8,-0.09020697062942806,-0.4510348531471403,23.366828911050487,-1.4451156694834375
11,29.91,13.9,15.14,94.89,11,94.89,13.9,-0.09147569732217768,-0.45737848661088837,23.049876659185966,-1.4654406711012864
12,29.91,13.87,15.17,95.14,12,95.14,13.87,-0.09104103570099849,-0.4552051785049924,23.150445964294548,-1.4584773919299958
13,29.91,13.88,15.15,95.02,13,95.02,13.88,-0.0912496525019783,-0.4562482625098915,23.10981692686671,-1.4618194330816925
14,29.91,13.71,15.32,96.34,14,96.34,13.71,-0.08895718000545491,-0.44478590002727453,23.668343784747805,-1.4250940236873877
15,29.91,13.72,15.31,96.27,15,96.27,13.72,-0.08907861406665854,-0.4453930703332927,23.63659037026582,-1.4270393973478699
16,29.91,13.83,15.2,95.39,16,95.39,13.83,-0.09060654464558546,-0.45303272322792726,23.269131364774854,-1.451516845222279
17,29.91,13.94,15.1,94.57,17,94.57,13.94,-0.09203229988410906,-0.4601614994205453,22.919019883552533,-1.474357444143427
18,29.91,13.69,15.35,96.56,18,96.56,13.69,-0.08857563824786595,-0.4428781912393297,23.747572884265143,-1.4189817247308125
19,29.91,13.72,15.31,96.27,19,96.27,13.72,-0.08907861406665854,-0.4453930703332927,23.63659037026582,-1.4270393973478699
20,29.91,13.69,15.35,96.56,20,96.56,13.69,-0.08857563824786595,-0.4428781912393297,23.747572884265143,-1.4189817247308125
21,29.91,13.76,15.27,95.95,21,95.95,13.76,-0.0896339460501545,-0.44816973025077245,23.502286125738188,-1.435935815723475
22,29.91,13.66,15.38,96.77,22,96.77,13.66,-0.08821159634245584,-0.4410579817122792,23.843426268544338,-1.4131497734061427
23,29.91,13.79,15.25,95.75,23,95.75,13.79,-0.08998119383879238,-0.4499059691939619,23.409814032248608,-1.441498725297454
24,29.91,13.76,15.27,95.95,24,95.95,13.76,-0.0896339460501545,-0.44816973025077245,23.502286125738188,-1.435935815723475
25,29.91,13.51,15.52,97.91,25,97.91,13.51,-0.08623825795430745,-0.4311912897715372,24.346846161994627,-1.3815368924280054
26,29.91,13.85,15.19,95.3,26,95.3,13.85,-0.09076294125534384,-0.4538147062767192,23.216450349126756,-1.4540223189106083
27,29.91,13.77,15.27,95.91,27,95.91,13.77,-0.0897033856386879,-0.44851692819343947,23.47658488560631,-1.4370482379317802
28,29.91,13.65,15.38,96.8,28,96.8,13.65,-0.08815960316934993,-0.4407980158467496,23.867661765113073,-1.4123168427729857
29,29.91,13.61,15.42,97.12,29,97.12,13.61,-0.08760521416049982,-0.4380260708024991,24.00412858087166,-1.4034355308512072
30,29.91,13.77,15.27,95.93,30,95.93,13.77,-0.08966866521500028,-0.4483433260750013,23.480460920303507,-1.4364920167443045
31,29.91,13.72,15.31,96.27,31,96.27,13.72,-0.08907861406665854,-0.4453930703332927,23.63659037026582,-1.4270393973478699
32,29.91,13.62,15.41,97.05,32,97.05,13.62,-0.08772645431929854,-0.43863227159649265,23.971893036683408,-1.4053777981951625
33,29.91,13.63,15.4,96.98,33,96.98,13.63,-0.08784771279790043,-0.4392385639895021,23.939705122598742,-1.4073203590223649
34,29.91,13.68,15.35,96.6,34,96.6,13.68,-0.08850628495071336,-0.44253142475356677,23.77363038800171,-1.417870684910428
35,29.91,13.78,15.25,95.78,35,95.78,13.78,-0.08992909878473755,-0.44964549392368774,23.43349043109522,-1.4406641625314955
36,29.91,13.74,15.3,96.13,36,96.13,13.74,-0.08932153091239259,-0.44660765456196294,23.573223725068477,-1.4309309252165292
37,29.91,13.7,15.33,96.43,37,96.43,13.7,-0.08880107474316687,-0.4440053737158343,23.70403723586176,-1.4225932173855331
38,29.91,13.61,15.43,97.17,38,97.17,13.61,-0.08751862536352296,-0.4375931268176148,24.013914549053883,-1.402048378323638
39,29.91,13.72,15.32,96.32,39,96.32,13.72,-0.08899187377752181,-0.444959368887609,23.646310791331,-1.4256498179158994
40,29.91,13.49,15.54,98.09,40,98.09,13.49,-0.08592715619325865,-0.42963578096629323,24.420332474676158,-1.3765530422160035
41,29.91,13.56,15.47,97.55,41,97.55,13.56,-0.0868608658731302,-0.434304329365651,24.181729339386653,-1.3915110712875458
42,29.91,13.65,15.39,96.84,42,96.84,13.65,-0.08809028399051302,-0.4404514199525651,23.87547182749526,-1.4112063495280187
43,29.91,13.34,15.69,99.23,43,99.23,13.34,-0.08396019709082081,-0.41980098545410405,24.936586877691802,-1.3450423573949493
44,29.91,13.51,15.53,97.96,44,97.96,13.51,-0.0861518270430492,-0.430759135215246,24.35669039361394,-1.3801522692296482
45,29.91,13.3,15.73,99.6,45,99.6,13.3,-0.08332312532838979,-0.4166156266419489,25.089355724712675,-1.3348364677608042
46,29.91,13.22,15.81,100.18,46,100.18,13.22,-0.0823258819538914,-0.41162940976945694,25.365544734039993,-1.3188606289013403
47,29.91,13.46,15.57,98.31,47,98.31,13.46,-0.08554710963680479,-0.4277355481840239,24.52108970976673,-1.3704646963816127
48,29.91,13.45,15.58,98.39,48,98.39,13.45,-0.08540896342557747,-0.4270448171278873,24.55609231565474,-1.3682515940777509
49,29.91,13.53,15.51,97.81,49,97.81,13.53,-0.08641115115149073,-0.43205575575745364,24.289305283501864,-1.3843066414468814
50,29.91,13.41,15.63,98.74,50,98.74,13.41,-0.08480491177517559,-0.4240245588758779,24.70255962102328,-1.3585746866383128
51,29.91,13.27,15.76,99.77,51,99.77,13.27,-0.08303064825114526,-0.4151532412557263,25.183057865129978,-1.330150984983347
52,29.91,13.52,15.52,97.88,52,97.88,13.52,-0.0862901215357546,-0.43145060767877297,24.321989200606758,-1.3823677470027886
53,29.91,13.43,15.6,98.57,53,98.57,13.43,-0.08509823886610975,-0.4254911943305487,24.63020826780504,-1.3632737866350781
54,29.91,13.15,15.88,100.71,54,100.71,13.15,-0.08141618891574387,-0.40708094457871935,25.614459283785624,-1.3042873464302167
55,29.91,13.14,15.89,100.8,55,100.8,13.14,-0.08126186854142754,-0.4063093427071377,25.65310372972475,-1.3018151340336692
56,29.91,13.37,15.66,99.0,56,99.0,13.37,-0.08435655349597693,-0.4217827674798846,24.83202006779503,-1.3513919870055504
57,29.91,13.3,15.73,99.59,57,99.59,13.3,-0.08334033445956424,-0.4167016722978212,25.087363052377874,-1.335112158042219
