FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,29.78,15.12,13.91,85.23,0,85.23,15.12,-0.10831560694447831,-0.5415780347223915,19.398314785517734,-1.7352160232505425
1,29.78,15.12,13.91,85.23,1,85.23,15.12,-0.10831560694447831,-0.5415780347223915,19.398314785517734,-1.7352160232505425
2,29.78,14.64,14.4,89.06,2,89.06,14.64,-0.1016405359001362,-0.508202679500681,20.76410884428953,-1.628281385120182
3,29.78,14.58,14.46,89.53,3,89.53,14.58,-0.10082029554875216,-0.5041014777437608,20.93997190126468,-1.6151411346910096
4,29.78,14.43,14.6,90.66,4,90.66,14.43,-0.09884810816842478,-0.4942405408421239,21.37800306024683,-1.583546692858165
5,29.78,14.73,14.3,88.29,5,88.29,14.73,-0.1029840699738681,-0.5149203498693404,20.49135653786057,-1.6498048009813668
6,29.78,14.63,14.41,89.13,6,89.13,14.63,-0.10151837810021005,-0.5075918905010502,20.791790351213738,-1.626324417165365
7,29.78,14.72,14.32,88.45,7,88.45,14.72,-0.10270493038153317,-0.5135246519076658,20.5350058155855,-1.6453329847121614
8,29.78,14.9,14.13,86.96,8,86.96,14.9,-0.10530331183679219,-0.5265165591839609,20.008027390347603,-1.6869590556254108
9,29.78,14.81,14.22,87.68,9,87.68,14.81,-0.10404805747217526,-0.5202402873608762,20.265296058961628,-1.6668498807042476
10,29.78,14.67,14.37,88.82,10,88.82,14.67,-0.10205934293200697,-0.5102967146600348,20.675834999163172,-1.6349906737707516
11,29.78,14.77,14.27,88.03,11,88.03,14.77,-0.10343762121290921,-0.517188106064546,20.386141282162725,-1.6570706918308056
12,29.78,14.78,14.26,87.95,12,87.95,14.78,-0.10357716163253497,-0.5178858081626748,20.35722018936355,-1.65930612935321
13,29.78,14.62,14.42,89.2,13,89.2,14.62,-0.10139621803391455,-0.5069810901695727,20.819511765428835,-1.624367412903311
14,29.78,14.89,14.14,87.04,14,87.04,14.89,-0.10516387686100566,-0.5258193843050283,20.03644813981467,-1.6847253073133106
15,29.78,14.57,14.46,89.57,15,89.57,14.57,-0.1007504845332927,-0.5037524226664635,20.962392081251117,-1.614022762223349
16,29.78,14.89,14.14,87.05,16,87.05,14.89,-0.10514644677560442,-0.525732233878022,20.038240605177805,-1.6844460773451828
17,29.78,14.86,14.17,87.29,17,87.29,14.86,-0.10472807891631145,-0.5236403945815572,20.123753417857017,-1.6777438242393092
18,29.78,15.05,13.99,85.84,18,85.84,15.05,-0.1072541922484271,-0.5362709612421355,19.600760947941367,-1.7182121598198021
19,29.78,14.81,14.23,87.72,19,87.72,14.81,-0.10397830054534299,-0.5198915027267149,20.272510301169095,-1.6657323747363946
20,29.78,14.9,14.14,87.0,20,87.0,14.9,-0.10523359562429441,-0.526167978121472,20.01519178488542,-1.6858422019011963
21,29.78,15.11,13.93,85.35,21,85.35,15.11,-0.1081068747348139,-0.5405343736740694,19.43289814671726,-1.7318721332517186
22,29.78,14.99,14.05,86.31,22,86.31,14.99,-0.10643581381389998,-0.5321790690694999,19.766527107008912,-1.7051017372986776
23,29.78,15.08,13.95,85.54,23,85.54,15.08,-0.10777630970706215,-0.5388815485353107,19.5069354296736,-1.7265764815071356
24,29.78,15.15,13.88,85.0,24,85.0,15.15,-0.10871557427476582,-0.5435778713738291,19.317698081979326,-1.7416234998817484
25,29.78,15.08,13.96,85.58,25,85.58,15.08,-0.10770670605126093,-0.5385335302563046,19.513998835944257,-1.7254614309412
26,29.78,15.15,13.89,85.06,26,85.06,15.15,-0.10861124825014908,-0.5430562412507454,19.3282339039,-1.7399521969673881
27,29.78,15.01,14.03,86.15,27,86.15,15.01,-0.1067144621099399,-0.5335723105496994,19.7105205016196,-1.7095656830012371
28,29.78,15.01,14.02,86.1,28,86.1,15.01,-0.10680152906652483,-0.5340076453326241,19.701641746118728,-1.7109604956457278
29,29.78,15.13,13.9,85.16,29,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
30,29.78,15.2,13.84,84.66,30,84.66,15.2,-0.10930657118570127,-0.5465328559285063,19.19168661524097,-1.7510912703949342
31,29.78,15.18,13.86,84.77,31,84.77,15.18,-0.10911540116019891,-0.5455770058009946,19.23742883847314,-1.7480287265863865
32,29.78,15.22,13.82,84.46,32,84.46,15.22,-0.10965406467476808,-0.5482703233738404,19.13035911161139,-1.7566581160897847
33,29.78,15.08,13.95,85.54,33,85.54,15.08,-0.10777630970706215,-0.5388815485353107,19.5069354296736,-1.7265764815071356
34,29.78,15.03,14.01,86.0,34,86.0,15.03,-0.10697564737441252,-0.5348782368720626,19.656448205077204,-1.7137498709380885
35,29.78,14.99,14.05,86.29,35,86.29,14.99,-0.10647064764011496,-0.5323532382005748,19.76296992123149,-1.7056597751946416
36,29.78,15.2,13.83,84.6,36,84.6,15.2,-0.10941083133185146,-0.5470541566592573,19.1811937101429,-1.7527615179362603
37,29.78,14.99,14.05,86.28,37,86.28,14.99,-0.10648806425782696,-0.5324403212891348,19.76119135850819,-1.705938789410388
38,29.78,14.91,14.13,86.94,38,86.94,14.91,-0.10533816897587606,-0.5266908448793802,19.990385948538062,-1.6875174669935344
39,29.78,14.84,14.19,87.44,39,87.44,14.84,-0.10446655641082864,-0.5223327820541431,20.179168471740144,-1.6735542337014748
40,29.78,15.22,13.82,84.5,40,84.5,15.22,-0.10958457525202242,-0.547922876260112,19.137343014941457,-1.7555448955373991
41,29.78,15.1,13.94,85.44,41,85.44,15.1,-0.10795030219076598,-0.5397515109538299,19.46224360245201,-1.729363841096071
42,29.78,14.89,14.15,87.1,42,87.1,14.89,-0.10505929400767133,-0.5252964700383567,20.047203172728416,-1.6830498900028947
43,29.78,14.78,14.25,87.9,43,87.9,14.78,-0.10366437087065564,-0.5183218543532782,20.348181842918073,-1.6607032213479032
44,29.78,14.9,14.14,86.98,44,86.98,14.9,-0.10526845405151584,-0.5263422702575792,20.011609554631733,-1.6864006339052837
45,29.78,14.85,14.18,87.37,45,87.37,14.85,-0.10458860416542946,-0.5229430208271473,20.152340014187384,-1.6755094387301799
46,29.78,14.81,14.23,87.7,46,87.7,14.81,-0.10401317925325598,-0.5200658962662799,20.268903154779565,-1.6662911316371607
47,29.78,14.9,14.13,86.97,47,86.97,14.9,-0.10528588302466264,-0.5264294151233132,20.009818464216192,-1.6866798460550956
48,29.78,14.9,14.14,87.0,48,87.0,14.9,-0.10523359562429441,-0.526167978121472,20.01519178488542,-1.6858422019011963
49,29.78,15.14,13.9,85.13,49,85.13,15.14,-0.10848952262752792,-0.5424476131376396,19.353904323699417,-1.7380021524929974
50,29.78,15.21,13.83,84.59,50,84.59,15.21,-0.109428207022618,-0.54714103511309,19.16624268768065,-1.7530398765023403
51,29.78,14.99,14.05,86.29,51,86.29,14.99,-0.10647064764011496,-0.5323532382005748,19.76296992123149,-1.7056597751946416
52,29.78,15.14,13.89,85.07,52,85.07,15.14,-0.10859385965819222,-0.5429692982909611,19.343360102116343,-1.7396736317242394
53,29.78,14.94,14.09,86.65,53,86.65,14.94,-0.10584352225182465,-0.5292176112591233,19.896538995662965,-1.695613226474231
54,29.78,15.15,13.88,84.99,54,84.99,15.15,-0.1087329610194044,-0.543664805097022,19.31594220518861,-1.7419020355308583
55,29.78,14.97,14.07,86.44,55,86.44,14.97,-0.10620937501868842,-0.5310468750934421,19.81735131304345,-1.7014741877993884
56,29.78,15.06,13.98,85.74,56,85.74,15.06,-0.10742825420577401,-0.53714127102887,19.569439992105973,-1.7210006323764997
57,29.78,14.87,14.16,87.21,57,87.21,14.87,-0.10486754444956166,-0.5243377222478083,20.095208023427595,-1.6799780620819778
58,29.78,15.11,13.93,85.36,58,85.36,15.11,-0.10808947876620767,-0.5404473938310383,19.43465982570196,-1.7315934498346468
59,29.78,14.82,14.22,87.66,59,87.66,14.82,-0.10408293519785101,-0.5204146759892551,20.24735861344528,-1.6674086218695732
60,29.78,15.11,13.92,85.31,60,85.31,15.11,-0.10817645613444449,-0.5408822806722224,19.425851681399347,-1.7329868272738007
61,29.78,14.79,14.25,87.86,61,87.86,14.79,-0.10373413625512391,-0.5186706812756195,20.32653445313492,-1.661820862807085
62,29.78,15.11,13.93,85.36,62,85.36,15.11,-0.10808947876620767,-0.5404473938310383,19.43465982570196,-1.7315934498346468
63,29.78,14.83,14.2,87.5,63,87.5,14.83,-0.10436193873653361,-0.521809693682668,20.20423474395517,-1.6718782585592684
64,29.78,15.04,14.0,85.92,64,85.92,15.04,-0.10711492674687671,-0.5355746337343835,19.62858449792141,-1.715981126484965
65,29.78,14.98,14.06,86.39,65,86.39,14.98,-0.10629647070964146,-0.5314823535482073,19.79459104249462,-1.7028694607684562
66,29.78,15.03,14.01,85.97,66,85.97,15.03,-0.10702787874734897,-0.5351393937367448,19.65112927374631,-1.7145866175325304
67,29.78,15.23,13.8,84.36,67,84.36,15.23,-0.10982776757197799,-0.5491388378598899,19.099762944864846,-1.7594408365030874
68,29.78,15.16,13.88,84.94,68,84.94,15.16,-0.10881989074168674,-0.5440994537084337,19.29382729010242,-1.7432946496818216
69,29.78,14.96,14.08,86.52,69,86.52,14.96,-0.10607001210504191,-0.5303500605252095,19.845492100646585,-1.6992415939227714
70,29.78,15.11,13.93,85.35,70,85.35,15.11,-0.1081068747348139,-0.5405343736740694,19.43289814671726,-1.7318721332517186
71,29.78,14.96,14.08,86.55,71,86.55,14.96,-0.10601774794692936,-0.5300887397346468,19.850840463466735,-1.6984043221098084
72,29.78,15.16,13.88,84.98,72,84.98,15.16,-0.1087503474980217,-0.5437517374901085,19.3008455690315,-1.7421805669183077
73,29.78,15.02,14.02,86.03,73,86.03,15.02,-0.10692341408906283,-0.5346170704453141,19.675480303289365,-1.7129130937067865
74,29.78,14.88,14.16,87.17,74,87.17,14.88,-0.10493727367460687,-0.5246863683730343,20.073879349766912,-1.681095124267202
75,29.78,14.85,14.18,87.35,75,87.35,14.85,-0.10462347370243302,-0.5231173685121651,20.148743996857732,-1.6760680487129769
76,29.78,14.8,14.23,87.76,76,87.76,14.8,-0.10390854167953534,-0.5195427083976767,20.29408817523696,-1.664614837706156
77,29.78,14.92,14.12,86.86,77,86.86,14.92,-0.10547759098534336,-0.5273879549267168,19.962038718175815,-1.6897510075852005
78,29.78,14.75,14.28,88.16,78,88.16,14.75,-0.10321085385817817,-0.5160542692908908,20.43867335566238,-1.6534378788080142
79,29.78,14.82,14.22,87.63,79,87.63,14.82,-0.10413525085223674,-0.5206762542611837,20.241951969483384,-1.6682467186528325
80,29.78,15.0,14.04,86.23,80,86.23,15.0,-0.10657514437121014,-0.5328757218560507,19.738503612293375,-1.7073338128267865
81,29.78,14.8,14.24,87.81,81,87.81,14.8,-0.10382134042238811,-0.5191067021119405,20.303112892665734,-1.6632178735666574
82,29.78,15.09,13.95,85.5,82,85.5,15.09,-0.1078459095727845,-0.5392295478639225,19.486338191432793,-1.7276914713560076
83,29.78,15.01,14.02,86.1,83,86.1,15.01,-0.10680152906652483,-0.5340076453326241,19.701641746118728,-1.7109604956457278
84,29.78,14.74,14.3,88.25,84,88.25,14.74,-0.10305385132098227,-0.5152692566049113,20.46952888464564,-1.6509226981621359
85,29.78,15.11,13.92,85.31,85,85.31,15.11,-0.10817645613444449,-0.5408822806722224,19.425851681399347,-1.7329868272738007
