FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,33.56,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,33.56,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,33.56,14.66,14.35,88.8,2,88.8,14.66,-0.10209424198833571,-0.5104712099416785,20.686977030740152,-1.635549756653138
3,33.56,14.17,14.85,92.69,3,92.69,14.17,-0.09530678891787739,-0.4765339445893869,22.173613113761373,-1.5268147584643956
4,33.56,14.27,14.77,91.98,4,91.98,14.27,-0.09654493586255278,-0.48272467931276386,21.87733387505073,-1.5466498725180955
5,33.56,14.3,14.74,91.75,5,91.75,14.3,-0.09694614867901774,-0.48473074339508865,21.786103385338908,-1.553077301837864
6,33.56,14.2,14.84,92.54,6,92.54,14.2,-0.0955683156086988,-0.477841578043494,22.096150278629914,-1.5310044160513547
7,33.56,14.32,14.72,91.56,7,91.56,14.32,-0.09727762275338246,-0.48638811376691227,21.71864920865452,-1.558387516509187
8,33.56,14.3,14.74,91.73,8,91.73,14.3,-0.09698103916864921,-0.48490519584324604,21.782359906407926,-1.5536362474817602
9,33.56,14.31,14.73,91.68,9,91.68,14.31,-0.09706826699277715,-0.48534133496388576,21.757028098150123,-1.5550336372242899
10,33.56,14.3,14.74,91.73,10,91.73,14.3,-0.09698103916864921,-0.48490519584324604,21.782359906407926,-1.5536362474817602
11,33.56,14.52,14.51,89.96,11,89.96,14.52,-0.10006981316440877,-0.5003490658220439,21.10999255957653,-1.6031184068938285
12,33.56,14.35,14.68,91.29,12,91.29,14.35,-0.09774871547739322,-0.48874357738696605,21.620629658252376,-1.5659344219478393
13,33.56,14.35,14.68,91.31,13,91.31,14.35,-0.09771381787716008,-0.48856908938580035,21.624360206082432,-1.5653753623921043
14,33.56,14.59,14.44,89.42,14,89.42,14.59,-0.10101227367744599,-0.5050613683872299,20.904749586513677,-1.6182166243126848
