FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,20.08,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,20.08,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,20.08,14.9,14.11,86.86,2,86.86,14.9,-0.10547759098534336,-0.5273879549267168,19.990117573746844,-1.6897510075852005
3,20.08,15.0,13.97,85.95,3,85.95,15.0,-0.10706269859311666,-0.5353134929655833,19.68874997158879,-1.715144431461729
4,20.08,14.89,14.1,86.88,4,86.88,14.89,-0.10544273647350091,-0.5272136823675045,20.0077709311224,-1.6891926383054845
5,20.08,14.74,14.23,87.96,5,87.96,14.74,-0.10355971945588585,-0.5177985972794292,20.416951657476265,-1.6590267056832912
6,20.08,14.94,14.05,86.5,6,86.5,14.94,-0.1061048539534857,-0.5305242697674285,19.869758553139455,-1.699799760334841
7,20.08,14.89,14.08,86.83,7,86.83,14.89,-0.1055298715003527,-0.5276493575017634,19.99881018801917,-1.6905885414356503
8,20.08,14.69,14.26,88.31,8,88.31,14.69,-0.10294917875278552,-0.5147458937639275,20.553503329674097,-1.649245843619624
9,20.08,14.58,14.35,89.09,9,89.09,14.58,-0.10158818284652041,-0.507940914232602,20.859243101696947,-1.627442689201257
10,20.08,14.4,14.5,90.38,10,90.38,14.4,-0.0993367797464183,-0.49668389873209146,21.37269707086062,-1.5913752115376212
11,20.08,14.56,14.31,89.01,11,89.01,14.56,-0.10172778998293644,-0.5086389499146822,20.87460144079976,-1.6296791955266416
12,20.08,14.48,14.42,89.79,12,89.79,14.48,-0.1003665183223057,-0.5018325916115285,21.139760599542434,-1.6078716235233372
13,20.08,14.3,14.6,91.17,13,91.17,14.3,-0.09795810669051996,-0.48979053345259976,21.67752813933011,-1.5692888691821298
14,20.08,14.65,14.24,88.37,14,88.37,14.65,-0.10284450295045265,-0.5142225147522632,20.62330506500985,-1.6475689372662514
15,20.08,14.51,14.39,89.53,15,89.53,14.51,-0.10082029554875216,-0.5041014777437608,21.045957857434207,-1.6151411346910096
16,20.08,14.41,14.44,90.13,16,90.13,14.41,-0.09977310739191603,-0.49886553695958014,21.31069194325333,-1.5983651804184946
17,20.08,14.47,14.4,89.74,17,89.74,14.47,-0.10045378404811756,-0.5022689202405878,21.145842387166994,-1.6092696204508432
18,20.08,14.54,14.34,89.19,18,89.19,14.54,-0.1014136696038033,-0.5070683480190165,20.93784243004843,-1.6246469870529288
19,20.08,14.35,14.53,90.71,19,90.71,14.35,-0.09876084794519667,-0.4938042397259833,21.512432860871712,-1.5821487840820505
20,20.08,14.43,14.44,90.03,20,90.03,14.43,-0.09994764012483265,-0.4997382006241632,21.261147099734117,-1.601161194799819
21,20.08,14.3,14.57,91.08,21,91.08,14.3,-0.0981151560284592,-0.49057578014229597,21.660677963425126,-1.5718047995759163
22,20.08,14.29,14.58,91.15,22,91.15,14.29,-0.0979930061216411,-0.48996503060820545,21.68970716390547,-1.5698479580686904
23,20.08,14.23,14.64,91.62,23,91.62,14.23,-0.09717294332297269,-0.4858647166148634,21.874181216616787,-1.5567105520340223
24,20.08,14.26,14.62,91.41,24,91.41,14.26,-0.09753933413950183,-0.48769667069750916,21.786436774519693,-1.5625801329148192
25,20.08,14.27,14.61,91.35,25,91.35,14.27,-0.097644023516639,-0.488220117583195,21.75915000153384,-1.564257256736557
26,20.08,14.1,14.78,92.71,26,92.71,14.1,-0.09527192108368857,-0.4763596054184428,22.29305274828123,-1.5262561757606907
27,20.08,14.17,14.71,92.15,27,92.15,14.17,-0.09624842268180153,-0.48124211340900763,22.071609619528576,-1.5418997313624605
28,20.08,14.14,14.73,92.34,28,92.34,14.14,-0.09591706480214901,-0.479585324010745,22.156771287664142,-1.536591378130427
29,20.08,14.35,14.53,90.71,29,90.71,14.35,-0.09876084794519667,-0.4938042397259833,21.512432860871712,-1.5821487840820505
30,20.08,14.32,14.51,90.76,30,90.76,14.32,-0.09867358866563673,-0.4933679433281836,21.569092487944765,-1.5807508904235004
31,20.08,14.26,14.59,91.3,31,91.3,14.26,-0.09773126664272189,-0.4886563332136094,21.76578325484165,-1.5656548916164046
32,20.08,14.05,14.8,93.0,32,93.0,14.05,-0.09476640437570562,-0.4738320218785281,22.43166057937732,-1.518157798098804
33,20.08,14.22,14.61,91.54,33,91.54,14.22,-0.09731251656594808,-0.48656258282974035,21.875271009930593,-1.5589465153864883
34,20.08,14.01,14.84,93.33,34,93.33,14.01,-0.09419132504022623,-0.47095662520113113,22.562003775933963,-1.5089450271444242
35,20.08,14.19,14.71,92.07,35,92.07,14.19,-0.09638795434159787,-0.48193977170798935,22.023846823025842,-1.5441350285523978
36,20.08,14.16,14.69,92.09,36,92.09,14.16,-0.09635307075584748,-0.48176535377923735,22.07663648738735,-1.5435761935086767
37,20.08,14.2,14.69,91.94,37,91.94,14.2,-0.09661470818687504,-0.48307354093437516,21.98305016048204,-1.547767625153738
38,20.08,14.18,14.7,92.06,38,92.06,14.18,-0.09640539629978251,-0.48202698149891254,22.038270680273023,-1.5444144487225158
39,20.08,14.18,14.65,91.86,39,91.86,14.18,-0.09675425775136286,-0.48377128875681424,22.000507876347427,-1.550003209176833
40,20.08,14.18,14.65,91.84,40,91.84,14.18,-0.09678914614182185,-0.48394573070910923,21.996731352910356,-1.550562121191986
41,20.08,14.38,14.47,90.35,41,90.35,14.38,-0.09938913856093219,-0.49694569280466094,21.398311375178846,-1.5922139997461338
42,20.08,14.35,14.53,90.7,42,90.7,14.35,-0.09877829991647528,-0.4938914995823764,21.51056724795997,-1.582428364661934
43,20.08,14.24,14.61,91.44,43,91.44,14.24,-0.09748699045566626,-0.4874349522783313,21.824207695786274,-1.5617415870997735
44,20.08,14.41,14.45,90.16,44,90.16,14.41,-0.09972074768262576,-0.49860373841312877,21.316264729308138,-1.5975263778756645
45,20.08,14.26,14.55,91.17,45,91.17,14.26,-0.09795810669051996,-0.48979053345259976,21.74137339558194,-1.5692888691821298
46,20.08,14.26,14.52,91.05,46,91.05,14.26,-0.09816750686038973,-0.49083753430194865,21.718840210965308,-1.5726434599034436
47,20.08,14.05,14.8,92.98,47,92.98,14.05,-0.09480126344062484,-0.4740063172031242,22.427850546667987,-1.51871624031881
48,20.08,14.21,14.6,91.57,48,91.57,14.21,-0.09726017597122648,-0.48630087985613235,21.897090179794162,-1.5581080190590482
49,20.08,14.15,14.66,92.02,49,92.02,14.15,-0.09647516522218683,-0.4823758261109341,22.079778057277757,-1.545532146859433
50,20.08,14.02,14.74,92.87,50,92.87,14.02,-0.09499299950671514,-0.47496499753357563,22.45727532926882,-1.5217878520975765
51,20.08,14.16,14.67,92.01,51,92.01,14.16,-0.09649260772254772,-0.4824630386127386,22.061509783037682,-1.5458115757152144
52,20.08,14.15,14.66,92.04,52,92.04,14.15,-0.09644028054411413,-0.48220140272057066,22.083562587800948,-1.5449732943167083
53,20.08,14.33,14.45,90.46,53,90.46,14.33,-0.09919715716896037,-0.4959857858448018,21.497240828005747,-1.5891384578467451
54,20.08,14.24,14.54,91.21,54,91.21,14.24,-0.09788830857892555,-0.48944154289462777,21.780958868988424,-1.5681707034343872
55,20.08,14.06,14.72,92.6,55,92.6,14.06,-0.09546370118707465,-0.4773185059353732,22.338742094317116,-1.5293284930169357
56,20.08,14.24,14.55,91.24,56,91.24,14.24,-0.09783596066879024,-0.48917980334395117,21.7866002431688,-1.5673320899140197
57,20.08,14.17,14.64,91.87,57,91.87,14.17,-0.09673681370417408,-0.4836840685208704,22.018704134676035,-1.5497237555408687
58,20.08,14.2,14.56,91.45,58,91.45,14.2,-0.09746954271344704,-0.4873477135672352,21.890654736461848,-1.5614620742694216
59,20.08,14.29,14.44,90.61,59,90.61,14.29,-0.09893536926886864,-0.49467684634434317,21.588524624068604,-1.5849446156872757
60,20.08,14.2,14.53,91.32,60,91.32,14.2,-0.0976963691812394,-0.488481845906197,21.866138029404254,-1.5650958342834551
61,20.08,14.22,14.49,91.07,61,91.07,14.22,-0.0981326062490625,-0.49066303124531246,21.786761923100805,-1.5720843521099812
62,20.08,14.27,14.51,90.97,62,90.97,14.27,-0.09830711149601024,-0.4915355574800512,21.68784876764842,-1.574879926166084
63,20.08,14.32,14.49,90.69,63,90.69,14.32,-0.09879575192496905,-0.4939787596248452,21.556004534795935,-1.582707945838004
64,20.08,14.23,14.51,91.12,64,91.12,14.23,-0.0980453557255179,-0.49022677862758945,21.780094622345068,-1.5706865987227967
65,20.08,13.99,14.73,92.95,65,92.95,13.99,-0.09485355322439559,-0.47426776612197796,22.52319297499944,-1.5195539226548174
66,20.08,14.11,14.58,91.89,66,91.89,14.11,-0.096701925908535,-0.483509629542675,22.120857109891407,-1.5491648530547308
67,20.08,14.13,14.56,91.75,67,91.75,14.13,-0.09694614867901774,-0.48473074339508865,22.061434226051716,-1.553077301837864
68,20.08,14.02,14.69,92.69,68,92.69,14.02,-0.09530678891787739,-0.4765339445893869,22.422901599664836,-1.5268147584643956
69,20.08,13.89,14.84,93.8,69,93.8,13.89,-0.09337260995999999,-0.46686304979999993,22.857481627952904,-1.4958292115591998
70,20.08,14.12,14.59,91.88,70,91.88,14.12,-0.0967193697563877,-0.4835968487819385,22.102503991668527,-1.5494443034973309
