FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,27.19,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,27.19,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,27.19,14.63,14.39,89.05,2,89.05,14.63,-0.10165798681876977,-0.5082899340938488,20.77716574678079,-1.6285609488366917
3,27.19,14.54,14.48,89.76,3,89.76,14.54,-0.1004188777955404,-0.502094388977702,21.042727766771034,-1.6087104222845572
4,27.19,14.59,14.42,89.31,4,89.31,14.59,-0.10120424807503098,-0.5060212403751548,20.88458162549064,-1.6212920541619962
5,27.19,14.55,14.46,89.66,5,89.66,14.55,-0.10059340846297189,-0.5029670423148594,21.009168216246902,-1.6115064035768096
6,27.19,14.71,14.31,88.43,6,88.43,14.71,-0.10273982402877356,-0.5136991201438678,20.54600854542183,-1.6458919809409525
7,27.19,14.6,14.41,89.24,7,89.24,14.6,-0.10132641133436329,-0.5066320566718164,20.856753524526496,-1.6232491095764998
8,27.19,14.49,14.53,90.15,8,90.15,14.49,-0.0997382009112582,-0.498691004556291,21.19093959585967,-1.5978059785983565
9,27.19,14.71,14.3,88.4,9,88.4,14.71,-0.10279216387235689,-0.5139608193617844,20.540556989535126,-1.6467304652351573
10,27.19,14.85,14.17,87.31,10,87.31,14.85,-0.10469321108212265,-0.5234660554106132,20.141552136929594,-1.6771852415356048
11,27.19,14.73,14.28,88.2,11,88.2,14.73,-0.10314107590781281,-0.515705379539064,20.47502656611365,-1.6523200360431611
12,27.19,14.8,14.22,87.72,12,87.72,14.8,-0.10397830054534299,-0.5198915027267149,20.28686862275961,-1.6657323747363946
13,27.19,14.59,14.43,89.36,13,89.36,14.59,-0.10111698749294223,-0.5055849374647111,20.89374882716207,-1.6198941396369346
14,27.19,14.81,14.21,87.64,14,87.64,14.81,-0.10411781242603349,-0.5205890621301674,20.258082020798597,-1.6679673550650564
15,27.19,14.65,14.34,88.8,15,88.8,14.65,-0.10209424198833571,-0.5104712099416785,20.701785558486613,-1.635549756653138
16,27.19,14.53,14.46,89.73,16,89.73,14.53,-0.10047123715393734,-0.5023561857696867,21.052396431041814,-1.609549219206076
17,27.19,14.56,14.43,89.46,17,89.46,14.56,-0.10094246384331443,-0.5047123192165721,20.957282569759997,-1.617098270769897
18,27.19,14.54,14.45,89.61,18,89.61,14.54,-0.10068067315205619,-0.5034033657602809,21.015125514829975,-1.61290438389594
19,27.19,14.55,14.44,89.57,19,89.57,14.55,-0.1007504845332927,-0.5037524226664635,20.99261892588152,-1.614022762223349
20,27.19,14.5,14.47,89.88,20,89.88,14.5,-0.10020943935712195,-0.5010471967856097,21.125777862188386,-1.6053552185010938
21,27.19,14.53,14.46,89.72,21,89.72,14.53,-0.10048869024540247,-0.5024434512270123,21.050554945156623,-1.6098288177313476
22,27.19,14.39,14.6,90.8,22,90.8,14.39,-0.09860378196608549,-0.4930189098304274,21.46641406279942,-1.5796325870966894
23,27.19,14.41,14.56,90.57,23,90.57,14.41,-0.0990051787361626,-0.49502589368081296,21.39242467557511,-1.5860629633533248
24,27.19,14.33,14.64,91.21,24,91.21,14.33,-0.09788830857892555,-0.48944154289462777,21.637361520276272,-1.5681707034343872
25,27.19,14.47,14.5,90.11,25,90.11,14.47,-0.09980801390022,-0.49904006950109997,21.2142744228267,-1.5989243826815243
