FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.83,15.13,13.91,85.17,0,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
1,24.83,15.13,13.91,85.17,1,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
2,24.83,14.49,14.55,90.25,2,90.25,14.49,-0.09956366907152536,-0.49781834535762676,21.20940788931435,-1.5950099785258363
3,24.83,14.81,14.23,87.73,3,87.73,14.81,-0.10396086100934193,-0.5198043050467096,20.27431389319086,-1.6654529933696578
4,24.83,14.7,14.34,88.59,4,88.59,14.7,-0.10246066586049817,-0.5123033293024908,20.589760923094964,-1.6414198670851805
5,24.83,14.54,14.5,89.86,5,89.86,14.54,-0.10024434585213451,-0.5012217292606725,21.061129447907657,-1.6059144205511948
6,24.83,14.72,14.31,88.39,6,88.39,14.72,-0.10280961031748492,-0.5140480515874246,20.52411044400981,-1.6470099572861083
7,24.83,14.6,14.41,89.27,7,89.27,14.6,-0.10127405588358884,-0.5063702794179442,20.86224979979792,-1.6224103752550931
8,24.83,14.63,14.41,89.11,8,89.11,14.63,-0.10155328056799649,-0.5077664028399824,20.78813416992093,-1.6268835546993037
9,24.83,14.47,14.56,90.35,9,90.35,14.47,-0.09938913856093219,-0.49694569280466094,21.258662495345135,-1.5922139997461338
10,24.83,14.57,14.46,89.58,10,89.58,14.57,-0.10073303172094605,-0.5036651586047303,20.96422823475179,-1.6137431681695558
11,24.83,14.54,14.5,89.83,11,89.83,14.54,-0.1002967055375002,-0.5014835276875009,21.055608932776092,-1.606753222710753
12,24.83,14.57,14.46,89.58,12,89.58,14.57,-0.10073303172094605,-0.5036651586047303,20.96422823475179,-1.6137431681695558
13,24.83,14.61,14.42,89.25,13,89.25,14.61,-0.10130895955713447,-0.5065447977856723,20.843611596252767,-1.6229695321052942
14,24.83,14.46,14.55,90.34,14,90.34,14.46,-0.09940659153702813,-0.4970329576851406,21.272238331213202,-1.5924935964231905
15,24.83,14.56,14.48,89.68,15,89.68,14.56,-0.10055850245708282,-0.5027925122854141,20.99770699890996,-1.6109472093624668
16,24.83,14.68,14.34,88.65,16,88.65,14.68,-0.10235597648336102,-0.511779882416805,20.630103432265727,-1.6397427432634435
17,24.83,14.73,14.26,88.16,17,88.16,14.73,-0.10321085385817817,-0.5160542692908908,20.467769057245057,-1.6534378788080142
18,24.83,14.57,14.45,89.52,18,89.52,14.57,-0.1008377482414771,-0.5041887412073854,20.95321135094349,-1.615420726828463
19,24.83,14.45,14.56,90.44,19,90.44,14.45,-0.09923206267722175,-0.4961603133861087,21.306207630157534,-1.5896976440890924
20,24.83,14.56,14.43,89.48,20,89.48,14.56,-0.10090755875186752,-0.5045377937593376,20.960957466368786,-1.6165390912049176
21,24.83,14.51,14.51,90.0,21,90.0,14.51,-0.1,-0.5,21.13263288086213,-1.602
22,24.83,14.61,14.4,89.15,22,89.15,14.61,-0.10148347544741386,-0.5074173772370693,20.82530407002385,-1.62576527666757
23,24.83,14.61,14.4,89.16,23,89.16,14.61,-0.10146602405296608,-0.5073301202648304,20.827134802234387,-1.6254857053285166
24,24.83,14.7,14.31,88.44,24,88.44,14.7,-0.10272237724661755,-0.5136118862330877,20.562482432486892,-1.645612483490813
25,24.83,14.59,14.45,89.44,25,89.44,14.59,-0.10097736881992492,-0.5048868440996246,20.908416532808886,-1.617657448495197
26,24.83,14.78,14.23,87.81,26,87.81,14.78,-0.10382134042238811,-0.5191067021119405,20.33191355276301,-1.6632178735666574
27,24.83,14.67,14.37,88.83,27,88.83,14.67,-0.10204189330948006,-0.5102094665474003,20.677657694517976,-1.6347111308178706
28,24.83,14.57,14.44,89.49,28,89.49,14.57,-0.10089010616440958,-0.5044505308220478,20.947702944529055,-1.6162595007538414
29,24.83,14.55,14.49,89.78,29,89.78,14.55,-0.10038397149192427,-0.5019198574596213,21.03123416964154,-1.6081512233006268
30,24.83,14.69,14.35,88.66,30,88.66,14.69,-0.1023385279995527,-0.5116926399977635,20.61719762036722,-1.6394632185528342
31,24.83,14.42,14.57,90.57,31,90.57,14.42,-0.0990051787361626,-0.49502589368081296,21.37685600491129,-1.5860629633533248
32,24.83,14.94,14.07,86.54,32,86.54,14.94,-0.10603516951698554,-0.5301758475849276,19.876899592801365,-1.6986834156621082
33,24.83,14.65,14.38,88.94,33,88.94,14.65,-0.10184994347345017,-0.5092497173672508,20.72734022409225,-1.6316360944446717
34,24.83,14.52,14.52,89.99,34,89.99,14.52,-0.10001745329243135,-0.5000872664621567,21.11552107193056,-1.6022796017447503
35,24.83,14.56,14.48,89.67,35,89.67,14.56,-0.10057595546879966,-0.5028797773439982,20.9958695015446,-1.6112268066101705
36,24.83,14.37,14.66,91.14,36,91.14,14.37,-0.09801045592917224,-0.4900522796458612,21.561106654465483,-1.570127503985339
37,24.83,14.75,14.27,88.11,37,88.11,14.75,-0.10329807409146502,-0.516490370457325,20.429614594581782,-1.6548351469452696
38,24.83,14.8,14.24,87.77,38,87.77,14.8,-0.10389110166410287,-0.5194555083205143,20.295893094298687,-1.664335448658928
39,24.83,14.64,14.37,88.93,39,88.93,14.64,-0.10186739375093752,-0.5093369687546876,20.740361547292157,-1.631915647890019
40,24.83,14.73,14.31,88.34,40,88.34,14.73,-0.10289684124871182,-0.5144842062435591,20.50042907786931,-1.6484073968043633
41,24.83,14.51,14.5,89.95,41,89.95,14.51,-0.10008726645152353,-0.5004363322576176,21.123412031447817,-1.603398008553407
42,24.83,14.58,14.44,89.44,42,89.44,14.58,-0.10097736881992492,-0.5048868440996246,20.923458622997405,-1.617657448495197
43,24.83,14.74,14.25,88.08,43,88.08,14.74,-0.10335040503010716,-0.5167520251505358,20.438706678903127,-1.6556734885823166
44,24.83,14.51,14.5,89.97,44,89.97,14.51,-0.10005235987516736,-0.5002617993758368,21.12710037076413,-1.6028388052001812
45,24.83,14.66,14.37,88.87,45,88.87,14.66,-0.10197209420269165,-0.5098604710134582,20.699745069736906,-1.6335929491271202
46,24.83,14.69,14.35,88.68,46,88.68,14.69,-0.10230363081876062,-0.5115181540938031,20.620837591604417,-1.638904165716545
47,24.83,14.45,14.56,90.43,47,90.43,14.45,-0.0992495154667073,-0.49624757733353647,21.304355478058632,-1.5899772377766508
