FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,20.13,15.13,13.91,85.17,0,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
1,20.13,15.13,13.91,85.17,1,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
2,20.13,14.1,14.94,93.29,2,93.29,14.1,-0.09426102174339009,-0.4713051087169504,22.403130625413507,-1.5100615683291092
3,20.13,14.15,14.89,92.92,3,92.92,14.15,-0.09490584441909392,-0.47452922209546955,22.25002880368316,-1.5203916275938845
4,20.13,14.72,14.17,87.82,4,87.82,14.72,-0.10380389981961957,-0.5190194990980979,20.420622096590915,-1.6629384751103056
5,20.13,14.4,14.5,90.4,5,90.4,14.4,-0.09930187397020383,-0.4965093698510191,21.376414895084274,-1.5908160210026654
6,20.13,14.25,14.6,91.37,6,91.37,14.25,-0.09760912676485528,-0.48804563382427635,21.794974169503874,-1.5636982107729815
7,20.13,14.35,14.5,90.62,7,90.62,14.35,-0.09891791698179232,-0.4945895849089616,21.495642206221337,-1.584665030048313
8,20.13,14.24,14.62,91.51,8,91.51,14.24,-0.09736485789745852,-0.4868242894872926,21.837369548067965,-1.5597850235172854
9,20.13,13.97,14.88,93.59,9,93.59,13.97,-0.09373836699504964,-0.4686918349752482,22.67970251181212,-1.5016886392606952
10,20.13,13.92,14.95,94.09,10,94.09,13.92,-0.09286766430129569,-0.4643383215064784,22.861433024956565,-1.4877399821067567
11,20.13,14.09,14.74,92.55,11,92.55,14.09,-0.09555087953117114,-0.4777543976558557,22.279275575295,-1.5307250900893616
12,20.13,14.25,14.58,91.3,12,91.3,14.25,-0.09773126664272189,-0.4886563332136094,21.781821227176895,-1.5656548916164046
13,20.13,14.1,14.75,92.6,13,92.6,14.1,-0.09546370118707465,-0.4773185059353732,22.27216961401119,-1.5293284930169357
14,20.13,14.07,14.72,92.59,14,92.59,14.07,-0.09548113658165126,-0.4774056829082563,22.320158967189244,-1.5296078080380533
15,20.13,14.27,14.51,90.94,15,90.94,14.27,-0.09835946409986379,-0.49179732049931896,21.682219340833274,-1.575718614879818
16,20.13,14.17,14.62,91.8,16,91.8,14.17,-0.09685892409218717,-0.48429462046093585,22.00547639504237,-1.5516799639568384
17,20.13,14.11,14.65,92.13,17,92.13,14.11,-0.09628330492169895,-0.48141652460849477,22.166407246430506,-1.5424585448456172
18,20.13,14.08,14.67,92.35,18,92.35,14.08,-0.09589962612560551,-0.47949813062802754,22.25786714122668,-1.5363120105322003
19,20.13,14.02,14.72,92.8,19,92.8,14.02,-0.09511502302043867,-0.47557511510219336,22.443908392345982,-1.5237426687874274
20,20.13,14.51,14.2,88.77,20,88.77,14.51,-0.10214659009304304,-0.5107329504652152,20.905817378952257,-1.6363883732905495
21,20.13,14.16,14.6,91.75,21,91.75,14.16,-0.09694614867901774,-0.48473074339508865,22.012343027293845,-1.553077301837864
22,20.13,14.15,14.61,91.85,22,91.85,14.15,-0.09677170189742257,-0.4838585094871128,22.047607713141637,-1.5502826643967096
23,20.13,14.25,14.5,91.0,23,91.0,14.25,-0.09825475935627165,-0.49127379678135824,21.725447587460028,-1.5740412448874717
24,20.13,14.47,14.29,89.26,24,89.26,14.47,-0.10129150774003243,-0.5064575387001621,21.05706910189708,-1.6226899539953195
25,20.13,14.34,14.39,90.2,25,90.2,14.34,-0.09965093485847765,-0.4982546742923882,21.432960396167918,-1.5964079764328118
26,20.13,14.37,14.36,89.96,26,89.96,14.37,-0.10006981316440877,-0.5003490658220439,21.341283290870926,-1.6031184068938285
27,20.13,14.12,14.64,92.08,27,92.08,14.12,-0.09637051249344243,-0.48185256246721214,22.14043490046948,-1.5438556101449477
28,20.13,14.11,14.65,92.18,28,92.18,14.11,-0.09619610018038045,-0.48098050090190225,22.175895991617256,-1.5410615248896948
29,20.13,14.27,14.49,90.91,29,90.91,14.27,-0.0984118171534796,-0.492059085767398,21.67658986565561,-1.5765573107987432
30,20.13,13.99,14.77,93.1,30,93.1,13.99,-0.09459211870152248,-0.4729605935076124,22.5518960810076,-1.51536574159839
31,20.13,14.41,14.32,89.65,31,89.65,14.41,-0.10061086143906783,-0.5030543071953392,21.221527504897836,-1.6117860002538666
32,20.13,14.29,14.42,90.51,32,90.51,14.29,-0.09910989383559043,-0.4955494691779522,21.569785734526086,-1.5877404992461588
33,20.13,14.18,14.55,91.46,33,91.46,14.18,-0.09745209504830997,-0.4872604752415498,21.92496988584373,-1.5611825626739257
34,20.13,14.21,14.53,91.28,34,91.28,14.21,-0.09776616438064262,-0.4888308219032131,21.842440463666644,-1.5662139533778947
35,20.13,13.99,14.74,93.0,35,93.0,13.99,-0.09476640437570562,-0.4738320218785281,22.532761117014307,-1.518157798098804
36,20.13,14.06,14.7,92.53,36,92.53,14.06,-0.09558575182122331,-0.47792875910611654,22.32541214919481,-1.5312837441759974
37,20.13,13.93,14.78,93.38,37,93.38,13.93,-0.09410420814645494,-0.4705210407322747,22.707807152620077,-1.507549414506208
38,20.13,14.22,14.49,91.07,38,91.07,14.22,-0.0981326062490625,-0.49066303124531246,21.786761923100805,-1.5720843521099812
39,20.13,14.16,14.58,91.66,39,91.66,14.16,-0.0971031587512882,-0.48551579375644094,21.995322125956225,-1.5555926031956369
40,20.13,14.05,14.64,92.37,40,92.37,14.05,-0.09586474914776329,-0.4793237457388164,22.311613483525463,-1.5357532813471677
41,20.13,14.2,14.51,91.21,41,91.21,14.2,-0.09788830857892555,-0.48944154289462777,21.845392117202383,-1.5681707034343872
42,20.13,14.17,14.54,91.47,42,91.47,14.17,-0.0974346474607865,-0.4871732373039325,21.943110539485236,-1.5609030523217997
43,20.13,14.26,14.41,90.59,43,90.59,14.26,-0.0989702739397811,-0.4948513696989055,21.632455855043666,-1.5855037885152932
44,20.13,14.09,14.56,91.88,44,91.88,14.09,-0.0967193697563877,-0.4835968487819385,22.15194259545659,-1.5494443034973309
45,20.13,13.92,14.7,93.12,45,93.12,13.92,-0.09455726352649908,-0.4727863176324954,22.67495002414595,-1.5148073616945152
46,20.13,14.03,14.59,92.25,46,92.25,14.03,-0.09607401842409315,-0.4803700921204657,22.32212611572804,-1.539105775153972
47,20.13,14.37,14.36,89.94,47,89.94,14.37,-0.10010471973598,-0.5005235986798999,21.337557235069124,-1.6036776101703996
48,20.13,14.03,14.68,92.57,48,92.57,14.03,-0.09551600778323079,-0.4775800389161539,22.383207022648236,-1.530166444687357
49,20.13,14.04,14.68,92.56,49,92.56,14.04,-0.0955334435891714,-0.477667217945857,22.36454902758743,-1.5304457662985258
50,20.13,13.86,14.83,93.88,50,93.88,13.86,-0.09323329709826295,-0.4661664854913147,22.924942867042482,-1.4935974195141724
51,20.13,13.84,14.83,93.96,51,93.96,13.84,-0.09309399742855945,-0.4654699871427972,22.97524260268206,-1.4913658388055224
52,20.13,13.74,14.94,94.8,52,94.8,13.74,-0.09163221566676848,-0.45816107833384234,23.314676713079525,-1.467948094981631
53,20.13,13.89,14.83,93.75,53,93.75,13.89,-0.09345968707698571,-0.46729843538492855,22.847849005669236,-1.497224186973311
54,20.13,14.02,14.67,92.6,54,92.6,14.02,-0.09546370118707465,-0.4773185059353732,22.40571281087507,-1.5293284930169357
55,20.13,13.99,14.73,92.96,55,92.96,13.99,-0.09483612313899437,-0.47418061569497183,22.52510663805933,-1.5192746926866898
56,20.13,13.82,14.8,93.95,56,93.95,13.82,-0.09311140915655053,-0.4655570457827526,23.008267148768763,-1.4916447746879393
57,20.13,13.8,14.89,94.35,57,94.35,13.8,-0.09241510936423061,-0.46207554682115304,23.120885563062245,-1.4804900520149744
58,20.13,13.9,14.79,93.57,58,93.57,13.9,-0.09377320546270174,-0.4688660273135087,22.79591451385092,-1.5022467515124818
59,20.13,13.88,14.81,93.75,59,93.75,13.88,-0.09345968707698571,-0.46729843538492855,22.86515388777428,-1.497224186973311
60,20.13,13.84,14.83,93.95,60,93.95,13.84,-0.09311140915655053,-0.4655570457827526,22.9733091707383,-1.4916447746879393
61,20.13,13.8,14.84,94.19,61,94.19,13.8,-0.092693586820002,-0.46346793410001,23.089868636121828,-1.4849512608564321
62,20.13,13.97,14.67,92.79,62,92.79,13.97,-0.09513245555043837,-0.4756622777521918,22.526414121476435,-1.5240219379180227
63,20.13,14.1,14.5,91.6,63,91.6,14.1,-0.09720783612764311,-0.48603918063821555,22.0822489522435,-1.5572695347648426
64,20.13,14.07,14.55,91.9,64,91.9,14.07,-0.09668448216114738,-0.48342241080573684,22.18883188968697,-1.548885404221581
65,20.13,13.93,14.69,93.03,65,93.03,13.93,-0.09471411697533738,-0.4735705848766869,22.64054161046274,-1.5173201539449048
66,20.13,13.77,14.91,94.55,66,94.55,13.77,-0.09206709597653907,-0.46033547988269535,23.212710706936903,-1.4749148775441558
67,20.13,13.89,14.83,93.75,67,93.75,13.89,-0.09345968707698571,-0.46729843538492855,22.847849005669236,-1.497224186973311
68,20.13,13.87,14.78,93.63,68,93.63,13.87,-0.09366869235287333,-0.4683434617643666,22.859329363788703,-1.5005724514930305
69,20.13,13.74,14.91,94.67,69,94.67,13.74,-0.09185833406935218,-0.4592916703467609,23.289375885161302,-1.4715705117910218
70,20.13,13.67,14.92,94.99,70,94.99,13.67,-0.09130181273536433,-0.45650906367682165,23.47744393734994,-1.4626550400205367
71,20.13,13.96,14.68,92.87,71,92.87,13.96,-0.09499299950671514,-0.47496499753357563,22.558718849309855,-1.5217878520975765
72,20.13,14.09,14.57,91.92,72,91.92,14.09,-0.09664959496989285,-0.48324797484946425,22.15954610919615,-1.5483265114176834
73,20.13,13.75,14.92,94.66,73,94.66,13.75,-0.09187572954352945,-0.4593786477176472,23.269617176194924,-1.4718491872873416
74,20.13,13.77,14.87,94.4,74,94.4,13.77,-0.09232809718731814,-0.4616404859365907,23.183573684932483,-1.4790961169408365
75,20.13,13.77,14.87,94.42,75,94.42,13.77,-0.09229329394873911,-0.46146646974369554,23.187458964718257,-1.4785385690588007
76,20.13,13.85,14.79,93.75,76,93.75,13.85,-0.09345968707698571,-0.46729843538492855,22.917225795656197,-1.497224186973311
77,20.13,13.83,14.81,93.91,77,93.91,13.83,-0.09318105816159575,-0.4659052908079787,22.98303506294424,-1.4927605517487639
78,20.13,14.08,14.58,91.99,78,91.99,14.08,-0.09652749304326207,-0.4826374652163103,22.18939603472997,-1.5463704385530583
79,20.13,13.94,14.72,93.11,79,93.11,13.94,-0.09457469103137861,-0.47287345515689305,22.638836406870492,-1.5150865503226854
80,20.13,13.89,14.8,93.65,80,93.65,13.89,-0.09363385618683873,-0.4681692809341936,22.828582115505966,-1.5000143761131564
81,20.13,14.0,14.67,92.68,81,92.68,14.0,-0.09532422304968238,-0.4766211152484119,22.45465054600639,-1.5270940532559116
82,20.13,14.05,14.6,92.2,82,92.2,14.05,-0.09616121909124802,-0.48080609545624003,22.279209855240296,-1.5405027298417933
83,20.13,14.11,14.55,91.77,83,91.77,14.11,-0.0969112585614888,-0.484556292807444,22.098079630443458,-1.5525183621550505
84,20.13,14.07,14.52,91.81,84,91.81,14.07,-0.0968414794597434,-0.484207397298717,22.171697995025553,-1.5514005009450893
85,20.13,13.89,14.77,93.5,85,93.5,13.89,-0.09389514604651433,-0.4694757302325716,22.799677776318656,-1.5042002396651595
86,20.13,14.13,14.51,91.51,86,91.51,14.13,-0.09736485789745852,-0.4868242894872926,22.015942225666702,-1.5597850235172854
87,20.13,14.38,14.29,89.62,87,89.62,14.38,-0.10066322025358171,-0.5033161012679085,21.262410474394315,-1.612624788462379
88,20.13,14.29,14.35,90.26,88,90.26,14.29,-0.09954621595188247,-0.49773107975941233,21.522937361854353,-1.5947303795491572
89,20.13,14.01,14.64,92.52,89,92.52,14.01,-0.09560318816821353,-0.47801594084106763,22.407226717916476,-1.5315630744547808
90,20.13,14.1,14.54,91.78,90,91.78,14.1,-0.09689381364359127,-0.4844690682179563,22.11644318606902,-1.552238894570332
91,20.13,14.15,14.54,91.59,91,91.59,14.15,-0.09722528265782532,-0.4861264132891266,21.99840014330537,-1.5575490281783615
92,20.13,14.31,14.33,90.08,92,90.08,14.31,-0.09986037370520859,-0.4993018685260429,21.457676472383234,-1.5997631867574416
93,20.13,14.05,14.61,92.24,93,92.24,14.05,-0.09609145832046466,-0.48045729160232326,22.286834581237073,-1.5393851622938437
94,20.13,13.97,14.69,92.89,94,92.89,13.97,-0.09495813701038391,-0.4747906850519195,22.54558148950864,-1.5212293549063503
95,20.13,13.98,14.67,92.76,95,92.76,13.98,-0.09518475402795659,-0.47592377013978293,22.503734194854626,-1.5248597595278646
96,20.13,14.2,14.42,90.9,96,90.9,14.2,-0.09842926826881793,-0.49214634134408963,21.78692208777356,-1.5768368776664632
97,20.13,14.31,14.33,90.08,97,90.08,14.31,-0.09986037370520859,-0.4993018685260429,21.457676472383234,-1.5997631867574416
98,20.13,14.32,14.3,89.93,98,89.93,14.32,-0.10012217301724652,-0.5006108650862325,21.41389849402526,-1.6039572117362892
99,20.13,14.33,14.31,89.94,99,89.94,14.33,-0.10010471973598,-0.5005235986798999,21.400080395440956,-1.6036776101703996
100,20.13,14.38,14.26,89.54,100,89.54,14.38,-0.10080284283103964,-0.5040142141551982,21.24751752509926,-1.614861542153255
101,20.13,13.98,14.66,92.74,101,92.74,13.98,-0.09521962041392439,-0.4760981020696219,22.49990330873855,-1.5254183190310686
102,20.13,14.04,14.63,92.37,102,92.37,14.04,-0.09586474914776329,-0.4793237457388164,22.3283108303081,-1.5357532813471677
103,20.13,14.3,14.34,90.14,103,90.14,14.3,-0.09975565414786551,-0.4987782707393275,21.484665238720176,-1.5980855794488054
104,20.13,14.1,14.52,91.71,104,91.71,14.1,-0.09701593002613193,-0.4850796501306596,22.103145806580002,-1.5541951990186336
105,20.13,13.97,14.65,92.7,105,92.7,13.97,-0.09528935492903573,-0.4764467746451786,22.50916209462571,-1.5265354659631523
