FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,37.55,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,37.55,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,37.55,14.75,14.28,88.15,2,88.15,14.75,-0.10322829810257744,-0.5161414905128872,20.436861582908634,-1.6537173356032906
3,37.55,15.04,14.0,85.88,3,85.88,15.04,-0.10718456124848584,-0.5359228062424292,19.621498274629204,-1.7170966712007432
4,37.55,14.96,14.08,86.54,4,86.54,14.96,-0.10603516951698554,-0.5301758475849276,19.849057657028784,-1.6986834156621082
5,37.55,14.83,14.21,87.53,5,87.53,14.83,-0.10430962809844027,-0.5215481404922013,20.20963704862338,-1.6710402421370132
6,37.55,15.1,13.94,85.43,6,85.43,15.1,-0.10796770011589096,-0.5398385005794548,19.460480503312453,-1.7296425558565731
7,37.55,15.04,13.99,85.86,7,85.86,15.04,-0.10721937718828607,-0.5360968859414303,19.617955296394978,-1.7176544225563428
8,37.55,15.07,13.96,85.61,8,85.61,15.07,-0.10765450084257802,-0.5382725042128901,19.53286313286092,-1.7246251034981
9,37.55,15.02,14.02,86.06,9,86.06,15.02,-0.10687117890561988,-0.5343558945280994,19.680803332584308,-1.7120762860680305
10,37.55,14.77,14.26,87.98,10,87.98,14.77,-0.10352483477781318,-0.5176241738890659,20.377096071849213,-1.6584678531405672
11,37.55,14.92,14.11,86.8,11,86.8,14.92,-0.1055821504993164,-0.5279107524965819,19.951308740705063,-1.6914260509990486
12,37.55,14.72,14.32,88.44,12,88.44,14.72,-0.10272237724661755,-0.5136118862330877,20.53318989855998,-1.645612483490813
13,37.55,14.88,14.16,87.18,13,87.18,14.88,-0.10491984159261494,-0.5245992079630747,20.075673283017583,-1.6808158623136913
14,37.55,14.73,14.31,88.33,14,88.33,14.73,-0.10291428717235447,-0.5145714358617723,20.498614551290437,-1.6486868805011186
