FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,49.93,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,49.93,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,49.93,14.67,14.36,88.78,2,88.78,14.67,-0.10212914078948741,-0.510645703947437,20.66854428382486,-1.6361088354475883
3,49.93,14.66,14.37,88.86,3,88.86,14.66,-0.10198954407082778,-0.5099477203541388,20.697921044883113,-1.633872496014661
4,49.93,14.99,14.05,86.3,4,86.3,14.99,-0.10645323082529581,-0.532266154126479,19.764748504083123,-1.705380757821239
5,49.93,14.97,14.07,86.43,5,86.43,14.97,-0.10622679453729829,-0.5311339726864914,19.815569964126137,-1.7017532484875186
6,49.93,14.97,14.07,86.45,6,86.45,14.97,-0.10619195531093018,-0.5309597765546509,19.81913268130339,-1.7011951240811014
7,49.93,15.16,13.88,84.93,7,84.93,15.16,-0.10883727588225388,-0.5441863794112693,19.292072788021542,-1.7435731596337072
8,49.93,15.37,13.67,83.29,8,83.29,15.37,-0.11168440763001422,-0.5584220381500711,18.733006648517915,-1.7891842102328277
9,49.93,15.33,13.71,83.6,9,83.6,15.33,-0.11114689322063256,-0.5557344661031628,18.837782249487436,-1.7805732293945336
10,49.93,15.16,13.88,84.96,10,84.96,15.16,-0.10878511965507434,-0.5439255982753717,19.297336375552742,-1.742737616874291
11,49.93,15.15,13.89,85.04,11,85.04,15.15,-0.1086460246465923,-0.5432301232329615,19.324721856725628,-1.7405093148384085
12,49.93,15.39,13.65,83.12,12,83.12,15.39,-0.11197902938367295,-0.5598951469183647,18.67826295201119,-1.7939040507264405
13,49.93,15.43,13.59,82.76,13,82.76,15.43,-0.11260258296889086,-0.5630129148444543,18.565821462805907,-1.8038933791616316
14,49.93,15.22,13.81,84.45,14,84.45,15.22,-0.10967143629657841,-0.548357181482892,19.128613209535704,-1.7569364094711861
15,49.93,15.4,13.61,82.95,15,82.95,15.4,-0.11227354568070147,-0.5613677284035073,18.636333197493343,-1.7986222018048375
16,49.93,15.25,13.76,84.11,16,84.11,15.25,-0.1102618926830133,-0.5513094634150665,19.029998911009276,-1.766395520781873
17,49.93,15.29,13.72,83.82,17,83.82,15.29,-0.11076523249817097,-0.5538261624908548,18.927542417566656,-1.7744590246206988
18,49.93,15.44,13.6,82.72,18,82.72,15.44,-0.11267183643900547,-0.5633591821950273,18.546383525758657,-1.8050028197528676
19,49.93,15.3,13.71,83.74,19,83.74,15.3,-0.11090403687534696,-0.5545201843767348,18.900719489282874,-1.7766826707430583
20,49.93,15.37,13.65,83.21,20,83.21,15.37,-0.11182306613292335,-0.5591153306646167,18.719213363404446,-1.791405519449432
21,49.93,15.3,13.72,83.77,21,83.77,15.3,-0.11085198771054161,-0.554259938552708,18.905921962394306,-1.7758488431228765
22,49.93,15.29,13.73,83.84,22,83.84,15.29,-0.11073052811402867,-0.5536526405701433,18.93101360159695,-1.7739030603867392
23,49.93,15.07,13.95,85.56,23,85.56,15.07,-0.10774150835080117,-0.5387075417540058,19.52402744002122,-1.7260189637798347
24,49.93,15.33,13.68,83.49,24,83.49,15.33,-0.11133766230452101,-0.556688311522605,18.818753351718634,-1.7836293501184266
25,49.93,15.25,13.77,84.15,25,84.15,15.25,-0.11019244557950501,-0.550962227897525,19.036964187109174,-1.7652829781836703
26,49.93,15.31,13.71,83.67,26,83.67,15.31,-0.11102547327643922,-0.5551273663821961,18.875667997219885,-1.7786280818885563
27,49.93,15.21,13.8,84.42,27,84.42,15.21,-0.10972354939223994,-0.5486177469611997,19.136539427593256,-1.7577712612636838
28,49.93,15.45,13.59,82.66,28,82.66,15.45,-0.11277570505344439,-0.5638785252672219,18.523547138700273,-1.8066667949561792
