FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.24,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,24.24,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,24.24,15.06,13.98,85.73,2,85.73,15.06,-0.10744565916573046,-0.5372282958286523,19.5676712730344,-1.7212794598350019
3,24.24,15.24,13.78,84.25,3,84.25,15.24,-0.11001880616120763,-0.5500940308060381,19.067468880213493,-1.7625012747025461
4,24.24,15.18,13.83,84.68,4,84.68,15.18,-0.10927181553005,-0.5463590776502499,19.221665333572197,-1.7505344847914008
5,24.24,15.39,13.62,83.03,5,83.03,15.39,-0.11213496307735837,-0.5606748153867919,18.662772283474652,-1.7964021084992812
6,24.24,15.36,13.66,83.29,6,83.29,15.36,-0.11168440763001422,-0.5584220381500711,18.7457704160757,-1.7891842102328277
7,24.24,15.46,13.53,82.41,7,82.41,15.46,-0.11320833884958775,-0.5660416942479387,18.468236359318738,-1.8135975883703959
8,24.24,15.35,13.67,83.39,8,83.39,15.35,-0.11151105249959872,-0.5575552624979936,18.775819859584992,-1.7864070610435714
9,24.24,15.58,13.41,81.43,9,81.43,15.58,-0.11490176113389027,-0.5745088056694513,18.15337874811246,-1.840726213364922
10,24.24,15.55,13.49,81.89,10,81.89,15.55,-0.11410740215156548,-0.5705370107578274,18.26807636821414,-1.828000582468079
11,24.24,15.54,13.47,81.84,11,81.84,15.54,-0.11419379048403443,-0.5709689524201721,18.271877846386555,-1.8293845235542314
12,24.24,15.4,13.64,83.06,12,83.06,15.4,-0.11208298848733306,-0.5604149424366652,18.655250549134966,-1.7955694755670755
13,24.24,15.47,13.57,82.55,13,82.55,15.47,-0.11296609437700318,-0.5648304718850159,18.479680971240064,-1.8097168319195909
14,24.24,15.48,13.54,82.35,14,82.35,15.48,-0.11331213385265526,-0.5665606692632763,18.433024610345544,-1.8152603843195372
15,24.24,15.42,13.59,82.8,15,82.8,15.42,-0.11253332335643043,-0.5626666167821521,18.585286356026202,-1.8027838401700154
16,24.24,15.39,13.65,83.17,16,83.17,15.39,-0.11189238675764408,-0.5594619337882204,18.686870150168474,-1.7925160358574581
17,24.24,15.27,13.75,84.0,17,84.0,15.27,-0.11045284632676536,-0.5522642316338268,18.98478175516108,-1.769454598154781
18,24.24,15.4,13.64,83.06,18,83.06,15.4,-0.11208298848733306,-0.5604149424366652,18.655250549134966,-1.7955694755670755
19,24.24,15.27,13.77,84.08,19,84.08,15.27,-0.11031397473024673,-0.5515698736512337,18.998690942932065,-1.7672298751785527
20,24.24,15.43,13.59,82.74,20,82.74,15.43,-0.11263721047385107,-0.5631860523692553,18.562390849487013,-1.8044481117910942
21,24.24,15.27,13.72,83.89,21,83.89,15.27,-0.11064376144268842,-0.5532188072134421,18.96565996019174,-1.7725130583118685
22,24.24,15.53,13.44,81.75,22,81.75,15.53,-0.11434926219911792,-0.5717463109955896,18.26888629114809,-1.8318751804298692
23,24.24,15.55,13.45,81.72,23,81.72,15.55,-0.11440107825522522,-0.572005391276126,18.239216168554385,-1.832705273648708
24,24.24,15.25,13.74,84.02,24,84.02,15.25,-0.11041813032753184,-0.5520906516376591,19.014328879052652,-1.76889844784706
25,24.24,15.24,13.75,84.12,25,84.12,15.24,-0.11024453137470674,-0.5512226568735337,19.044813961603353,-1.766117392622802
26,24.24,15.3,13.67,83.55,26,83.55,15.3,-0.11123361157615358,-0.5561680578807678,18.867777490586665,-1.7819624574499804
27,24.24,15.36,13.59,82.98,27,82.98,15.36,-0.11222157999398895,-0.5611078999699447,18.692297893263316,-1.797789711503703
28,24.24,15.36,13.59,82.99,28,82.99,15.36,-0.11220425735313333,-0.5610212867656666,18.6940222658678,-1.797512202797196
29,24.24,15.47,13.47,82.09,29,82.09,15.47,-0.11376174204569255,-0.5688087102284627,18.401067871471255,-1.8224631075719946
30,24.24,15.49,13.46,82.0,30,82.0,15.49,-0.11391731009600654,-0.5695865504800327,18.36086209855059,-1.8249553077380247
