FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,19.66,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,19.66,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,19.66,15.61,13.43,81.43,2,81.43,15.61,-0.11490176113389027,-0.5745088056694513,18.11689152180672,-1.840726213364922
3,19.66,16.21,12.84,76.75,3,76.75,16.21,-0.12292003909224143,-0.6146001954612071,16.662230563592612,-1.9691790262577076
4,19.66,16.67,12.35,73.08,4,73.08,16.67,-0.1291036166828272,-0.645518083414136,15.617579556031279,-2.0682399392588917
5,19.66,16.89,12.12,71.33,5,71.33,16.89,-0.1320116988517741,-0.6600584942588705,15.143359197669715,-2.114827415605421
6,19.66,17.12,11.88,69.54,6,69.54,17.12,-0.13495533754206046,-0.6747766877103023,14.669740102719894,-2.1619845074238087
7,19.66,16.87,12.02,70.94,7,70.94,16.87,-0.13265581205004662,-0.6632790602502331,15.103940857543718,-2.1251461090417467
8,19.66,17.06,11.87,69.63,8,69.63,17.06,-0.13480812398606493,-0.6740406199303246,14.736639350599729,-2.15962614625676
9,19.66,16.94,11.96,70.48,9,70.48,16.94,-0.13341358828441216,-0.6670679414220607,14.97078242064322,-2.1372856843162826
10,19.66,16.95,11.95,70.35,10,70.35,16.95,-0.1336273542130134,-0.668136771065067,14.942376963364302,-2.1407102144924743
11,19.66,17.07,11.82,69.37,11,69.37,17.07,-0.13523317197794152,-0.6761658598897076,14.689747897668106,-2.166435415086623
12,19.66,17.19,11.73,68.59,12,68.59,17.19,-0.136503927867447,-0.6825196393372349,14.470445867611911,-2.1867929244365008
13,19.66,17.14,11.75,68.84,13,68.84,17.14,-0.13609735972082165,-0.6804867986041082,14.55052150236625,-2.180279702727563
14,19.66,17.02,11.84,69.65,14,69.65,17.02,-0.1347753981862428,-0.6738769909312139,14.775661538083552,-2.1591018789436096
15,19.66,17.69,11.25,64.92,15,64.92,17.69,-0.14238832937651816,-0.7119416468825908,13.539341028803968,-2.281061036611821
16,19.66,17.53,11.39,66.06,16,66.06,17.53,-0.14057797576661998,-0.7028898788331,13.824982253307176,-2.252059171781252
17,19.66,17.59,11.36,65.68,17,65.68,17.59,-0.1411832473287575,-0.7059162366437874,13.72359421706917,-2.261755622206695
18,19.66,17.54,11.36,65.89,18,65.89,17.54,-0.14084897737805221,-0.7042448868902611,13.793289929513566,-2.2564006175963964
19,19.66,17.68,11.24,64.89,19,64.89,17.68,-0.14243574678551219,-0.7121787339275609,13.5432349697798,-2.2818206635039053
20,19.66,17.73,11.17,64.43,20,64.43,17.73,-0.14316134911875586,-0.7158067455937792,13.441306910392147,-2.293444812882469
21,19.66,17.84,11.09,63.74,21,63.74,17.84,-0.1442445217304876,-0.7212226086524379,13.262852033775246,-2.310797238122411
22,19.66,17.52,11.31,65.71,22,65.71,17.52,-0.1411355282458287,-0.7056776412291434,13.784817817358793,-2.2609911624981756
23,19.66,17.68,11.14,64.42,23,64.42,17.68,-0.14317709235464593,-0.7158854617732296,13.479513554346084,-2.293697019521428
24,19.66,17.99,10.87,62.3,24,62.3,17.99,-0.146484204572462,-0.7324210228623099,12.958783407006274,-2.3466769572508412
25,19.66,17.6,11.2,64.94,25,64.94,17.6,-0.14235671131360797,-0.7117835565680398,13.614137211776242,-2.2805545152439994
26,19.66,18.11,10.76,61.41,26,61.41,18.11,-0.14785386137135142,-0.7392693068567571,12.75468174507078,-2.36861885916905
27,19.66,17.77,11.04,63.71,27,63.71,17.77,-0.14429147176775176,-0.7214573588387587,13.313199209754764,-2.311549377719383
28,19.66,17.88,10.96,63.02,28,63.02,17.88,-0.14536794521371035,-0.7268397260685517,13.13654799797014,-2.32879448232364
29,19.66,17.9,10.9,62.7,29,62.7,17.9,-0.14586495544843148,-0.7293247772421574,13.07910633122664,-2.3367565862838724
30,19.66,17.68,11.05,64.03,30,64.03,17.68,-0.14379004792574554,-0.7189502396287277,13.42682773788658,-2.3035165677704437
31,19.66,17.85,10.92,62.92,31,62.92,17.85,-0.14552341365967658,-0.7276170682983829,13.14628584621267,-2.331285086828019
32,19.66,17.91,10.85,62.4,32,62.4,17.91,-0.14632960351198618,-0.7316480175599309,13.032105394633062,-2.3442002482620183
33,19.66,17.9,10.86,62.51,33,62.51,17.9,-0.14615937936075882,-0.7307968968037941,13.054123033839671,-2.341473257359356
34,19.66,18.03,10.74,61.57,34,61.57,18.03,-0.14760847267674024,-0.7380423633837012,12.834201699594686,-2.3646877322813786
35,19.66,18.1,10.71,61.24,35,61.24,18.1,-0.1481141779278007,-0.7405708896390035,12.740173575783965,-2.3727891304033673
36,19.66,18.27,10.53,59.93,36,59.93,18.27,-0.1501057676209632,-0.750528838104816,12.451516384219913,-2.4046943972878303
37,19.66,18.04,10.74,61.55,37,61.55,18.04,-0.14763916660614304,-0.7381958330307152,12.82421992731535,-2.3651794490304114
38,19.66,18.23,10.53,60.03,38,60.03,18.23,-0.1499546481640743,-0.7497732408203714,12.492498934530007,-2.4022734635884704
39,19.66,18.19,10.59,60.41,39,60.41,18.19,-0.1493790103568344,-0.746895051784172,12.569094092450614,-2.393051745916487
40,19.66,18.05,10.68,61.22,40,61.22,18.05,-0.14814477560213357,-0.7407238780106679,12.774299045452128,-2.3732793051461796
41,19.66,18.12,10.63,60.78,41,60.78,18.12,-0.1488164336697669,-0.7440821683488346,12.666715127067064,-2.384039267389666
42,19.66,18.36,10.37,58.9,42,58.9,18.36,-0.1516533328866642,-0.7582666644333209,12.260185208857617,-2.4294863928443604
43,19.66,18.23,10.48,59.77,43,59.77,18.23,-0.15034724108847553,-0.7517362054423776,12.45981237256873,-2.4085628022373777
44,19.66,18.14,10.54,60.34,44,60.34,18.14,-0.14948521285448588,-0.7474260642724293,12.596226615371148,-2.3947531099288635
45,19.66,18.4,10.34,58.66,45,58.66,18.4,-0.15201155100237432,-0.7600577550118716,12.202950649055746,-2.4352250470580366
46,19.66,18.29,10.47,59.59,46,59.59,18.29,-0.1506184293446776,-0.7530921467233879,12.39482668954318,-2.412907238101735
47,19.66,18.19,10.5,60.0,47,60.0,18.19,-0.15000000000000002,-0.75,12.517273444651941,-2.4030000000000005
48,19.66,18.26,10.46,59.59,48,59.59,18.26,-0.1506184293446776,-0.7530921467233879,12.415994056087225,-2.412907238101735
49,19.66,17.99,10.67,61.32,49,61.32,17.99,-0.14799172864209606,-0.7399586432104803,12.831528241862976,-2.3708274928463786
50,19.66,18.35,10.36,58.89,50,58.89,18.35,-0.1516682767797658,-0.758341383898829,12.265893123946299,-2.429725794011848
51,19.66,17.96,10.63,61.26,51,61.26,17.96,-0.14808357439090125,-0.7404178719545063,12.84605450558606,-2.372298861742238
52,19.66,18.41,10.27,58.31,52,58.31,18.41,-0.15253231485179108,-0.7626615742589554,12.153145428232476,-2.4435676839256932
53,19.66,18.07,10.58,60.72,53,60.72,18.07,-0.14890780123379563,-0.7445390061689782,12.695483908408367,-2.385502975765406
54,19.66,18.08,10.55,60.5,54,60.5,18.08,-0.14924235601034672,-0.7462117800517336,12.660087682459606,-2.3908625432857544
55,19.66,18.07,10.57,60.66,55,60.66,18.07,-0.14899911516442368,-0.7449955758221184,12.687811278409145,-2.3869658249340673
56,19.66,18.1,10.55,60.46,56,60.46,18.1,-0.14930310629557839,-0.746515531477892,12.640446336150887,-2.3918357628551656
57,19.66,18.39,10.28,58.42,57,58.42,18.39,-0.15236885652664958,-0.7618442826332479,12.180366681211774,-2.4409490815569264
58,19.66,18.34,10.32,58.73,58,58.73,18.34,-0.151907164708814,-0.7595358235440699,12.253078552825395,-2.4335527786352
59,19.66,18.14,10.49,60.07,59,60.07,18.14,-0.14989415774777823,-0.7494707887388912,12.562002984279477,-2.401304407119407
60,19.66,18.36,10.3,58.59,60,58.59,18.36,-0.15211585966218444,-0.7605792983109221,12.22195944994925,-2.4368960717881945
61,19.66,18.43,10.27,58.24,61,58.24,18.43,-0.1526362330097698,-0.7631811650488489,12.130886828468636,-2.445232452816512
62,19.66,18.6,10.1,56.99,62,56.99,18.6,-0.15447854023464594,-0.7723927011732297,11.865499560913795,-2.474746214559028
63,19.66,18.2,10.42,59.58,63,59.58,18.2,-0.15063348073531327,-0.7531674036765663,12.457290810948997,-2.4131483613797187
64,19.66,18.06,10.52,60.47,64,60.47,18.06,-0.14928792097590174,-0.7464396048795087,12.670835960963014,-2.391592494033946
65,19.66,18.43,10.25,58.15,65,58.15,18.43,-0.15276972660417243,-0.763848633020862,12.11989772497937,-2.447371020198842
66,19.66,18.09,10.51,60.32,66,60.32,18.09,-0.14951554286552265,-0.7475777143276132,12.6298826318256,-2.395238996705673
67,19.66,18.24,10.41,59.4,67,59.4,18.24,-0.15090414157503715,-0.7545207078751857,12.406371470696568,-2.417484348032095
68,19.66,18.65,10.09,56.82,68,56.82,18.65,-0.1547271104292362,-0.773635552146181,11.812247462877156,-2.478728309076364
69,19.66,18.67,10.09,56.78,69,56.78,18.67,-0.15478552759738207,-0.7739276379869103,11.79436041800648,-2.4796641521100606
70,19.66,18.59,10.14,57.22,70,57.22,18.59,-0.15414147641896814,-0.7707073820948406,11.89962861817014,-2.4693464522318695
71,19.66,18.22,10.45,59.67,71,59.67,18.22,-0.1504979627487963,-0.7524898137439814,12.454365316599654,-2.4109773632357165
72,19.66,18.04,10.53,60.55,72,60.55,18.04,-0.14916638440710067,-0.7458319220355033,12.695673918999928,-2.3896454782017527
73,19.66,18.33,10.33,58.82,73,58.82,18.33,-0.15177283993663102,-0.758864199683155,12.27114625711361,-2.431400895784829
74,19.66,18.51,10.2,57.71,74,57.71,18.51,-0.15342048152316123,-0.7671024076158061,12.012147048100603,-2.457796114001043
75,19.66,17.98,10.54,60.75,75,60.75,17.98,-0.14886212414969552,-0.7443106207484775,12.76543506616319,-2.384771228878122
76,19.66,18.45,10.21,57.91,76,57.91,18.45,-0.1531250720758231,-0.7656253603791154,12.077027585247857,-2.453063654654686
77,19.66,18.59,10.14,57.22,77,57.22,18.59,-0.15414147641896814,-0.7707073820948406,11.89962861817014,-2.4693464522318695
78,19.66,18.35,10.29,58.55,78,58.55,18.35,-0.15217542969475598,-0.7608771484737799,12.223955476909524,-2.4378503837099905
79,19.66,18.36,10.28,58.5,79,58.5,18.36,-0.1522498564715949,-0.7612492823579744,12.21088521597598,-2.43904270067495
80,19.66,18.35,10.29,58.59,80,58.59,18.35,-0.15211585966218444,-0.7605792983109221,12.228881460623926,-2.4368960717881945
81,19.66,18.3,10.29,58.68,81,58.68,18.3,-0.15198173426207096,-0.7599086713103547,12.274731925143152,-2.4347473828783768
82,19.66,17.75,10.75,62.41,82,62.41,17.75,-0.14631413563612394,-0.7315706781806197,13.155666083899222,-2.3439524528907056
83,19.66,18.42,10.23,58.08,83,58.08,18.42,-0.15287346495461318,-0.7643673247730658,12.118190413991508,-2.449032908572903
84,19.66,18.11,10.47,60.07,84,60.07,18.11,-0.14989415774777823,-0.7494707887388912,12.583640066448478,-2.401304407119407
85,19.66,18.26,10.33,59.01,85,59.01,18.26,-0.15148884631499587,-0.7574442315749793,12.343648505813658,-2.426851317966234
86,19.66,18.16,10.43,59.74,86,59.74,18.16,-0.15039247371094588,-0.7519623685547294,12.505964358546114,-2.409287428849353
87,19.66,18.27,10.34,59.0,87,59.0,18.27,-0.15150380749100545,-0.7575190374550271,12.335383054262259,-2.4270909960059073
88,19.66,18.23,10.35,59.15,88,59.15,18.23,-0.1512792253721175,-0.7563961268605874,12.382217082025326,-2.4234931904613224
89,19.66,18.6,10.06,56.81,89,56.81,18.6,-0.15474171722300967,-0.7737085861150482,11.844040688491077,-2.478962309912615
90,19.66,18.09,10.45,60.06,90,60.06,18.09,-0.14990928263279846,-0.7495464131639923,12.596836780161786,-2.401546707777431
91,19.66,18.59,10.09,56.97,91,56.97,18.59,-0.15450780872195288,-0.7725390436097643,11.869741997564553,-2.475215095725685
92,19.66,18.02,10.51,60.49,92,60.49,18.02,-0.14925754583282327,-0.7462877291641163,12.702645698585801,-2.3911058842418287
93,19.66,18.02,10.49,60.4,93,60.4,18.02,-0.1493941866584231,-0.7469709332921155,12.691131357750992,-2.393294870267938
94,19.66,18.14,10.34,59.36,94,59.36,18.14,-0.15096422029465179,-0.7548211014732589,12.472451980098011,-2.4184468091203217
95,19.66,18.2,10.29,58.96,95,58.96,18.2,-0.15156363650153012,-0.7578181825076505,12.379715053434616,-2.4280494567545126
96,19.66,18.19,10.27,58.9,96,58.9,18.19,-0.1516533328866642,-0.7582666644333209,12.379305312402535,-2.4294863928443604
97,19.66,18.34,10.17,58.02,97,58.02,18.34,-0.1529623207324825,-0.7648116036624125,12.165775817226637,-2.4504563781343696
98,19.66,18.29,10.22,58.38,98,58.38,18.29,-0.15242831828275694,-0.7621415914137846,12.244652477179484,-2.441901658889766
99,19.66,18.2,10.27,58.88,99,58.88,18.2,-0.1516832190989617,-0.7584160954948085,12.369741766251737,-2.4299651699653664
100,19.66,18.46,10.09,57.3,100,57.3,18.46,-0.15402403204776552,-0.7701201602388276,11.996353071612866,-2.4674649934052035
