FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.71,15.22,13.82,84.46,0,84.46,15.22,-0.10965406467476808,-0.5482703233738404,19.13035911161139,-1.7566581160897847
1,21.71,15.22,13.82,84.46,1,84.46,15.22,-0.10965406467476808,-0.5482703233738404,19.13035911161139,-1.7566581160897847
2,21.71,14.49,14.52,90.11,2,90.11,14.49,-0.09980801390022,-0.49904006950109997,21.18355225169904,-1.5989243826815243
3,21.71,14.7,14.29,88.39,3,88.39,14.7,-0.10280961031748492,-0.5140480515874246,20.55339002523762,-1.6470099572861083
4,21.71,14.43,14.54,90.43,4,90.43,14.43,-0.0992495154667073,-0.49624757733353647,21.33534233072073,-1.5899772377766508
5,21.71,14.57,14.37,89.21,5,89.21,14.57,-0.10137876642149456,-0.5068938321074727,20.89629259163787,-1.6240878380723427
6,21.71,14.52,14.47,89.79,6,89.79,14.52,-0.1003665183223057,-0.5018325916115285,21.078664405610752,-1.6078716235233372
7,21.71,14.53,14.44,89.64,7,89.64,14.53,-0.10062831439655591,-0.5031415719827795,21.035823119331102,-1.6120655966328257
8,21.71,14.58,14.41,89.36,8,89.36,14.58,-0.10111698749294223,-0.5055849374647111,20.908780364999537,-1.6198941396369346
9,21.71,14.53,14.46,89.7,9,89.7,14.53,-0.10052359638314196,-0.5026179819157097,21.04687197815434,-1.610388014057934
10,21.71,14.46,14.53,90.27,10,90.27,14.46,-0.09952876284606267,-0.49764381423031334,21.259282485739853,-1.5944507807939239
11,21.71,14.47,14.5,90.1,11,90.1,14.47,-0.09982546716341019,-0.49912733581705093,21.212424906659226,-1.5992039839578311
12,21.71,14.6,14.33,88.93,12,88.93,14.6,-0.10186739375093752,-0.5093369687546876,20.79996118992695,-1.631915647890019
13,21.71,14.33,14.61,91.11,13,91.11,14.33,-0.09806280571326931,-0.49031402856634654,21.61868047538718,-1.5709661475265744
14,21.71,14.36,14.63,91.07,14,91.07,14.36,-0.0981326062490625,-0.49066303124531246,21.56381834310942,-1.5720843521099812
15,21.71,14.49,14.53,90.15,15,90.15,14.49,-0.0997382009112582,-0.498691004556291,21.19093959585967,-1.5978059785983565
16,21.71,14.22,14.79,92.23,16,92.23,14.22,-0.09610889833589714,-0.4805444916794857,22.00517283972673,-1.5396645513410723
17,21.71,14.39,14.63,90.95,17,90.95,14.39,-0.09834201318123026,-0.49171006590615124,21.494315466208455,-1.5754390511633087
18,21.71,14.31,14.68,91.49,18,91.49,14.31,-0.0973997525207064,-0.486998762603532,21.721488363489552,-1.5603440353817164
19,21.71,14.47,14.48,90.04,19,90.04,14.47,-0.09993018683559124,-0.49965093417795614,21.201327799794964,-1.6008815931061715
20,21.71,14.48,14.53,90.22,20,90.22,14.48,-0.09961602850807576,-0.49808014254037875,21.21923211339816,-1.5958487766993736
21,21.71,14.37,14.62,91.0,21,91.0,14.37,-0.09825475935627165,-0.49127379678135824,21.535028808347395,-1.5740412448874717
22,21.71,14.11,14.86,92.94,22,92.94,14.11,-0.0948709834665666,-0.47435491733283297,22.320081899974742,-1.5198331551343969
23,21.71,14.25,14.7,91.77,23,91.77,14.25,-0.0969112585614888,-0.484556292807444,21.870125875818314,-1.5525183621550505
24,21.71,14.25,14.7,91.8,24,91.8,14.25,-0.09685892409218717,-0.48429462046093585,21.87576164579337,-1.5516799639568384
25,21.71,14.35,14.64,91.17,25,91.17,14.35,-0.09795810669051996,-0.48979053345259976,21.598245771379215,-1.5692888691821298
26,21.71,14.37,14.62,90.99,26,90.99,14.37,-0.09827221001706354,-0.4913610500853177,21.533166060647975,-1.5743208044733579
27,21.71,14.45,14.52,90.3,27,90.3,14.45,-0.09947640361685806,-0.4973820180842903,21.280277300534884,-1.593611985942066
28,21.71,14.23,14.73,91.99,28,91.99,14.23,-0.09652749304326207,-0.4826374652163103,21.943790748086684,-1.5463704385530583
29,21.71,14.41,14.59,90.71,29,90.71,14.41,-0.09876084794519667,-0.4938042397259833,21.41842946519504,-1.5821487840820505
30,21.71,14.34,14.61,91.05,30,91.05,14.34,-0.09816750686038973,-0.49083753430194865,21.591654690604113,-1.5726434599034436
31,21.71,14.45,14.52,90.27,31,90.27,14.45,-0.09952876284606267,-0.49764381423031334,21.274720752892545,-1.5944507807939239
32,21.71,14.2,14.77,92.27,32,92.27,14.2,-0.0960391389906581,-0.48019569495329045,22.04526098407931,-1.5385470066303426
33,21.71,14.34,14.68,91.35,33,91.35,14.34,-0.097644023516639,-0.488220117583195,21.64765593905884,-1.564257256736557
34,21.71,14.37,14.62,90.96,34,90.96,14.37,-0.09832456231310188,-0.4916228115655094,21.527577784068207,-1.5751594882558921
35,21.71,14.56,14.41,89.4,35,89.4,14.56,-0.10104717841162457,-0.5052358920581228,20.946257954266315,-1.6187757981542255
36,21.71,14.24,14.75,92.01,36,92.01,14.24,-0.09649260772254772,-0.4824630386127386,21.931369281827152,-1.5458115757152144
37,21.71,14.43,14.54,90.43,37,90.43,14.43,-0.0992495154667073,-0.49624757733353647,21.33534233072073,-1.5899772377766508
38,21.71,14.41,14.53,90.46,38,90.46,14.41,-0.09919715716896037,-0.4959857858448018,21.37199188961009,-1.5891384578467451
39,21.71,14.45,14.54,90.36,39,90.36,14.45,-0.09937168560344412,-0.4968584280172205,21.291390348595083,-1.5919344033671747
40,21.71,14.4,14.59,90.76,40,90.76,14.4,-0.09867358866563673,-0.4933679433281836,21.443333742851276,-1.5807508904235004
41,21.71,14.48,14.53,90.21,41,90.21,14.48,-0.0996334816776943,-0.49816740838847146,21.217383947327324,-1.5961283764766627
42,21.71,14.38,14.59,90.85,42,90.85,14.38,-0.09851652455258618,-0.49258262276293086,21.491389417548955,-1.5782347233324305
43,21.71,14.46,14.56,90.4,43,90.4,14.46,-0.09930187397020383,-0.4965093698510191,21.283343267591817,-1.5908160210026654
44,21.71,14.57,14.42,89.41,44,89.41,14.57,-0.10102972606021893,-0.5051486303010946,20.933013990373038,-1.6184962114847072
45,21.71,14.43,14.52,90.37,45,90.37,14.43,-0.0993542326650956,-0.496771163325478,21.32421320552473,-1.5916548072948316
46,21.71,14.45,14.54,90.32,46,90.32,14.45,-0.0994414975429172,-0.49720748771458595,21.28398165726064,-1.5930527906375336
47,21.71,14.28,14.64,91.42,47,91.42,14.28,-0.09752188616922515,-0.48760943084612574,21.756275833317876,-1.562300616430987
48,21.71,14.59,14.45,89.45,48,89.45,14.59,-0.10095991634624,-0.5047995817312,20.910250010676044,-1.6173778598667647
49,21.71,14.4,14.59,90.79,49,90.79,14.4,-0.09862123357850544,-0.49310616789252715,21.448910098179184,-1.579912161927657
50,21.71,14.45,14.54,90.35,50,90.35,14.45,-0.09938913856093219,-0.49694569280466094,21.289538178667158,-1.5922139997461338
51,21.71,14.44,14.57,90.52,51,90.52,14.44,-0.09909244124813249,-0.4954622062406624,21.33651905862086,-1.5874609087950824
52,21.71,14.47,14.52,90.17,52,90.17,14.47,-0.09970329446249981,-0.49851647231249907,21.22537150484522,-1.597246777289247
53,21.71,14.51,14.48,89.91,53,89.91,14.51,-0.10015707956808312,-0.5007853978404155,21.116035356635205,-1.6045164146806916
54,21.71,14.58,14.43,89.43,54,89.43,14.58,-0.10099482126383744,-0.5049741063191872,20.92162382920582,-1.6179370366466757
55,21.71,14.41,14.6,90.73,55,90.73,14.41,-0.09872594411641118,-0.4936297205820559,21.422144374482198,-1.581589624744907
56,21.71,14.44,14.55,90.44,56,90.44,14.44,-0.09923206267722175,-0.4961603133861087,21.321691168116086,-1.5896976440890924
57,21.71,14.23,14.77,92.13,57,92.13,14.23,-0.09628330492169895,-0.48141652460849477,21.97012557397001,-1.5424585448456172
58,21.71,14.56,14.47,89.64,58,89.64,14.56,-0.10062831439655591,-0.5031415719827795,20.99035702075526,-1.6120655966328257
59,21.71,14.46,14.58,90.47,59,90.47,14.46,-0.09917970445124785,-0.4958985222562392,21.29629892323352,-1.5888588653089906
60,21.71,14.63,14.39,89.06,60,89.06,14.63,-0.1016405359001362,-0.508202679500681,20.778993804402404,-1.628281385120182
61,21.71,14.49,14.47,89.92,61,89.92,14.49,-0.10013962629479144,-0.5006981314739571,21.148462293181847,-1.6042368132425588
62,21.71,14.41,14.58,90.66,62,90.66,14.41,-0.09884810816842478,-0.4942405408421239,21.409142122661322,-1.583546692858165
63,21.71,14.42,14.51,90.35,63,90.35,14.42,-0.09938913856093219,-0.49694569280466094,21.336019858814787,-1.5922139997461338
64,21.71,14.35,14.59,90.94,64,90.94,14.35,-0.09835946409986379,-0.49179732049931896,21.555340729126943,-1.575718614879818
65,21.71,14.53,14.46,89.69,65,89.69,14.53,-0.10054104942835307,-0.5027052471417653,21.045030497149433,-1.610667611842216
66,21.71,14.72,14.22,88.03,66,88.03,14.72,-0.10343762121290921,-0.517188106064546,20.45874536714941,-1.6570706918308056
67,21.71,14.46,14.53,90.29,67,90.29,14.46,-0.0994938566780188,-0.49746928339009394,21.262984164332124,-1.593891583981861
68,21.71,14.63,14.36,88.9,68,88.9,14.63,-0.10191974423996897,-0.5095987211998448,20.7497455485158,-1.6327543027243028
69,21.71,14.48,14.47,89.97,69,89.97,14.48,-0.10005235987516736,-0.5002617993758368,21.17302773643258,-1.6028388052001812
70,21.71,14.68,14.34,88.67,70,88.67,14.68,-0.1023210794445087,-0.5116053972225435,20.63374598875792,-1.6391836927010295
71,21.71,14.49,14.44,89.8,71,89.8,14.49,-0.10034906514152238,-0.5017453257076119,21.12630027341424,-1.6075920235671886
72,21.71,14.51,14.48,89.86,72,89.86,14.51,-0.10024434585213451,-0.5012217292606725,21.10681452491653,-1.6059144205511948
73,21.71,14.72,14.27,88.2,73,88.2,14.72,-0.10314107590781281,-0.515705379539064,20.489610606592624,-1.6523200360431611
74,21.71,14.68,14.24,88.26,74,88.26,14.68,-0.10303640612241363,-0.5151820306120681,20.559080116800526,-1.6506432260810664
75,21.71,14.48,14.54,90.24,75,90.24,14.48,-0.09958112220445964,-0.49790561102229813,21.22292844176782,-1.5952895777154434
