FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,25.7,15.13,13.9,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,25.7,15.13,13.9,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,25.7,14.19,14.84,92.57,2,92.57,14.19,-0.09551600778323079,-0.4775800389161539,22.118161564460934,-1.530166444687357
3,25.7,14.19,14.85,92.61,3,92.61,14.19,-0.09544626593068156,-0.47723132965340775,22.12570524328765,-1.5290491802095185
4,25.7,15.18,13.83,84.65,4,84.65,15.18,-0.10932394858855005,-0.5466197429427502,19.216411342369543,-1.7513696563885717
5,25.7,14.96,14.03,86.29,5,86.29,14.96,-0.10647064764011496,-0.5323532382005748,19.804493751537024,-1.7056597751946416
6,25.7,14.96,14.08,86.54,6,86.54,14.96,-0.10603516951698554,-0.5301758475849276,19.849057657028784,-1.6986834156621082
7,25.7,15.06,13.96,85.67,7,85.67,15.06,-0.10755008414395076,-0.5377504207197538,19.55705944451028,-1.722952347986091
8,25.7,15.3,13.74,83.85,8,83.85,15.3,-0.11071317543138737,-0.5535658771569368,18.919796673977828,-1.7736250704108256
9,25.7,15.38,13.66,83.23,9,83.23,15.38,-0.11178840365754417,-0.5589420182877208,18.709922077625762,-1.7908502265938575
10,25.7,15.27,13.75,83.99,10,83.99,15.27,-0.11047020384902864,-0.5523510192451432,18.983043249646258,-1.7697326656614387
11,25.7,15.37,13.67,83.28,11,83.28,15.37,-0.11170174119416776,-0.5585087059708388,18.73128236340459,-1.7894618939305675
12,25.7,15.2,13.82,84.55,12,84.55,15.2,-0.10949770690839543,-0.5474885345419771,19.172450415473982,-1.7541532646724947
13,25.7,15.27,13.76,84.04,13,84.04,15.27,-0.11038341305888073,-0.5519170652944037,18.991736095607727,-1.7683422772032693
14,25.7,15.1,13.94,85.41,14,85.41,15.1,-0.1080024952374809,-0.5400124761874044,19.456954378875473,-1.730199973704444
15,25.7,15.19,13.83,84.63,15,84.63,15.19,-0.10935870254164703,-0.5467935127082352,19.19966532500174,-1.7519264147171854
16,25.7,15.26,13.75,84.05,16,84.05,15.26,-0.11036605394984554,-0.5518302697492277,19.00650442262336,-1.7680641842765255
17,25.7,15.44,13.6,82.77,17,82.77,15.44,-0.11258526864030215,-0.5629263432015107,18.554954151580276,-1.8036160036176403
18,25.7,15.26,13.71,83.91,18,83.91,15.26,-0.11060905250085938,-0.5530452625042969,18.98214932623511,-1.7719570210637672
19,25.7,15.31,13.68,83.54,19,83.54,15.31,-0.11125095422278485,-0.5562547711139242,18.853145895660955,-1.7822402866490132
20,25.7,15.27,13.74,83.95,20,83.95,15.27,-0.11053963074338798,-0.5526981537169399,18.976089547563124,-1.7708448845090754
21,25.7,15.42,13.53,82.5,21,82.5,15.42,-0.11305261922200519,-0.5652630961100259,18.533803807031337,-1.811102959936523
22,25.7,15.32,13.68,83.52,22,83.52,15.32,-0.11128563848734818,-0.5564281924367409,18.836803279135673,-1.7827959285673178
23,25.7,15.36,13.66,83.28,23,83.28,15.36,-0.11170174119416776,-0.5585087059708388,18.744044956117627,-1.7894618939305675
24,25.7,15.46,13.56,82.53,24,82.53,15.46,-0.11300070550360351,-0.5650035275180175,18.488765229216334,-1.8102713021677281
25,25.7,15.48,13.56,82.47,25,82.47,15.48,-0.11310452936195724,-0.5655226468097861,18.45352288248946,-1.8119345603785548
26,25.7,15.48,13.56,82.44,26,82.44,15.48,-0.11315643590922826,-0.5657821795461413,18.448397778844374,-1.8127661032658366
27,25.7,15.41,13.56,82.66,27,82.66,15.41,-0.11277570505344439,-0.5638785252672219,18.57386081755504,-1.8066667949561792
28,25.7,15.5,13.49,82.05,28,82.05,15.5,-0.11383088761627191,-0.5691544380813596,18.356991261176926,-1.823570819612676
29,25.7,15.52,13.42,81.7,29,81.7,15.52,-0.11443562010009732,-0.5721781005004866,18.27269637221241,-1.833258634003559
30,25.7,15.77,13.23,79.97,30,79.97,15.77,-0.11741637979737299,-0.5870818989868649,17.6812259575029,-1.8810104043539153
31,25.7,15.5,13.5,82.1,31,82.1,15.5,-0.11374445460371468,-0.5687222730185734,18.365513888995658,-1.8221861627515092
32,25.7,15.56,13.46,81.72,32,81.72,15.56,-0.11440107825522522,-0.572005391276126,18.22695530444325,-1.832705273648708
33,25.7,15.45,13.54,82.45,33,82.45,15.45,-0.11313913412686981,-0.565695670634349,18.487590290391182,-1.8124889287124544
34,25.7,15.68,13.27,80.48,34,80.48,15.68,-0.11653918744206478,-0.5826959372103239,17.872802796074257,-1.8669577828218777
35,25.7,15.53,13.49,81.95,35,81.95,15.53,-0.11400372197710414,-0.5700186098855207,18.302889037917453,-1.826339626073208
36,25.7,15.67,13.33,80.78,36,80.78,15.67,-0.11602257535041459,-0.5801128767520729,17.935091602151978,-1.8586816571136417
37,25.7,15.65,13.37,81.02,37,81.02,15.65,-0.11560896872461611,-0.5780448436230805,17.99943453422056,-1.85205567896835
38,25.7,15.46,13.51,82.31,38,82.31,15.46,-0.1133813224181774,-0.566906612090887,18.45113333977645,-1.8163687851392019
39,25.7,15.65,13.37,81.02,39,81.02,15.65,-0.11560896872461611,-0.5780448436230805,17.99943453422056,-1.85205567896835
40,25.7,15.53,13.46,81.84,40,81.84,15.53,-0.11419379048403443,-0.5709689524201721,18.28418542282941,-1.8293845235542314
41,25.7,15.72,13.24,80.21,41,80.21,15.72,-0.117003751045143,-0.585018755225715,17.780116715299464,-1.8744000917431909
42,25.7,15.73,13.2,80.03,42,80.03,15.73,-0.11731325097534984,-0.5865662548767492,17.73824763688315,-1.8793582806251043
43,25.7,15.66,13.33,80.81,43,80.81,15.66,-0.11597088974776662,-0.5798544487388331,17.95210980911751,-1.8578536537592212
44,25.7,15.81,13.19,79.69,44,79.69,15.81,-0.11789739327258948,-0.5894869663629474,17.588008192749434,-1.8887162402268836
45,25.7,15.88,13.1,79.02,45,79.02,15.88,-0.11904663312311901,-0.595233165615595,17.39649775039243,-1.9071270626323666
46,25.7,15.7,13.27,80.4,46,80.4,15.7,-0.11667687467161021,-0.583384373358051,17.835601243111437,-1.8691635322391955
47,25.7,15.99,12.98,78.14,47,78.14,15.99,-0.12055210070593987,-0.6027605035296993,17.12776946593822,-1.9312446533091567
48,25.7,15.89,13.08,78.92,48,78.92,15.89,-0.11921794190455082,-0.5960897095227541,17.368597777436428,-1.909871429310904
49,25.7,15.82,13.18,79.63,49,79.63,15.82,-0.11800041237110866,-0.5900020618555433,17.566444104629927,-1.8903666061851607
50,25.7,16.11,12.87,77.25,50,77.25,16.11,-0.12206974350215011,-0.6103487175107505,16.850787362553408,-1.9555572909044447
51,25.7,16.02,13.0,78.11,51,78.11,16.02,-0.12060334002213235,-0.6030167001106618,17.089379581299912,-1.9320655071545603
52,25.7,16.0,13.02,78.29,52,78.29,16.0,-0.12029581988885776,-0.6014790994442888,17.14103057219229,-1.9271390346195014
53,25.7,16.16,12.8,76.75,53,76.75,16.16,-0.12292003909224143,-0.6146001954612071,16.71607135101789,-1.9691790262577076
54,25.7,15.91,13.09,78.91,54,78.91,15.91,-0.11923506957153765,-0.5961753478576882,17.34413799342903,-1.910145814536033
