FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,23.72,15.13,13.91,85.19,0,85.19,15.13,-0.10838517628706115,-0.5419258814353057,19.37785268893001,-1.7363305241187197
1,23.72,15.13,13.91,85.19,1,85.19,15.13,-0.10838517628706115,-0.5419258814353057,19.37785268893001,-1.7363305241187197
2,23.72,14.84,14.2,87.46,2,87.46,14.84,-0.10443168439130122,-0.5221584219565061,20.182767285038146,-1.6729955839486457
3,23.72,14.73,14.3,88.31,3,88.31,14.73,-0.10294917875278552,-0.5147458937639275,20.494985525887834,-1.649245843619624
4,23.72,14.91,14.12,86.87,4,86.87,14.91,-0.10546016381258519,-0.5273008190629259,19.977857946223924,-1.6894718242776148
5,23.72,14.87,14.17,87.25,5,87.25,14.87,-0.1047978128521344,-0.5239890642606719,20.102389150483848,-1.678860961891193
6,23.72,15.09,13.94,85.46,6,85.46,15.09,-0.10791550561450587,-0.5395775280725293,19.479280459782366,-1.7288063999443841
7,23.72,15.07,13.97,85.64,7,85.64,15.07,-0.10760229353537032,-0.5380114676768516,19.538164833138236,-1.7237887424366325
8,23.72,14.99,14.05,86.3,8,86.3,14.99,-0.10645323082529581,-0.532266154126479,19.764748504083123,-1.705380757821239
9,23.72,15.06,13.98,85.74,9,85.74,15.06,-0.10742825420577401,-0.53714127102887,19.569439992105973,-1.7210006323764997
10,23.72,15.23,13.8,84.37,10,84.37,15.23,-0.10981039862069586,-0.5490519931034793,19.101507378570304,-1.7591625859035476
11,23.72,15.17,13.87,84.87,11,84.87,15.17,-0.10894158105394686,-0.5447079052697342,19.26823726260513,-1.7452441284842286
12,23.72,15.21,13.83,84.57,12,84.57,15.21,-0.10946295754202306,-0.5473147877101153,19.16274774817237,-1.7535965798232094
13,23.72,15.27,13.77,84.1,13,84.1,15.27,-0.1102792536787247,-0.5513962683936234,19.002168555614084,-1.7666736439331696
14,23.72,14.95,14.08,86.57,14,86.57,14.95,-0.10598290425741444,-0.5299145212870722,19.868321112706397,-1.6978461262037792
15,23.72,15.17,13.86,84.83,15,84.83,15.17,-0.10901111239461357,-0.5450555619730678,19.261225028459446,-1.7463580205617093
16,23.72,15.21,13.83,84.57,16,84.57,15.21,-0.10946295754202306,-0.5473147877101153,19.16274774817237,-1.7535965798232094
17,23.72,15.15,13.89,85.01,17,85.01,15.15,-0.1086981872646357,-0.5434909363231785,19.31945398558187,-1.741344959979464
18,23.72,15.29,13.75,83.9,18,83.9,15.29,-0.11062640713362332,-0.5531320356681165,18.94142793665386,-1.7722350422806454
19,23.72,15.19,13.85,84.74,19,84.74,15.19,-0.10916754180158084,-0.5458377090079042,19.218917303882932,-1.748864019661325
20,23.72,15.06,13.97,85.7,20,85.7,15.06,-0.10749787268263278,-0.5374893634131639,19.5623652543265,-1.722115920375777
21,23.72,15.05,13.99,85.8,21,85.8,15.05,-0.1073238197127632,-0.536619098563816,19.593680372235035,-1.7193275917984663
22,23.72,15.27,13.76,84.05,22,84.05,15.27,-0.11036605394984554,-0.5518302697492277,18.99347476005143,-1.7680641842765255
23,23.72,15.2,13.84,84.63,23,84.63,15.2,-0.10935870254164703,-0.5467935127082352,19.186440033581814,-1.7519264147171854
24,23.72,15.26,13.78,84.16,24,84.16,15.26,-0.11017508302610664,-0.5508754151305332,19.025644928752342,-1.7650048300782284
25,23.72,15.26,13.78,84.17,25,84.17,15.26,-0.11015772016275749,-0.5507886008137874,19.027385162217442,-1.7647266770073748
26,23.72,15.21,13.83,84.57,26,84.57,15.21,-0.10946295754202306,-0.5473147877101153,19.16274774817237,-1.7535965798232094
27,23.72,15.24,13.8,84.31,27,84.31,15.24,-0.1099146078272433,-0.5495730391362165,19.077926749490384,-1.7608320173924377
28,23.72,15.2,13.84,84.62,28,84.62,15.2,-0.10937607909083664,-0.5468803954541832,19.184691230340007,-1.752204787035203
29,23.72,15.36,13.68,83.4,29,83.4,15.36,-0.11149371504928668,-0.5574685752464333,18.764752802469623,-1.7861293150895725
30,23.72,15.12,13.92,85.27,30,85.27,15.12,-0.1082460335489697,-0.5412301677448484,19.405355560226933,-1.7341014574544944
31,23.72,15.15,13.89,85.04,31,85.04,15.15,-0.1086460246465923,-0.5432301232329615,19.324721856725628,-1.7405093148384085
32,23.72,15.25,13.79,84.24,32,84.24,15.25,-0.11003617148512149,-0.5501808574256074,19.052637874846393,-1.7627794671916461
33,23.72,15.2,13.84,84.65,33,84.65,15.2,-0.10932394858855005,-0.5466197429427502,19.189937726085564,-1.7513696563885717
34,23.72,15.25,13.79,84.26,34,84.26,15.25,-0.11000144053210348,-0.5500072026605174,19.056121255214507,-1.7622230773242977
35,23.72,15.33,13.71,83.62,35,83.62,15.33,-0.11111220349784937,-0.5555610174892468,18.841242491446007,-1.7800175000355467
36,23.72,15.37,13.67,83.3,36,83.3,15.37,-0.11166707370993333,-0.5583353685496666,18.7347309690377,-1.7889065208331318
37,23.72,15.39,13.65,83.12,37,83.12,15.39,-0.11197902938367295,-0.5598951469183647,18.67826295201119,-1.7939040507264405
38,23.72,15.35,13.68,83.41,38,83.41,15.35,-0.11147637724885602,-0.5573818862442801,18.779273941482977,-1.7858515635266734
39,23.72,15.29,13.74,83.89,39,83.89,15.29,-0.11064376144268842,-0.5532188072134421,18.939692132893835,-1.7725130583118685
40,23.72,15.26,13.78,84.17,40,84.17,15.26,-0.11015772016275749,-0.5507886008137874,19.027385162217442,-1.7647266770073748
41,23.72,15.3,13.74,83.85,41,83.85,15.3,-0.11071317543138737,-0.5535658771569368,18.919796673977828,-1.7736250704108256
42,23.72,15.4,13.64,83.03,42,83.03,15.4,-0.11213496307735837,-0.5606748153867919,18.650090830005198,-1.7964021084992812
43,23.72,15.33,13.71,83.61,43,83.61,15.33,-0.11112954852875367,-0.5556477426437684,18.839512353558113,-1.7802953674306339
44,23.72,15.43,13.6,82.78,44,82.78,15.43,-0.11256795392834418,-0.5628397696417209,18.5692522282583,-1.8033386219320737
45,23.72,15.41,13.63,82.99,45,82.99,15.41,-0.11220425735313333,-0.5610212867656666,18.63055212491512,-1.797512202797196
46,23.72,15.25,13.78,84.2,46,84.2,15.25,-0.11010562971829463,-0.5505281485914731,19.04567148248412,-1.76389218808708
47,23.72,15.22,13.81,84.43,47,84.43,15.22,-0.10970617865584349,-0.5485308932792174,19.12512149426482,-1.7574929820666128
48,23.72,15.15,13.89,85.05,48,85.05,15.15,-0.10862863657979234,-0.5431431828989617,19.32647786704062,-1.7402307580082732
49,23.72,15.11,13.93,85.35,49,85.35,15.11,-0.1081068747348139,-0.5405343736740694,19.43289814671726,-1.7318721332517186
50,23.72,15.31,13.72,83.73,50,83.73,15.31,-0.11092138593334147,-0.5546069296667073,18.88606473251056,-1.7769606026521303
51,23.72,15.15,13.89,85.02,51,85.02,15.15,-0.10868079998954366,-0.5434039999477183,19.32120991594276,-1.7410664158324896
52,23.72,15.36,13.68,83.37,52,83.37,15.36,-0.11154572634775457,-0.5577286317387729,18.759575366826347,-1.7869625360910282
53,23.72,15.42,13.62,82.88,53,82.88,15.42,-0.11239478583950019,-0.5619739291975009,18.59902084723979,-1.800564469148793
54,23.72,15.5,13.54,82.29,54,82.29,15.5,-0.11341591425733573,-0.5670795712866786,18.397909232080234,-1.8169229464025183
55,23.72,15.6,13.44,81.51,55,81.51,15.6,-0.11476367930475198,-0.5738183965237599,18.14256177324838,-1.8385141424621267
56,23.72,15.49,13.55,82.39,56,82.39,15.49,-0.11324293879896075,-0.5662146939948037,18.427402615536167,-1.8141518795593512
57,23.72,15.46,13.57,82.55,57,82.55,15.46,-0.11296609437700318,-0.5648304718850159,18.492187258137655,-1.8097168319195909
58,23.72,15.4,13.64,83.07,58,83.07,15.4,-0.11206566288714986,-0.5603283144357493,18.65697052866066,-1.7952919194521408
59,23.72,15.33,13.71,83.64,59,83.64,15.33,-0.11107751242107787,-0.5553875621053893,18.844702868462655,-1.7794617489856674
60,23.72,15.33,13.71,83.59,60,83.59,15.33,-0.11116423757295764,-0.5558211878647882,18.836052179286686,-1.7808510859187814
61,23.72,15.36,13.68,83.35,61,83.35,15.36,-0.11158039878909874,-0.5579019939454937,18.756123918026898,-1.787517988601362
62,23.72,15.23,13.8,84.36,62,84.36,15.23,-0.10982776757197799,-0.5491388378598899,19.099762944864846,-1.7594408365030874
63,23.72,15.17,13.87,84.88,63,84.88,15.17,-0.10892419753651605,-0.5446209876825803,19.26999038994787,-1.744965644534987
64,23.72,15.29,13.75,83.95,64,83.95,15.29,-0.11053963074338798,-0.5526981537169399,18.950107440049067,-1.7708448845090754
65,23.72,15.42,13.62,82.88,65,82.88,15.42,-0.11239478583950019,-0.5619739291975009,18.59902084723979,-1.800564469148793
66,23.72,15.45,13.59,82.65,66,82.65,15.45,-0.11279301513016443,-0.5639650756508221,18.521834518966866,-1.8069441023852342
67,23.72,15.57,13.47,81.76,67,81.76,15.57,-0.11433198930550695,-0.5716599465275347,18.221491283290376,-1.8315984686742213
68,23.72,15.4,13.63,83.02,68,83.02,15.4,-0.11215228720209958,-0.5607614360104979,18.648370996952348,-1.796679640977635
69,23.72,15.2,13.83,84.61,69,84.61,15.2,-0.10939345535441454,-0.5469672767720727,19.182942455842618,-1.7524831547777209
70,23.72,15.45,13.59,82.65,70,82.65,15.45,-0.11279301513016443,-0.5639650756508221,18.521834518966866,-1.8069441023852342
71,23.72,15.54,13.5,81.97,71,81.97,15.54,-0.11396915850071335,-0.5698457925035667,18.29396778713895,-1.8257859191814279
72,23.72,15.51,13.53,82.19,72,82.19,15.51,-0.11358884884850927,-0.5679442442425463,18.368459628522327,-1.8196933585531185
73,23.72,15.43,13.61,82.84,73,82.84,15.43,-0.11246405763538046,-0.5623202881769023,18.5795454332361,-1.801674203318795
74,23.72,15.43,13.61,82.85,74,82.85,15.43,-0.11244674025460694,-0.5622337012730346,18.581261099357537,-1.801396778878803
75,23.72,15.39,13.65,83.16,75,83.16,15.39,-0.11190971600948699,-0.5595485800474349,18.68514863835188,-1.7927936504719815
76,23.72,15.45,13.59,82.66,76,82.66,15.45,-0.11277570505344439,-0.5638785252672219,18.523547138700273,-1.8066667949561792
77,23.72,15.47,13.57,82.54,77,82.54,15.47,-0.11298340013805182,-0.5649170006902591,18.477971094402076,-1.80999407021159
78,23.72,15.52,13.52,82.12,78,82.12,15.52,-0.1137098784642454,-0.568549392321227,18.344160823330387,-1.8216322529972113
79,23.72,15.49,13.55,82.32,79,82.32,15.49,-0.11336402588690726,-0.5668201294345363,18.415454898503228,-1.8160916947082544
80,23.72,15.76,13.28,80.24,80,80.24,15.76,-0.11695215132507464,-0.5847607566253732,17.737939941482924,-1.8735734642276956
81,23.72,15.54,13.5,81.97,81,81.97,15.54,-0.11396915850071335,-0.5698457925035667,18.29396778713895,-1.8257859191814279
82,23.72,15.52,13.52,82.16,82,82.16,15.52,-0.11364072117799884,-0.5682036058899942,18.350970805365687,-1.8205243532715414
83,23.72,15.46,13.58,82.62,83,82.62,15.46,-0.1128449430200303,-0.5642247151001515,18.50416558673138,-1.8077759871808854
84,23.72,15.52,13.52,82.15,84,82.15,15.52,-0.11365801112415737,-0.5682900556207868,18.349268248352228,-1.820801338209001
85,23.72,15.49,13.55,82.34,85,82.34,15.49,-0.11332943160361925,-0.5666471580180962,18.418868331881566,-1.8155374942899802
86,23.72,15.56,13.48,81.81,86,81.81,15.56,-0.11424561829931529,-0.5712280914965764,18.242222427987738,-1.8302148051550309
87,23.72,15.67,13.38,80.98,87,80.98,15.67,-0.11567792237732358,-0.5783896118866179,17.968690195322388,-1.8531603164847237
88,23.72,15.43,13.61,82.8,88,82.8,15.43,-0.11253332335643043,-0.5626666167821521,18.572683145426165,-1.8027838401700154
89,23.72,15.64,13.4,81.18,89,81.18,15.64,-0.11533307837369605,-0.5766653918684802,18.038418967699496,-1.8476359155466107
90,23.72,15.63,13.41,81.22,90,81.22,15.63,-0.11526408701902556,-0.5763204350951278,18.057231949657645,-1.8465306740447893
91,23.72,15.58,13.46,81.67,91,81.67,15.58,-0.11448742956808429,-0.5724371478404214,18.194014023128855,-1.8340886216807102
92,23.72,15.55,13.48,81.85,92,81.85,15.55,-0.11417651368017066,-0.5708825684008533,18.261284625578355,-1.829107749156334
93,23.72,15.5,13.54,82.3,93,82.3,15.5,-0.11339861854182923,-0.5669930927091461,18.399614656220383,-1.8166458690401042
94,23.72,15.43,13.61,82.84,94,82.84,15.43,-0.11246405763538046,-0.5623202881769023,18.5795454332361,-1.801674203318795
95,23.72,15.43,13.61,82.83,95,82.83,15.43,-0.11248137463647706,-0.5624068731823852,18.577829804729987,-1.8019516216763625
96,23.72,15.38,13.66,83.23,96,83.23,15.38,-0.11178840365754417,-0.5589420182877208,18.709922077625762,-1.7908502265938575
97,23.72,15.33,13.71,83.59,97,83.59,15.33,-0.11116423757295764,-0.5558211878647882,18.836052179286686,-1.7808510859187814
98,23.72,15.58,13.46,81.68,98,81.68,15.58,-0.1144701601860329,-0.5723508009301644,18.19570770554877,-1.833811966180247
99,23.72,15.34,13.7,83.56,99,83.56,15.34,-0.11121626858732687,-0.5560813429366344,18.818014327090488,-1.7816846227689764
100,23.72,15.47,13.57,82.49,100,82.49,15.47,-0.11306992300029753,-0.5653496150014876,18.469422297403515,-1.8113801664647664
101,23.72,15.43,13.61,82.85,101,82.85,15.43,-0.11244674025460694,-0.5622337012730346,18.581261099357537,-1.801396778878803
102,23.72,15.32,13.72,83.67,102,83.67,15.32,-0.11102547327643922,-0.5551273663821961,18.862772054689824,-1.7786280818885563
103,23.72,15.44,13.6,82.77,103,82.77,15.44,-0.11258526864030215,-0.5629263432015107,18.554954151580276,-1.8036160036176403
104,23.72,15.41,13.62,82.95,104,82.95,15.41,-0.11227354568070147,-0.5613677284035073,18.623678274740392,-1.7986222018048375
105,23.72,15.38,13.66,83.21,105,83.21,15.38,-0.11182306613292335,-0.5591153306646167,18.70647631644013,-1.791405519449432
106,23.72,15.2,13.84,84.64,106,84.64,15.2,-0.10934132570737508,-0.5467066285368753,19.188188865514753,-1.7516480378321486
107,23.72,15.45,13.59,82.69,107,82.69,15.45,-0.11272377249037213,-0.5636188624518607,18.52868522871352,-1.8058348352957616
108,23.72,15.25,13.78,84.21,108,84.21,15.25,-0.11008826562043164,-0.5504413281021582,19.04741303439531,-1.763614015239315
109,23.72,15.47,13.57,82.5,109,82.5,15.47,-0.11305261922200519,-0.5652630961100259,18.47113197833743,-1.811102959936523
110,23.72,15.33,13.71,83.63,110,83.63,15.33,-0.11109485812844798,-0.5554742906422399,18.842972663098422,-1.7797396272177366
111,23.72,15.29,13.75,83.93,111,83.93,15.29,-0.11057434226634943,-0.5528717113317472,18.946635541983476,-1.7714009631069179
112,23.72,15.51,13.53,82.23,112,82.23,15.51,-0.11351967994982133,-0.5675983997491066,18.37527534805011,-1.8185852727961376
113,23.72,15.57,13.47,81.76,113,81.76,15.57,-0.11433198930550695,-0.5716599465275347,18.221491283290376,-1.8315984686742213
114,23.72,15.62,13.42,81.32,114,81.32,15.62,-0.11509157615796775,-0.5754578807898387,18.08619550492187,-1.8437670500506433
115,23.72,15.57,13.47,81.73,115,81.73,15.57,-0.11438380667450321,-0.571919033372516,18.216405917567137,-1.8324285829255413
116,23.72,15.55,13.49,81.92,116,81.92,15.55,-0.1140555639910411,-0.5702778199552054,18.27317061879866,-1.8271701351364782
117,23.72,15.46,13.58,82.57,117,82.57,15.46,-0.11293148167052361,-0.564657408352618,18.49560944326285,-1.8091623363617881
118,23.72,15.51,13.53,82.21,118,82.21,15.51,-0.11355426522493835,-0.5677713261246917,18.37186740691674,-1.8191393289035123
