FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,18.11,15.13,13.91,85.21,0,85.21,15.13,-0.1083503921245047,-0.5417519606225235,19.38137038325483,-1.7357732818345653
1,18.11,15.13,13.91,85.21,1,85.21,15.13,-0.1083503921245047,-0.5417519606225235,19.38137038325483,-1.7357732818345653
2,18.11,14.6,14.43,89.34,2,89.34,14.6,-0.10115189183157523,-0.5057594591578761,20.875074582092925,-1.6204533071418352
3,18.11,14.87,14.17,87.24,3,87.24,14.87,-0.10481524597204345,-0.5240762298602172,20.100593846006788,-1.679140240472136
4,18.11,14.55,14.48,89.73,4,89.73,14.55,-0.10047123715393734,-0.5023561857696867,21.022039995273467,-1.609549219206076
5,18.11,14.58,14.45,89.48,5,89.48,14.58,-0.10090755875186752,-0.5045377937593376,20.930797828904826,-1.6165390912049176
6,18.11,14.67,14.37,88.84,6,88.84,14.67,-0.10202444362475352,-0.5101222181237676,20.67948039636982,-1.6344315868685513
7,18.11,14.24,14.8,92.23,7,92.23,14.24,-0.09610889833589714,-0.4805444916794857,21.97272046893324,-1.5396645513410723
8,18.11,14.35,14.69,91.33,8,91.33,14.35,-0.09767892055549128,-0.4883946027774564,21.628090724134015,-1.5648163072989703
9,18.11,14.38,14.66,91.11,9,91.11,14.38,-0.09806280571326931,-0.49031402856634654,21.539785685482016,-1.5709661475265744
10,18.11,14.54,14.49,89.81,10,89.81,14.54,-0.10033161195010593,-0.5016580597505296,21.051928594026297,-1.6073124234406968
11,18.11,14.33,14.7,91.47,11,91.47,14.33,-0.0974346474607865,-0.4871732373039325,21.68592887207987,-1.5609030523217997
12,18.11,14.39,14.65,91.02,12,91.02,14.39,-0.09821985819470866,-0.49109929097354327,21.507335718257412,-1.5734821282792326
13,18.11,14.32,14.71,91.55,13,91.55,14.32,-0.09729506961846683,-0.4864753480923341,21.716780039854783,-1.5586670152878386
14,18.11,14.26,14.78,92.07,14,92.07,14.26,-0.09638795434159787,-0.48193977170798935,21.910334732989206,-1.5441350285523978
15,18.11,14.38,14.66,91.12,15,91.12,14.38,-0.0980453557255179,-0.49022677862758945,21.541647001807164,-1.5706865987227967
16,18.11,14.18,14.86,92.66,16,92.66,14.18,-0.0953590917400583,-0.4767954587002915,22.151528805400734,-1.5276526496757339
17,18.11,14.45,14.59,90.54,17,90.54,14.45,-0.09905753615668561,-0.495287680783428,21.32472900529889,-1.5869017292301035
18,18.11,14.35,14.68,91.3,18,91.3,14.35,-0.09773126664272189,-0.4886563332136094,21.622494935861305,-1.5656548916164046
19,18.11,14.38,14.66,91.12,19,91.12,14.38,-0.0980453557255179,-0.49022677862758945,21.541647001807164,-1.5706865987227967
20,18.11,14.09,14.95,93.4,20,93.4,14.09,-0.09406936264240384,-0.47034681321201915,22.440719767173203,-1.5069911895313095
21,18.11,14.33,14.7,91.46,21,91.46,14.33,-0.09745209504830997,-0.4872604752415498,21.684060995183447,-1.5611825626739257
22,18.11,14.49,14.55,90.22,22,90.22,14.49,-0.09961602850807576,-0.49808014254037875,21.2038674134859,-1.5958487766993736
23,18.11,14.3,14.73,91.7,23,91.7,14.3,-0.09703337559148892,-0.48516687795744456,21.776744614152264,-1.5544746769756523
24,18.11,14.19,14.84,92.58,24,92.58,14.19,-0.09549857211388035,-0.4774928605694017,22.120047506472805,-1.5298871252643633
25,18.11,14.41,14.63,90.87,25,90.87,14.41,-0.09848162189978994,-0.4924081094989497,21.44814825151134,-1.577675582834635
26,18.11,14.51,14.53,90.07,26,90.07,14.51,-0.0998778269827535,-0.4993891349137675,21.14554206846922,-1.6000427882637112
27,18.11,14.44,14.6,90.64,27,90.64,14.44,-0.09888301250705779,-0.49441506253528894,21.358760533023936,-1.5841058603630658
28,18.11,14.39,14.65,91.01,28,91.01,14.39,-0.09823730874864284,-0.49118654374321413,21.505475699136728,-1.5737616861532582
29,18.11,14.24,14.8,92.19,29,92.19,14.24,-0.09617865957761189,-0.4808932978880594,21.96520251326351,-1.5407821264333423
30,18.11,14.54,14.49,89.82,30,89.82,14.54,-0.10031415874858796,-0.5015707937429398,21.053768762896702,-1.607032823152379
31,18.11,14.56,14.48,89.7,31,89.7,14.56,-0.10052359638314196,-0.5026179819157097,21.001381998958205,-1.610388014057934
32,18.11,14.35,14.68,91.31,32,91.31,14.35,-0.09771381787716008,-0.48856908938580035,21.624360206082432,-1.5653753623921043
33,18.11,14.64,14.4,89.05,33,89.05,14.64,-0.10165798681876977,-0.5082899340938488,20.76228209619065,-1.6285609488366917
34,18.11,14.46,14.58,90.46,34,90.46,14.46,-0.09919715716896037,-0.4959857858448018,21.29444812278323,-1.5891384578467451
35,18.11,14.42,14.61,90.74,35,90.74,14.42,-0.0987084922599676,-0.493542461299838,21.40841017153283,-1.581310046004681
36,18.11,14.44,14.6,90.62,36,90.62,14.44,-0.09891791698179232,-0.4945895849089616,21.35505365412385,-1.584665030048313
37,18.11,14.42,14.62,90.8,37,90.8,14.42,-0.09860378196608549,-0.4930189098304274,21.41954666181887,-1.5796325870966894
38,18.11,14.21,14.83,92.46,38,92.46,14.21,-0.09570780904418996,-0.47853904522094975,22.06475491343142,-1.5332391008879231
39,18.11,14.41,14.63,90.87,39,90.87,14.41,-0.09848162189978994,-0.4924081094989497,21.44814825151134,-1.577675582834635
40,18.11,14.48,14.55,90.27,40,90.27,14.48,-0.09952876284606267,-0.49764381423031334,21.22847292404783,-1.5944507807939239
41,18.11,14.42,14.62,90.81,41,90.81,14.42,-0.09858633039619674,-0.49293165198098365,21.421402728031055,-1.5793530129470719
42,18.11,14.37,14.67,91.19,42,91.19,14.37,-0.09792320750819733,-0.4896160375409866,21.570419871734856,-1.5687297842813213
43,18.11,14.41,14.62,90.82,43,90.82,14.41,-0.09856887886937082,-0.4928443943468541,21.43886125527213,-1.5790734394873205
44,18.11,14.21,14.82,92.41,44,92.41,14.21,-0.09579499670793178,-0.47897498353965884,22.055338134341934,-1.534635847261067
45,18.11,14.42,14.61,90.74,45,90.74,14.42,-0.0987084922599676,-0.493542461299838,21.40841017153283,-1.581310046004681
