FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,26.39,15.12,13.92,85.29,0,85.29,15.12,-0.10821124534196475,-0.5410562267098237,19.408876100316547,-1.7335441503782751
1,26.39,15.12,13.92,85.29,1,85.29,15.12,-0.10821124534196475,-0.5410562267098237,19.408876100316547,-1.7335441503782751
2,26.39,14.47,14.57,90.39,2,90.39,14.47,-0.09931932684794383,-0.4965966342397191,21.266060418039824,-1.5910956161040601
3,26.39,14.48,14.55,90.28,3,90.28,14.48,-0.09951130975459754,-0.4975565487729877,21.23032108184277,-1.5941711822686526
4,26.39,15.18,13.86,84.78,4,84.78,15.18,-0.10909802039035699,-0.5454901019517849,19.239180479648088,-1.7477502866535188
5,26.39,14.94,14.1,86.66,5,86.66,14.94,-0.10582609869453577,-0.5291304934726788,19.898324506458493,-1.6953341010864629
6,26.39,14.86,14.18,87.34,6,87.34,14.86,-0.10464090825994173,-0.5232045412997086,20.132736792344872,-1.6763473503242663
7,26.39,14.82,14.22,87.61,7,87.61,14.82,-0.10417012732621118,-0.5208506366310559,20.238347605175225,-1.6688054397659031
8,26.39,14.83,14.21,87.53,8,87.53,14.83,-0.10430962809844027,-0.5215481404922013,20.20963704862338,-1.6710402421370132
9,26.39,14.79,14.25,87.85,9,87.85,14.79,-0.10375157731819849,-0.5187578865909924,20.32472814630845,-1.66210026863754
10,26.39,14.72,14.31,88.38,10,88.38,14.72,-0.10282705667702735,-0.5141352833851367,20.52229457960247,-1.647289447965978
11,26.39,14.68,14.33,88.62,11,88.62,14.68,-0.10240832150205709,-0.5120416075102854,20.624639653849112,-1.6405813104629545
12,26.39,14.59,14.45,89.45,12,89.45,14.59,-0.10095991634624,-0.5047995817312,20.910250010676044,-1.6173778598667647
13,26.39,14.73,14.31,88.36,13,88.36,14.73,-0.10286194913722949,-0.5143097456861474,20.504058158505828,-1.6478484251784162
14,26.39,14.66,14.38,88.89,14,88.89,14.66,-0.1019371942867307,-0.5096859714336535,20.703393138227245,-1.6330338524734258
15,26.39,14.82,14.21,87.59,15,87.59,14.82,-0.10420500329206822,-0.521025016460341,20.234743293379253,-1.669364152738933
16,26.39,14.68,14.36,88.72,16,88.72,14.68,-0.10223383561935738,-0.5111691780967869,20.6428525081693,-1.6377860466221053
17,26.39,14.8,14.23,87.75,17,87.75,14.8,-0.10392598157590688,-0.5196299078795343,20.292283268497204,-1.6648942248460281
18,26.39,14.71,14.33,88.49,18,88.49,14.71,-0.10263514210254149,-0.5131757105127074,20.556911890409364,-1.6442149764827145
19,26.39,14.82,14.2,87.56,19,87.56,14.82,-0.10425731627883797,-0.5212865813941898,20.229336925106345,-1.6702022067869842
20,26.39,14.81,14.23,87.72,20,87.72,14.81,-0.10397830054534299,-0.5198915027267149,20.272510301169095,-1.6657323747363946
21,26.39,14.71,14.33,88.51,21,88.51,14.71,-0.10260024747929362,-0.5130012373964681,20.560546406215252,-1.6436559646182838
22,26.39,14.52,14.5,89.93,22,89.93,14.52,-0.10012217301724652,-0.5006108650862325,21.1044640492434,-1.6039572117362892
23,26.39,14.62,14.42,89.23,23,89.23,14.62,-0.10134386307118731,-0.5067193153559365,20.82500010382646,-1.6235286864004208
24,26.39,14.65,14.38,88.94,24,88.94,14.65,-0.10184994347345017,-0.5092497173672508,20.72734022409225,-1.6316360944446717
25,26.39,14.53,14.51,89.91,25,89.91,14.53,-0.10015707956808312,-0.5007853978404155,21.085543381611163,-1.6045164146806916
26,26.39,14.48,14.56,90.29,26,90.29,14.48,-0.0994938566780188,-0.49746928339009394,21.232169238061356,-1.593891583981861
27,26.39,14.29,14.74,91.77,27,91.77,14.29,-0.0969112585614888,-0.484556292807444,21.805855557357138,-1.5525183621550505
28,26.39,14.49,14.54,90.19,28,90.19,14.49,-0.0996683880498941,-0.4983419402494705,21.198326926518405,-1.5966875765593034
29,26.39,14.43,14.6,90.67,29,90.67,14.43,-0.0988306560514754,-0.4941532802573769,21.379857834796315,-1.5832671099446358
30,26.39,14.47,14.57,90.38,30,90.38,14.47,-0.0993367797464183,-0.49668389873209146,21.264210940521146,-1.5913752115376212
31,26.39,14.5,14.53,90.12,31,90.12,14.5,-0.09979056064287806,-0.4989528032143903,21.170069938049433,-1.5986447814989064
32,26.39,14.58,14.46,89.51,32,89.51,14.58,-0.10085520090868268,-0.5042760045434134,20.93630226404857,-1.6157003185570964
33,26.39,14.59,14.44,89.4,33,89.4,14.59,-0.10104717841162457,-0.5052358920581228,20.901082653176267,-1.6187757981542255
34,26.39,14.47,14.56,90.37,34,90.37,14.47,-0.0993542326650956,-0.496771163325478,21.26236146086158,-1.5916548072948316
35,26.39,14.63,14.38,88.99,35,88.99,14.63,-0.10176269125135717,-0.5088134562567859,20.766197514103307,-1.6302383138467418
