FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.94,15.13,13.91,85.17,0,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
1,24.94,15.13,13.91,85.17,1,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
2,24.94,14.32,14.69,91.44,2,91.44,14.32,-0.09748699045566626,-0.4874349522783313,21.696218612963587,-1.5617415870997735
3,24.94,14.27,14.63,91.42,3,91.42,14.27,-0.09752188616922515,-0.48760943084612574,21.77228331693847,-1.562300616430987
4,24.94,14.06,14.81,92.99,4,92.99,14.06,-0.0947838338287185,-0.47391916914359244,22.41299483901234,-1.5184370179360702
5,24.94,13.85,15.02,94.66,5,94.66,13.85,-0.09187572954352945,-0.4593786477176472,23.092977986263545,-1.4718491872873416
6,24.94,13.82,14.98,94.6,6,94.6,13.82,-0.09198010756711412,-0.4599005378355706,23.134080220864536,-1.4735213232251683
7,24.94,14.12,14.68,92.22,7,92.22,14.12,-0.09612633846985938,-0.48063169234929687,22.166983703099806,-1.5399439422871473
8,24.94,13.99,14.77,93.12,8,93.12,13.99,-0.09455726352649908,-0.4727863176324954,22.555722858636795,-1.5148073616945152
9,24.94,13.98,14.78,93.22,9,93.22,13.98,-0.09438299768403324,-0.4719149884201662,22.59182583845791,-1.5120156228982125
10,24.94,14.01,14.7,92.74,10,92.74,14.01,-0.09521962041392439,-0.4760981020696219,22.449275757502825,-1.5254183190310686
11,24.94,13.85,14.81,93.82,11,93.82,13.85,-0.09333778052266516,-0.46668890261332574,22.930752259288383,-1.4952712439730957
12,24.94,13.71,14.93,94.9,12,94.9,13.71,-0.09145830768626324,-0.4572915384313162,23.38784360094411,-1.4651620891339372
13,24.94,13.91,14.74,93.33,13,93.33,13.91,-0.09419132504022623,-0.47095662520113113,22.732504774648728,-1.5089450271444242
14,24.94,13.83,14.79,93.85,14,93.85,13.83,-0.09328553789006011,-0.4664276894503005,22.97142461159332,-1.4944343169987628
15,24.94,13.87,14.77,93.57,15,93.57,13.87,-0.09377320546270174,-0.4688660273135087,22.84775041521495,-1.5022467515124818
16,24.94,13.7,14.95,95.0,16,95.0,13.7,-0.09128442572523418,-0.4564221286261709,23.42531685848743,-1.4623765001182516
17,24.94,13.55,15.06,96.03,17,96.03,13.55,-0.08949508206379551,-0.44747541031897753,23.90141417660617,-1.4337112146620041
18,24.94,13.56,15.13,96.29,18,96.29,13.56,-0.08904391694925129,-0.4452195847462564,23.934050983776018,-1.4264835495270056
19,24.94,13.71,14.98,95.06,19,95.06,13.71,-0.09118010925831327,-0.45590054629156634,23.41904341164255,-1.4607053503181786
20,24.94,13.67,14.97,95.22,20,95.22,13.67,-0.09090197960964301,-0.454509898048215,23.52242305248482,-1.456249713346481
21,24.94,13.51,15.2,96.77,21,96.77,13.51,-0.08821159634245584,-0.4410579817122792,24.122088608552076,-1.4131497734061427
22,24.94,13.74,14.95,94.85,22,94.85,13.74,-0.09154525845718914,-0.4577262922859457,23.324406524411454,-1.4665550404841698
23,24.94,13.51,15.13,96.51,23,96.51,13.51,-0.08866233769547903,-0.4433116884773951,24.070750467891905,-1.420370649881574
24,24.94,13.42,15.29,97.48,24,97.48,13.42,-0.08698198952686896,-0.43490994763434476,24.433464245348098,-1.3934514722204407
25,24.94,13.3,15.44,98.52,25,98.52,13.3,-0.08518453662190621,-0.425922683109531,24.87381998669812,-1.3646562766829375
26,24.94,13.38,15.26,97.49,26,97.49,13.38,-0.08696468495389273,-0.4348234247694636,24.51237781170999,-1.3931742529613615
27,24.94,13.58,15.06,95.94,27,95.94,13.58,-0.08965130547495775,-0.44825652737478877,23.828152757055687,-1.4362139137088232
28,24.94,13.47,15.22,96.99,28,96.99,13.47,-0.08783038904333908,-0.43915194521669537,24.241053444518943,-1.407042832474292
29,24.94,13.23,15.45,98.84,29,98.84,13.23,-0.08463242874930077,-0.4231621437465038,25.076775823489797,-1.3558115085637983
30,24.94,13.14,15.54,99.56,30,99.56,13.14,-0.08339196489588523,-0.4169598244794261,25.40329094047378,-1.3359392776320813
31,24.94,13.13,15.48,99.41,31,99.41,13.13,-0.08365018509215631,-0.4182509254607815,25.393376156445175,-1.340075965176344
32,24.94,13.03,15.58,100.16,32,100.16,13.03,-0.08236024009327876,-0.4118012004663938,25.75149982222878,-1.3194110462943258
33,24.94,13.07,15.59,100.02,33,100.02,13.07,-0.08260080701635181,-0.41300403508175904,25.640040068767096,-1.323264928401956
34,24.94,13.27,15.44,98.66,34,98.66,13.27,-0.08494293154764924,-0.4247146577382462,24.96110420890058,-1.360785763393341
35,24.94,13.13,15.51,99.48,35,99.48,13.13,-0.08352966828098425,-0.41764834140492124,25.407521436488842,-1.3381452858613676
36,24.94,13.4,15.29,97.54,36,97.54,13.4,-0.08687816805572954,-0.43439084027864766,24.483792364595118,-1.3917882522527871
37,24.94,13.27,15.44,98.65,37,98.65,13.27,-0.08496018608871729,-0.4248009304435864,24.959101520029318,-1.3610621811412509
38,24.94,13.22,15.49,99.04,38,99.04,13.22,-0.08428760365968323,-0.4214380182984161,25.136945486087782,-1.3502874106281253
39,24.94,13.27,15.42,98.56,39,98.56,13.27,-0.08511549751150478,-0.4255774875575239,24.941074934635353,-1.3635502701343065
40,24.94,13.04,15.57,100.12,40,100.12,13.04,-0.08242896281592055,-0.4121448140796027,25.722552928271142,-1.320511984311047
41,24.94,13.05,15.6,100.17,41,100.17,13.05,-0.08234306075465452,-0.41171530377327253,25.71191861866364,-1.3191358332895653
42,24.94,13.0,15.63,100.5,42,100.5,13.0,-0.08177644745078526,-0.40888223725392625,25.883411635726766,-1.3100586881615799
43,24.94,13.03,15.61,100.3,43,100.3,13.03,-0.08211977848836505,-0.41059889244182524,25.779951640861746,-1.315558851383608
44,24.94,13.0,15.63,100.5,44,100.5,13.0,-0.08177644745078526,-0.40888223725392625,25.883411635726766,-1.3100586881615799
45,24.94,13.07,15.54,99.87,45,99.87,13.07,-0.08285867253016961,-0.41429336265084804,25.609627434681844,-1.3273959339333172
46,24.94,13.39,15.21,97.28,46,97.28,13.39,-0.08732816356099454,-0.43664081780497266,24.451310505531502,-1.3989971802471326
47,24.94,13.45,15.14,96.75,47,96.75,13.45,-0.08824626025421625,-0.44123130127108123,24.231414621920756,-1.4137050892725442
48,24.94,13.29,15.35,98.23,48,98.23,13.29,-0.08568528402468142,-0.4284264201234071,24.835507728411194,-1.3726782500753965
49,24.94,13.02,15.67,100.56,49,100.56,13.02,-0.08167349124864404,-0.40836745624322013,25.853678619820432,-1.3084093298032775
50,24.94,13.1,15.58,99.86,50,99.86,13.1,-0.08287586776121425,-0.41437933880607125,25.545780834891914,-1.3276714015346522
51,24.94,13.33,15.31,97.92,51,97.92,13.33,-0.0862209709315362,-0.431104854657681,24.695132479995983,-1.38125995432321
52,24.94,13.05,15.61,100.21,52,100.21,13.05,-0.08227434878400164,-0.4113717439200082,25.72003559671029,-1.3180350675197061
53,24.94,13.39,15.25,97.4,53,97.4,13.39,-0.08712044034224371,-0.43560220171121855,24.475192863468173,-1.3956694542827441
54,24.94,13.28,15.38,98.36,54,98.36,13.28,-0.0854607649357397,-0.4273038246786985,24.881247589506152,-1.36908145427055
55,24.94,13.48,15.14,96.64,55,96.64,13.48,-0.08843693725545784,-0.4421846862772892,24.15287675649515,-1.4167597348324346
56,24.94,13.27,15.37,98.42,56,98.42,13.27,-0.08535716591563064,-0.4267858295781532,24.91302512319323,-1.367421797968403
57,24.94,13.28,15.39,98.42,57,98.42,13.28,-0.08535716591563064,-0.4267858295781532,24.893262514741586,-1.367421797968403
58,24.94,13.54,15.13,96.35,58,96.35,13.54,-0.08893983362373256,-0.4446991681186628,23.98308685823738,-1.4248161346521957
59,24.94,13.49,15.15,96.65,59,96.65,13.49,-0.0884196012109013,-0.44209800605450644,24.13600712577468,-1.4164820113986387
60,24.94,13.48,15.18,96.79,60,96.79,13.48,-0.08817693386707666,-0.4408846693353833,24.18255977258678,-1.4125944805505681
61,24.94,13.44,15.23,97.14,61,97.14,13.44,-0.087570577505316,-0.4378528875265799,24.327777242716927,-1.4028806516351622
62,24.94,13.29,15.4,98.41,62,98.41,13.29,-0.0853744313069346,-0.426872156534673,24.871530383406512,-1.3676983895370922
63,24.94,13.17,15.49,99.27,63,99.27,13.17,-0.08389129174701337,-0.4194564587350669,25.283887941347203,-1.3439384937871541
64,24.94,13.33,15.33,97.97,64,97.97,13.33,-0.08613454212420975,-0.4306727106210487,24.705116484770986,-1.37987536482984
65,24.94,13.42,15.19,97.09,65,97.09,13.42,-0.08765717197370743,-0.4382858598685371,24.356019872746586,-1.404267895018793
66,24.94,13.15,15.49,99.34,66,99.34,13.15,-0.08377072630747362,-0.4188536315373681,25.338545885380444,-1.3420070354457274
67,24.94,13.32,15.27,97.79,67,97.79,13.32,-0.08644573477506165,-0.4322286738753082,24.688676077813124,-1.3848606710964877
68,24.94,13.36,15.26,97.59,68,97.59,13.36,-0.08679166115041224,-0.4339583057520612,24.570963571230333,-1.390402411629604
69,24.94,13.27,15.36,98.35,69,98.35,13.27,-0.08547803299227597,-0.4273901649613798,24.89899640180648,-1.3693580885362608
70,24.94,13.13,15.44,99.23,70,99.23,13.13,-0.08396019709082081,-0.41980098545410405,25.356989477314194,-1.3450423573949493
71,24.94,13.1,15.52,99.67,71,99.67,13.1,-0.08320267566370923,-0.4160133783185461,25.507330189327256,-1.3329068641326218
72,24.94,12.98,15.59,100.43,72,100.43,12.98,-0.08189658827003139,-0.40948294135015695,25.91119934662282,-1.3119833440859028
73,24.94,13.35,15.27,97.67,73,97.67,13.35,-0.08665327105145446,-0.43326635525727225,24.606309025966635,-1.3881854022443003
74,24.94,13.33,15.28,97.81,74,97.81,13.33,-0.08641115115149073,-0.43205575575745364,24.673163413398022,-1.3843066414468814
